date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,64.0,45.602897,22.548713,7.242384,263.1266,0.76,264.98,0.0,0.0,0.0,,
2024-11-05,67.0,52.341187,21.259509,7.272935,263.5002,2.98,269.18,0.3350427350426912,0.0670085470085382,0.2680341880341529,,
2024-11-06,54.0,42.325744,21.346189,7.520018,263.7634,-0.04,261.73,-0.0005795407505502,0.0534909294567205,-0.0540704702072707,,
2024-11-07,64.0,48.798032,21.1763,7.588928,264.1106,1.66,266.3,0.1010335427818631,0.062999452121749,0.038034090660114,,
2024-11-08,67.0,54.56534,19.921757,7.513097,264.5972,2.31,271.1,0.5623995365148744,0.1628794690003741,0.3995200675145002,,
2024-11-11,69.0,58.170061,19.083364,7.220991,265.1174,1.98,274.51,1.1894823004194564,0.3682000352841906,0.8212822651352658,,
2024-11-12,66.0,52.146659,17.736293,6.74093,265.6062,3.12,269.9,1.299481818573554,0.5544563919420633,0.7450254266314906,,
2024-11-13,68.0,54.793007,16.485442,5.952708,266.1436,2.26,272.32,1.5639033006763725,0.7563457736889252,0.8075575269874473,,
2024-11-14,66.0,52.259427,15.502017,5.295801,266.6684,-0.28,270.35,1.596097871546931,0.9242961932605264,0.6718016782864046,,
2024-11-15,66.0,51.033935,14.870534,4.411668,267.1802,-1.86,269.4,1.5273489128666142,1.044906737181744,0.4824421756848702,SELL,"[18.68807601928711, 20.29314422607422, 23.4329833984375]"
2024-11-18,68.0,53.936067,13.893785,4.037862,267.721,0.69,271.77,1.645139912044499,1.164953372154295,0.4801865398902039,SELL,"[20.19731903076172, 21.778961181640625, 25.535818099975586]"
2024-11-19,52.0,40.343797,14.586401,4.32974,267.9586,-4.8,259.26,0.7207295562774334,1.076108608978923,-0.3553790527014893,BUY,"[14.196432113647461, 15.452349662780762, 4.344058990478516]"
2024-11-20,55.0,44.853993,15.229545,4.37476,268.2716,-2.71,263.03,0.2890037270436778,0.9186876325918738,-0.629683905548196,BUY,"[14.692544937133789, 15.574421882629395, 14.514764785766602]"
2024-11-21,56.0,47.344407,15.325803,4.268415,268.535,-1.55,265.22,0.1221643596720127,0.7593829780079017,-0.6372186183358889,BUY,"[14.298144340515137, 16.188674926757812, 9.07681941986084]"
2024-11-22,55.0,46.783385,15.120197,4.282452,268.7204,-2.61,264.68,-0.0530193539060519,0.596902511625111,-0.6499218655311629,BUY,"[14.758444786071777, 15.997729301452637, 15.391480445861816]"
2024-11-25,70.0,57.475958,14.870457,4.68958,269.094,6.19,275.32,0.6591075867823974,0.6093435266565683,0.0497640601258291,SELL,"[22.074180603027344, 23.51321792602539, 29.133806228637695]"
2024-11-26,69.0,56.499305,14.638556,4.878697,269.449,4.35,274.47,1.1417243341960557,0.7158196881644658,0.4259046460315898,SELL,"[19.84358787536621, 21.105239868164062, 22.08837127685547]"
2024-11-27,68.0,54.984118,14.700197,4.825315,269.7802,3.01,273.19,1.4047235028626233,0.8536004511040973,0.5511230517585259,SELL,"[22.025802612304688, 22.49871253967285, 25.933786392211914]"
2024-11-29,67.0,54.057149,14.607659,4.696288,270.0088,2.93,272.43,1.5341419569135155,0.989708752265981,0.5444332046475345,SELL,"[19.190988540649414, 21.72161293029785, 23.271167755126953]"
2024-12-02,66.0,53.570842,13.942864,4.497048,270.247,-1.19,272.05,1.587741692059808,1.1093153402247464,0.4784263518350615,SELL,"[20.5091609954834, 21.555208206176758, 24.519073486328125]"
2024-12-03,68.0,56.184806,13.651231,4.537694,270.489,-0.03,274.39,1.7983085307976123,1.2471139783393197,0.5511945524582929,SELL,"[23.135168075561523, 24.553281784057617, 30.250438690185547]"
2024-12-04,66.0,53.259252,13.380428,4.575593,270.6136,-0.34,272.27,1.773672196124437,1.3524256218963433,0.4212465742280937,SELL,"[19.43576431274414, 20.95842742919922, 24.30776596069336]"
2024-12-05,57.0,50.330438,12.940078,4.195938,270.7156,-0.87,270.07,1.5586588604560347,1.3936722696082815,0.164986590847753,SELL,"[17.494962692260742, 18.12866973876953, 20.159639358520508]"
2024-12-06,67.0,54.450308,13.383665,4.16055,270.872,0.51,273.43,1.6404728127334351,1.4430323782333123,0.1974404345001226,SELL,"[20.02397346496582, 21.037879943847656, 24.101964950561523]"
2024-12-09,67.0,55.305809,14.438813,4.236491,271.0122,-0.09,274.15,1.7433131136602924,1.5030885253187083,0.2402245883415839,SELL,"[19.807661056518555, 21.11795425415039, 23.657726287841797]"
2024-12-10,57.0,49.66874,14.342538,4.141458,270.9974,-0.79,270.11,1.4817399806125875,1.4988188163774845,-0.0170788357648967,SELL,"[16.145965576171875, 17.67368507385254, 17.713838577270508]"
2024-12-11,56.0,46.855306,13.931407,4.176096,270.9026,-0.8,267.9,1.0836215432605627,1.4157793617541,-0.3321578184935374,BUY,"[14.720215797424316, 16.463211059570312, 13.535269737243652]"
2024-12-12,52.0,41.780991,13.234206,4.398283,270.7354,-3.63,263.5,0.4083592741868642,1.214295344240653,-0.8059360700537888,BUY,"[14.321274757385254, 15.4934720993042, 7.769467830657959]"
2024-12-13,51.0,40.58684,12.783541,4.685741,270.579,-4.29,262.39,-0.2138930366165254,0.9286576680692172,-1.1425507046857428,BUY,"[13.922203063964844, 15.130657196044922, 6.551356315612793]"
