date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,23.0,43.19328,14.932388,3.887591,77.9282,-5.29,74.17,0.0,0.0,0.0,,
2024-11-05,27.0,48.602829,13.993995,3.77043,77.8184,-0.07,76.4,0.1778917378917413,0.0355783475783482,0.142313390313393,,
2024-11-06,27.0,49.485585,13.367588,3.491764,77.7132,3.27,76.78,0.3455517406514587,0.0975730261929703,0.2479787144584884,,
2024-11-07,39.0,54.828444,13.280575,3.30876,77.6872,5.9,79.21,0.6668175349429504,0.2114219279429663,0.455395606999984,,
2024-11-08,37.0,52.350027,13.199776,2.975515,77.6566,5.43,78.2,0.8303526440323736,0.3352080711608478,0.4951445728715258,,
2024-11-11,26.0,47.684457,12.499316,1.971762,77.538,-0.3,76.17,0.7870784116205982,0.425582139252798,0.3614962723678002,,
2024-11-12,25.0,46.647868,11.922777,1.962359,77.5206,-1.41,75.7,0.7067116664362203,0.4818080446894824,0.2249036217467378,,
2024-11-13,22.0,42.712021,11.832792,1.973049,77.4688,-6.77,73.85,0.4881142260047255,0.4830692809525311,0.0050449450521944,,
2024-11-14,23.0,45.240208,11.48323,1.908662,77.4528,-4.36,74.79,0.3862716248005,0.4637097497221248,-0.0774381249216248,,
2024-11-15,15.0,36.494286,12.639954,2.18191,77.3862,-8.03,70.05,-0.0760412009270226,0.3557595595922954,-0.431800760519318,HOLD,"[0.6026644706726074, 0.3540160059928894, -16.06020736694336]"
2024-11-18,16.0,37.912347,13.808509,2.362714,77.329,-6.78,70.57,-0.3959040564009939,0.2054268363936375,-0.6013308927946315,HOLD,"[0.26971563696861267, 0.20487330853939056, -17.780397415161133]"
2024-11-19,15.0,37.223782,14.916318,2.569958,77.2692,-4.98,70.17,-0.6739059624686092,0.0295602766211882,-0.7034662390897974,HOLD,"[0.5082723498344421, 0.07921252399682999, -18.177488327026367]"
2024-11-20,15.0,37.006638,16.146716,2.759825,77.1364,-6.34,70.05,-0.8936065331772056,-0.1550730853384905,-0.7385334478387151,BUY,"[0.21167540550231934, 0.328631192445755, -17.035818099975586]"
2024-11-21,22.0,45.753552,15.706819,2.762939,77.1034,4.4,73.13,-0.8098550540095601,-0.2860294790727045,-0.5238255749368557,BUY,"[0.03408438339829445, 0.12707161903381348, -16.82508659362793]"
2024-11-22,20.0,44.690381,15.298344,2.719549,77.0168,2.93,72.64,-0.7740969999151446,-0.3836429832411925,-0.3904540166739521,HOLD,"[0.33698588609695435, 0.23875391483306885, -14.72402286529541]"
2024-11-25,22.0,47.556182,14.575348,2.717581,76.974,5.04,73.71,-0.6519036868791801,-0.43729512396879,-0.2146085629103901,HOLD,"[0.3810274302959442, 0.2846333086490631, -16.662399291992188]"
2024-11-26,20.0,45.154332,13.704521,2.594269,76.8958,3.77,72.69,-0.6301066047355732,-0.4758574201221466,-0.1542491846134265,HOLD,"[0.5553744435310364, 0.0005451399483717978, -16.52346420288086]"
2024-11-27,18.0,42.609563,13.545171,2.600094,76.8154,-2.13,71.57,-0.6951931460220777,-0.5197245653021328,-0.1754685807199448,HOLD,"[0.5951325297355652, 0.4200688898563385, -15.954692840576172]"
2024-11-29,22.0,48.994351,12.995859,2.598496,76.7148,1.71,73.88,-0.5539909416622493,-0.5265778405741561,-0.0274131010880931,HOLD,"[0.40079060196876526, 0.062490642070770264, -17.677528381347656]"
2024-12-02,37.0,58.870983,13.503715,2.780296,76.7386,6.51,78.51,-0.0677044175437373,-0.4348031559680724,0.367098738424335,BUY,"[-0.10956893116235733, 0.20072568953037262, -9.685921669006348]"
2024-12-03,37.0,58.423649,13.975296,2.929199,76.7372,7.77,78.34,0.3004996046863795,-0.287742603837182,0.5882422085235615,BUY,"[-0.0773719921708107, 0.44096726179122925, -8.684316635131836]"
2024-12-04,37.0,58.199531,14.757464,3.021808,76.7202,9.35,78.26,0.5791722761807705,-0.1143596278335915,0.693531904014362,BUY,"[0.15802547335624695, 0.2382834553718567, -9.97302532196045]"
2024-12-05,23.0,50.280361,14.186038,2.979407,76.6168,1.8,75.21,0.5476004686486959,0.0180323914628659,0.52956807718583,HOLD,"[0.6739313006401062, 0.6123619079589844, -13.978548049926758]"
2024-12-06,33.0,53.371883,13.655427,2.815257,76.4536,-2.45,76.59,0.6267097309110312,0.139767859352499,0.4869418715585322,HOLD,"[0.6314927339553833, 0.32337063550949097, -11.834891319274902]"
2024-12-09,34.0,55.239727,13.706422,2.76635,76.3484,-1.14,77.45,0.7501519195107278,0.2618446713841448,0.488307248126583,BUY,"[0.2604858875274658, 0.5658831596374512, -10.387939453125]"
2024-12-10,22.0,49.481245,13.216168,2.737828,76.2188,-4.0,75.13,0.6532459200431475,0.3401249211159454,0.3131209989272021,BUY,"[0.41596001386642456, 0.6509907245635986, -13.421430587768555]"
2024-12-11,36.0,56.07096,12.933644,2.863718,76.1886,4.02,78.23,0.8171714655310183,0.4355342299989599,0.3816372355320583,BUY,"[0.09636630862951279, 0.3053995370864868, -9.9562349319458]"
2024-12-12,23.0,50.059634,12.454692,2.876699,76.072,-1.32,75.58,0.724894653984137,0.4934063147959954,0.2314883391881416,HOLD,"[0.5798476934432983, 0.42176178097724915, -13.090590476989746]"
2024-12-13,32.0,51.49662,12.009951,2.906205,75.975,-1.54,76.26,0.6985821132680883,0.534441474490414,0.1641406387776742,HOLD,"[0.5172784924507141, 0.34725698828697205, -11.318202018737793]"
2024-12-16,34.0,54.735083,11.942059,2.8171,75.9008,3.59,77.83,0.7952479903336496,0.5866027776590612,0.2086452126745883,BUY,"[0.23525384068489075, 0.5095423460006714, -9.869780540466309]"
2024-12-17,34.0,54.684993,12.133819,2.714886,75.8448,-0.54,77.81,0.8603252673470365,0.6413472755966563,0.2189779917503802,BUY,"[0.16238994896411896, 0.5357515811920166, -6.908866882324219]"
2024-12-18,23.0,48.453355,11.577072,2.463017,75.7286,-0.5,75.2,0.6933023331854713,0.6517382871144194,0.0415640460710519,BUY,"[0.41818177700042725, 0.48204684257507324, -15.014459609985352]"
2024-12-19,17.0,40.799123,12.570701,2.347203,75.4956,-6.62,71.21,0.2362524294043453,0.5686411155724046,-0.3323886861680593,HOLD,"[0.9215410947799683, 0.5090546011924744, -14.952975273132324]"
2024-12-20,18.0,42.227805,13.233181,2.430447,75.2902,-7.76,71.79,-0.0782596311581187,0.4392609662262999,-0.5175205973844187,HOLD,"[0.44965359568595886, 0.39982759952545166, -16.899934768676758]"
2024-12-23,21.0,47.001206,13.602844,2.377282,75.1084,-5.15,73.8,-0.1634384862294666,0.3187210757351467,-0.4821595619646133,HOLD,"[0.28867319226264954, 0.10165155678987503, -16.95928955078125]"
2024-12-24,22.0,47.071498,13.858092,2.373024,74.871,-1.82,73.83,-0.225918347197279,0.2097931911486615,-0.4357115383459405,BUY,"[0.14153051376342773, 0.5212095379829407, -13.937972068786621]"
2024-12-26,23.0,47.47165,13.896707,2.313355,74.8236,3.9,73.99,-0.2595317043977445,0.1159282120393803,-0.3754599164371249,BUY,"[0.25660037994384766, 0.3059843182563782, -14.325112342834473]"
2024-12-27,22.0,46.087976,14.073328,2.187966,74.8088,2.24,73.4,-0.3299748565702174,0.0267475983174608,-0.3567224548876782,HOLD,"[0.47456976771354675, 0.3137345016002655, -14.205523490905762]"
2024-12-30,20.0,43.214098,14.752355,2.286813,74.789,-2.24,72.15,-0.4811200628982846,-0.0748259339256882,-0.4062941289725963,HOLD,"[0.46547356247901917, 0.3274390697479248, -16.045141220092773]"
2024-12-31,20.0,43.457107,15.259013,2.287019,74.7768,-2.17,72.23,-0.5876740557433635,-0.1773955582892233,-0.4102784974541402,HOLD,"[0.5004076957702637, 0.22339051961898804, -16.49628448486328]"
2025-01-02,21.0,44.132963,15.080346,2.244969,74.7688,-2.09,72.44,-0.6477072517815969,-0.271457896987698,-0.3762493547938988,BUY,"[0.41073933243751526, 0.4318952262401581, -14.58411979675293]"
2025-01-03,34.0,51.99037,14.198694,2.111622,74.811,2.33,75.11,-0.4743690748681786,-0.3120401325637942,-0.1623289423043843,BUY,"[0.1433662474155426, 0.2805037200450897, -10.334209442138672]"
2025-01-06,38.0,58.712368,14.861979,2.224299,74.9134,8.08,77.98,-0.1042110265756832,-0.270474311366172,0.1662632847904887,BUY,"[0.0017533123027533293, 0.2927873432636261, -9.231626510620117]"
2025-01-07,38.0,57.326922,15.423463,2.268416,74.9324,7.32,77.52,0.1502912736714279,-0.186321194358652,0.3366124680300799,BUY,"[0.09700103104114532, 0.41406670212745667, -7.720417022705078]"
2025-01-08,37.0,55.846039,15.613655,2.247459,74.9196,6.35,77.04,0.309684343395844,-0.0871200868077528,0.3968044302035969,BUY,"[0.31350240111351013, 0.41135501861572266, -9.171055793762207]"
2025-01-10,25.0,49.051565,14.8853,2.247721,74.9036,-0.61,74.65,0.2403805166170229,-0.0216199661227976,0.2620004827398206,HOLD,"[0.6602843999862671, 0.6242257356643677, -13.236007690429688]"
2025-01-13,24.0,48.519589,14.15629,2.114983,74.8264,-4.53,74.45,0.1673888515724542,0.0161817974162527,0.1512070541562014,HOLD,"[0.6065071821212769, 0.60333251953125, -14.925959587097168]"
2025-01-14,34.0,50.29039,13.245887,2.107353,74.7986,-3.17,75.06,0.1569550530153236,0.0443364485360669,0.1126186044792567,BUY,"[0.22102035582065582, 0.5112816095352173, -9.302346229553223]"
2025-01-15,36.0,53.376517,13.037067,2.103382,74.8346,-1.16,76.15,0.2339433298949131,0.0822578248078361,0.151685505087077,BUY,"[0.04031895846128464, 0.39336341619491577, -7.3006272315979]"
2025-01-16,40.0,60.764831,14.40967,2.22566,74.923,6.12,79.22,0.5364960444883735,0.1731054687439436,0.3633905757444299,BUY,"[-0.10176151245832443, 0.29239997267723083, -8.030478477478027]"
2025-01-17,41.0,62.986944,15.68423,2.451455,75.0456,7.86,80.3,0.853578700714138,0.3092001151379825,0.5443785855761555,BUY,"[0.05399315431714058, 0.36220574378967285, -6.940112113952637]"
2025-01-21,42.0,65.336102,17.016104,2.845879,75.1476,8.58,81.5,1.188004386352958,0.4849609693809776,0.7030434169719804,BUY,"[0.1768692433834076, 0.3510085940361023, -7.764277935028076]"
2025-01-22,45.0,68.478125,18.853912,3.192426,75.277,9.32,83.25,1.5760814404990242,0.7031850636045869,0.8728963768944373,BUY,"[0.18335409462451935, 0.47078242897987366, -6.994409084320068]"
2025-01-23,41.0,61.543667,19.242119,3.262766,75.3174,2.54,81.23,1.701029771348516,0.9027540051533728,0.7982757661951432,BUY,"[0.47733500599861145, 0.7298134565353394, -5.08890962600708]"
2025-01-24,38.0,56.791342,19.411191,3.292189,75.347,-0.77,79.68,1.6558920844488512,1.0533816210124685,0.6025104634363827,BUY,"[0.6246880888938904, 0.6496443748474121, -7.784811496734619]"
2025-01-27,32.0,46.654057,18.355576,3.240554,75.3362,-7.2,75.63,1.2785803116989598,1.098421359149767,0.1801589525491929,BUY,"[0.8111714720726013, 0.8701463937759399, -9.015767097473145]"
2025-01-28,22.0,44.299102,17.375363,3.221143,75.3124,-10.5,74.51,0.879050229781555,1.0545471332761247,-0.1754969034945697,HOLD,"[0.695743978023529, 0.6367294192314148, -15.487990379333496]"
2025-01-29,23.0,45.977203,16.368322,3.154062,75.3384,-7.48,75.15,0.6070645504470491,0.9650506167103096,-0.3579860662632604,BUY,"[0.371791809797287, 0.40091630816459656, -15.598661422729492]"
2025-01-30,40.0,57.889255,16.61215,3.080156,75.4572,1.32,80.73,0.8321804478294439,0.9384765829341364,-0.1062961351046924,BUY,"[-0.03805508464574814, 0.3855397403240204, -6.699129104614258]"
2025-01-31,41.0,58.455009,17.287898,2.967568,75.6772,7.17,81.05,1.0245968295640324,0.9557006322601156,0.0688961973039168,BUY,"[-0.035016827285289764, 0.579608142375946, -5.568420886993408]"
2025-02-03,40.0,56.267131,17.147834,2.763194,75.8696,7.62,80.19,1.0950700992470956,0.9835745256575116,0.1114955735895839,BUY,"[0.33152350783348083, 0.39446067810058594, -6.8998260498046875]"
2025-02-04,39.0,55.538281,17.017775,2.707922,76.0644,6.33,79.91,1.1154685857595013,1.0099533376779095,0.1055152480815915,BUY,"[0.44160470366477966, 0.718867838382721, -7.597377300262451]"
2025-02-05,41.0,59.621962,17.262712,2.822558,76.3022,1.5,81.94,1.2806757351836495,1.0640978171790576,0.2165779180045919,BUY,"[0.3393037021160126, 0.37394464015960693, -7.108100891113281]"
2025-02-06,43.0,61.300198,17.710979,2.96784,76.4962,2.2,82.83,1.4665140917389294,1.144581072091032,0.3219330196478973,BUY,"[0.14988170564174652, 0.6281309723854065, -5.818249225616455]"
2025-02-07,42.0,59.796554,18.233391,3.040846,76.69,2.67,82.33,1.5555154925530277,1.2267679561834313,0.3287475363695962,BUY,"[0.16073036193847656, 0.6231421232223511, -4.298667907714844]"
2025-02-10,44.0,62.56543,18.992685,3.037111,76.8904,4.78,83.73,1.7192001741874066,1.3252543997842263,0.3939457744031802,BUY,"[0.3216947019100189, 0.5774158835411072, -4.674341201782227]"
2025-02-11,43.0,61.04542,19.697744,2.91768,77.1018,1.61,83.26,1.7903582561039286,1.418275171048167,0.3720830850557617,BUY,"[0.45818376541137695, 0.5569252371788025, -5.783751010894775]"
2025-02-12,40.0,55.796249,19.311845,2.717805,77.3018,-1.52,81.57,1.6908911321798,1.4727983632744936,0.2180927689053065,BUY,"[0.5142139196395874, 0.6202561855316162, -6.601741313934326]"
2025-02-13,43.0,59.623683,19.377009,2.629318,77.4902,1.18,83.3,1.7316973327272225,1.5245781571650394,0.2071191755621828,BUY,"[0.20970571041107178, 0.5518368482589722, -5.720690727233887]"
2025-02-14,41.0,57.907035,19.437519,2.651461,77.575,-1.17,82.75,1.700058916258925,1.5596743089838168,0.1403846072751082,BUY,"[0.23393209278583527, 0.755616307258606, -4.696242332458496]"
2025-02-18,47.0,65.381671,20.317113,2.937004,77.7398,3.99,86.58,1.9614241578720024,1.640024278761454,0.3213998791105485,BUY,"[0.3301861584186554, 0.500607967376709, -5.668514251708984]"
2025-02-19,49.0,67.152948,21.752722,3.271378,77.9278,7.47,87.66,2.2299989294164675,1.7580192088924569,0.4719797205240106,BUY,"[0.2926485240459442, 0.8485730290412903, -3.1498241424560547]"
2025-02-20,50.0,69.284239,23.429261,3.656713,78.204,6.87,89.02,2.5234976942513896,1.911114905964244,0.612382788287146,BUY,"[0.6951556205749512, 0.7772093415260315, -3.0444822311401367]"
2025-02-21,45.0,60.031111,23.804425,3.776111,78.3926,3.95,86.02,2.4853728211818837,2.0259664890077715,0.4594063321741117,BUY,"[0.721921980381012, 0.8260143399238586, -4.723072528839111]"
2025-02-24,40.0,53.1962,23.256958,3.753094,78.5104,-3.74,83.34,2.213390395601138,2.063451270326445,0.1499391252746931,HOLD,"[0.8419132828712463, 0.7653520703315735, -6.283130168914795]"
2025-02-25,35.0,46.68207,21.741799,3.480494,78.6136,-8.41,80.29,1.731770086150675,1.997115033491291,-0.265344947340616,BUY,"[0.8965510129928589, 0.9643715620040894, -10.283370018005371]"
2025-02-26,37.0,48.913037,20.334865,3.001489,78.675,-8.67,81.3,1.4152667657988758,1.880745379952808,-0.4654786141539324,HOLD,"[0.7336942553520203, 0.6623545289039612, -9.656625747680664]"
2025-02-27,22.0,39.80308,19.937065,2.879863,78.6868,-11.45,76.17,0.7419349134913631,1.6529832866605194,-0.9110483731691564,BUY,"[0.49380072951316833, 0.659660279750824, -14.751687049865723]"
2025-02-28,23.0,41.115387,19.720708,3.13612,78.6964,-7.92,76.74,0.2514106997063834,1.3726687692696924,-1.121258069563309,BUY,"[0.3149600625038147, 0.39048007130622864, -16.389225006103516]"
2025-03-03,22.0,39.551499,19.021717,3.452258,78.6554,-5.62,75.78,-0.212349418782793,1.0556651316591952,-1.2680145504419882,BUY,"[0.3908241093158722, 0.44415462017059326, -15.552037239074707]"
2025-03-04,23.0,41.207203,18.494029,3.654192,78.628,-5.98,76.44,-0.520624731914964,0.7404071589443635,-1.2610318908593274,BUY,"[0.1460334062576294, 0.5181922316551208, -15.160192489624023]"
2025-03-05,35.0,47.348867,17.692657,3.684035,78.705,3.78,79.05,-0.5480128008143623,0.4827231669926183,-1.0307359678069807,BUY,"[0.06890035420656204, 0.45848003029823303, -11.261382102966309]"
2025-03-06,23.0,42.610367,16.948526,3.876714,78.8102,-0.35,76.47,-0.7690374952419319,0.2323710345457083,-1.0014085297876405,BUY,"[0.4229147434234619, 0.6714653372764587, -12.554009437561035]"
2025-03-07,35.0,48.115504,15.932324,3.911831,78.9546,4.26,79.01,-0.7308199481952329,0.03973283799752,-0.770552786192753,BUY,"[0.2956506907939911, 0.5196689367294312, -11.48062801361084]"
2025-03-10,19.0,39.715996,15.79441,4.251801,78.9548,-3.44,73.81,-1.1073638079370485,-0.1896864911893936,-0.9176773167476546,HOLD,"[0.8286693096160889, 0.2993640601634979, -15.61983585357666]"
2025-03-11,18.0,39.080198,15.738136,4.52477,78.9454,-7.2,73.36,-1.4256547087839238,-0.4368801347082996,-0.988774574075624,HOLD,"[0.4003197252750397, 0.31336596608161926, -17.324167251586914]"
2025-03-12,24.0,45.788606,14.843379,4.561785,78.9974,0.16,76.59,-1.401117326726251,-0.6297275731118899,-0.7713897536143608,HOLD,"[0.25373896956443787, -0.04343018680810928, -17.082324981689453]"
2025-03-13,21.0,43.656804,14.214981,4.677191,79.0346,-4.75,75.26,-1.4720225991685112,-0.7981865783232143,-0.6738360208452969,BUY,"[0.3214576542377472, 0.5050007700920105, -13.964493751525879]"
2025-03-14,27.0,50.108096,13.406352,4.619508,79.1654,6.61,78.69,-1.2371817431142205,-0.8859856112814156,-0.3511961318328048,BUY,"[0.013667769730091095, 0.3415287733078003, -16.430896759033203]"
2025-03-17,26.0,49.432798,12.676295,4.574863,79.287,6.75,78.31,-1.0694040724948906,-0.9226693035241108,-0.1467347689707798,HOLD,"[0.4453134834766388, 0.09455017000436783, -13.487893104553223]"
2025-03-18,24.0,47.701994,11.898447,4.293535,79.3854,1.01,77.36,-1.0015508653430487,-0.9384456158878984,-0.0631052494551503,BUY,"[0.49045491218566895, 0.523930013179779, -14.599430084228516]"
2025-03-19,25.0,48.859004,11.524534,3.812849,79.4418,3.55,77.93,-0.8915057501631907,-0.9290576427429568,0.0375518925797662,HOLD,"[0.447290301322937, -0.056629396975040436, -17.084394454956055]"
2025-03-20,24.0,48.095088,11.006792,2.962167,79.4332,-1.45,77.55,-0.8254418479548917,-0.908334483785344,0.0828926358304522,BUY,"[0.45255178213119507, 0.5814235210418701, -13.327038764953613]"
2025-03-21,21.0,44.70758,10.38384,2.346409,79.3996,-3.15,75.84,-0.9006858921169965,-0.9068047654516744,0.006118873334678,HOLD,"[0.2609236538410187, 0.192469522356987, -16.799510955810547]"
2025-03-24,26.0,49.521648,10.373801,1.9292,79.4186,0.81,77.99,-0.7778635803680345,-0.8810165284349466,0.1031529480669121,HOLD,"[0.21923595666885376, -0.026346681639552116, -15.982293128967285]"
2025-03-25,26.0,48.840065,10.36448,1.799307,79.479,-0.33,77.67,-0.6982977967428639,-0.8444727820965301,0.1461749853536662,BUY,"[0.18145734071731567, 0.3828887343406677, -13.250569343566895]"
2025-03-26,24.0,45.607925,9.846984,1.522326,79.5128,-1.82,76.14,-0.7500534044810507,-0.8255889065734343,0.0755355020923835,HOLD,"[0.2505801022052765, 0.11207111924886703, -15.699440956115723]"
2025-03-27,22.0,42.947236,9.655002,1.578639,79.5078,-1.36,74.81,-0.8881519187547866,-0.8381015090097048,-0.0500504097450817,HOLD,"[0.31107139587402344, 0.06311380118131638, -15.743573188781738]"
2025-03-28,17.0,38.904216,10.198067,1.817224,79.437,-6.9,72.61,-1.1617259465332808,-0.90282639651442,-0.2588995500188606,HOLD,"[0.5286569595336914, 0.34585151076316833, -16.343259811401367]"
2025-03-31,18.0,39.156568,11.234286,1.996243,79.3066,-6.4,72.7,-1.355646042980439,-0.993390325807624,-0.362255717172815,HOLD,"[0.3247765302658081, 0.04042568430304527, -18.433889389038086]"
2025-04-01,18.0,39.544983,12.196489,2.1406,79.1572,-4.35,72.83,-1.4817584143509492,-1.091063943516289,-0.3906944708346602,HOLD,"[0.3967224359512329, -0.03666799142956734, -17.38927459716797]"
2025-04-02,20.0,42.436942,12.180468,2.097357,79.0028,-1.38,73.78,-1.487894791756915,-1.170430113164414,-0.3174646785925008,BUY,"[0.02157936617732048, 0.04517735540866852, -16.250980377197266]"
2025-04-03,9.0,28.983263,13.842556,3.131982,78.6422,-10.18,65.22,-2.1585954316988136,-1.368063176871294,-0.7905322548275195,HOLD,"[0.7088350653648376, 0.21860146522521973, -18.236770629882812]"
2025-04-04,7.0,23.289196,16.498238,4.627387,78.1994,-18.72,59.09,-3.148476611918838,-1.724145863880803,-1.424330748038035,HOLD,"[1.0730468034744263, 0.17560355365276337, -21.2052001953125]"
2025-04-07,12.0,30.725131,17.893011,5.336068,77.8498,-14.6,62.2,-3.640053301698984,-2.1073273514444395,-1.5327259502545445,HOLD,"[1.015295386314392, -0.04620737582445145, -21.27589225769043]"
2025-04-08,9.0,28.837588,19.18473,6.099984,77.5422,-18.34,60.25,-4.139265200510209,-2.513714921257593,-1.6255502792526155,HOLD,"[0.7498196959495544, -0.20726418495178223, -19.725059509277344]"
2025-04-09,25.0,47.997949,18.640187,6.061864,77.4742,9.03,71.11,-3.6168897343308544,-2.734349883872246,-0.8825398504586084,BUY,"[-0.41364404559135437, 0.13192333281040192, -17.903488159179688]"
2025-04-10,18.0,42.666548,18.13454,6.191663,77.2998,12.42,66.43,-3.5397364234002424,-2.895427191777846,-0.6443092316223966,HOLD,"[0.11468826234340668, 0.01256830058991909, -13.747743606567383]"
2025-04-11,19.0,44.165035,17.665011,6.106,77.0348,8.49,67.48,-3.3551891122905038,-2.9873795758803774,-0.3678095364101259,BUY,"[-0.028142854571342468, 0.21608906984329224, -17.611705780029297]"
2025-04-14,23.0,44.72806,16.81711,5.977903,76.771,12.63,67.86,-3.1420515994576306,-3.018313980595828,-0.1237376188618024,HOLD,"[0.6510944962501526, 0.08200324326753616, -18.005861282348633]"
2025-04-15,19.0,45.629251,15.976072,5.843554,76.536,-3.75,68.44,-2.89298885750074,-2.9932489559768105,0.1002600984760708,HOLD,"[1.2039140462875366, 0.5117790102958679, -15.742348670959473]"
