date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-24,23.0,44.135679,30.300199,29.002571,645.536,3.05,614.1,,
2024-09-25,23.0,45.728115,29.238307,27.481894,644.082,0.57,617.5,,
2024-09-26,45.0,65.003072,28.912704,27.591602,643.846,14.63,678.5,,
2024-09-27,50.0,69.729116,29.359527,30.832734,644.318,18.2,703.4,,
2024-09-30,46.0,64.146801,29.893981,32.191305,644.246,12.12,688.5,,
2024-10-01,41.0,56.182208,28.956778,31.734159,643.694,7.53,664.0,,
2024-10-02,40.0,57.209763,28.086518,32.928351,643.874,-1.49,668.4,,
2024-10-03,38.0,54.878867,26.923843,33.733477,644.042,-6.03,661.0,,
2024-10-04,38.0,55.118375,25.991001,34.276245,644.018,-3.86,661.9,,
2024-10-07,42.0,59.700169,25.612704,35.695106,644.52,2.38,679.8,HOLD,"[-9.61959171295166, -9.788414001464844, -10.438401222229004]"
2024-10-08,37.0,51.947218,23.788206,35.628181,644.582,-1.93,655.5,BUY,"[-10.75082778930664, -10.37829303741455, -11.087557792663574]"
2024-10-09,37.0,52.194846,22.130903,35.232903,644.65,-0.7,656.4,HOLD,"[-11.115957260131836, -11.141353607177734, -12.472389221191406]"
2024-10-10,36.0,51.748128,20.591979,34.618077,644.91,-1.04,655.0,BUY,"[-10.955573081970215, -10.944032669067383, -12.371975898742676]"
2024-10-11,36.0,51.108819,19.314514,33.859729,645.362,-3.93,653.1,BUY,"[-10.999411582946777, -10.91494083404541, -12.178995132446289]"
2024-10-14,25.0,46.163048,18.756085,32.655549,645.632,-2.7,637.8,HOLD,"[-10.94565486907959, -11.101906776428223, -12.233458518981934]"
2024-10-15,23.0,42.567755,18.677093,31.863606,645.702,-4.72,625.4,BUY,"[-11.3171968460083, -11.010923385620117, -13.236004829406738]"
2024-10-16,18.0,36.836966,19.971741,31.381878,645.122,-8.03,602.4,BUY,"[-11.817922592163086, -11.12405776977539, -13.754829406738281]"
2024-10-17,20.0,39.506278,21.000208,31.632775,644.644,-6.69,609.4,BUY,"[-11.147090911865234, -11.126697540283203, -13.063332557678223]"
2024-10-18,23.0,44.487044,21.033627,29.630653,644.388,-2.29,623.2,BUY,"[-10.975980758666992, -10.839751243591309, -12.455999374389648]"
2024-10-21,24.0,41.253272,21.244203,28.401343,643.906,-2.3,611.0,BUY,"[-11.075215339660645, -11.07242488861084, -12.65730094909668]"
2024-10-22,26.0,43.079437,21.453316,28.289696,643.542,2.26,616.0,BUY,"[-11.225005149841309, -11.035513877868652, -12.847064018249512]"
2024-10-23,22.0,42.398152,21.651136,28.514633,642.93,0.69,613.6,HOLD,"[-11.076888084411621, -11.297773361206055, -12.732879638671875]"
2024-10-24,25.0,47.973062,20.821207,27.929677,642.384,0.88,628.7,BUY,"[-10.954300880432129, -10.82496452331543, -11.715685844421387]"
2024-10-25,24.0,47.416665,20.050559,24.833153,641.762,2.62,627.0,HOLD,"[-10.673394203186035, -10.910832405090332, -11.32878589630127]"
2024-10-28,25.0,49.315862,18.755198,22.471877,640.914,2.61,632.1,HOLD,"[-10.623108863830566, -10.62752914428711, -11.389122009277344]"
