date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-10-01,72.0,62.638833,17.360168,6.20087,471.9774,1.42,496.38,,
2024-10-02,72.0,61.445726,16.627159,6.034283,473.0544,0.88,495.57,,
2024-10-03,71.0,60.526062,16.13144,5.156052,474.3048,0.27,494.97,,
2024-10-04,72.0,63.223229,15.977446,3.746335,475.6668,0.79,497.7,,
2024-10-07,69.0,53.921544,15.484809,3.50389,476.7292,-1.02,491.3,,
2024-10-08,71.0,59.672192,15.02736,3.350709,477.8444,0.3,497.06,,
2024-10-09,73.0,62.219865,15.156506,3.323064,478.8944,1.01,499.95,,
2024-10-10,71.0,59.51582,15.276428,3.358555,479.5806,0.06,498.02,,
2024-10-11,73.0,63.290316,15.763848,3.708171,480.3776,2.23,502.26,,
2024-10-14,74.0,66.754338,17.072851,4.444242,481.2704,1.93,506.66,SELL,"[-20.128889083862305, -19.961206436157227, -17.54715347290039]"
2024-10-15,74.0,67.186316,18.428925,4.989918,482.575,1.46,507.23,SELL,"[-20.105213165283203, -19.69925308227539, -16.969335556030273]"
2024-10-16,76.0,71.904078,20.327741,6.339208,483.8904,3.22,514.07,SELL,"[-18.181976318359375, -17.90640640258789, -13.804004669189453]"
2024-10-17,75.0,71.403016,22.259365,7.238537,485.1688,2.29,513.76,SELL,"[-19.24758529663086, -18.993844985961914, -15.804443359375]"
2024-10-18,75.0,73.08409,24.151971,8.148226,486.384,1.91,516.34,SELL,"[-18.503211975097656, -17.954437255859375, -14.278510093688965]"
2024-10-21,74.0,70.774377,25.995924,8.825115,487.5486,1.53,515.01,SELL,"[-19.62044906616211, -19.1134090423584, -16.296316146850586]"
2024-10-22,74.0,67.34491,26.674464,8.749668,488.6952,-0.2,513.02,SELL,"[-21.265056610107422, -20.744396209716797, -18.85332679748535]"
2024-10-23,74.0,67.94178,27.32808,8.695388,489.7826,-0.01,513.73,SELL,"[-21.381860733032227, -20.70429801940918, -18.989870071411133]"
2024-10-24,72.0,62.548735,27.224871,8.455557,490.7918,-1.11,510.62,BUY,"[-23.604564666748047, -23.303077697753906, -23.486133575439453]"
2024-10-25,71.0,57.404887,26.136677,8.175272,491.5648,-1.49,507.36,BUY,"[-25.401609420776367, -25.065143585205078, -27.142250061035156]"
2024-10-28,71.0,58.366279,25.126211,7.851981,492.3514,-0.94,508.21,BUY,"[-25.222179412841797, -25.151283264160156, -26.914609909057617]"
2024-10-29,70.0,55.313501,24.297051,7.603544,493.1374,-1.45,506.28,BUY,"[-25.893115997314453, -25.674945831298828, -29.653593063354492]"
2024-10-30,73.0,63.259129,24.462675,7.449586,494.0288,0.6,513.69,BUY,"[-23.85416030883789, -23.382875442504883, -23.450197219848633]"
2024-10-31,67.0,46.36523,26.029529,7.158707,494.6606,-1.53,499.59,HOLD,"[-26.660564422607422, -26.79327964782715, -34.93197250366211]"
2024-11-01,72.0,54.282298,27.353555,6.865422,495.4458,-0.03,508.08,BUY,"[-26.189552307128906, -25.758657455444336, -29.28154945373535]"
2024-11-04,71.0,51.854989,28.583007,5.851547,496.2286,-0.14,505.58,BUY,"[-26.141876220703125, -26.11493682861328, -31.925168991088867]"
