date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,59.0,47.024095,25.904809,1.077283,89.6554,-1.12,89.31,0.0,0.0,0.0,,
2024-11-05,67.0,49.179709,24.892207,0.983146,89.6622,-0.91,89.68,0.0295156695156748,0.0059031339031349,0.0236125356125398,,
2024-11-06,68.0,51.642394,25.543567,0.886963,89.6884,0.96,90.11,0.0866061152101025,0.0220437301645284,0.064562385045574,,
2024-11-07,56.0,41.596332,24.977197,0.957901,89.6842,-2.16,88.12,-0.0283983061427903,0.0119553229030647,-0.040353629045855,,
2024-11-08,55.0,39.915507,24.333048,1.092176,89.6748,-1.78,87.72,-0.1500866897538344,-0.0204530796283151,-0.1296336101255193,,
2024-11-11,56.0,43.307693,23.824534,1.168676,89.6686,-1.57,88.27,-0.1998415579419372,-0.0563307752910395,-0.1435107826508977,,
2024-11-12,56.0,43.495083,23.352343,1.231679,89.6554,-2.01,88.3,-0.2341527332124826,-0.0918951668753281,-0.1422575663371544,,
2024-11-13,55.0,41.856158,22.592184,1.309809,89.5942,-0.17,87.97,-0.284691087248234,-0.1304543509499093,-0.1542367362983246,,
2024-11-14,50.0,33.693952,21.526074,1.563432,89.5264,-1.96,86.0,-0.4781933180483548,-0.2000021443695984,-0.2781911736787564,,
2024-11-15,54.0,42.992043,21.180582,1.52071,89.4792,-0.84,87.53,-0.5022968513755188,-0.2604610857707825,-0.2418357656047363,BUY,"[2.677349090576172, 3.286818504333496, 2.6001689434051514]"
2024-11-18,53.0,43.327678,19.862078,1.531024,89.4186,-0.8,87.59,-0.5106708806047777,-0.3105030447375816,-0.2001678358671961,BUY,"[2.5748918056488037, 3.0887656211853027, 2.7003743648529053]"
2024-11-19,46.0,34.017527,20.158719,1.737459,89.2988,-3.38,85.0,-0.7180218051507126,-0.3920067968202078,-0.3260150083305048,BUY,"[2.103001117706299, 2.6674416065216064, -0.9316530227661133]"
2024-11-20,44.0,31.511774,20.880382,1.876436,89.174,-2.2,84.11,-0.9432907995368396,-0.5022635973635342,-0.4410272021733054,BUY,"[2.048006534576416, 2.307260036468506, -1.0408698320388794]"
2024-11-21,44.0,35.153109,21.42222,1.970703,89.0688,-3.19,84.74,-1.0587774384486297,-0.6135663655805532,-0.4452110728680762,BUY,"[1.7835583686828613, 2.373054265975952, -0.3955123722553253]"
2024-11-22,48.0,42.795615,20.972967,1.946045,88.993,-1.58,86.21,-1.019927626331679,-0.6948386177307784,-0.3250890086009006,BUY,"[2.4447412490844727, 3.01161789894104, 0.7925527095794678]"
2024-11-25,47.0,41.160846,20.159481,1.917644,88.9058,0.88,85.75,-1.0145617891878371,-0.7587832520221902,-0.2557785371656471,BUY,"[2.257657527923584, 2.9025719165802, 1.10081148147583]"
2024-11-26,47.0,40.904778,19.404102,1.882417,88.8468,1.87,85.68,-1.0043798736000582,-0.8079025763377639,-0.1964772972622943,BUY,"[2.1322693824768066, 2.9396369457244873, 1.6621648073196411]"
2024-11-27,49.0,44.063459,18.431739,1.77899,88.8096,1.81,86.27,-0.937891137756651,-0.8339002886215414,-0.1039908491351095,BUY,"[2.3038525581359863, 3.0109808444976807, 2.6778604984283447]"
2024-11-29,49.0,45.499125,17.804763,1.734348,88.751,0.38,86.54,-0.8535721437168604,-0.8378346596406052,-0.0157374840762551,BUY,"[2.525244951248169, 2.996126413345337, 1.9021650552749634]"
2024-12-02,49.0,45.499129,17.134878,1.61365,88.695,0.92,86.54,-0.777782935922545,-0.8258243148969933,0.0480413789744482,BUY,"[2.7456209659576416, 3.2064261436462402, 1.9396780729293823]"
2024-12-03,47.0,41.684793,16.856566,1.553636,88.612,0.04,85.71,-0.7757511299763138,-0.8158096779128574,0.0400585479365436,BUY,"[2.388749599456787, 2.987018346786499, 2.1003730297088623]"
2024-12-04,46.0,39.988427,16.936882,1.449543,88.5232,-1.1,85.32,-0.7964299016141325,-0.8119337226531125,0.0155038210389799,BUY,"[2.2627382278442383, 2.848341464996338, 1.6361021995544434]"
2024-12-05,44.0,35.30673,17.669336,1.320161,88.4182,-2.77,84.14,-0.8976861483205312,-0.8290842077865963,-0.0686019405339348,BUY,"[2.0913150310516357, 2.4905827045440674, 0.37212368845939636]"
