date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,24.0,26.103951,39.337481,3.03472,111.957,-1.79,101.87,0.0,0.0,0.0,,
2024-11-05,24.0,25.634991,41.313385,3.205125,111.6646,-3.03,101.65,-0.0175498575498522,-0.0035099715099704,-0.0140398860398818,,
2024-11-06,22.0,23.716211,41.817421,3.310905,111.3492,-1.55,100.73,-0.1044900609572891,-0.0237059893994342,-0.0807840715578549,,
2024-11-07,23.0,26.547899,42.285454,3.371652,111.0246,-0.7,101.17,-0.1363151199123393,-0.0462278155020152,-0.0900873044103241,,
2024-11-08,27.0,36.624313,41.477394,3.27714,110.7338,1.03,102.92,-0.0200946946501829,-0.0410011913316487,0.0209064966814658,,
2024-11-11,23.0,30.909698,40.936113,3.249408,110.3794,-0.91,100.73,-0.1035106612436465,-0.0535030853140483,-0.0500075759295981,,
2024-11-12,21.0,26.532685,41.104767,3.12865,110.0194,-2.13,98.58,-0.3391954138596844,-0.1106415510231755,-0.2285538628365089,,
2024-11-13,22.0,26.382977,41.442712,3.007927,109.6734,-2.64,98.5,-0.5263650016487702,-0.1937862411482945,-0.3325787605004757,,
2024-11-14,22.0,26.105382,41.756518,2.852592,109.2688,-4.43,98.36,-0.6781774706955019,-0.290664487057736,-0.3875129836377659,,
2024-11-15,21.0,22.390353,42.941411,2.886325,108.8382,-4.39,96.31,-0.9529231091715076,-0.4231162114804903,-0.5298068976910173,BUY,"[0.06614053249359131, 0.47013357281684875, -7.735352993011475]"
2024-11-18,21.0,23.814248,44.041669,2.995567,108.4612,-2.05,96.56,-1.1373771209783854,-0.5659683933800694,-0.571408727598316,BUY,"[0.24414321780204773, 0.3116331994533539, -7.444762229919434]"
2024-11-19,21.0,23.776665,44.840816,2.998936,108.0854,-1.99,96.54,-1.270526251357225,-0.7068799649755007,-0.5636462863817244,BUY,"[0.05871918424963951, 0.25166428089141846, -7.871240615844727]"
2024-11-20,24.0,29.192052,44.528168,2.88095,107.74,-0.94,97.44,-1.288571567165647,-0.8232182854135299,-0.4653532817521171,BUY,"[-0.09570769965648651, 0.41205841302871704, -9.081750869750977]"
2024-11-21,29.0,41.273822,43.081757,2.65135,107.4322,3.69,99.86,-1.0949766257942883,-0.8775699534896817,-0.2174066723046066,BUY,"[-0.16361013054847717, 0.20195579528808594, -8.661798477172852]"
2024-11-22,28.0,39.247365,40.938106,2.550728,107.0986,2.71,99.18,-0.985066325565498,-0.899069227904845,-0.0859970976606528,BUY,"[-0.14392291009426117, 0.3626357316970825, -8.322443008422852]"
2024-11-25,31.0,47.352841,38.947573,2.401817,106.7626,4.79,101.16,-0.7297797219610089,-0.8652113267160779,0.135431604755069,BUY,"[-0.19138295948505402, 0.2140568047761917, -9.259688377380371]"
2024-11-26,32.0,49.053454,37.060716,2.28883,106.4292,4.29,101.62,-0.4847571154679002,-0.7891204844664425,0.3043633689985422,BUY,"[0.061308473348617554, 0.5580466389656067, -8.24428653717041]"
2024-11-27,34.0,54.243824,34.512903,2.137897,106.1188,3.26,103.12,-0.1676054196061471,-0.6648174714943834,0.4972120518882362,BUY,"[0.21641646325588226, 0.965493381023407, -7.834183216094971]"
2024-11-29,30.0,48.945351,32.083312,2.106302,105.807,2.48,101.64,-0.0352773910009887,-0.5389094553957045,0.5036320643947158,BUY,"[-0.022666815668344498, 0.7344260215759277, -8.060072898864746]"
2024-12-02,28.0,45.606574,30.36221,2.067177,105.4758,-0.54,100.61,-0.0133648057291395,-0.4338005254623915,0.4204357197332519,BUY,"[0.2023102045059204, 0.7691758871078491, -8.11161994934082]"
2024-12-03,30.0,50.02622,28.389788,2.066241,105.2002,0.23,101.85,0.1028728585804685,-0.3264658486538195,0.4293387072342881,BUY,"[-0.008477514609694481, 0.6323597431182861, -7.990030288696289]"
2024-12-04,28.0,48.387233,26.558254,2.055436,104.9284,-1.7,101.37,0.1544793151355179,-0.230276815895952,0.38475613103147,BUY,"[0.11294439435005188, 0.9411900043487549, -8.148303985595703]"
2024-12-05,31.0,55.515544,25.648427,2.19843,104.7048,1.88,103.55,0.367054409984803,-0.110810570719801,0.477864980704604,BUY,"[-0.19361139833927155, 0.8172949552536011, -7.817699432373047]"
2024-12-06,30.0,53.826236,24.803587,2.285293,104.5048,2.46,103.09,0.492723736034975,0.0098962906311541,0.4828274454038208,BUY,"[-0.0264273714274168, 0.9319004416465759, -7.699012756347656]"
2024-12-09,31.0,56.019451,24.589754,2.345112,104.3068,1.9,103.79,0.6414079802505341,0.1361986285550301,0.505209351695504,BUY,"[-0.13352558016777039, 0.8563098311424255, -7.988205909729004]"
2024-12-10,27.0,46.532395,23.311111,2.348939,104.0556,-0.36,101.0,0.5280248897612978,0.2145638807962837,0.313461008965014,BUY,"[-0.024376921355724335, 0.6727677583694458, -8.4025239944458]"
2024-12-11,25.0,43.017388,22.011613,2.322119,103.7558,-3.67,99.75,0.3334595067311454,0.238343005983256,0.0951165007478893,BUY,"[0.04732305184006691, 0.446641743183136, -8.481228828430176]"
2024-12-12,28.0,48.085294,20.906955,2.294794,103.5392,-1.78,101.25,0.2968802521436231,0.2500504552153295,0.0468297969282935,BUY,"[-0.10513080656528473, 0.5097689628601074, -7.7016754150390625]"
2024-12-13,29.0,50.457844,19.881201,2.269794,103.3756,-1.72,102.0,0.3246671010890765,0.2649737843900789,0.0596933166989975,BUY,"[-0.022733082994818687, 0.9146708250045776, -7.464843273162842]"
2024-12-16,26.0,44.759655,18.637035,2.053533,103.1814,-0.93,100.06,0.1879796795951875,0.2495749634311007,-0.0615952838359131,BUY,"[-0.26048415899276733, 0.44792309403419495, -8.07697582244873]"
2024-12-17,27.0,44.759655,17.539815,1.823368,103.0108,0.31,100.06,0.0787461763781038,0.2154092060205013,-0.1366630296423974,BUY,"[-0.19371066987514496, 0.04389238730072975, -8.575316429138184]"
2024-12-18,24.0,40.102932,17.122002,1.638692,102.8072,-2.87,98.34,-0.1449409976680868,0.1433391652827837,-0.2882801629508706,BUY,"[-0.21745337545871735, 0.12923769652843475, -9.040277481079102]"
2024-12-19,27.0,44.378326,16.968921,1.463776,102.5922,-2.43,99.52,-0.2244116782151763,0.0697889965831917,-0.2942006747983681,BUY,"[-0.347723126411438, 0.049238305538892746, -8.876537322998047]"
2024-12-20,24.0,40.49999,16.826774,1.590633,102.3652,-2.01,98.05,-0.4013825911427773,-0.0244453209620021,-0.3769372701807752,BUY,"[-0.3334020972251892, 0.07553301006555557, -8.848319053649902]"
2024-12-23,27.0,45.136586,16.694781,1.579965,102.158,-0.69,99.37,-0.4301617099191759,-0.1055885987534368,-0.324573111165739,BUY,"[-0.2675383687019348, 0.1803690493106842, -8.230361938476562]"
2024-12-24,27.0,45.414213,16.529993,1.61805,101.9532,1.13,99.45,-0.4414255584201356,-0.1727559906867766,-0.268669567733359,BUY,"[-0.4281829297542572, 0.04328378662467003, -8.496410369873047]"
2024-12-26,28.0,46.932494,16.114281,1.628064,101.72,0.35,99.87,-0.4117157467508576,-0.2205479418995928,-0.1911678048512647,BUY,"[-0.3571578562259674, 0.24403192102909088, -8.313783645629883]"
2024-12-27,28.0,46.370287,15.37097,1.562845,101.5056,1.68,99.7,-0.3973081649957066,-0.2558999865188156,-0.141408178476891,BUY,"[-0.5317560434341431, 0.08435948938131332, -8.111132621765137]"
2024-12-30,25.0,42.119285,15.376042,1.627344,101.278,-1.01,98.37,-0.487589311312945,-0.3022378514776415,-0.1853514598353035,BUY,"[-0.3548556864261627, 0.07084687799215317, -8.776947975158691]"
2024-12-31,27.0,46.525391,15.380752,1.643899,101.0936,0.03,99.48,-0.4642188212616389,-0.334634045434441,-0.1295847758271979,BUY,"[-0.40197116136550903, 0.1358296126127243, -8.11469841003418]"
2025-01-02,26.0,45.484024,14.627255,1.637283,100.9502,-0.7,99.17,-0.4653477100104908,-0.360776778349651,-0.1045709316608398,BUY,"[-0.39766693115234375, 0.16033253073692322, -8.232479095458984]"
2025-01-03,26.0,45.378171,14.040544,1.64077,100.8002,-0.56,99.14,-0.4633222215942254,-0.3812858669985658,-0.0820363545956595,BUY,"[-0.4130397140979767, 0.23797611892223358, -7.901525497436523]"
2025-01-06,27.0,47.902546,13.104206,1.457803,100.667,1.37,99.72,-0.4101874688852547,-0.3870661873759036,-0.023121281509351,BUY,"[-0.4707554280757904, 0.040386419743299484, -8.036698341369629]"
2025-01-07,37.0,53.130998,14.023712,1.304341,100.5698,1.55,101.02,-0.2601794721031609,-0.3616888443213552,0.1015093722181942,BUY,"[-0.3107300102710724, 0.18919633328914642, -6.024106979370117]"
2025-01-08,28.0,48.421037,13.338922,0.963267,100.4872,0.69,99.85,-0.2330201644009406,-0.3359551083372722,0.1029349439363316,BUY,"[-0.510796070098877, 0.1963806450366974, -7.679685592651367]"
2025-01-10,27.0,46.161106,12.703045,0.925251,100.3876,0.11,99.25,-0.2569492519345004,-0.3201539370567179,0.0632046851222174,BUY,"[-0.4279090166091919, 0.05589025840163231, -8.058693885803223]"
2025-01-13,38.0,52.976039,12.585063,0.968333,100.3326,1.26,100.98,-0.1347632179287927,-0.2830757932311329,0.1483125753023401,BUY,"[-0.334077388048172, -0.029133902862668037, -5.382568836212158]"
2025-01-14,31.0,47.950862,12.677274,0.903587,100.229,-1.36,99.65,-0.143594522135956,-0.2551795390120975,0.1115850168761415,BUY,"[-0.3231540620326996, 0.2448074221611023, -6.8986287117004395]"
2025-01-15,32.0,49.652387,12.762899,0.735786,100.1844,0.24,100.09,-0.1137775152083975,-0.2268991342513575,0.11312161904296,BUY,"[-0.34363651275634766, 0.16652119159698486, -6.899892330169678]"
2025-01-16,37.0,51.995363,12.896847,0.770084,100.1608,1.46,100.7,-0.0404590338240211,-0.1896111141658902,0.1491520803418691,BUY,"[-0.2830991744995117, 0.02113584242761135, -5.6553778648376465]"
2025-01-17,25.0,42.327845,12.524658,0.842476,100.0818,-3.03,97.92,-0.2043210893340017,-0.1925531091995125,-0.0117679801344891,BUY,"[-0.3612838387489319, 0.1277400553226471, -8.230828285217285]"
2025-01-21,22.0,37.758875,13.382016,1.076597,99.9736,-3.42,96.24,-0.4643916902112153,-0.2469208254018531,-0.2174708648093621,HOLD,"[-0.26504865288734436, -0.2897845208644867, -9.462206840515137]"
2025-01-22,22.0,36.350351,14.461523,1.343341,99.8726,-4.41,95.68,-0.7075308596710386,-0.3390428322556902,-0.3684880274153483,HOLD,"[-0.22733546793460846, -0.27749499678611755, -9.262957572937012]"
2025-01-23,23.0,40.41131,15.329629,1.435797,99.7818,-4.04,96.63,-0.8141780054339023,-0.4340698668913326,-0.3801081385425696,BUY,"[-0.2193867564201355, -0.0690879300236702, -8.883079528808594]"
2025-01-24,22.0,37.483402,16.135727,1.629988,99.6344,-2.42,95.55,-0.9746089258414656,-0.5421776786813592,-0.4324312471601064,BUY,"[-0.3781537413597107, -0.17052477598190308, -9.58686351776123]"
2025-01-27,26.0,46.688606,15.628692,1.638777,99.5786,1.77,97.94,-0.8985407418206961,-0.6134502913092266,-0.2850904505114695,BUY,"[-0.520663857460022, -0.060961734503507614, -8.72822380065918]"
2025-01-28,25.0,45.218538,14.963664,1.648127,99.556,1.85,97.45,-0.8677917003021918,-0.6643185731078196,-0.2034731271943721,BUY,"[-0.6008198261260986, -0.058580122888088226, -9.081138610839844]"
2025-01-29,26.0,48.194123,14.140105,1.635196,99.5516,1.71,98.28,-0.7676003805905225,-0.6849749346043602,-0.0826254459861622,BUY,"[-0.7091898322105408, 0.015330702066421509, -8.82474136352539]"
2025-01-30,27.0,50.530062,13.173194,1.635018,99.5634,3.56,98.95,-0.6269080317498492,-0.6733615540334581,0.0464535222836088,BUY,"[-0.7954363226890564, -0.023596329614520073, -8.109549522399902]"
2025-01-31,26.0,50.058416,12.682256,1.625261,99.6136,0.9,98.82,-0.5199051028091617,-0.6426702637885988,0.1227651609794371,BUY,"[-0.5327436327934265, 0.33491867780685425, -7.755523681640625]"
2025-02-03,36.0,53.542821,11.796079,1.640695,99.6782,2.4,99.79,-0.3527671373677918,-0.5846896385044374,0.2319225011366456,BUY,"[-0.4870063364505768, 0.0776844173669815, -5.775237083435059]"
2025-02-04,15.0,31.476963,14.895762,2.378903,99.5622,-7.67,90.74,-0.939735772564802,-0.6556988653165104,-0.2840369072482916,BUY,"[0.03653467074036598, 0.48396724462509155, -9.627176284790039]"
2025-02-05,13.0,29.907609,17.77404,2.998668,99.4068,-9.38,89.67,-1.4742583696842215,-0.8194107661900527,-0.654847603494169,BUY,"[0.16771729290485382, 0.24670754373073578, -10.351409912109375]"
2025-02-06,12.0,27.659161,20.477087,3.571314,99.1706,-10.9,88.05,-2.005473984297069,-1.056623409811456,-0.948850574485613,BUY,"[0.24390222132205963, 0.4040203392505646, -9.437238693237305]"
2025-02-07,12.0,26.634215,23.126391,4.100881,98.9326,-12.54,87.28,-2.460238651195468,-1.3373464580882584,-1.1228921931072091,BUY,"[0.11795356869697571, 0.4188726544380188, -10.20020580291748]"
2025-02-10,12.0,25.472474,25.746854,4.594012,98.6374,-4.78,86.4,-2.858698277384306,-1.641616821947468,-1.217081455436838,BUY,"[-0.07355022430419922, 0.08705620467662811, -10.229912757873535]"
2025-02-11,14.0,26.025294,28.28044,4.856738,98.3358,-3.49,86.54,-3.127135895881139,-1.9387206367342025,-1.1884152591469368,HOLD,"[-0.06163482740521431, -0.28226587176322937, -11.011098861694336]"
2025-02-12,14.0,24.794466,30.656026,5.151338,97.9868,-2.7,85.67,-3.37121510244269,-2.2252195298759,-1.14599557256679,BUY,"[-0.4029734134674072, -0.3046838045120239, -11.449674606323242]"
2025-02-13,14.0,23.103789,33.104268,5.414257,97.6424,-3.28,84.42,-3.6237419440229104,-2.5049240127053025,-1.118817931317608,HOLD,"[-0.3346750736236572, -0.3969819247722626, -11.840730667114258]"
2025-02-14,14.0,21.336443,35.727276,5.628715,97.2904,-3.92,83.01,-3.8927730370669735,-2.782493817577637,-1.1102792194893367,BUY,"[-0.11480516195297241, -0.027849245816469193, -10.304133415222168]"
2025-02-18,16.0,22.602603,38.305988,5.855567,96.9192,-3.76,83.29,-4.036854115240331,-3.033365877110176,-1.003488238130155,HOLD,"[-0.15231899917125702, -0.2544470429420471, -10.055733680725098]"
2025-02-19,20.0,32.286089,39.203791,5.930855,96.6038,-0.08,85.6,-3.919460611071429,-3.210584823902427,-0.7088757871690019,BUY,"[-0.3753546178340912, -0.05678359419107437, -10.217633247375488]"
2025-02-20,23.0,39.612459,38.770233,5.904358,96.2864,3.86,87.68,-3.616893499701817,-3.291846559062305,-0.325046940639512,BUY,"[-0.5679840445518494, -0.23714056611061096, -10.32465934753418]"
2025-02-21,25.0,45.199569,37.410216,5.77276,96.0146,7.82,89.5,-3.1934361503415687,-3.272164477318158,0.0787283269765892,BUY,"[-0.7792180776596069, -0.3009774386882782, -10.402748107910156]"
2025-02-24,28.0,50.040665,35.113851,5.668559,95.7642,9.58,91.27,-2.684078555824655,-3.1545472930194576,0.4704687371948024,BUY,"[-0.7946206331253052, -0.1778319776058197, -10.140625]"
