date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,37.0,40.660006,18.115257,7.052435,420.6874,-3.8,410.37,0.0,0.0,0.0,,
2024-11-04,35.0,39.365184,17.985992,7.133807,420.5208,-5.44,408.46,-0.1523646723646834,-0.0304729344729366,-0.1218917378917467,,
2024-11-05,36.0,42.464401,17.258192,7.280258,420.4802,-4.87,411.46,-0.0306861145607513,-0.0305155704904996,-0.0001705440702517,,
2024-11-06,40.0,50.400185,16.153247,7.26629,420.607,3.4,420.18,0.7606083237706116,0.1277092083617226,0.632899115408889,,
2024-11-07,49.0,54.471752,15.824869,7.316287,420.9036,3.67,425.43,1.7907038714801615,0.4603081409854104,1.3303957304947511,,
2024-11-08,47.0,51.943977,15.519946,7.280493,421.092,3.45,422.54,2.346810595509225,0.8376086318901734,1.509201963619052,,
2024-11-11,37.0,48.170556,14.485096,7.294621,421.1094,1.59,418.01,2.3943949451558524,1.1489658945433092,1.2454290506125432,,
2024-11-12,47.0,52.305404,13.524165,7.30663,421.3812,0.68,423.03,2.804845419150695,1.4801417994647863,1.3247036196859083,,
2024-11-13,55.0,54.013279,13.230771,7.297273,421.7072,-0.05,425.2,3.267564788586469,1.8376263972891231,1.429938391297346,,
2024-11-14,56.0,55.354134,12.958335,7.332951,422.0772,1.03,426.89,3.727671818331487,2.2156354814975963,1.5120363368338907,HOLD,"[33.71792221069336, 33.695430755615234, 20.01519012451172]"
2024-11-15,43.0,45.338197,12.245709,7.437503,422.3432,-0.72,415.0,3.0971839149313496,2.391945168184347,0.7052387467470025,HOLD,"[32.55827713012695, 31.81369972229004, 5.695284843444824]"
2024-11-18,43.0,46.010657,11.782872,7.519128,422.544,-1.72,415.76,2.6285431482796184,2.439264764203401,0.1892783840762169,HOLD,"[31.770662307739258, 31.337871551513672, 4.511910915374756]"
2024-11-19,44.0,47.855903,11.426582,7.41132,422.6158,-1.74,417.79,2.393356870723096,2.4300831855073404,-0.0367263147842442,BUY,"[32.23043441772461, 32.33230209350586, 5.8437957763671875]"
2024-11-20,42.0,45.940084,11.23099,7.440655,422.4648,-2.67,415.49,1.998343612002543,2.343735270806381,-0.3453916588038379,HOLD,"[33.093143463134766, 32.8559684753418, -1.3361234664916992]"
2024-11-21,41.0,43.789548,10.636554,7.535606,422.1822,-0.51,412.87,1.457084294064714,2.1664050754580475,-0.7093207813933335,HOLD,"[32.32060241699219, 31.78771209716797, -1.5605204105377197]"
2024-11-22,43.0,47.927616,10.084577,7.298747,421.9104,0.3,417.0,1.3458744661184028,2.0022989535901186,-0.6564244874717158,HOLD,"[31.876493453979492, 31.34147834777832, 2.017765522003174]"
2024-11-25,37.0,49.657447,9.770463,7.096092,421.6594,0.24,418.79,1.3861986810764506,1.879078899087385,-0.4928802180109344,BUY,"[32.166839599609375, 32.25480651855469, 0.34578976035118103]"
2024-11-26,49.0,57.476343,10.576064,6.773047,421.5162,3.01,427.99,2.1358977249202558,1.9304426642539592,0.2054550606662961,BUY,"[33.27085494995117, 33.38810729980469, 13.951614379882812]"
2024-11-27,47.0,52.686957,11.324121,6.071819,421.3598,2.45,422.99,2.3000676569924963,2.0043676628016667,0.2956999941908296,HOLD,"[32.90493392944336, 32.77146530151367, 7.012543201446533]"
2024-11-29,47.0,53.082719,11.231658,5.540999,421.0552,1.55,423.46,2.439972103408081,2.09148855092295,0.3484835524851313,BUY,"[32.4808464050293, 32.49017333984375, 10.800285339355469]"
2024-12-02,51.0,58.993119,12.165664,5.764187,420.9694,2.91,430.98,3.121663939164989,2.2975236285713576,0.8241403105936316,BUY,"[32.30073928833008, 32.945404052734375, 19.628969192504883]"
2024-12-03,51.0,59.155229,13.032955,5.623506,420.9232,0.75,431.2,3.637728323998317,2.5655645676567493,1.0721637563415678,BUY,"[33.37967300415039, 33.55172348022461, 18.50406837463379]"
2024-12-04,54.0,63.543389,14.59685,6.21304,421.0882,3.41,437.42,4.496779014975971,2.951807457120594,1.5449715578553769,BUY,"[32.99427795410156, 33.70287322998047, 27.295682907104492]"
2024-12-05,56.0,66.758688,16.489629,7.585298,421.2984,4.52,442.62,5.533393898049894,3.468124745306454,2.0652691527434404,BUY,"[33.04868698120117, 33.05946731567383, 31.340595245361328]"
2024-12-06,56.0,67.325655,18.367607,8.753649,421.5436,2.92,443.57,6.358281411591577,4.046156078563479,2.312125333028097,BUY,"[32.98566818237305, 33.24260711669922, 30.754470825195312]"
2024-12-09,57.0,68.803443,20.297607,9.918462,421.9036,3.44,446.02,7.127543350559108,4.662433532962606,2.4651098175965025,SELL,"[33.11501693725586, 33.553443908691406, 35.418426513671875]"
