date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,75.0,58.147635,37.625713,4.142365,107.2602,-2.65,116.14,0.0,0.0,0.0,,
2024-11-05,78.0,62.069537,36.188563,3.692827,107.5698,-0.09,117.81,0.1332193732193758,0.0266438746438751,0.1065754985755006,,
2024-11-06,91.0,79.23516,38.133749,4.607737,108.158,13.11,131.49,1.3273574078132526,0.2867865812777507,1.040570826535502,,
2024-11-07,88.0,71.469303,39.939993,4.675181,108.6828,9.92,128.44,2.004504216594057,0.630330108341012,1.3741741082530452,,
2024-11-08,89.0,72.506389,41.464867,4.885953,109.2214,11.53,129.53,2.5991405571876385,1.0240921981103377,1.575048359077301,,
2024-11-11,92.0,75.952316,43.246533,5.490613,109.8196,13.34,133.52,3.353694492898427,1.4900126570679553,1.863681835830472,,
2024-11-12,89.0,72.965626,44.900936,5.721005,110.4804,0.62,132.31,3.810126271670129,1.95403537998839,1.8560908916817385,,
2024-11-13,90.0,73.384796,46.522086,6.201361,111.1326,3.36,132.76,4.160206710631783,2.395269646117069,1.7649370645147142,,
2024-11-14,88.0,72.497068,47.764007,6.554353,111.79,2.24,132.43,4.360751707417919,2.788366058377239,1.5723856490406796,,
2024-11-15,89.0,74.159825,48.917219,6.980938,112.5394,0.4,134.06,4.59820716977265,3.1503342806563213,1.4478728891163284,SELL,"[6.726383209228516, 6.745221138000488, 11.001532554626465]"
2024-11-18,88.0,73.339581,50.128952,7.220938,113.2514,1.11,133.78,4.709510370537501,3.4621694986325577,1.2473408719049432,SELL,"[6.404597759246826, 6.616617679595947, 10.315134048461914]"
2024-11-19,86.0,68.830356,50.386547,7.289385,113.9638,-0.39,132.24,4.620195096258826,3.693774618157812,0.926420478101014,SELL,"[6.672854900360107, 6.4993438720703125, 9.37885856628418]"
2024-11-20,85.0,67.240273,50.137091,7.264992,114.657,-0.56,131.69,4.4536923019235815,3.845758154910966,0.6079341470126156,SELL,"[6.4860992431640625, 6.308234214782715, 9.65734577178955]"
2024-11-21,88.0,71.495213,50.264527,7.383733,115.424,0.69,134.99,4.535734929701675,3.983753509869108,0.5519814198325674,SELL,"[6.8508687019348145, 6.986453533172607, 10.862442016601562]"
2024-11-22,88.0,70.597514,50.400997,7.257682,116.1528,0.68,134.69,4.524392430898729,4.091881294075032,0.4325111368236971,SELL,"[6.815490245819092, 7.157649993896484, 10.522544860839844]"
2024-11-25,86.0,67.465389,50.634991,7.133012,116.8242,1.07,133.66,4.381780587894738,4.149861152838973,0.2319194350557651,SELL,"[6.599485397338867, 6.406788349151611, 9.86274528503418]"
2024-11-26,83.0,60.757663,48.321666,6.876254,117.453,-0.31,131.28,4.030255291092232,4.125939980489625,-0.0956846893973937,SELL,"[6.487056732177734, 6.082076549530029, 8.291340827941895]"
2024-11-27,82.0,60.566926,46.351706,6.441228,118.0912,-2.8,131.21,3.703330852958175,4.041418154983336,-0.3380873020251611,SELL,"[6.2948455810546875, 6.262490272521973, 8.826241493225098]"
2024-11-29,82.0,61.314293,44.608312,5.719973,118.7088,-2.29,131.61,3.436899103959007,3.9205143447784714,-0.4836152408194634,SELL,"[6.501004695892334, 6.815842151641846, 9.140762329101562]"
2024-12-02,81.0,59.551834,42.718383,4.856706,119.28,-1.97,131.03,3.142721533045602,3.764955782431897,-0.6222342493862949,SELL,"[6.634658336639404, 6.8762431144714355, 8.375495910644531]"
2024-12-03,81.0,57.733824,40.587858,3.525927,119.8394,-0.64,130.44,2.829360512722616,3.577836728490041,-0.7484762157674254,SELL,"[6.627411842346191, 6.696402549743652, 8.350479125976562]"
2024-12-04,83.0,56.321547,38.438817,1.693283,120.3876,-0.93,129.99,2.515708881270456,3.365411159046124,-0.8497022777756684,SELL,"[6.645669937133789, 7.056163787841797, 8.286043167114258]"
2024-12-05,82.0,57.149365,36.693082,1.731655,120.9472,-0.98,130.32,2.267626162824797,3.145854159801859,-0.8782279969770617,SELL,"[6.642086505889893, 7.0102620124816895, 8.577791213989258]"
2024-12-06,81.0,55.9046,34.949316,1.602312,121.4544,-0.82,129.96,2.0186995183123884,2.920423231503965,-0.9017237131915764,SELL,"[6.6292219161987305, 6.985213279724121, 7.872036457061768]"
2024-12-09,78.0,51.292574,32.894132,1.688801,121.9438,-1.43,128.58,1.69058092767375,2.6744547707379223,-0.9838738430641722,BUY,"[6.360428333282471, 6.63576078414917, 6.293059825897217]"
