date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,51.0,38.381153,17.710312,2.176127,82.3438,-1.5,78.37,0.0,0.0,0.0,,
2024-11-05,52.0,39.599706,18.421551,2.265929,82.304,-0.56,78.65,0.0223361823361614,0.0044672364672322,0.0178689458689291,,
2024-11-06,43.0,30.133809,20.659324,2.747442,82.2022,-5.97,74.52,-0.2898771925552807,-0.0544016493372703,-0.2354755432180104,,
2024-11-07,44.0,30.566596,22.647629,3.1185,82.1064,-3.53,74.62,-0.5232081592929632,-0.1481629513284089,-0.3750452079645542,,
2024-11-08,49.0,39.976398,22.935193,3.23614,82.0452,-1.79,76.97,-0.5125904476567484,-0.2210484505940768,-0.2915419970626716,,
2024-11-11,47.0,37.507239,23.202216,3.367217,81.9532,-3.48,75.91,-0.5829886456892694,-0.2934364896131153,-0.2895521560761541,,
2024-11-12,44.0,33.988105,24.219036,3.58003,81.8398,-0.35,74.26,-0.7631241154219737,-0.387374014774887,-0.3757501006470866,,
2024-11-13,45.0,33.946529,25.163226,3.646918,81.703,-0.51,74.24,-0.8971547641821189,-0.4893301646563334,-0.4078245995257855,,
2024-11-14,46.0,38.181284,25.216609,3.622949,81.602,-2.2,75.28,-0.9089775828496728,-0.5732596482950013,-0.3357179345546713,,
2024-11-15,48.0,42.281286,24.91688,3.45815,81.5294,0.58,76.35,-0.8225256307191273,-0.6231128447798265,-0.1994127859393007,HOLD,"[3.745962619781494, 3.702134370803833, 2.251042127609253]"
2024-11-18,49.0,42.434991,24.638561,3.266135,81.4334,2.87,76.39,-0.742228225138561,-0.6469359208515735,-0.0952923042869875,BUY,"[3.6693270206451416, 3.6818737983703613, 1.936286211013794]"
2024-11-19,50.0,45.148487,23.91081,3.032111,81.329,3.83,77.08,-0.6158159760354067,-0.6407119318883401,0.0248959558529333,HOLD,"[3.6328542232513428, 3.6031670570373535, 3.578376054763794]"
2024-11-20,50.0,44.493798,23.104788,2.582538,81.198,2.13,76.88,-0.5257116102020518,-0.6177118675510825,0.0920002573490307,HOLD,"[3.497697114944458, 3.389930248260498, 3.0332424640655518]"
2024-11-21,51.0,46.498966,22.348677,2.288592,81.076,1.32,77.36,-0.4108354077946785,-0.5763365755998018,0.1655011678051232,HOLD,"[3.710528612136841, 3.6268529891967773, 2.7800183296203613]"
2024-11-22,49.0,41.882367,22.008804,2.09935,80.903,-0.51,76.0,-0.4246408286117713,-0.5459974262021957,0.1213565975904243,HOLD,"[3.5331451892852783, 3.531970977783203, 2.1219544410705566]"
2024-11-25,52.0,44.66652,21.693207,1.620192,80.743,-0.57,76.64,-0.379563698726443,-0.5127106807070452,0.1331469819806021,HOLD,"[3.7024693489074707, 3.691316604614258, 2.860414981842041]"
2024-11-26,54.0,48.214775,20.805478,1.498167,80.5934,0.79,77.49,-0.2721150790302289,-0.464591560371682,0.192476481341453,BUY,"[3.733551025390625, 3.762254238128662, 3.4780614376068115]"
