date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,70.0,59.415485,18.449275,24.619634,712.6696,0.93,756.1,0.0,0.0,0.0,,
2024-11-04,70.0,59.124114,18.278731,23.51484,714.0452,-0.52,755.51,-0.047065527065456,-0.0094131054130912,-0.0376524216523648,,
2024-11-05,72.0,61.982638,18.420556,23.675903,715.5546,1.35,763.91,0.586681601610394,0.1098058359916058,0.4768757656187881,,
2024-11-06,74.0,66.830077,19.291046,24.809651,717.2444,3.2,780.21,2.3768061998424628,0.5632059087617772,1.8136002910806852,,
2024-11-07,76.0,70.841346,20.810168,26.988343,719.4984,5.35,796.54,5.054917424100268,1.4615482118294754,3.593369212270792,,
2024-11-08,75.0,70.003915,22.253452,28.176481,721.5496,5.23,795.04,6.975888697531786,2.5644163089699377,4.411472388561849,,
2024-11-11,76.0,72.436785,23.893228,29.026417,723.6314,5.44,805.44,9.231055493553184,3.897744145886588,5.333311347666598,,
2024-11-12,78.0,75.347811,25.877455,29.727871,726.515,5.04,819.5,12.01432229392833,5.521059775494937,6.493262518433394,,
2024-11-13,79.0,77.357151,28.185256,29.959414,729.5308,4.26,830.47,14.933128792297111,7.4034735788553725,7.529655213441739,,
2024-11-14,81.0,78.523962,30.429279,27.442655,732.6036,5.31,837.26,17.591417316178195,9.441062326319935,8.150354989858258,SELL,"[3.4613606929779053, 5.146401882171631, 9.14029598236084]"
2024-11-15,78.0,70.825167,31.264766,29.2001,735.7674,2.3,823.96,18.41268134695485,11.23538613044692,7.177295216507934,BUY,"[1.3649694919586182, 2.9190478324890137, 2.40576171875]"
2024-11-18,82.0,75.344653,32.557813,32.692766,739.2,3.36,847.05,20.68822802238424,13.125954508834385,7.562273513549854,SELL,"[2.8606300354003906, 4.557863235473633, 7.829030513763428]"
2024-11-19,84.0,79.023012,34.395586,37.640619,743.154,4.92,871.32,24.171368830514098,15.335037373170326,8.836331457343771,SELL,"[1.2052804231643677, 3.477281093597412, 5.761180877685547]"
2024-11-20,85.0,80.629748,36.41505,41.911255,747.2016,5.56,883.85,27.62441226901444,17.79291235233915,9.831499916675291,SELL,"[0.5925098657608032, 2.7157368659973145, 3.0683746337890625]"
2024-11-21,88.0,82.224699,38.580583,46.4033,751.4152,8.92,897.48,31.10227351263711,20.454784584398745,10.647488928238367,BUY,"[0.09696562588214874, 2.030681610107422, 1.340561032295227]"
2024-11-22,87.0,82.260478,40.591435,49.510496,755.4298,5.99,897.79,33.4973810566421,23.063303878847417,10.43407717779468,BUY,"[-2.0476198196411133, 0.0038991286419332027, -2.699352979660034]"
2024-11-25,81.0,67.143336,40.401102,48.973018,758.8116,-0.66,865.59,32.42349231127105,24.935341565332145,7.488150745938903,BUY,"[-3.3773107528686523, -3.1684718132019043, -10.52635669708252]"
2024-11-26,82.0,68.50049,40.224364,48.785438,762.1254,-1.27,872.6,31.77183027644992,26.3026393075557,5.4691909688942175,BUY,"[-4.486937999725342, -2.4069290161132812, -8.865198135375977]"
2024-11-27,82.0,69.420273,39.519606,47.758747,765.8628,-2.24,877.34,31.27731637137424,27.29757472031941,3.9797416510548302,BUY,"[-3.7554075717926025, -1.2359824180603027, -7.536622047424316]"
2024-11-29,83.0,71.227903,39.238807,46.580554,769.5126,-1.22,886.81,31.28888164379225,28.09583610501398,3.1930455387782715,BUY,"[-1.132978916168213, -0.6495305299758911, -7.146262168884277]"
2024-12-02,85.0,73.197198,39.279403,45.064468,773.4468,3.71,897.74,31.813283134788666,28.83932551096892,2.973957623819743,BUY,"[-1.0306692123413086, -0.09408930689096451, -4.169290065765381]"
2024-12-03,85.0,73.974701,39.327761,42.536968,777.3828,3.39,902.17,32.21498478004469,29.514457364784075,2.7005274152606127,BUY,"[-0.6509299874305725, 1.2996149063110352, -2.425938129425049]"
2024-12-04,85.0,75.510002,39.767282,40.07951,781.1588,3.84,911.06,32.871759746783255,30.18591784118391,2.685841905599343,BUY,"[-0.8466387391090393, 0.7559374570846558, -1.322455644607544]"
2024-12-05,86.0,76.646529,40.471531,38.43804,785.085,3.5,917.87,33.55496794298267,30.859727861543664,2.6952400814390067,BUY,"[-2.3092007637023926, -0.29009759426116943, -3.4736506938934326]"
2024-12-06,87.0,79.219316,41.333618,38.499293,789.5512,4.12,934.74,35.05360720846102,31.698503730927136,3.3551034775338806,BUY,"[-1.9296766519546509, 0.9234494566917419, -0.5481196641921997]"
2024-12-09,83.0,69.004084,41.362339,35.724999,793.678,1.28,913.69,34.14908119470795,32.188619223683304,1.9604619710246425,BUY,"[-2.088534355163574, -2.020456314086914, -7.970695972442627]"
2024-12-10,82.0,68.849654,41.389009,32.896102,797.7596,0.25,913.35,33.02412114182789,32.355719607312224,0.6684015345156666,BUY,"[-2.3531334400177, -0.8950055241584778, -7.0326995849609375]"
2024-12-11,85.0,73.250642,41.966587,31.99805,802.3682,2.04,936.56,33.61790889365318,32.608157464580415,1.0097514290727645,BUY,"[-1.531138300895691, 1.0188121795654297, -2.5200114250183105]"
2024-12-12,83.0,68.319706,42.464199,30.428996,806.6574,-0.98,925.55,32.82172654658007,32.65087128098035,0.1708552655997195,BUY,"[-0.8493038415908813, -0.02426845207810402, -5.575555801391602]"
2024-12-13,82.0,65.441349,41.909615,28.394521,810.8988,0.57,918.87,31.291022695778224,32.37890156393992,-1.087878868161695,BUY,"[-0.684581995010376, -0.6146484017372131, -5.3911356925964355]"
2024-12-16,83.0,65.952425,41.516643,23.802961,814.9264,0.85,921.08,29.911456742064274,31.88541259956479,-1.973955857500517,BUY,"[-1.1926040649414062, 1.0153529644012451, -4.45855188369751]"
2024-12-17,83.0,65.038468,40.908606,20.842367,819.2706,-1.86,919.13,28.33417336816217,31.175164753284268,-2.8409913851220985,BUY,"[-0.7430101037025452, 1.1639512777328491, -4.242920398712158]"
2024-12-18,78.0,53.032765,38.380448,19.799471,822.6264,-3.89,889.55,24.41585535877266,29.823302874381948,-5.407447515609288,HOLD,"[-0.1834608018398285, -1.2039165496826172, -6.581718444824219]"
