date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,22.0,35.87241,21.491227,2.207257,81.994,-1.54,77.19,0.0,0.0,0.0,,
2024-11-05,24.0,39.974951,22.094775,2.268148,81.868,2.0,77.98,0.0630199430199525,0.0126039886039905,0.050415954415962,,
2024-11-06,19.0,32.447775,23.384755,2.452237,81.6686,-2.35,75.32,-0.1005173659304716,-0.0100202823029019,-0.0904970836275697,,
2024-11-07,20.0,35.402481,24.582593,2.546323,81.5312,-2.74,75.92,-0.1796361422770189,-0.0439434542977253,-0.1356926879792936,,
2024-11-08,20.0,35.291659,25.526681,2.600504,81.3836,-1.7,75.88,-0.2427675352291487,-0.08370827048401,-0.1590592647451387,,
2024-11-11,21.0,38.993679,25.674327,2.607992,81.2492,-1.77,76.6,-0.232026973750294,-0.1133720111372668,-0.1186549626130271,,
2024-11-12,22.0,39.305304,25.785539,2.557946,81.156,1.78,76.66,-0.2161814971072999,-0.1339339083312734,-0.0822475887760264,,
2024-11-13,22.0,38.807187,25.888806,2.308582,81.066,0.79,76.52,-0.2124714342433407,-0.1496414135136869,-0.0628300207296537,,
2024-11-14,22.0,35.869905,26.404446,2.075433,80.963,-0.26,75.68,-0.2741519099568563,-0.1745435128023208,-0.0996083971545355,,
2024-11-15,24.0,41.438877,26.237773,1.761621,80.8836,0.08,76.66,-0.2411761925248896,-0.1878700487468346,-0.053306143778055,BUY,"[3.4598405361175537, 3.551605701446533, -2.8566136360168457]"
2024-11-18,22.0,35.450994,26.783879,1.637594,80.7916,-2.31,74.89,-0.3537886510323176,-0.2210537692039312,-0.1327348818283864,HOLD,"[3.212675094604492, 3.0514473915100098, -6.584839344024658]"
2024-11-19,21.0,32.638849,27.585513,1.525469,80.708,-3.41,73.91,-0.5161626438682703,-0.280075544136799,-0.2360870997314712,HOLD,"[3.303408145904541, 3.0533885955810547, -8.301570892333984]"
2024-11-20,21.0,31.145615,28.702814,1.554305,80.6072,-3.07,73.36,-0.681371183624421,-0.3603346720343234,-0.3210365115900975,HOLD,"[3.3806283473968506, 3.0137534141540527, -9.045575141906738]"
2024-11-21,24.0,40.430711,28.214542,1.48985,80.5412,-2.03,75.1,-0.6642397411698369,-0.4211156858614261,-0.2431240553084107,BUY,"[3.327457904815674, 3.394240617752075, -3.8486649990081787]"
2024-11-22,28.0,50.024231,26.426094,1.405322,80.509,3.35,77.4,-0.4597722037348291,-0.4288469894361068,-0.0309252142987223,HOLD,"[3.439626693725586, 3.257582902908325, 0.365337997674942]"
2024-11-25,30.0,56.171493,25.544662,1.43825,80.4982,7.24,79.26,-0.1459612019981762,-0.3722698319485207,0.2263086299503445,HOLD,"[3.465392589569092, 3.009647846221924, 2.117753267288208]"
