date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-30,70.0,70.609678,26.230332,168.184013,3795.6002,0.83,4212.12,,
2024-10-01,65.0,58.859971,25.481185,165.162634,3799.432,-1.79,4100.99,,
2024-10-02,65.0,60.394057,24.605955,160.595295,3803.5482,-3.37,4125.01,,
2024-10-03,65.0,58.355982,23.632128,152.254384,3809.515,-3.39,4104.12,,
2024-10-04,68.0,63.642493,23.598502,139.110705,3820.0714,-0.58,4187.7,,
2024-10-07,68.0,61.834093,24.090301,128.459463,3829.448,1.68,4169.82,,
2024-10-08,70.0,65.567831,24.578638,120.59683,3839.009,2.62,4233.18,,
2024-10-09,73.0,68.63546,25.408768,111.595046,3850.4292,4.58,4292.0,,
2024-10-10,73.0,68.214871,26.206475,102.360676,3861.8934,2.4,4288.22,,
2024-10-11,73.0,67.801749,27.123048,95.718467,3874.3044,2.76,4284.73,SELL,"[15.153252601623535, 20.545820236206055, 34.518394470214844]"
2024-10-14,74.0,68.564856,27.97415,91.560169,3893.6962,1.52,4297.72,BUY,"[9.31056022644043, 23.92088508605957, 14.10070514678955]"
2024-10-15,74.0,69.173574,29.217468,91.226946,3912.183,0.37,4307.77,SELL,"[14.947243690490723, 15.218583106994629, 29.242069244384766]"
2024-10-16,75.0,70.951698,30.371977,89.695394,3930.5868,1.14,4337.27,BUY,"[14.41873836517334, 20.127079010009766, 13.38690185546875]"
2024-10-17,76.0,72.865791,31.762493,86.860403,3951.8898,2.01,4370.77,BUY,"[9.872576713562012, 20.228452682495117, 19.414154052734375]"
2024-10-18,76.0,69.911364,32.537014,84.024654,3971.0092,1.24,4350.82,BUY,"[4.08095121383667, 7.907072067260742, 5.262763023376465]"
2024-10-21,77.0,70.737586,32.997919,82.786331,3989.4226,1.3,4363.72,BUY,"[7.742007732391357, 11.741734504699707, 5.916099548339844]"
2024-10-22,77.0,71.651284,33.616639,86.088439,4008.1946,0.93,4377.78,BUY,"[6.355116844177246, 10.00732421875, 5.240140914916992]"
2024-10-23,73.0,62.040842,32.868955,84.972551,4023.0996,-1.32,4313.01,BUY,"[3.660336971282959, 5.141148567199707, -1.6936509609222412]"
2024-10-24,74.0,64.100028,32.174677,86.615767,4038.4226,-0.28,4338.73,BUY,"[5.108007907867432, 8.771599769592285, 7.00549840927124]"
2024-10-25,73.0,64.82626,31.959125,88.34208,4052.6856,-0.36,4347.82,BUY,"[2.3446333408355713, 7.728524208068848, 2.3488848209381104]"
2024-10-28,73.0,64.790563,31.445582,88.824058,4067.2602,-0.69,4347.59,HOLD,"[4.36721658706665, 4.20335054397583, 1.75777006149292]"
