date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-26,50.0,55.776227,19.879585,15.373446,261.3238,-6.13,281.48,,
2024-09-27,52.0,58.121112,19.390833,15.819094,260.18,-2.48,285.86,,
2024-09-30,49.0,54.305138,18.603676,15.914308,259.6902,-2.8,280.47,,
2024-10-01,47.0,50.762533,17.277261,15.945928,259.915,-3.95,275.15,,
2024-10-02,49.0,53.863636,16.04559,15.903003,260.1422,-0.44,280.24,,
2024-10-03,51.0,55.925146,15.410149,15.769346,260.6544,-0.74,283.75,,
2024-10-04,54.0,60.520309,15.375182,15.153459,261.4162,4.2,292.24,,
2024-10-07,51.0,56.577199,15.384998,13.924194,262.0324,4.3,286.97,,
2024-10-08,51.0,59.809228,15.616823,12.66582,262.7164,4.56,293.01,,
2024-10-09,55.0,62.464312,16.172307,11.921659,264.0102,5.14,298.34,BUY,"[2.80427885055542, 3.1209840774536133, 1.732556700706482]"
2024-10-10,62.0,69.265937,17.951346,12.725371,265.6694,7.76,314.92,SELL,"[1.150566577911377, 2.6874165534973145, 11.361071586608887]"
2024-10-11,64.0,71.067347,20.002289,13.677,267.5892,11.58,320.21,SELL,"[2.2869327068328857, 2.1509830951690674, 10.884773254394531]"
2024-10-14,58.0,63.701924,21.415808,13.83438,269.4418,5.98,310.52,SELL,"[3.841614007949829, 2.7644858360290527, 6.877898693084717]"
2024-10-15,54.0,58.198379,21.562051,13.271307,271.047,1.33,302.31,SELL,"[3.366863965988159, 3.4613583087921143, 6.083240985870361]"
2024-10-16,55.0,59.98073,21.524529,12.481943,272.538,-2.76,306.24,BUY,"[2.688743829727173, 3.6310551166534424, -1.6767323017120361]"
2024-10-17,56.0,61.810192,21.989959,12.505883,274.1314,-3.08,310.34,BUY,"[3.2563133239746094, 3.2897634506225586, -0.051494941115379333]"
2024-10-18,56.0,61.669497,22.432648,12.920693,275.524,-0.12,310.15,HOLD,"[4.454474449157715, 2.407470464706421, 0.9515911936759949]"
2024-10-21,56.0,61.195779,23.083549,13.291145,276.897,2.39,309.55,HOLD,"[4.382369041442871, 3.495150327682495, 0.8868740200996399]"
2024-10-22,55.0,60.330696,23.138296,13.454496,278.2804,0.74,308.51,HOLD,"[4.911235809326172, 4.031982421875, -6.1035542488098145]"
2024-10-23,51.0,53.163334,22.405451,13.249233,279.3042,-3.56,299.3,HOLD,"[5.187707424163818, 3.533754825592041, -13.439726829528809]"
2024-10-24,53.0,56.301692,21.724952,12.80111,280.2692,-1.83,304.47,HOLD,"[3.843390464782715, 3.7476158142089844, -5.797554969787598]"
2024-10-25,51.0,53.430519,20.349903,12.464823,281.0718,-2.88,300.62,HOLD,"[4.446489334106445, 3.957897424697876, -9.442346572875977]"
2024-10-28,51.0,53.890931,19.073073,11.688628,281.8474,-2.33,301.32,HOLD,"[4.532925605773926, 3.515119791030884, -4.662858963012695]"
2024-10-29,56.0,59.776478,18.787724,10.347441,282.7306,3.89,310.94,HOLD,"[3.967771530151367, 3.3759422302246094, -2.111011505126953]"
2024-10-30,55.0,56.937052,18.754878,9.082479,283.549,0.98,307.45,HOLD,"[4.718797206878662, 3.279738426208496, -6.082889080047607]"
2024-10-31,50.0,49.292899,17.632391,8.04237,284.0222,-1.25,296.87,HOLD,"[4.711132049560547, 3.4108471870422363, -4.707997798919678]"
2024-11-01,53.0,53.288921,16.590081,7.567903,284.732,0.6,303.13,BUY,"[3.7030153274536133, 4.007215976715088, -5.208570957183838]"
2024-11-04,50.0,50.385797,15.694793,6.544069,285.2788,-3.88,298.88,BUY,"[4.424365997314453, 4.487342834472656, -10.30245304107666]"
2024-11-05,55.0,55.705576,15.00094,5.909582,286.113,0.04,307.58,HOLD,"[3.441340684890747, 3.16992449760437, 1.3810511827468872]"
2024-11-06,60.0,61.97396,15.80452,6.359072,287.1164,7.79,320.0,SELL,"[2.622429847717285, 2.723599910736084, 4.924485206604004]"
2024-11-07,63.0,66.416347,17.140286,8.042671,288.448,9.12,330.78,SELL,"[2.9254744052886963, 3.1124370098114014, 7.180886745452881]"
2024-11-08,62.0,65.840049,18.380641,9.016434,289.6152,10.42,330.03,SELL,"[3.573618173599243, 2.9259884357452393, 6.788333415985107]"
2024-11-11,65.0,70.408232,20.129046,11.67208,290.918,11.33,342.42,SELL,"[1.820131540298462, 3.2241334915161133, 12.146218299865723]"
2024-11-12,65.0,70.775105,21.815545,13.600305,292.456,7.34,343.5,SELL,"[2.296076536178589, 3.17533540725708, 9.531020164489746]"
2024-11-13,65.0,72.276282,24.146416,15.585582,294.2272,5.17,347.88,SELL,"[2.185776710510254, 3.0367016792297363, 13.048123359680176]"
2024-11-14,63.0,69.199917,26.230014,16.876045,295.9858,4.34,344.36,SELL,"[3.1264288425445557, 2.6901514530181885, 9.116277694702148]"
2024-11-15,60.0,62.960596,26.721449,17.411191,297.793,-1.66,336.75,SELL,"[4.083435535430908, 3.4060935974121094, 4.401556968688965]"
2024-11-18,62.0,65.684039,27.433227,18.181833,299.7208,-0.15,342.97,SELL,"[3.6309750080108643, 3.827512264251709, 4.441617012023926]"
2024-11-19,66.0,69.668927,28.484577,19.477054,301.8318,1.56,353.29,HOLD,"[3.5832197666168213, 3.1785695552825928, 0.059019893407821655]"
2024-11-20,65.0,67.115195,29.616777,19.778452,303.7642,1.68,350.15,HOLD,"[4.822910308837891, 3.2714905738830566, 1.9780690670013428]"
2024-11-21,68.0,69.914094,30.927027,20.569561,305.7732,6.18,357.55,SELL,"[4.290228843688965, 3.455674886703491, 5.6498589515686035]"
2024-11-22,74.0,74.550991,32.60013,21.971589,308.0358,8.54,372.26,SELL,"[2.9319677352905273, 3.3340535163879395, 7.798129558563232]"
2024-11-25,70.0,67.970696,34.347715,22.118049,309.9532,2.94,363.68,HOLD,"[4.9033894538879395, 3.4972622394561768, 0.11633987724781036]"
2024-11-26,70.0,68.189199,35.748658,22.508149,311.8648,4.04,364.3,SELL,"[4.099984645843506, 3.3226158618927, 8.484251022338867]"
2024-11-27,70.0,56.918929,34.77573,21.674601,313.4742,-2.79,347.59,HOLD,"[4.653822898864746, 3.3088674545288086, -0.8887690901756287]"
2024-11-29,66.0,55.953413,33.872298,19.591679,314.846,-7.06,345.97,HOLD,"[4.716415882110596, 4.310730934143066, 0.04574698209762573]"
2024-12-02,66.0,56.361853,32.208263,17.684401,315.785,-4.64,346.8,HOLD,"[5.1509108543396, 3.6291310787200928, -11.333873748779297]"
2024-12-03,67.0,57.955316,30.663088,14.652304,316.9212,-3.94,349.95,HOLD,"[5.183308124542236, 3.3711745738983154, -4.9659857749938965]"
2024-12-04,73.0,64.290111,30.269684,12.475928,318.4336,4.77,364.16,HOLD,"[4.655485153198242, 4.445433616638184, 2.596402883529663]"
2024-12-05,73.0,64.565248,29.904379,11.263182,320.001,5.45,364.84,HOLD,"[5.63198709487915, 3.4296185970306396, -6.093490123748779]"
2024-12-06,73.0,64.91205,29.893847,10.850319,321.6844,5.44,365.65,SELL,"[4.4291911125183105, 3.80006742477417, 4.6390180587768555]"
2024-12-09,67.0,56.113609,28.879188,9.645197,323.0392,1.04,353.6,HOLD,"[5.140164852142334, 3.660642147064209, -7.802613258361816]"
2024-12-10,64.0,51.831511,27.249143,9.453608,324.3654,-4.77,346.78,BUY,"[4.494248867034912, 4.6370015144348145, -2.897045850753784]"
2024-12-11,70.0,59.694687,26.320598,9.417161,326.1218,-0.51,362.97,BUY,"[3.209709405899048, 3.9720003604888916, 3.0038399696350098]"
2024-12-12,70.0,60.772366,25.528332,9.61844,327.827,-0.04,365.5,HOLD,"[4.5894455909729, 3.1636385917663574, -2.2139904499053955]"
2024-12-13,71.0,61.86607,25.125826,9.697141,329.5124,4.08,368.02,SELL,"[4.503261089324951, 3.403587579727173, 5.881524085998535]"
2024-12-16,79.0,69.257829,25.893302,10.955159,331.4316,11.94,388.2,SELL,"[2.7863996028900146, 3.3765063285827637, 10.938470840454102]"
2024-12-17,72.0,61.735079,26.605959,10.977616,333.2206,3.71,376.42,HOLD,"[4.89212703704834, 4.013045310974121, -1.469197154045105]"
2024-12-18,60.0,48.591478,24.787318,11.145675,334.344,-4.47,349.18,HOLD,"[5.912864685058594, 3.6897788047790527, -5.242580413818359]"
2024-12-19,61.0,49.379712,23.09858,11.107671,335.3978,-4.62,351.03,BUY,"[3.7573535442352295, 5.413491249084473, -5.79036808013916]"
2024-12-20,66.0,54.002524,21.712019,11.098684,336.3452,-6.67,362.29,BUY,"[4.038479328155518, 5.381999492645264, -8.570866584777832]"
2024-12-23,65.0,53.632457,20.401063,10.769535,337.171,-3.96,361.5,HOLD,"[5.669005393981934, 3.6083219051361084, -7.6494903564453125]"
2024-12-24,67.0,55.41908,19.160399,10.816072,338.2764,4.76,365.79,HOLD,"[5.448244094848633, 3.1320881843566895, 0.2861749231815338]"
2024-12-26,66.0,55.04109,17.949416,10.832802,339.5318,4.0,365.08,HOLD,"[5.189640045166016, 4.646700859069824, -1.8294658660888672]"
2024-12-27,62.0,49.838555,17.803544,10.522284,340.5068,-2.01,354.99,HOLD,"[6.385646820068359, 4.46097993850708, -13.755448341369629]"
2024-12-30,60.0,47.137484,18.054538,10.315848,341.2862,-3.37,349.31,BUY,"[4.977939128875732, 5.402041435241699, -14.710875511169434]"
2024-12-31,57.0,43.911297,18.596177,10.669768,341.9264,-6.46,342.16,BUY,"[4.945641994476318, 6.244878768920898, -12.592426300048828]"
2025-01-02,59.0,46.754534,19.099129,10.811448,342.6822,-4.86,347.34,BUY,"[4.891749858856201, 4.904933929443359, -7.635613441467285]"
2025-01-03,64.0,52.590371,18.557253,10.776257,343.6924,1.14,359.02,HOLD,"[5.166753768920898, 3.7491226196289062, -7.533288478851318]"
2025-01-06,65.0,55.864157,17.235018,10.815528,345.0336,4.88,366.36,HOLD,"[4.7288641929626465, 3.8369481563568115, -1.8773674964904785]"
2025-01-07,62.0,52.447454,16.176338,10.739274,346.1428,5.19,359.93,HOLD,"[5.536311149597168, 3.9339547157287598, -3.6043267250061035]"
2025-01-08,62.0,51.805345,15.114298,10.649712,347.3048,3.28,358.72,HOLD,"[4.768314838409424, 4.570192813873291, -3.1363956928253174]"
2025-01-10,57.0,46.770234,14.778134,10.530363,348.2552,-2.84,348.84,BUY,"[5.143390655517578, 5.537611961364746, -11.862921714782715]"
2025-01-13,46.0,43.37871,15.12341,11.25888,348.8656,-6.8,341.46,BUY,"[5.296678066253662, 5.405645847320557, -18.49058723449707]"
2025-01-14,49.0,47.064471,14.74479,11.401463,349.6774,-3.3,348.04,BUY,"[4.576866626739502, 5.361880779266357, -11.969292640686035]"
2025-01-15,61.0,53.926668,14.143411,11.216138,350.9804,0.92,362.02,BUY,"[4.271876811981201, 4.334129810333252, -4.500888347625732]"
2025-01-16,63.0,54.544007,13.870959,8.934147,352.1854,4.17,363.38,HOLD,"[5.408517837524414, 4.10814094543457, -3.585761308670044]"
2025-01-17,61.0,51.085879,13.088055,7.702339,353.3478,4.55,357.0,HOLD,"[5.658994674682617, 4.030282020568848, -4.843080043792725]"
2025-01-21,64.0,55.561074,12.361073,7.889346,354.5244,5.28,366.41,BUY,"[3.80733323097229, 4.86147403717041, 1.2251251935958862]"
2025-01-22,67.0,60.362916,12.195137,9.050371,355.684,4.41,377.98,BUY,"[3.0931925773620605, 4.454700469970703, -0.1255657821893692]"
2025-01-23,66.0,60.193402,12.041054,9.999161,356.6224,3.94,377.7,SELL,"[3.4038891792297363, 4.125405788421631, 4.6985955238342285]"
2025-01-24,65.0,58.438703,12.377517,10.600023,357.5202,5.02,374.92,SELL,"[3.6590566635131836, 3.7592275142669678, 8.494523048400879]"
2025-01-27,64.0,57.676659,11.552856,10.978082,358.1468,2.0,373.75,SELL,"[3.6211140155792236, 4.4726080894470215, 5.5122456550598145]"
2025-01-28,74.0,70.179172,12.471468,15.302984,359.4504,8.12,408.68,SELL,"[1.2197151184082031, 4.572456359863281, 13.120864868164062]"
2025-01-29,68.0,63.468118,13.324465,17.006217,360.4342,5.13,397.07,HOLD,"[4.561135292053223, 3.489712715148926, -2.583547592163086]"
2025-01-30,68.0,63.355723,14.116533,18.076703,361.4844,5.85,396.87,SELL,"[3.2321953773498535, 4.062163352966309, 13.68179702758789]"
2025-01-31,69.0,63.770289,15.130641,18.434228,362.7108,6.51,398.07,SELL,"[3.0279669761657715, 4.691897869110107, 7.2340240478515625]"
2025-02-03,68.0,63.448198,14.910697,18.707579,363.8028,-2.72,397.57,BUY,"[4.0373921394348145, 5.018525123596191, -1.4453853368759155]"
2025-02-04,72.0,67.018262,15.217194,20.006457,364.8874,2.63,407.52,SELL,"[3.1915948390960693, 3.8152854442596436, 8.68545150756836]"
2025-02-05,74.0,70.085723,16.086766,21.992932,366.2288,5.13,417.22,SELL,"[2.943481922149658, 3.477243423461914, 7.902998447418213]"
2025-02-06,75.0,71.068568,17.007504,23.593979,367.488,5.64,420.51,SELL,"[3.878295421600342, 4.886828422546387, 10.496407508850098]"
2025-02-07,75.0,71.400758,18.331437,24.750954,368.4746,6.04,421.59,HOLD,"[5.152042865753174, 4.037641525268555, 3.0024991035461426]"
2025-02-10,76.0,73.614995,19.587581,25.397364,369.7794,5.25,428.92,SELL,"[2.55578351020813, 4.512373447418213, 10.67531681060791]"
2025-02-11,76.0,74.406847,20.894413,24.942612,371.1262,3.46,431.64,SELL,"[3.448606491088867, 4.131254196166992, 8.299169540405273]"
2025-02-12,77.0,75.284932,22.246924,24.562574,372.867,3.36,434.63,SELL,"[3.489112615585327, 3.8456568717956543, 10.928345680236816]"
2025-02-13,80.0,80.012393,24.212553,26.35178,375.023,7.63,453.77,SELL,"[2.1369264125823975, 4.215317726135254, 16.10584259033203]"
2025-02-14,79.0,78.30169,26.037779,27.191918,377.1218,5.32,451.74,SELL,"[4.404471397399902, 3.893416166305542, 6.964274883270264]"
2025-02-18,80.0,79.157474,27.813099,27.018278,379.23,5.5,455.36,SELL,"[4.2573771476745605, 4.016976833343506, 14.02114200592041]"
2025-02-19,78.0,74.589092,29.371658,26.483954,380.9496,3.57,450.14,SELL,"[4.41412353515625, 4.12605619430542, 5.766795635223389]"
2025-02-20,72.0,63.932165,28.093962,25.570399,382.3756,-3.89,436.14,HOLD,"[5.531130790710449, 4.737675666809082, -1.5862817764282227]"
2025-02-21,63.0,48.295265,26.268823,24.098615,383.1962,-9.97,406.68,HOLD,"[6.617167949676514, 4.587822437286377, -16.763465881347656]"
2025-02-24,57.0,42.597568,25.822039,22.83727,383.9586,-13.98,391.72,HOLD,"[6.0298871994018555, 5.328498363494873, -26.055234909057617]"
2025-02-25,46.0,38.666774,25.988688,22.273599,384.618,-15.64,379.75,HOLD,"[6.234306335449219, 5.847328186035156, -34.396751403808594]"
2025-02-26,59.0,45.382222,25.259853,22.815564,385.2498,-9.53,394.56,HOLD,"[6.957961559295654, 5.125839710235596, -31.622575759887695]"
2025-02-27,47.0,40.73763,24.268555,23.87875,385.5446,-6.5,380.24,HOLD,"[7.370446681976318, 5.184006690979004, -37.557716369628906]"
2025-02-28,58.0,44.743851,23.485633,24.242637,385.9774,-0.53,389.66,HOLD,"[8.449792861938477, 4.47260046005249, -28.119752883911133]"
2025-03-03,49.0,42.46929,21.854385,25.069731,385.868,0.78,382.73,HOLD,"[7.299931049346924, 6.557820796966553, -39.46696853637695]"
2025-03-04,59.0,45.65887,20.780984,25.400869,386.1428,-1.12,390.16,HOLD,"[6.470306396484375, 5.917153358459473, -24.81976890563965]"
2025-03-05,44.0,38.092063,21.063827,27.676383,386.468,-3.89,365.44,BUY,"[6.532999515533447, 7.042468547821045, -33.22311782836914]"
2025-03-06,38.0,33.773686,21.041554,31.20706,386.402,-10.76,347.73,HOLD,"[5.995390892028809, 5.125757217407227, -34.14147186279297]"
2025-03-07,34.0,30.75655,22.031789,35.323459,385.8262,-12.86,333.5,BUY,"[5.638158798217773, 6.5066423416137695, -36.084197998046875]"
2025-03-10,28.0,26.364602,23.368817,40.976474,384.7734,-20.84,308.86,BUY,"[4.590522766113281, 4.871328830718994, -50.225502014160156]"
2025-03-11,35.0,34.857698,23.678691,43.19779,384.0526,-9.77,329.75,BUY,"[4.904638767242432, 6.281578063964844, -33.18902587890625]"
2025-03-12,40.0,40.841123,23.467267,43.626762,383.6862,-0.28,346.76,HOLD,"[5.2306437492370605, 5.1511359214782715, -41.02279281616211]"
2025-03-13,36.0,37.719781,23.496318,44.246462,383.237,-0.29,332.53,HOLD,"[7.992550849914551, 4.286173343658447, -32.62229537963867]"
2025-03-14,44.0,44.525269,23.130227,41.937361,383.3256,14.53,353.74,HOLD,"[8.530657768249512, 4.76296854019165, -28.187681198120117]"
2025-03-17,47.0,47.740765,21.901148,38.805275,383.779,10.64,364.83,BUY,"[5.145655155181885, 6.636688709259033, -28.42981719970703]"
2025-03-18,45.0,47.293549,20.759859,34.457196,384.0952,4.73,363.15,HOLD,"[5.975629806518555, 5.418367862701416, -15.532862663269043]"
2025-03-19,49.0,50.808658,19.512529,29.519555,384.4158,12.79,375.05,BUY,"[3.59600830078125, 5.1422529220581055, -4.632555961608887]"
2025-03-20,46.0,49.027318,18.354294,25.14757,384.4692,4.32,369.03,BUY,"[4.777215480804443, 6.102734088897705, -9.297719955444336]"
2025-03-21,44.0,47.024722,17.418344,23.287058,384.5154,-0.71,362.24,BUY,"[4.962846279144287, 5.120839595794678, -6.9243483543396]"
2025-03-24,46.0,50.368674,16.465777,22.470379,384.7938,2.61,372.64,BUY,"[3.7035930156707764, 5.565040588378906, -15.991341590881348]"
