date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-24,36.0,51.204938,22.278309,103.935064,2038.15,5.24,2009.0,,
2024-09-25,38.0,53.773427,21.452241,100.106431,2037.49,2.01,2032.0,,
2024-09-26,60.0,68.250201,22.653597,105.623435,2040.49,14.87,2217.0,,
2024-09-27,60.0,69.095303,24.179304,111.657949,2043.89,15.38,2232.0,,
2024-09-30,58.0,65.824733,25.596033,115.248601,2046.31,9.81,2206.0,,
2024-10-01,53.0,58.999932,25.64946,114.063743,2047.61,5.66,2147.0,,
2024-10-02,53.0,59.535981,25.699071,117.854317,2049.91,-2.84,2154.0,,
2024-10-03,51.0,57.567511,25.019712,120.918761,2052.51,-4.26,2137.0,,
2024-10-04,51.0,57.656203,24.495416,121.828301,2053.77,-3.08,2138.0,,
2024-10-07,53.0,59.82647,24.190576,122.567153,2056.49,0.7,2162.0,BUY,"[73.92456817626953, 76.50260162353516, 73.74185180664062]"
2024-10-08,52.0,58.089714,23.033293,120.852211,2058.91,-0.23,2149.0,BUY,"[68.12117004394531, 70.42931365966797, 65.89669036865234]"
2024-10-09,49.0,53.699033,21.958674,117.209415,2060.75,-1.03,2115.0,BUY,"[68.43529510498047, 69.7659683227539, 62.709110260009766]"
2024-10-10,49.0,53.699035,20.735462,113.294227,2062.85,-1.08,2115.0,BUY,"[69.034423828125, 69.88660430908203, 63.51830291748047]"
2024-10-11,51.0,55.643202,19.822395,108.699227,2066.28,-1.39,2132.0,BUY,"[69.9588623046875, 70.2659912109375, 66.19557189941406]"
2024-10-14,50.0,54.342259,18.766491,100.811517,2069.68,-1.21,2123.0,BUY,"[72.96446228027344, 73.42381286621094, 68.27970886230469]"
2024-10-15,46.0,48.996401,17.786009,93.752583,2072.16,-1.47,2084.0,BUY,"[73.12394714355469, 74.12704467773438, 68.49376678466797]"
2024-10-16,37.0,45.533138,17.489382,84.076821,2073.24,-2.79,2056.0,BUY,"[69.35371398925781, 70.62776184082031, 65.88789367675781]"
2024-10-17,38.0,47.114666,16.806149,80.634434,2074.52,-3.05,2067.0,BUY,"[67.48050689697266, 68.80204772949219, 64.2240982055664]"
2024-10-18,47.0,50.227445,15.830052,69.920361,2075.98,-1.6,2089.0,BUY,"[71.61027526855469, 72.13697814941406, 67.28841400146484]"
2024-10-21,39.0,47.105842,15.154224,57.772398,2077.18,-0.86,2066.0,BUY,"[73.92704772949219, 74.55429077148438, 69.98696899414062]"
2024-10-22,39.0,46.430281,14.809571,53.675786,2077.7,0.24,2061.0,BUY,"[72.67424011230469, 73.60044860839844, 70.75409698486328]"
2024-10-23,38.0,46.430281,14.718142,51.516478,2077.38,-0.29,2061.0,BUY,"[69.86087799072266, 70.67473602294922, 68.66466522216797]"
2024-10-24,46.0,50.083346,13.834708,47.764291,2076.68,-0.29,2083.0,BUY,"[72.0300064086914, 72.60016632080078, 70.62596130371094]"
2024-10-25,49.0,53.498351,12.915618,40.131658,2076.36,1.89,2105.0,HOLD,"[76.7182846069336, 76.62173461914062, 75.72907257080078]"
2024-10-28,51.0,56.41746,12.976212,34.129862,2075.8,3.11,2125.0,SELL,"[78.10382080078125, 78.26985931396484, 79.46253967285156]"
2024-10-29,51.0,57.424834,13.065909,33.43217,2075.02,3.44,2132.0,SELL,"[77.32989501953125, 77.80926513671875, 79.2620620727539]"
2024-10-30,49.0,52.22487,12.210378,31.701104,2073.2,1.01,2104.0,SELL,"[76.12113952636719, 76.67977142333984, 77.10469818115234]"
2024-10-31,46.0,47.284418,11.728774,31.514243,2070.7,-1.47,2074.0,BUY,"[75.2513656616211, 75.6941909790039, 75.02616882324219]"
