date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-16,67.0,76.65881,28.231487,7.739489,268.5814,1.8,290.48,,
2024-09-17,67.0,77.553917,29.378967,8.023801,269.0846,2.68,291.56,,
2024-09-18,64.0,69.382226,29.735013,8.010161,269.5454,1.09,288.48,,
2024-09-19,61.0,61.983403,28.466325,7.730429,269.9902,-0.73,285.24,,
2024-09-20,60.0,60.967735,27.288257,7.305566,270.4346,-1.97,284.77,,
2024-09-23,63.0,65.908537,26.60059,6.846452,270.8924,-1.0,288.63,,
2024-09-24,51.0,42.255648,26.010321,6.460073,270.979,-5.44,272.78,,
2024-09-25,42.0,39.241569,26.105422,6.557681,270.9866,-5.47,269.63,,
2024-09-26,51.0,42.147807,26.19373,6.336112,270.9664,-4.59,271.69,,
2024-09-27,53.0,46.779113,25.191675,6.287589,271.0868,-4.66,275.17,BUY,"[15.809462547302246, 16.487842559814453, 15.13650894165039]"
2024-09-30,54.0,46.525544,24.261195,6.358075,271.2766,0.8,274.95,BUY,"[15.524131774902344, 16.666854858398438, 11.083047866821289]"
2024-10-01,56.0,50.038665,22.680293,6.386162,271.4744,2.96,277.6,BUY,"[15.210006713867188, 16.80095100402832, 13.853081703186035]"
2024-10-02,55.0,49.249734,21.212313,6.468217,271.7186,1.95,277.0,BUY,"[15.462821960449219, 16.573657989501953, 14.54033088684082]"
2024-10-03,55.0,49.055385,19.837974,6.521007,272.1724,0.61,276.86,BUY,"[15.341970443725586, 15.927825927734375, 12.794078826904297]"
2024-10-04,55.0,50.658027,18.456646,6.553014,272.6562,1.08,277.93,BUY,"[16.036951065063477, 16.27264404296875, 15.940800666809082]"
2024-10-07,51.0,44.787275,17.538981,6.689092,272.9428,-1.37,273.79,BUY,"[15.086226463317871, 15.54383373260498, 6.4555511474609375]"
2024-10-08,59.0,46.668328,16.686863,6.729279,273.21,-0.74,274.96,SELL,"[19.865453720092773, 21.06614875793457, 24.810199737548828]"
2024-10-09,61.0,49.771307,15.518095,6.718261,273.4866,0.03,276.93,SELL,"[23.273426055908203, 24.16070556640625, 29.849637985229492]"
2024-10-10,61.0,50.619437,14.436175,6.625966,273.7226,-0.17,277.47,SELL,"[23.013715744018555, 24.059263229370117, 29.63508415222168]"
2024-10-11,61.0,51.227123,13.750058,6.394487,273.9608,1.48,277.84,SELL,"[22.6409854888916, 23.408483505249023, 28.839527130126953]"
2024-10-14,63.0,55.73043,13.784559,5.86389,274.2428,2.08,280.68,SELL,"[26.298574447631836, 26.61960792541504, 35.08430862426758]"
2024-10-15,63.0,53.14407,14.122609,5.074918,274.6998,0.85,279.29,SELL,"[27.637290954589844, 28.214452743530273, 35.42369842529297]"
2024-10-16,69.0,63.843351,15.446997,4.98002,275.285,3.62,287.52,SELL,"[35.37431716918945, 35.21078109741211, 47.660037994384766]"
2024-10-17,71.0,66.699053,17.213203,5.45621,275.9624,4.52,290.39,SELL,"[38.505374908447266, 38.154178619384766, 49.56101989746094]"
2024-10-18,71.0,66.92451,18.870139,5.931632,276.5782,3.54,290.62,SELL,"[35.380516052246094, 35.439029693603516, 45.73303985595703]"
2024-10-21,68.0,59.780189,19.772738,5.791978,277.12,2.71,286.85,SELL,"[28.445783615112305, 28.554737091064453, 35.157806396484375]"
2024-10-22,66.0,56.246856,19.685605,5.790656,277.618,-0.95,284.79,SELL,"[23.226346969604492, 23.79248046875, 29.075178146362305]"
2024-10-23,66.0,54.511959,19.604697,5.443998,278.0906,-2.28,283.76,SELL,"[29.101699829101562, 30.075939178466797, 35.60969543457031]"
2024-10-24,65.0,53.578897,18.950225,5.157111,278.5322,-2.55,283.22,SELL,"[26.07940673828125, 26.89179039001465, 32.74082946777344]"
2024-10-25,64.0,50.98565,18.705563,5.022098,278.8308,-1.78,281.73,SELL,"[25.087085723876953, 26.385889053344727, 30.056264877319336]"
2024-10-28,66.0,54.869429,18.478378,4.894445,279.167,-0.21,284.19,SELL,"[29.22051429748535, 30.829174041748047, 36.838497161865234]"
2024-10-29,64.0,50.798933,18.540836,4.82673,279.4752,-0.66,281.88,SELL,"[24.758981704711914, 26.30836296081543, 29.6175537109375]"
2024-10-30,70.0,61.751861,20.424699,5.07474,279.9176,2.45,290.16,SELL,"[36.08613204956055, 36.39390182495117, 45.78688430786133]"
