date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-16,46.0,45.155813,12.419684,2.697004,115.5518,1.71,112.71,,
2024-09-17,49.0,49.253967,11.621149,2.546836,115.5918,4.06,114.18,,
2024-09-18,49.0,50.341345,11.232299,2.546836,115.6646,3.01,114.58,,
2024-09-19,59.0,54.101375,11.600506,2.565142,115.7462,4.36,116.0,,
2024-09-20,50.0,51.924723,11.497879,2.569801,115.7866,2.27,115.27,,
2024-09-23,61.0,57.230219,12.189014,2.614804,115.8684,2.79,117.36,,
2024-09-24,60.0,56.238838,12.948849,2.499467,115.9052,2.16,117.05,,
2024-09-25,49.0,49.453523,12.377837,2.394625,115.8798,-1.06,114.77,,
2024-09-26,45.0,44.461938,12.189825,2.366183,115.783,-2.14,112.8,,
2024-09-27,58.0,52.39466,11.559979,2.223769,115.7234,-1.31,115.82,SELL,"[2.0599684715270996, 2.444312334060669, 3.1015284061431885]"
2024-09-30,60.0,55.563349,11.390978,2.166193,115.7464,0.15,117.22,SELL,"[2.2078723907470703, 2.4429008960723877, 3.5684895515441895]"
2024-10-01,65.0,60.977869,12.129745,2.503976,115.8396,4.5,119.93,SELL,"[5.66342306137085, 7.195933818817139, 8.518802642822266]"
2024-10-02,67.0,63.767395,13.337101,2.958602,116.0018,7.73,121.52,SELL,"[6.554153919219971, 8.751410484313965, 10.322591781616211]"
2024-10-03,68.0,65.536185,14.537231,3.401329,116.1532,5.84,122.58,SELL,"[8.738433837890625, 11.230106353759766, 14.559828758239746]"
2024-10-04,70.0,68.996023,16.092378,3.950528,116.3012,6.49,124.83,SELL,"[11.753355026245117, 14.31501579284668, 19.64605140686035]"
2024-10-07,70.0,69.780148,17.77014,4.467829,116.462,4.54,125.37,SELL,"[12.498298645019531, 14.934379577636719, 21.237764358520508]"
2024-10-08,64.0,59.74547,17.856332,4.455758,116.5808,0.43,122.04,SELL,"[8.5001802444458, 10.370384216308594, 14.549698829650879]"
2024-10-09,64.0,59.838856,17.767179,4.2844,116.6592,-0.4,122.09,SELL,"[9.73334789276123, 11.561452865600586, 15.528264045715332]"
2024-10-10,65.0,61.840908,17.979908,4.208993,116.7502,-1.35,123.14,SELL,"[9.419532775878906, 10.772526741027832, 15.116031646728516]"
2024-10-11,67.0,62.736372,18.265178,4.065641,116.8834,-1.4,123.61,SELL,"[8.428265571594238, 9.705432891845703, 13.196256637573242]"
