date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,66.0,50.971394,21.232997,3.465402,176.3306,-1.17,180.56,0.0,0.0,0.0,,
2024-11-05,69.0,55.130958,20.850165,3.172177,176.5224,1.89,183.15,0.2066096866097098,0.0413219373219419,0.1652877492877678,,
2024-11-06,75.0,66.340015,22.158506,3.623198,176.8722,6.89,192.59,1.1191772794052497,0.2568930057386035,0.8622842736666462,,
2024-11-07,75.0,67.190898,23.4468,4.11611,177.2378,6.72,193.5,1.8939903247076584,0.5843124695324146,1.3096778551752442,,
2024-11-08,75.0,69.216886,25.056034,4.727102,177.5696,8.39,195.7,2.6549522225974727,0.9984404201454262,1.6565118024520464,,
2024-11-11,76.0,72.047429,26.993618,5.579082,177.9234,8.68,199.05,3.4881280431937967,1.4963779447551002,1.9917500984386964,,
2024-11-12,75.0,71.962342,28.792803,6.25418,178.3528,3.33,199.01,4.097959491886712,2.016694254181423,2.0812652377052894,,
2024-11-13,76.0,73.771988,30.945267,7.01171,178.9148,3.97,201.18,4.702152683975044,2.553785940140147,2.148366743834897,,
2024-11-14,73.0,65.430557,32.361963,7.332781,179.4214,0.77,197.2,4.804444755451925,3.003917703202503,1.8005270522494223,,
2024-11-15,70.0,58.776919,32.33489,7.435294,179.9332,-2.79,193.5,4.534679913954307,3.310070145352864,1.2246097686014423,BUY,"[2.350475549697876, 2.7682089805603027, -7.987247467041016]"
2024-11-18,70.0,58.638073,32.376662,7.522203,180.361,-2.81,193.42,4.265266663049289,3.5011094488921493,0.7641572141571396,HOLD,"[2.3311965465545654, 2.2322592735290527, -6.459980487823486]"
2024-11-19,70.0,59.42513,32.002211,7.623203,180.7658,-3.55,194.03,4.054241846379568,3.6117359283896335,0.4425059179899349,BUY,"[2.295299530029297, 2.357611656188965, -8.916228294372559]"
2024-11-20,71.0,62.475748,32.136587,7.474934,181.277,-0.38,196.45,4.035755259571317,3.696539794625971,0.3392154649453465,BUY,"[2.260362386703491, 2.6495676040649414, -6.229960918426514]"
2024-11-21,74.0,65.264948,32.891714,7.547359,181.8024,2.76,198.85,4.166732945011347,3.790578424703046,0.376154520308301,BUY,"[2.372124671936035, 2.731541395187378, -4.308859825134277]"
2024-11-22,67.0,52.669381,32.795618,7.372229,182.167,-0.9,191.68,3.6499008416380434,3.762442908090045,-0.112542066452002,BUY,"[2.242130994796753, 2.9114158153533936, -10.436771392822266]"
2024-11-25,68.0,54.654188,32.865472,7.050361,182.5696,-0.43,193.19,3.323836933392414,3.67472171315052,-0.3508847797581054,HOLD,"[2.473872184753418, 2.3143107891082764, -7.158291816711426]"
2024-11-26,72.0,60.56329,33.011034,6.907329,183.1542,0.89,198.2,3.43015339350319,3.6258080492210536,-0.1956546557178637,HOLD,"[2.400003671646118, 2.024057149887085, -8.689713478088379]"
2024-11-27,66.0,51.836727,32.257764,6.299195,183.7004,-3.35,192.19,2.994929498792203,3.4996323391352835,-0.5047028403430804,BUY,"[2.362210512161255, 2.600782632827759, -11.639829635620117]"
2024-11-29,68.0,53.884738,31.558298,5.600578,184.2426,1.16,193.91,2.757019843405629,3.351109839989353,-0.5940899965837234,BUY,"[2.239558696746826, 2.5333003997802734, -9.729975700378418]"
2024-12-02,69.0,55.289341,31.205302,4.867454,184.7432,0.98,195.09,2.6333354143317536,3.2075549548578333,-0.5742195405260797,BUY,"[2.014458179473877, 2.3749308586120605, -12.375630378723145]"
2024-12-03,71.0,56.74426,31.19272,3.756693,185.2274,-0.96,196.3,2.602946355492321,3.086633234984731,-0.48368687949241,HOLD,"[2.819413661956787, 2.602147340774536, -6.062657356262207]"
2024-12-04,77.0,63.13898,32.027465,3.001032,185.838,5.26,202.29,3.027308815313347,3.0747683510504547,-0.0474595357371074,HOLD,"[2.678523302078247, 2.316277027130127, -2.9619505405426025]"
2024-12-05,76.0,61.872712,32.85132,3.141363,186.4632,3.92,201.52,3.2638627788163035,3.1125872366036247,0.1512755422126788,BUY,"[2.1754415035247803, 2.8019211292266846, -9.652602195739746]"
2024-12-06,76.0,63.343044,33.732442,3.384043,187.1348,4.03,202.95,3.526076137357734,3.195285016754447,0.3307911206032869,BUY,"[2.6479341983795166, 2.7993972301483154, -3.757228136062622]"
2024-12-09,68.0,50.825849,32.342201,3.414253,187.6666,-0.93,194.47,3.014863513567036,3.159200716116965,-0.144337202549929,HOLD,"[2.4312121868133545, 2.376002311706543, -10.039384841918945]"
2024-12-10,68.0,51.326658,30.99988,3.393104,188.1462,-3.66,194.88,2.61268993636844,3.0498985601672604,-0.4372086237988202,HOLD,"[2.5879464149475098, 2.279148578643799, -12.731857299804688]"
2024-12-11,71.0,56.379288,29.996737,3.400727,188.8374,-1.15,199.21,2.61323553900354,2.9625659559345165,-0.3493304169309765,HOLD,"[2.3410325050354004, 2.036983013153076, -10.092541694641113]"
2024-12-12,71.0,57.369861,29.502609,3.334861,189.5182,-1.4,200.11,2.655677415267405,2.901188247801094,-0.2455108325336894,BUY,"[2.450425863265991, 2.5304017066955566, -9.590678215026855]"
2024-12-13,68.0,52.322681,28.58334,3.33079,190.09,1.07,196.56,2.375474584246064,2.7960455150900887,-0.4205709308440251,BUY,"[2.4099628925323486, 2.848824977874756, -11.065422058105469]"
2024-12-16,73.0,58.846692,28.079863,3.506517,190.7164,3.91,202.5,2.6027176700926304,2.757379946090597,-0.1546622759979667,HOLD,"[2.5028607845306396, 2.385333299636841, -6.588797569274902]"
2024-12-17,71.0,57.062978,28.357831,3.533675,191.3618,1.02,201.24,2.650583704073938,2.7360206976872656,-0.0854369936133276,HOLD,"[2.6444382667541504, 2.5265109539031982, -8.174874305725098]"
2024-12-18,53.0,43.121089,26.84114,3.93946,191.5856,-5.67,188.76,1.6623239448960303,2.521281347129019,-0.8589574022329884,HOLD,"[2.87726092338562, 1.9270732402801514, -13.009521484375]"
2024-12-19,53.0,43.831597,25.432784,4.278953,191.744,-3.66,189.36,0.9169657410398884,2.200418225911193,-1.2834524848713045,HOLD,"[2.3994507789611816, 1.5611389875411987, -17.619539260864258]"
2024-12-20,50.0,41.434716,24.707392,4.752869,191.7856,-7.76,186.78,0.1167339204569941,1.783681364820353,-1.666947444363359,HOLD,"[2.495445728302002, 1.2225314378738403, -20.412818908691406]"
2024-12-23,51.0,43.298435,24.033813,4.967265,191.818,-6.47,188.22,-0.3966868383524797,1.3476077241857864,-1.7442945625382662,HOLD,"[2.5154805183410645, 1.8361650705337524, -14.073421478271484]"
2024-12-24,53.0,44.987381,23.408347,5.129259,191.869,0.4,189.51,-0.6915129389769845,0.9397835915532322,-1.6312965305302167,HOLD,"[2.327375888824463, 2.002562999725342, -16.851055145263672]"
2024-12-26,51.0,43.885196,22.827557,5.325035,191.8946,-0.45,188.5,-0.9951913603895832,0.5527886011646691,-1.5479799615542524,HOLD,"[2.7339179515838623, 2.194027900695801, -18.73419189453125]"
2024-12-27,49.0,41.377475,23.077037,5.647232,191.8858,-0.32,186.18,-1.4068460625175303,0.1608616684282292,-1.5677077309457597,HOLD,"[2.600722551345825, 2.089979648590088, -13.616336822509766]"
2024-12-30,47.0,39.312773,23.516906,6.111262,191.8082,-2.14,184.2,-1.871283836976545,-0.2455674326527256,-1.6257164043238193,HOLD,"[3.1696512699127197, 1.5227866172790527, -17.12639045715332]"
2024-12-31,45.0,37.059762,24.029199,6.683694,191.699,-3.98,181.96,-2.392523872954655,-0.6749587207131116,-1.7175651522415434,HOLD,"[2.4214465618133545, 1.5237469673156738, -21.889562606811523]"
2025-01-02,44.0,35.854531,24.89001,7.22795,191.5296,-4.12,180.74,-2.870959526522085,-1.1141588818749064,-1.756800644647179,HOLD,"[2.729144811630249, 1.5136817693710327, -20.863269805908203]"
2025-01-03,47.0,40.165895,25.632933,7.195079,191.4336,-1.57,183.25,-3.012856867333909,-1.493898478966707,-1.518958388367202,HOLD,"[2.430217981338501, 1.8753513097763062, -21.487545013427734]"
