date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,35.0,32.622391,19.714469,3.515959,172.9,-0.69,166.34,0.0,0.0,0.0,,
2024-11-05,38.0,39.667691,19.554644,3.60764,172.7376,0.99,167.85,0.1204558404558042,0.0240911680911608,0.0963646723646434,,
2024-11-06,32.0,32.141329,20.158393,3.898797,172.5258,-0.82,164.71,-0.0370269721836962,0.0118675400361894,-0.0488945122198856,,
2024-11-07,30.0,30.721914,20.763016,4.177175,172.3274,-0.96,164.0,-0.2166271590416215,-0.0338313997793727,-0.1827957592622487,,
2024-11-08,32.0,35.516428,20.762017,4.242668,172.1878,-0.74,165.11,-0.2663238620323795,-0.0803298922299741,-0.1859939698024054,,
2024-11-11,31.0,33.59885,20.561841,4.216073,172.0154,-2.14,164.26,-0.3700312633837654,-0.1382701664607324,-0.231761096923033,,
2024-11-12,32.0,33.960248,20.721051,4.116884,171.7514,-0.22,164.34,-0.4406848540336341,-0.1987531039753127,-0.2419317500583213,,
2024-11-13,33.0,35.84054,21.179083,4.028698,171.4758,0.45,164.74,-0.4591093497959662,-0.2508243531394434,-0.2082849966565227,,
2024-11-14,34.0,37.795555,20.336338,3.845038,171.1928,0.02,165.15,-0.4356059279596138,-0.2877806681034776,-0.1478252598561362,,
2024-11-15,19.0,24.822376,21.455037,4.033263,170.8184,-3.43,158.62,-0.9331390769145288,-0.4168523498656878,-0.5162867270488409,BUY,"[3.4506173133850098, 4.155887603759766, -11.995759963989258]"
2024-11-18,19.0,24.421468,22.56525,4.083406,170.4212,-3.66,158.33,-1.335444090176452,-0.6005706979278407,-0.7348733922486113,BUY,"[3.301232099533081, 4.1910881996154785, -11.790541648864746]"
2024-11-19,18.0,22.270897,24.045082,4.192335,169.9994,-4.87,156.72,-1.763854638000737,-0.83322748594242,-0.9306271520583168,BUY,"[3.3811402320861816, 4.070558071136475, -12.483137130737305]"
2024-11-20,22.0,30.53607,24.751942,4.091861,169.6586,-3.88,158.74,-1.918263418911522,-1.0502346725362406,-0.8680287463752814,BUY,"[3.5292587280273438, 4.056493282318115, -12.778251647949219]"
2024-11-21,25.0,36.312696,24.710249,3.847476,169.3204,1.08,160.34,-1.8897430800933532,-1.218136354047663,-0.6716067260456904,BUY,"[3.5722289085388184, 3.9622631072998047, -14.302535057067871]"
2024-11-22,28.0,41.727146,23.952775,3.469248,169.0132,2.32,162.0,-1.7134408991948362,-1.3171972630770976,-0.3962436361177386,BUY,"[3.496852397918701, 3.9383299350738525, -15.06442928314209]"
2024-11-25,30.0,44.917101,22.606775,3.184403,168.73,4.04,163.05,-1.472025334112601,-1.3481628772841985,-0.1238624568284028,BUY,"[3.7132339477539062, 3.770491123199463, -16.013402938842773]"
2024-11-26,28.0,42.779443,21.394326,3.057838,168.4358,2.15,162.16,-1.3371040186309244,-1.3459511055535436,0.0088470869226191,BUY,"[3.481499195098877, 3.97233247756958, -15.82807445526123]"
2024-11-27,30.0,44.567074,20.062515,2.980666,168.186,1.48,162.72,-1.1714864179700155,-1.311058168036838,0.1395717500668223,BUY,"[3.339031219482422, 3.821387767791748, -15.331573486328125]"
2024-11-29,30.0,46.89608,18.735828,2.9007,167.9618,0.9,163.45,-0.9701451477317278,-1.242875563975816,0.2727304162440882,BUY,"[3.3771915435791016, 3.7449541091918945, -17.093852996826172]"
2024-12-02,29.0,45.76153,17.477534,2.835497,167.7992,0.0,163.05,-0.8332521850352919,-1.160950888187711,0.3276987031524192,BUY,"[3.322697877883911, 3.6474297046661377, -16.996469497680664]"
2024-12-03,27.0,42.062855,16.462496,2.72263,167.591,-0.28,161.7,-0.8241964201302778,-1.0935999945762245,0.2694035744459466,BUY,"[3.4334373474121094, 3.5875017642974854, -16.131393432617188]"
2024-12-04,25.0,38.308504,16.359201,2.478613,167.3962,-1.56,160.18,-0.9289624570835712,-1.060672487077694,0.1317100299941227,BUY,"[3.4457147121429443, 3.64387583732605, -14.923336029052734]"
2024-12-05,26.0,39.494639,16.484072,2.43247,167.218,-1.81,160.49,-0.975728298490452,-1.0436836493602455,0.0679553508697936,BUY,"[3.5308494567871094, 3.656770944595337, -14.836841583251953]"
