date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,38.0,34.781684,14.038462,0.551725,29.007,-2.46,27.76,0.0,0.0,0.0,,
2024-11-05,40.0,38.961103,14.954243,0.583003,28.9884,-1.86,27.99,0.0183475783475728,0.0036695156695145,0.0146780626780582,,
2024-11-06,36.0,32.766977,16.563555,0.584881,28.9592,-3.32,27.36,-0.0177430378000238,-0.0006129950243931,-0.0171300427756307,,
2024-11-07,37.0,34.545794,18.057916,0.626024,28.9334,-2.24,27.46,-0.0378397537242101,-0.0080583467643565,-0.0297814069598535,,
2024-11-08,31.0,28.530307,20.227478,0.736515,28.8934,-3.75,26.72,-0.1121851607448753,-0.0288837095604602,-0.083301451184415,,
2024-11-11,27.0,25.436284,22.713231,0.871616,28.838,-6.25,26.24,-0.2074451216785071,-0.0645959919840696,-0.1428491296944374,,
2024-11-12,28.0,25.130558,25.248054,0.953144,28.7958,-4.28,26.19,-0.2837035512227643,-0.1084175038318086,-0.1752860473909557,,
2024-11-13,32.0,34.163629,26.695181,0.941113,28.7624,-2.69,26.72,-0.2979378928745575,-0.1463215816403584,-0.1516163112341991,,
2024-11-14,28.0,29.159608,28.185121,0.994466,28.7126,-2.62,26.02,-0.3615353070704117,-0.189364326726369,-0.1721709803440426,,
2024-11-15,23.0,22.871768,30.625305,1.151227,28.6374,-5.49,24.8,-0.5045642178270455,-0.2524043049465043,-0.2521599128805412,HOLD,"[0.3221697509288788, 0.01786566711962223, -2.512273073196411]"
2024-11-18,24.0,23.742687,32.891191,1.26312,28.5464,-5.08,24.86,-0.6060875613790841,-0.3231409562330203,-0.2829466051460638,HOLD,"[0.2384578436613083, -0.039250459522008896, -2.4759039878845215]"
2024-11-19,27.0,27.279915,35.052217,1.320091,28.4536,-6.06,25.1,-0.6595763626078437,-0.3904280375079849,-0.2691483250998587,HOLD,"[0.11370771378278732, -0.25125962495803833, -1.7621861696243286]"
2024-11-20,27.0,26.40071,37.058884,1.359876,28.3592,-4.15,24.94,-0.7067305360764387,-0.4536885372216757,-0.253041998854763,HOLD,"[0.09807635843753815, -0.2616872489452362, -1.8199173212051392]"
2024-11-21,29.0,29.314101,38.55249,1.372881,28.2786,1.33,25.13,-0.7204640846791683,-0.5070436467131743,-0.213420437965994,HOLD,"[-0.15456686913967133, -0.3906322121620178, -0.5060412287712097]"
2024-11-22,33.0,36.699392,38.4599,1.350105,28.2062,3.18,25.65,-0.6815320890296945,-0.5419413351764784,-0.1395907538532161,SELL,"[-0.21969382464885712, -0.4107809066772461, 0.4379619359970093]"
