date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-15,93.0,83.218805,45.679052,8.102662,43.1844,9.18,65.77,0.0,0.0,0.0,,
2024-11-18,88.0,69.917407,46.346606,8.264368,43.7176,2.36,61.26,-0.3597720797720853,-0.071954415954417,-0.2878176638176682,,
2024-11-19,90.0,71.770574,46.966477,8.437271,44.282,3.76,62.98,-0.5003368479151931,-0.1576309023465723,-0.3427059455686208,,
2024-11-20,89.0,69.466331,47.551986,8.419516,44.8274,4.97,62.12,-0.6733680839485174,-0.2607783386669613,-0.4125897452815561,,
2024-11-21,87.0,67.406722,48.143601,8.315118,45.3564,-6.71,61.36,-0.8618869374339084,-0.3810000584203508,-0.4808868790135576,,
2024-11-22,91.0,71.044113,48.849972,8.342175,45.9316,5.04,64.35,-0.7612463019887343,-0.4570493071340275,-0.3041969948547068,,
2024-11-25,90.0,71.389121,49.95732,8.277878,46.4984,2.65,64.65,-0.6497900058195683,-0.4955974468711357,-0.1541925589484325,,
2024-11-26,91.0,72.66357,50.881348,8.14735,47.0842,5.83,65.74,-0.4681101155922391,-0.4900999806153564,0.0219898650231172,,
2024-11-27,91.0,73.031505,51.949371,7.78606,47.6776,7.64,66.05,-0.2957043883133536,-0.4512208621549559,0.1555164738416022,,
2024-11-29,91.0,74.270637,52.941107,7.04232,48.2826,4.24,67.08,-0.0750935833135031,-0.3759954063866653,0.3009018230731622,BUY,"[4.2682785987854, 5.073051929473877, 3.173539161682129]"
2024-12-02,90.0,71.887717,53.952909,5.963024,48.8664,2.69,66.39,0.0435626722654518,-0.2920837906562419,0.3356464629216937,BUY,"[4.247318267822266, 5.004234313964844, 3.044304847717285]"
2024-12-03,92.0,77.123035,55.274921,4.540371,49.5266,7.94,70.96,0.5005889389182983,-0.1335492447413339,0.6341381836596321,BUY,"[4.808921813964844, 5.120758056640625, 4.426087379455566]"
2024-12-04,91.0,73.540698,56.502504,4.116874,50.1856,5.75,69.85,0.7644062254535271,0.0460418492976383,0.7183643761558888,BUY,"[4.5314788818359375, 5.1779351234436035, 4.3936285972595215]"
2024-12-05,92.0,75.748377,57.816948,4.190633,50.8806,7.14,71.87,1.1235290997993133,0.2615392993979733,0.86198980040134,BUY,"[4.760682106018066, 5.146460056304932, 4.643941879272461]"
2024-12-06,93.0,79.770719,59.341045,4.623548,51.6654,14.99,76.34,1.7486706212975918,0.5589655637778971,1.1897050575196948,SELL,"[4.83254337310791, 4.614205360412598, 5.38838529586792]"
2024-12-09,88.0,69.063098,60.998454,4.671494,52.3778,2.11,72.46,1.9090103247928452,0.8289745159808868,1.0800358088119586,BUY,"[4.360067844390869, 5.286851406097412, 3.845392942428589]"
2024-12-10,88.0,65.246641,62.361204,4.653077,53.0516,1.49,70.89,1.887635330952449,1.0407066789751993,0.8469286519772496,BUY,"[4.480286598205566, 5.111766338348389, 0.7846313714981079]"
2024-12-11,89.0,67.25726,62.238022,4.635495,53.7726,0.89,72.51,1.9786077963942856,1.2282869024590166,0.7503208939352692,BUY,"[4.455058574676514, 4.937018871307373, 1.8210421800613403]"
2024-12-12,89.0,68.103692,62.388556,4.637113,54.4868,-4.11,73.2,2.082377018077836,1.3991049255827803,0.6832720924950548,BUY,"[4.483669281005859, 5.754457473754883, 2.09824800491333]"
2024-12-13,91.0,71.413858,62.604186,4.628408,55.2234,4.98,76.07,2.368892767054092,1.593062493877043,0.775830273177049,HOLD,"[5.2384443283081055, 5.149845600128174, 3.935016632080078]"
2024-12-16,91.0,70.534904,62.980259,4.881888,55.9382,6.86,75.75,2.5408479234650656,1.7826195797946478,0.7582283436704178,BUY,"[4.693563938140869, 4.993529796600342, 4.589267730712891]"
2024-12-17,90.0,66.773406,63.32947,4.732034,56.6482,2.59,74.39,2.5381250639754995,1.933720676630818,0.6044043873446814,BUY,"[4.300515174865723, 5.140786170959473, 2.1726741790771484]"
2024-12-18,87.0,59.53315,63.880072,4.527643,57.2494,-2.31,71.51,2.2773236776064465,2.002441276825944,0.2748824007805028,BUY,"[4.541088581085205, 4.86909294128418, -0.3609023988246918]"
2024-12-19,89.0,63.526057,64.391346,4.278566,57.871,-2.45,74.21,2.262424315891593,2.0544378846390736,0.2079864312525194,BUY,"[4.726163864135742, 5.191223621368408, -0.06517285108566284]"
2024-12-20,92.0,70.809564,65.216855,4.321797,58.6116,6.34,80.55,2.7307233992672337,2.189694987564706,0.5410284117025279,BUY,"[5.175251007080078, 5.459729194641113, 3.2782139778137207]"
2024-12-23,91.0,70.947529,66.082191,4.483339,59.3552,8.47,80.69,3.0776731267066424,2.367290615393093,0.7103825113135489,BUY,"[5.255551815032959, 5.434268951416016, 5.207902908325195]"
2024-12-24,92.0,72.629249,67.067471,4.679498,60.1348,15.2,82.38,3.449241453028605,2.583680782920196,0.8655606701084095,HOLD,"[5.21872615814209, 4.9471211433410645, 4.560957908630371]"
2024-12-26,92.0,71.991923,67.982374,4.780996,60.929,10.69,82.14,3.681903344556901,2.803325295247537,0.8785780493093633,HOLD,"[4.810418605804443, 4.496545791625977, 3.7684738636016846]"
2024-12-27,88.0,64.250457,67.078922,4.568427,61.672,-1.82,79.08,3.578126725730826,2.958285581344195,0.6198411443866307,BUY,"[5.038539886474609, 5.3249831199646, 0.2753687798976898]"
2024-12-30,88.0,59.940465,65.424287,4.278626,62.3756,-4.35,77.18,3.3044769334798616,3.0275238517713285,0.276953081708533,BUY,"[5.047005653381348, 5.120425701141357, -1.141080379486084]"
2024-12-31,86.0,56.604555,62.894106,3.805185,63.0288,-8.19,75.63,2.928774367659514,3.007773954948966,-0.0789995872894517,BUY,"[4.828396320343018, 5.506903171539307, -0.5756213068962097]"
2025-01-02,85.0,55.65761,60.085208,3.668571,63.6786,-8.46,75.19,2.5659444443796677,2.9194080528351067,-0.3534636084554394,BUY,"[4.6109232902526855, 5.571820259094238, -0.340606153011322]"
2025-01-03,90.0,62.813841,58.186779,3.532565,64.4176,1.02,79.89,2.6273632287686155,2.8609990880218086,-0.233635859253193,BUY,"[4.95367956161499, 5.144765377044678, 1.9513053894042969]"
2025-01-06,85.0,54.77288,56.20463,3.397999,65.0842,-1.63,75.92,2.3288467409962124,2.75456861861669,-0.4257218776204774,BUY,"[4.587507247924805, 5.138087749481201, 1.1392700672149658]"
2025-01-07,78.0,45.419939,52.762771,3.665472,65.6128,-7.46,69.99,1.5953783048099126,2.522730555855335,-0.9273522510454222,HOLD,"[4.601009845733643, 4.570345878601074, -2.3665153980255127]"
2025-01-08,75.0,43.069264,49.268727,3.971799,66.0802,-9.26,68.23,0.8621437373726621,2.1906131921588003,-1.3284694547861382,HOLD,"[4.606183052062988, 4.1557230949401855, -3.598597526550293]"
2025-01-10,73.0,41.7857,46.374084,4.262925,66.526,-15.81,67.26,0.2004682929432135,1.792584212315683,-1.5921159193724694,BUY,"[4.768214702606201, 4.851698398590088, -3.352200746536255]"
2025-01-13,58.0,38.854538,44.062093,4.81497,66.927,-14.41,64.98,-0.5021032751190972,1.3336467148287272,-1.8357499899478245,HOLD,"[5.648281574249268, 4.961740493774414, -1.7981047630310059]"
2025-01-14,59.0,40.682339,41.198149,5.212967,67.3714,-5.83,65.91,-0.9726410760212616,0.8723891566587295,-1.8450302326799912,HOLD,"[5.165394306182861, 4.63308572769165, -0.5382774472236633]"
2025-01-15,70.0,44.933056,38.371402,5.403019,67.903,-0.13,68.14,-1.1523200815597503,0.4674473090150335,-1.619767390574784,BUY,"[4.542718410491943, 4.6069464683532715, -0.2004295140504837]"
2025-01-16,75.0,46.952427,36.180503,5.509993,68.4494,2.94,69.24,-1.192213090667579,0.135515229078511,-1.32772831974609,BUY,"[4.540604591369629, 4.660325527191162, 0.1819659024477005]"
2025-01-17,78.0,51.369612,34.368094,5.533244,69.0566,10.45,71.77,-1.0080584614424597,-0.093199509025683,-0.9148589524167764,HOLD,"[5.008571147918701, 4.046677112579346, 0.6446098685264587]"
2025-01-21,79.0,53.511671,32.998073,5.508611,69.4954,10.86,73.07,-0.7485862196114539,-0.2242768511428372,-0.5243093684686166,HOLD,"[4.845560550689697, 4.438034534454346, 1.2815316915512085]"
