date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,33.0,44.998486,12.598735,3.684971,168.5696,-6.15,165.18,0.0,0.0,0.0,,
2024-11-05,34.0,46.004699,11.887714,3.706553,168.498,-1.02,165.91,0.0582336182336007,0.0116467236467201,0.0465868945868805,,
2024-11-06,48.0,54.666862,12.834597,3.769972,168.4792,6.28,172.99,0.6679809417131253,0.1429135672600011,0.5250673744531241,,
2024-11-07,47.0,54.560357,14.191021,3.807211,168.5004,4.62,172.91,1.131709118892644,0.3406726775865297,0.7910364413061143,,
2024-11-08,46.0,51.841022,14.786835,3.810138,168.5288,3.47,170.91,1.3225877862681443,0.5370556993228527,0.7855320869452916,,
2024-11-11,37.0,48.43535,14.766652,3.378818,168.3886,1.43,168.29,1.2480615252516143,0.6792568645086051,0.5688046607430094,,
2024-11-12,32.0,42.795909,13.922793,3.491367,168.392,-5.54,163.41,0.7861613318597165,0.7006377579788274,0.085523573880889,,
2024-11-13,29.0,39.742631,13.095446,3.935235,168.2938,-7.22,160.42,0.1767960939388899,0.59586942517084,-0.41907333123195,,
2024-11-14,32.0,44.779985,12.352194,4.019556,168.2992,-4.06,163.97,-0.0194507003744774,0.4728054000617764,-0.4922561004362539,,
2024-11-15,29.0,41.158107,11.699399,4.310634,168.3454,-4.63,160.5,-0.449792767709738,0.2882857665074736,-0.7380785342172116,BUY,"[7.6646199226379395, 7.774014472961426, -8.257549285888672]"
2024-11-18,32.0,46.527162,10.9339,4.357913,168.42,0.67,164.5,-0.4627411934828274,0.1380803745094134,-0.6008215679922408,BUY,"[7.5584611892700195, 7.654965400695801, -8.323901176452637]"
2024-11-19,32.0,46.801606,10.301787,4.198969,168.4806,2.67,164.71,-0.4508604308437043,0.0202922134387898,-0.4711526442824942,HOLD,"[7.749626159667969, 7.708518981933594, -4.558717250823975]"
2024-11-20,22.0,36.713451,11.06087,5.050061,168.2348,-5.92,154.27,-1.2692346432393435,-0.2376131578968368,-1.0316214853425067,BUY,"[7.226940631866455, 7.48258113861084, -6.3026275634765625]"
2024-11-21,24.0,38.344819,11.765732,5.575274,168.0444,-3.14,155.46,-1.801018033085029,-0.5502941329344753,-1.2507239001505537,BUY,"[7.3265485763549805, 7.602633476257324, -6.083824634552002]"
2024-11-22,25.0,40.200188,12.420246,5.81342,167.8256,-4.69,156.79,-2.0910361529574857,-0.8584425369390773,-1.2325936160184083,BUY,"[7.793430328369141, 7.83078670501709, -6.574228286743164]"
2024-11-25,27.0,43.01871,12.385179,5.738018,167.6698,-3.58,158.82,-2.132491532880806,-1.1132523361274231,-1.019239196753383,HOLD,"[7.322125434875488, 7.282854080200195, -16.55314826965332]"
2024-11-26,26.0,41.077485,11.952672,5.32308,167.4344,1.72,156.93,-2.2914381521041207,-1.3488894993227627,-0.942548652781358,BUY,"[7.1731157302856445, 7.285516738891602, -13.441457748413086]"
2024-11-27,26.0,40.525229,11.859017,5.457443,167.1964,0.6,156.4,-2.4321349261155376,-1.5655385846813177,-0.8665963414342199,BUY,"[7.345521926879883, 7.645431995391846, -5.79458475112915]"
2024-11-29,27.0,43.795602,11.08398,5.544712,166.8886,1.11,158.53,-2.344736274117452,-1.7213781225685445,-0.6233581515489071,BUY,"[7.044736862182617, 7.1247239112854, -12.70091438293457]"
2024-12-02,30.0,50.045295,10.727881,5.516411,166.7708,2.65,163.03,-1.8905665464936876,-1.755215807353573,-0.1353507391401143,BUY,"[7.229880332946777, 7.265477180480957, -12.06875228881836]"
2024-12-03,30.0,49.453098,10.49417,5.48691,166.7032,3.6,162.58,-1.5490880813013632,-1.713990262143131,0.1649021808417679,BUY,"[7.103285312652588, 7.225981712341309, -11.235275268554688]"
2024-12-04,30.0,50.518065,10.508187,5.436969,166.631,4.44,163.34,-1.203267767189999,-1.611845763152505,0.408577995962506,BUY,"[7.112227439880371, 7.171865463256836, -12.19519329071045]"
2024-12-05,28.0,46.429003,9.960917,4.879161,166.4734,1.17,160.39,-1.1539411077900183,-1.5202648320800078,0.3663237242899895,BUY,"[7.0942535400390625, 7.142024993896484, -10.091876983642578]"
2024-12-06,28.0,45.252313,9.645674,4.178353,166.2104,-2.16,159.51,-1.172343968855131,-1.4506806594350323,0.2783366905799016,BUY,"[6.994983196258545, 7.136165618896484, -9.087946891784668]"
2024-12-09,29.0,47.264123,9.138192,3.526101,166.0226,-1.13,160.74,-1.0752824614975225,-1.3756010198475308,0.3003185583500083,BUY,"[7.136247158050537, 7.251183986663818, -9.662508964538574]"
2024-12-10,25.0,41.543449,8.629169,3.165215,165.7508,-4.21,156.46,-1.3284076912145224,-1.3661623541209291,0.0377546629064067,BUY,"[7.039244174957275, 7.336487293243408, -8.930395126342773]"
2024-12-11,28.0,46.984573,8.156504,3.069233,165.6318,-0.35,159.83,-1.2427547208650085,-1.341480827469745,0.0987261066047366,BUY,"[7.068408489227295, 7.276646137237549, -9.495288848876953]"
2024-12-12,27.0,44.862829,7.73018,3.086038,165.4302,-0.8,158.24,-1.2883228526895607,-1.3308492325137082,0.0425263798241475,BUY,"[7.113456726074219, 7.340841770172119, -7.823531150817871]"
2024-12-13,27.0,45.347597,7.414511,2.938307,165.2224,-1.37,158.53,-1.2862087354274363,-1.321921133096454,0.0357123976690174,BUY,"[6.857098579406738, 7.101786136627197, -8.403878211975098]"
2024-12-16,27.0,44.419434,7.789744,2.947962,165.0022,0.91,157.89,-1.3209488573967008,-1.3217266779565031,0.0007778205598025,BUY,"[6.998730659484863, 7.1868791580200195, -7.475425720214844]"
2024-12-17,27.0,44.476802,7.748341,2.712326,164.8218,-1.2,157.92,-1.3307201910489823,-1.3235253805749991,-0.0071948104739831,BUY,"[7.01278829574585, 7.284221649169922, -4.7852864265441895]"
2024-12-18,24.0,37.678003,8.679141,2.679238,164.556,-3.28,153.05,-1.7117009203657574,-1.4011604885331508,-0.3105404318326066,BUY,"[6.900586128234863, 7.25859260559082, -7.383099555969238]"
2024-12-19,21.0,34.580374,9.988453,3.082493,164.1596,-5.13,150.4,-2.202079543957325,-1.5613442996179856,-0.6407352443393393,BUY,"[6.9615983963012695, 7.411479949951172, -5.7254180908203125]"
2024-12-20,24.0,39.604758,11.324489,3.245069,163.847,-3.17,152.89,-2.362551918065208,-1.7215858233074302,-0.6409660947577775,BUY,"[7.11273193359375, 7.401179790496826, -8.391424179077148]"
2024-12-23,29.0,48.718116,11.280602,3.230857,163.6122,0.2,158.24,-2.0345738417329926,-1.7841834269925427,-0.2503904147404499,BUY,"[7.202571392059326, 7.344147205352783, -13.301677703857422]"
