date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,56.0,31.635189,27.933347,2.388735,122.0306,-3.9,118.0,0.0,0.0,0.0,,
2024-11-05,58.0,36.486877,28.194951,2.621534,122.0362,-2.36,118.98,0.0781766381766289,0.0156353276353257,0.0625413105413031,,
2024-11-06,61.0,47.228273,26.37593,2.660783,122.0782,0.5,121.59,0.3467403673671327,0.0818563355816871,0.2648840317854455,,
2024-11-07,58.0,42.7262,24.52599,2.766596,122.063,1.12,120.08,0.4327462478740216,0.152034318040154,0.2807119298338675,,
2024-11-08,71.0,53.658628,23.762282,2.764514,122.0882,4.7,123.55,0.7720073081244436,0.276028916057012,0.4959783920674316,,
2024-11-11,72.0,56.274815,23.596561,2.762814,122.1126,4.69,124.56,1.1095821295955943,0.4427395587647285,0.6668425708308658,,
2024-11-12,70.0,52.513165,22.486379,2.73813,122.1602,1.46,123.37,1.2664902418069346,0.6074896953731697,0.6590005464337649,,
2024-11-13,71.0,53.580225,21.455497,2.660058,122.213,3.06,123.75,1.4053044010402402,0.7670526365065837,0.6382517645336565,,
2024-11-14,56.0,40.976509,21.558397,2.749854,122.1986,-3.75,118.92,1.1127479229348296,0.836191693792233,0.2765562291425966,,
2024-11-15,56.0,40.155142,21.785983,2.81174,122.2004,-4.84,118.53,0.8397450079185091,0.8369023566174884,0.0028426513010207,HOLD,"[5.986940383911133, 5.809143543243408, 3.740603446960449]"
2024-11-18,57.0,42.874412,21.554971,2.776589,122.165,-3.23,119.39,0.6848880801089194,0.8064995013157746,-0.1216114212068552,HOLD,"[6.285539150238037, 6.2155256271362305, 3.378898859024048]"
2024-11-19,56.0,41.85046,20.569486,2.749392,122.1382,-3.87,118.96,0.5214544405987311,0.7494904891723659,-0.2280360485736348,BUY,"[5.8935112953186035, 6.025360107421875, 4.168735980987549]"
2024-11-20,58.0,42.503871,19.967704,2.515229,122.136,0.19,119.15,0.4026223362463241,0.6801168585871576,-0.2774945223408335,HOLD,"[5.819157600402832, 5.7460808753967285, 4.209113121032715]"
2024-11-21,60.0,47.149093,18.689184,2.371179,122.1446,1.69,120.53,0.4150174415400585,0.6270969751777379,-0.2120795336376794,BUY,"[5.844118118286133, 5.9839630126953125, 4.737943172454834]"
2024-11-22,60.0,47.936891,17.622258,2.192473,122.1776,1.16,120.77,0.4391444620233073,0.5895064725468518,-0.1503620105235444,BUY,"[5.747774124145508, 5.943107604980469, 5.203860759735107]"
2024-11-25,57.0,41.98367,17.075038,1.996297,122.1666,-0.26,118.65,0.2839260938888372,0.5283903968152489,-0.2444643029264116,BUY,"[5.498314380645752, 5.520156383514404, 4.108969688415527]"
2024-11-26,60.0,48.367878,16.548915,1.93553,122.2042,1.23,120.61,0.3154339126565588,0.4857990999835109,-0.1703651873269521,BUY,"[5.64831018447876, 5.76698112487793, 5.668809413909912]"
2024-11-27,59.0,47.590964,15.731647,1.912282,122.2502,-0.16,120.34,0.3149863756494113,0.4516365551166911,-0.1366501794672797,BUY,"[5.909231185913086, 5.914042949676514, 5.354610443115234]"
2024-11-29,61.0,52.157989,14.915867,1.932285,122.3104,0.88,121.83,0.4299065517760141,0.4472905544485557,-0.0173840026725416,SELL,"[5.960343360900879, 6.038091659545898, 6.988627910614014]"
2024-12-02,56.0,43.523117,15.019562,1.93554,122.321,0.03,118.68,0.2637624555586626,0.4105849346705771,-0.1468224791119145,HOLD,"[5.6505889892578125, 5.550090312957764, 5.166209697723389]"
2024-12-03,55.0,42.139775,15.354455,1.929163,122.2776,-2.08,118.1,0.0843189333877063,0.345331734414003,-0.2610128010262967,HOLD,"[5.686249732971191, 5.50717306137085, 4.140065670013428]"
2024-12-04,57.0,45.757101,15.80972,1.919952,122.2614,-0.92,119.23,0.0329108298818283,0.2828475535075681,-0.2499367236257397,HOLD,"[6.076739311218262, 5.852062702178955, 4.620865821838379]"
2024-12-05,56.0,43.899996,16.232466,1.951493,122.2138,-2.72,118.52,-0.0643794031200002,0.2134021621820544,-0.2777815653020546,HOLD,"[5.819042682647705, 5.750838756561279, 4.127649784088135]"
