date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,58.0,61.441352,33.001119,2.186692,66.506,-1.29,70.96,0.0,0.0,0.0,,
2024-11-05,60.0,63.247132,32.508249,1.802452,66.6426,0.3,71.31,0.0279202279202337,0.0055840455840467,0.0223361823361869,,
2024-11-06,71.0,77.586949,34.177403,1.886417,66.8794,6.95,75.75,0.4036649053173278,0.0852002175307029,0.3184646877866248,,
2024-11-07,65.0,62.360928,35.239553,1.63418,67.0632,3.14,73.17,0.4876396251547419,0.1656880990555107,0.3219515260992311,,
2024-11-08,67.0,64.484675,36.225834,1.473986,67.2426,4.14,73.9,0.606108256079736,0.2537721304603558,0.3523361256193801,,
2024-11-11,76.0,73.272478,37.97266,1.735914,67.4976,9.17,77.85,1.0071180580171983,0.4044413159717243,0.602676742045474,,
2024-11-12,75.0,73.871774,39.723394,2.162845,67.7656,3.22,78.19,1.336944905027849,0.5909420337829493,0.7460028712448997,,
2024-11-13,75.0,73.982641,41.460513,2.488097,68.0526,6.94,78.25,1.584906737813654,0.7897349745890903,0.7951717632245636,,
2024-11-14,77.0,77.331861,43.670711,2.941826,68.3826,8.51,80.19,1.915875048539704,1.014962989379213,0.9009120591604908,,
2024-11-15,77.0,78.038092,45.723038,3.310863,68.7374,3.58,80.64,2.189244807102384,1.249819352923847,0.9394254541785364,SELL,"[7.25699520111084, 6.719521522521973, 7.79620361328125]"
2024-11-18,77.0,79.201154,47.755626,3.632304,69.105,4.09,81.39,2.438303793929535,1.4875162411249847,0.9507875528045502,SELL,"[7.325801372528076, 6.740971088409424, 8.453995704650879]"
2024-11-19,74.0,72.578315,49.180752,3.763613,69.4476,2.48,80.19,2.5099220452165696,1.691997401943302,0.8179246432732676,SELL,"[5.720098972320557, 5.392149925231934, 5.921563625335693]"
2024-11-20,82.0,73.122897,50.052239,3.892838,69.7886,0.34,80.46,2.5589685720629234,1.8653916359672265,0.6935769360956971,HOLD,"[6.56591796875, 6.262703895568848, 6.492611408233643]"
2024-11-21,82.0,73.827766,51.109994,4.029298,70.1698,0.2,80.8,2.5953558102238645,2.011384470818554,0.5839713394053105,HOLD,"[6.65956449508667, 6.087464332580566, 6.650068283081055]"
2024-11-22,82.0,74.79104,52.108737,4.112833,70.5526,-0.16,81.26,2.630982782455675,2.1353041331459783,0.4956786493096965,SELL,"[6.29560661315918, 5.923773288726807, 6.360574722290039]"
2024-11-25,83.0,75.852198,53.168124,4.183931,70.9142,1.97,81.77,2.6695967033500523,2.242162647186793,0.4274340561632588,HOLD,"[6.128169536590576, 5.6641974449157715, 5.909821510314941]"
2024-11-26,83.0,76.840324,54.15184,4.217103,71.2824,2.22,82.25,2.707717619112316,2.335273641571898,0.3724439775404176,HOLD,"[5.897640228271484, 5.5974626541137695, 5.67236328125]"
2024-11-27,84.0,77.561339,55.13886,4.148715,71.6632,2.23,82.6,2.7346474805316205,2.4151484093638427,0.3194990711677778,HOLD,"[6.018051624298096, 5.642554759979248, 5.8205037117004395]"
2024-11-29,83.0,77.900059,56.205355,3.981696,72.0232,1.85,82.76,2.7373458337173133,2.479587894234537,0.2577579394827762,HOLD,"[5.728710651397705, 5.475315570831299, 5.597164630889893]"
2024-12-02,78.0,68.381612,55.769599,3.663523,72.3432,-0.46,81.39,2.5989773544899464,2.503465786285619,0.0955115682043272,HOLD,"[5.006713390350342, 4.6974639892578125, 4.327276706695557]"
2024-12-03,78.0,66.653084,54.905874,3.22582,72.667,-1.37,81.12,2.4394125647307305,2.490655141974641,-0.0512425772439106,HOLD,"[5.085877418518066, 4.806655406951904, 4.420632839202881]"
2024-12-04,79.0,67.914704,53.439907,2.690126,73.0056,-1.32,81.51,2.317708953782855,2.456065904336284,-0.1383569505534292,HOLD,"[5.543175220489502, 5.054365158081055, 5.014475345611572]"
2024-12-05,79.0,68.889735,52.320996,2.558088,73.361,-1.15,81.81,2.2198761081253053,2.4088279450940884,-0.188951836968783,HOLD,"[5.708359241485596, 5.138979434967041, 5.193869113922119]"
2024-12-06,79.0,66.42601,51.282007,2.021123,73.7136,0.1,81.47,2.0908062021756706,2.345223596510405,-0.2544173943347343,HOLD,"[5.659214019775391, 4.992781162261963, 4.739870548248291]"
2024-12-09,81.0,66.577453,50.616454,1.349361,74.0554,0.48,81.51,1.9690470883726616,2.2699882948828565,-0.3009412065101946,HOLD,"[5.974490642547607, 5.351304054260254, 5.01523494720459]"
2024-12-10,83.0,69.570697,50.136987,1.191513,74.4056,0.99,82.32,1.915827872847544,2.199156210475794,-0.2833283376282502,HOLD,"[6.5435590744018555, 5.761345386505127, 6.0096845626831055]"
2024-12-11,83.0,69.893324,49.691768,1.01986,74.7756,0.73,82.41,1.859478597175752,2.1312206878157856,-0.2717420906400338,HOLD,"[6.616402626037598, 5.884005546569824, 6.282915115356445]"
2024-12-12,84.0,71.485101,49.549283,0.799947,75.1656,1.69,82.85,1.8292393800861648,2.0708244262698616,-0.241585046183697,HOLD,"[6.770596504211426, 6.048748970031738, 6.485403537750244]"
2024-12-13,75.0,50.047996,46.076886,0.864528,75.4884,-2.42,79.54,1.5206560689181146,1.9607907547995125,-0.4401346858813977,HOLD,"[4.559159278869629, 4.500224590301514, 2.3538620471954346]"
2024-12-16,70.0,43.290046,43.350926,1.151763,75.7522,-5.32,77.94,1.1339237759070642,1.7954173590210227,-0.6614935831139586,BUY,"[3.853689670562744, 4.106768608093262, 1.425713062286377]"
2024-12-17,66.0,39.097095,41.411954,1.527872,76.0016,-6.86,76.76,0.7238751272413282,1.581108912665084,-0.8572337854237557,BUY,"[3.3995602130889893, 3.5009236335754395, 0.32132387161254883]"
2024-12-18,50.0,31.362333,40.8955,2.181858,76.183,-10.72,73.97,0.1717985492013127,1.2992468399723298,-1.127448290771017,HOLD,"[3.071338653564453, 2.774994134902954, -3.401191234588623]"
2024-12-19,49.0,30.545931,40.454533,2.689327,76.3214,-7.44,73.62,-0.2906181264619505,0.9812738466854736,-1.271891973147424,HOLD,"[3.0195233821868896, 2.449739933013916, -4.291526794433594]"
2024-12-20,51.0,34.183384,40.074854,3.004572,76.4746,-4.66,74.31,-0.594555771195715,0.6661079231092359,-1.260663694304951,HOLD,"[2.997492790222168, 2.6208205223083496, -2.792802333831787]"
2024-12-23,52.0,36.267197,39.722295,3.216184,76.6152,-2.67,74.71,-0.7939991592783429,0.3740865066317201,-1.1680856659100631,HOLD,"[3.062887668609619, 2.734452247619629, -2.496685266494751]"
2024-12-24,52.0,36.9657,39.28881,3.358764,76.7556,1.18,74.84,-0.9308394301774996,0.1131013192698762,-1.0439407494473758,HOLD,"[2.909257411956787, 2.794259548187256, -2.296661376953125]"
2024-12-26,53.0,38.145041,38.656506,3.428197,76.8174,1.94,75.05,-1.0106904751249743,-0.1116570396090939,-0.8990334355158804,BUY,"[3.062514543533325, 3.0685207843780518, -0.9278598427772522]"
2024-12-27,52.0,37.043248,38.204678,3.457647,76.8706,0.58,74.74,-1.086463339683533,-0.3066182996239818,-0.7798450400595512,HOLD,"[3.068053722381592, 2.989272117614746, -1.3604297637939453]"
2024-12-30,50.0,34.258786,38.19366,3.478747,76.911,-1.04,73.93,-1.198063580124753,-0.484907355724136,-0.713156224400617,HOLD,"[2.9127047061920166, 2.8854129314422607, -2.588289737701416]"
2024-12-31,50.0,34.780222,38.151851,3.521497,76.964,-1.11,74.01,-1.2654647533465069,-0.6410188352486101,-0.6244459180978965,HOLD,"[2.9976823329925537, 2.882805824279785, -2.1179215908050537]"
2025-01-02,49.0,34.160176,38.308941,3.548167,77.0234,-1.61,73.84,-1.3174119431544824,-0.7762974568297847,-0.5411144863246977,HOLD,"[2.852329969406128, 2.7225964069366455, -2.7921218872070312]"
2025-01-03,51.0,38.403594,38.45481,3.488014,77.0942,-0.39,74.45,-1.2944370982102529,-0.8799253851058784,-0.4145117131043743,BUY,"[2.954486131668091, 3.007997512817383, -1.324938416481018]"
2025-01-06,51.0,38.613142,37.118492,3.367814,77.1496,0.74,74.48,-1.2592922812515468,-0.955798764335012,-0.3034935169165347,BUY,"[2.8910083770751953, 3.0264923572540283, -1.3206305503845215]"
2025-01-07,45.0,30.37759,37.308357,3.332384,77.143,-2.36,72.26,-1.3945002761556822,-1.0435390666991462,-0.3509612094565359,HOLD,"[2.533336877822876, 2.3737845420837402, -5.852039813995361]"
2025-01-08,48.0,35.329019,37.484659,3.190071,77.1666,-1.14,73.0,-1.4255093858252224,-1.1199331305243614,-0.3055762553008609,HOLD,"[2.8301503658294678, 2.806903123855591, -3.1785566806793213]"
2025-01-10,47.0,34.507582,37.229171,2.902887,77.1812,-2.26,72.77,-1.451906729460049,-1.186327850311499,-0.26557887914855,HOLD,"[2.6168951988220215, 2.5536086559295654, -3.5010035037994385]"
2025-01-13,47.0,34.099227,36.991933,2.485885,77.1966,-2.44,72.66,-1.46481739208609,-1.2420257586664172,-0.2227916334196726,BUY,"[2.63537335395813, 2.774183511734009, -3.8396544456481934]"
2025-01-14,49.0,32.880233,37.043691,1.778184,77.2214,0.11,72.34,-1.4837665734360002,-1.2903739216203338,-0.1933926518156663,HOLD,"[2.820178747177124, 2.6392178535461426, -4.161468029022217]"
2025-01-15,53.0,42.078487,35.961099,1.348247,77.278,0.9,73.66,-1.376404632061309,-1.3075800637085289,-0.0688245683527801,BUY,"[3.2183542251586914, 3.2385916709899902, -0.16189976036548615]"
2025-01-16,58.0,52.005696,33.783885,1.086929,77.3694,3.77,75.51,-1.129025280476441,-1.271869107062111,0.1428438265856706,SELL,"[5.167070388793945, 4.869009971618652, 7.032165050506592]"
2025-01-17,59.0,55.960171,31.702463,1.045096,77.4784,5.16,76.41,-0.8505482924201715,-1.1876049441337233,0.3370566517135518,SELL,"[6.471573352813721, 6.393692970275879, 10.27716064453125]"
2025-01-21,75.0,69.536007,32.32471,1.831075,77.6708,11.87,80.93,-0.2621056574197524,-1.002505086790929,0.7403994293711766,SELL,"[10.333808898925781, 9.392067909240723, 13.878015518188477]"
2025-01-22,72.0,67.890536,32.902511,2.267017,77.7678,9.42,80.6,0.1755870698018782,-0.7668866554723677,0.942473725274246,SELL,"[10.67548942565918, 9.885656356811523, 14.5227689743042]"
2025-01-23,74.0,71.183957,33.558231,2.772115,77.946,8.7,82.08,0.6345704079977423,-0.4865952427783457,1.121165650776088,SELL,"[11.199395179748535, 10.3220853805542, 15.205469131469727]"
2025-01-24,74.0,69.880102,34.270514,3.131344,78.1046,7.09,81.83,0.9669981469489386,-0.1958765648328888,1.1628747117818274,SELL,"[10.885981559753418, 9.805033683776855, 13.383971214294434]"
2025-01-27,75.0,71.456614,34.579249,3.482843,78.1982,1.98,82.53,1.2722677641107083,0.0977523009558305,1.1745154631548778,SELL,"[10.937551498413086, 10.026589393615723, 13.507999420166016]"
2025-01-28,72.0,66.979965,35.019258,3.700825,78.2684,1.36,81.7,1.430729512438461,0.3643477432523566,1.0663817691861044,SELL,"[10.09598445892334, 8.957923889160156, 12.272619247436523]"
2025-01-29,73.0,67.918759,35.267034,3.896464,78.3446,-0.02,82.06,1.567293793750082,0.6049369533519018,0.96235684039818,SELL,"[9.67067813873291, 8.943124771118164, 11.735027313232422]"
2025-01-30,76.0,71.634056,35.92499,4.133781,78.4128,2.16,83.6,1.7792767059600436,0.8398049038735302,0.9394718020865134,SELL,"[10.361344337463379, 9.1088285446167, 11.987125396728516]"
2025-01-31,74.0,66.868533,36.535949,4.24924,78.4544,0.23,82.72,1.8548840963700144,1.042820742372827,0.8120633539971873,SELL,"[9.422298431396484, 8.604513168334961, 11.19434642791748]"
2025-02-03,74.0,66.949259,35.824686,4.311764,78.4816,1.29,82.75,1.8953755379006625,1.2133317014783942,0.6820438364222681,SELL,"[9.233012199401855, 8.26409912109375, 10.940189361572266]"
2025-02-04,71.0,61.813273,35.164227,4.313831,78.5138,-0.32,81.8,1.829716404764852,1.336608642135686,0.4931077626291662,SELL,"[8.205384254455566, 7.348908424377441, 9.669940948486328]"
2025-02-05,71.0,62.044329,33.971564,4.288553,78.542,-2.07,81.87,1.763006640572797,1.4218882418231082,0.3411183987496891,SELL,"[8.309579849243164, 7.5413498878479, 10.354279518127441]"
2025-02-06,75.0,67.413413,33.689937,4.15533,78.5988,1.11,83.64,1.831846493236327,1.503879892105752,0.3279666011305751,SELL,"[9.639397621154785, 8.911152839660645, 11.86141300201416]"
2025-02-07,74.0,64.846116,33.472925,3.981745,78.6372,0.52,83.18,1.828209950528418,1.5687459037902851,0.2594640467381328,SELL,"[9.06387996673584, 8.287692070007324, 10.703107833862305]"
2025-02-10,68.0,54.991323,31.312998,3.654835,78.6252,-0.77,81.17,1.644184625608787,1.5838336481539854,0.0603509774548016,SELL,"[6.484133720397949, 5.827890396118164, 6.722889423370361]"
2025-02-11,73.0,61.375577,30.570187,3.276904,78.6442,1.62,83.2,1.6432054151947284,1.595708001562134,0.0474974136325943,SELL,"[8.076082229614258, 7.514198303222656, 9.75084114074707]"
2025-02-12,70.0,57.401692,29.615903,2.672509,78.6378,-1.63,82.28,1.5503219265205388,1.5866307865538152,-0.0363088600332763,SELL,"[7.454466342926025, 6.923830032348633, 9.103790283203125]"
2025-02-13,69.0,54.470552,27.97592,2.041845,78.614,-1.94,81.57,1.4032442994792689,1.5499534891389062,-0.1467091896596373,SELL,"[6.291823387145996, 5.910167217254639, 6.957761764526367]"
2025-02-14,68.0,49.732667,26.453078,1.532825,78.593,-1.02,80.34,1.1739014942534285,1.4747430901618108,-0.3008415959083825,HOLD,"[4.737904071807861, 4.3876752853393555, 3.7324280738830566]"
2025-02-18,71.0,53.748146,25.044281,0.911709,78.6002,-2.07,81.48,1.071779336378441,1.3941503394051369,-0.3223710030266959,SELL,"[5.6963419914245605, 5.474323272705078, 6.552774906158447]"
2025-02-19,72.0,55.526853,23.987175,0.873999,78.6102,-0.33,82.01,1.0218342914749172,1.3196871298190929,-0.2978528383441756,SELL,"[6.665743350982666, 6.364652156829834, 7.7406463623046875]"
2025-02-20,72.0,54.756679,22.929889,0.805429,78.6106,0.32,81.83,0.956699748698952,1.2470896535950649,-0.2903899048961127,SELL,"[5.985949516296387, 5.811504364013672, 6.416263580322266]"
2025-02-21,69.0,49.093717,22.177751,0.890618,78.59,0.12,80.44,0.7838826596442914,1.1544482548049102,-0.3705655951606188,HOLD,"[4.692156791687012, 4.5195231437683105, 3.6696298122406006]"
2025-02-24,68.0,47.866405,20.744943,0.989073,78.5622,-1.67,80.12,0.6140244541496713,1.0463634946738625,-0.4323390405241911,BUY,"[4.450301170349121, 4.672217845916748, 3.8375818729400635]"
2025-02-25,65.0,43.744417,19.689937,1.178213,78.4958,-3.67,79.0,0.3846025044983463,0.9140112966387594,-0.529408792140413,BUY,"[3.941882371902466, 4.10295295715332, 2.5575826168060303]"
2025-02-26,63.0,42.684115,18.779625,1.362749,78.4216,-3.83,78.7,0.176541404292891,0.7665173181695857,-0.5899759138766947,BUY,"[3.876681089401245, 3.9540107250213623, 1.8704708814620972]"
2025-02-27,62.0,41.704365,18.059575,1.532303,78.3332,-2.5,78.43,-0.0100197585950354,0.6112099028166614,-0.6212296614116969,HOLD,"[3.708814859390259, 3.674032211303711, 1.2991085052490234]"
2025-02-28,65.0,47.03805,16.930726,1.510871,78.333,-0.74,79.53,-0.0683224388224061,0.4753034344888479,-0.5436258733112541,BUY,"[4.439742565155029, 4.642674922943115, 3.9292666912078857]"
2025-03-03,54.0,41.763378,16.109083,1.62358,78.3366,-1.11,78.12,-0.225701206079492,0.3351025063751799,-0.560803712454672,HOLD,"[3.9699928760528564, 3.8945462703704834, 1.9308605194091797]"
2025-03-04,46.0,33.294229,17.326899,2.026102,78.3044,-4.51,75.15,-0.5833546424651814,0.1514110766071076,-0.7347657190722892,BUY,"[2.482085943222046, 2.622765302658081, -4.3465118408203125]"
2025-03-05,50.0,40.276761,18.457729,2.181999,78.3598,-2.15,76.74,-0.7300819257592082,-0.0248875238661555,-0.7051944018930527,HOLD,"[3.5010015964508057, 3.468602180480957, 1.0931637287139893]"
2025-03-06,47.0,37.167338,19.60715,2.397927,78.3986,-4.99,75.56,-0.930850231180358,-0.2060800653289959,-0.7247701658513619,BUY,"[2.9219212532043457, 3.145353078842163, -0.842581570148468]"
2025-03-07,45.0,34.881692,21.518233,2.537448,78.405,-4.47,74.63,-1.1517273909128107,-0.3952095304457589,-0.7565178604670518,BUY,"[2.565885543823242, 2.917011260986328, -3.720453977584839]"
2025-03-10,38.0,28.098524,24.082735,3.004039,78.3356,-5.2,71.24,-1.5820815486415114,-0.6325839340849095,-0.949497614556602,HOLD,"[1.920963168144226, 1.9190391302108765, -10.952435493469238]"
2025-03-11,42.0,33.176106,26.414672,3.286125,78.2882,-5.56,72.47,-1.803104532062676,-0.8666880536804629,-0.9364164783822132,BUY,"[2.3785691261291504, 2.629446029663086, -5.984047889709473]"
2025-03-12,46.0,39.700639,27.121708,3.245913,78.2716,-1.77,74.22,-1.8161213477679892,-1.056574712497968,-0.7595466352700213,BUY,"[2.5672106742858887, 2.7282357215881348, -2.427194356918335]"
2025-03-13,44.0,38.076297,27.77824,3.256534,78.247,-1.5,73.51,-1.8622613447135592,-1.2177120389410865,-0.6445493057724727,BUY,"[2.48946475982666, 2.924999952316284, -4.378214359283447]"
2025-03-14,53.0,49.384474,26.268085,3.138177,78.3106,8.24,77.11,-1.590009076283863,-1.292171446409642,-0.2978376298742211,SELL,"[5.116217613220215, 5.022946357727051, 5.904221057891846]"
2025-03-17,53.0,51.145897,24.815113,3.072475,78.3858,7.31,77.77,-1.3059366827701808,-1.29492449368175,-0.0110121890884309,SELL,"[6.07750129699707, 6.3905768394470215, 7.4279022216796875]"
2025-03-18,52.0,50.543196,23.465925,2.927767,78.4602,4.5,77.56,-1.0852425091310351,-1.252988096771607,0.1677455876405718,SELL,"[6.496359348297119, 6.87466287612915, 8.409682273864746]"
2025-03-19,62.0,53.809069,22.113731,2.739975,78.5458,7.1,78.73,-0.8066331991957298,-1.1637171172564316,0.3570839180607017,SELL,"[7.702536106109619, 7.508406639099121, 10.8650541305542]"
2025-03-20,54.0,53.290811,20.928885,2.540022,78.6276,1.89,78.57,-0.5919206834436181,-1.0493578304938689,0.4574371470502507,SELL,"[8.15767765045166, 8.499364852905273, 12.687841415405273]"
2025-03-21,54.0,52.67614,19.635207,2.433419,78.7502,0.8,78.39,-0.4313120664475889,-0.9257486776846128,0.494436611237024,SELL,"[8.074479103088379, 8.108290672302246, 11.225647926330566]"
2025-03-24,65.0,57.302138,19.27232,2.422657,78.8894,3.09,79.96,-0.175321701947027,-0.7756632825370958,0.6003415805900688,SELL,"[8.651076316833496, 8.317219734191895, 10.521021842956543]"
2025-03-25,66.0,59.450102,19.221395,2.530824,79.049,2.57,80.75,0.0902584605755976,-0.6024789339145572,0.6927373944901548,SELL,"[9.769548416137695, 9.202192306518555, 11.623099327087402]"
2025-03-26,64.0,57.063042,19.011822,2.601722,79.1986,2.0,80.14,0.2486445313773799,-0.4322542408561698,0.6808987722335498,SELL,"[8.980637550354004, 8.74390697479248, 10.681844711303711]"
2025-03-27,62.0,54.959265,18.461707,2.647565,79.3438,1.54,79.6,0.3268257033003863,-0.2804382520248586,0.6072639553252449,SELL,"[7.872547626495361, 7.5627851486206055, 9.468488693237305]"
2025-03-28,50.0,48.567314,17.397553,2.59091,79.4268,-2.69,77.81,0.2415622259944854,-0.1760381564209898,0.4176003824154752,SELL,"[6.070423126220703, 6.007331848144531, 7.210958957672119]"
2025-03-31,51.0,50.204914,16.65657,2.594904,79.4822,-3.06,78.28,0.2095003879229722,-0.0989304475521974,0.3084308354751696,SELL,"[6.629741668701172, 6.6463704109191895, 8.265517234802246]"
2025-04-01,50.0,48.065856,16.444938,2.567445,79.5074,-3.08,77.67,0.1333322767510054,-0.0524779026915568,0.1858101794425623,SELL,"[5.730798244476318, 5.609254360198975, 6.549568176269531]"
2025-04-02,52.0,51.427194,15.518776,2.588373,79.4606,-1.27,78.59,0.1455272634196802,-0.0128768694693094,0.1584041328889897,SELL,"[7.105853080749512, 7.053404808044434, 8.55587100982666]"
2025-04-03,44.0,40.119894,16.132037,2.613519,79.346,-3.78,74.87,-0.1433288269500963,-0.0389672609654668,-0.1043615659846294,BUY,"[2.8736610412597656, 2.937446117401123, -2.6029207706451416]"
2025-04-04,32.0,29.288561,18.219747,3.110681,79.0856,-11.78,69.06,-0.8314829851947962,-0.1974704058113327,-0.6340125793834634,BUY,"[1.5591944456100464, 1.7667237520217896, -13.924875259399414]"
2025-04-07,36.0,32.594191,20.666513,3.227032,78.8498,-9.82,70.04,-1.2829828757261623,-0.4145728997942987,-0.8684099759318636,BUY,"[1.5123258829116821, 1.6441712379455566, -7.794776916503906]"
2025-04-08,35.0,32.41104,21.39553,3.436361,78.5978,-11.02,69.93,-1.6308761475017377,-0.6578335493357865,-0.9730425981659512,BUY,"[1.6926231384277344, 1.7505367994308472, -9.749996185302734]"
2025-04-09,48.0,47.713513,21.267526,3.407484,78.4688,0.51,75.25,-1.4604691536221708,-0.8183606701930635,-0.6421084834291073,HOLD,"[4.515932559967041, 4.477203369140625, 2.197822332382202]"
2025-04-10,45.0,44.836645,21.148666,3.392443,78.3046,6.94,73.85,-1.4219967891453391,-0.9390878939835188,-0.4829088951618207,BUY,"[3.5515899658203125, 3.9391462802886963, -3.8761966228485107]"
2025-04-11,52.0,51.790538,19.936764,3.391687,78.1718,9.88,76.96,-1.127558363539336,-0.9767819878946822,-0.1507763756446538,BUY,"[6.493266582489014, 6.78118896484375, 5.390619277954102]"
2025-04-14,51.0,51.700268,18.603026,3.38319,78.0558,10.0,76.92,-0.887214202582598,-0.9588684308322654,0.0716542282496673,BUY,"[7.490244388580322, 8.379460334777832, 7.808812141418457]"
2025-04-15,51.0,52.304591,17.364554,3.379153,77.9446,2.58,77.19,-0.6672612080714089,-0.9005469862800941,0.2332857782086852,SELL,"[8.153739929199219, 9.032232284545898, 11.378520011901855]"
2025-04-16,48.0,48.68448,16.849068,3.349308,77.8226,2.51,75.7,-0.6061896458980129,-0.8416755182036779,0.2354858723056649,SELL,"[6.487125873565674, 7.106297492980957, 7.270110607147217]"
2025-04-17,48.0,49.814208,15.747159,3.315029,77.7082,-1.05,76.15,-0.5155359758658733,-0.776447609736117,0.2609116338702437,SELL,"[7.236029624938965, 7.2467942237854, 8.021700859069824]"
2025-04-21,45.0,46.852058,15.268226,3.294183,77.5344,-2.56,74.95,-0.5343624625829619,-0.7280305803054861,0.1936681177225241,BUY,"[5.76168966293335, 6.078558921813965, 4.150829315185547]"
2025-04-22,49.0,51.10518,14.447845,3.180856,77.4024,-0.79,76.58,-0.4129944682720463,-0.6650233578987982,0.2520288896267518,SELL,"[7.3911919593811035, 7.476399898529053, 7.65678071975708]"
2025-04-23,59.0,54.113508,14.062017,3.022933,77.3354,2.8,77.82,-0.2142817152561207,-0.5748750293702627,0.3605933141141419,SELL,"[8.667633056640625, 8.40952205657959, 10.808194160461426]"
2025-04-24,62.0,57.644247,13.651554,2.973363,77.259,4.24,79.38,0.0682913159131146,-0.4462417603135872,0.514533076226702,SELL,"[9.925172805786133, 9.82294750213623, 12.19483470916748]"
2025-04-25,64.0,58.867773,13.749328,2.995757,77.2122,6.66,79.94,0.333574558955533,-0.2902784964597632,0.6238530554152962,SELL,"[10.335220336914062, 10.002124786376953, 12.189602851867676]"
2025-04-28,64.0,59.408954,13.840117,3.115541,77.1844,4.7,80.18,0.556761435311202,-0.1208705101055701,0.6776319454167722,SELL,"[10.213995933532715, 10.000955581665039, 12.094980239868164]"
2025-04-29,66.0,61.841918,14.220056,3.289093,77.2028,4.42,81.26,0.8114319346176586,0.0655899788390756,0.745841955778583,SELL,"[10.97279167175293, 10.336461067199707, 12.532109260559082]"
2025-04-30,66.0,62.158557,14.630404,3.472636,77.2012,2.54,81.4,1.012881107184057,0.255048204508072,0.7578329026759854,SELL,"[10.887388229370117, 10.258833885192871, 12.114298820495605]"
2025-05-01,66.0,62.422409,15.140844,3.623892,77.1912,1.96,81.51,1.1679437796257304,0.4376273195316036,0.7303164600941268,SELL,"[10.703030586242676, 9.968202590942383, 11.733064651489258]"
2025-05-02,70.0,66.122485,16.102946,3.8805,77.2168,3.65,83.11,1.4037570554176284,0.6308532667088087,0.7729037887088197,SELL,"[11.482828140258789, 10.533651351928711, 12.295804977416992]"
2025-05-05,70.0,66.696354,16.690161,3.691175,77.2754,2.6,83.37,1.593254555762627,0.8233335245195724,0.7699210312430546,SELL,"[11.83393383026123, 10.83657455444336, 12.566976547241211]"
2025-05-06,69.0,64.261595,17.235431,3.429051,77.3296,1.76,82.83,1.6804875881610002,0.994764337247858,0.6857232509131421,SELL,"[10.857050895690918, 10.07802677154541, 11.536003112792969]"
