date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,55.0,38.560166,20.167297,1.640717,116.3254,-1.24,112.69,0.0,0.0,0.0,,
2024-11-05,57.0,45.119342,20.568313,1.632046,116.1978,0.71,113.75,0.0845584045584075,0.0169116809116815,0.067646723646726,,
2024-11-06,60.0,54.414605,19.742483,1.642639,116.1092,2.3,115.63,0.2998157482487897,0.0734924943791031,0.2263232538696866,,
2024-11-07,69.0,59.239307,19.343256,1.639719,116.0606,3.97,116.85,0.5623698978837268,0.1712679750800279,0.3911019228036989,,
2024-11-08,71.0,62.658249,19.527884,1.74022,116.0698,4.56,117.83,0.8398425803853513,0.3049828961410926,0.5348596842442587,,
2024-11-11,71.0,63.43346,19.888091,1.859719,116.0856,3.79,118.06,1.066012430432096,0.4571888029992933,0.6088236274328026,,
2024-11-12,73.0,68.852877,20.723319,2.096586,116.1318,3.65,119.85,1.3738547638825906,0.6405219951759529,0.7333327687066378,,
2024-11-13,74.0,72.043616,22.254376,2.412752,116.204,3.66,121.13,1.701493574832341,0.8527163111072306,0.8487772637251104,,
2024-11-14,71.0,65.189014,23.740222,2.56403,116.242,1.77,119.91,1.8414784714472745,1.0504687431752393,0.7910097282720352,,
2024-11-15,71.0,65.363555,24.606076,2.698282,116.329,1.62,119.97,1.9349540631376527,1.227365807167722,0.7075882559699307,SELL,"[1.9813445806503296, 2.519510269165039, 3.4719254970550537]"
2024-11-18,70.0,63.64525,25.561599,2.828466,116.381,-0.15,119.67,1.9622075430872457,1.3743341543516268,0.5878733887356189,BUY,"[1.7249865531921387, 2.3647496700286865, 2.206047534942627]"
2024-11-19,69.0,62.991363,25.227288,2.926777,116.4156,-1.3,119.56,1.9524237163459048,1.4899520667504824,0.4624716495954224,BUY,"[1.7408760786056519, 2.4265518188476562, 2.117619752883911]"
2024-11-20,70.0,63.649494,23.995351,2.987675,116.4534,-0.14,119.74,1.9368674564619823,1.5793351446927826,0.3575323117691997,SELL,"[1.9217647314071655, 2.53960919380188, 2.791857957839966]"
2024-11-21,69.0,63.765155,22.85141,3.022913,116.4844,-0.17,119.77,1.9050001023482253,1.6444681362238711,0.2605319661243539,SELL,"[1.9381108283996582, 2.386371374130249, 2.738497495651245]"
2024-11-22,72.0,69.656739,22.763634,3.111425,116.5176,1.5,121.47,1.9939359348534251,1.7143616959497825,0.2795742389036431,SELL,"[3.2352402210235596, 3.7825767993927, 5.403162002563477]"
2024-11-25,75.0,77.38891,24.071082,3.449408,116.6212,4.37,124.79,2.3057353941113234,1.8326364355820903,0.4730989585292329,SELL,"[4.850246906280518, 5.547844886779785, 8.108636856079102]"
