date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,45.0,34.812589,27.380189,21.582419,598.2156,1.41,555.47,0.0,0.0,0.0,,
2024-11-05,46.0,39.027035,26.927335,21.514622,597.3196,1.85,560.79,0.4243874643874505,0.0848774928774901,0.3395099715099604,,
2024-11-06,45.0,38.468212,25.506326,21.139485,596.3052,2.45,559.68,0.6635014326180908,0.2006022808256102,0.4628991517924805,,
2024-11-07,43.0,36.544113,24.186818,21.017624,595.1602,-0.36,555.89,0.5409439839941115,0.2686706214593105,0.2722733625348009,,
2024-11-08,42.0,34.508735,23.46983,20.701127,593.9614,-0.67,551.74,0.1077044560523745,0.2364773883779233,-0.1287729323255488,,
2024-11-11,41.0,32.26126,23.163671,19.788336,592.5984,-2.47,546.92,-0.6174570482444324,0.0656905010534522,-0.6831475492978846,,
2024-11-12,39.0,29.603407,23.3103,19.066141,591.2848,-3.38,540.75,-1.6707607106052365,-0.2815997412782856,-1.3891609693269509,,
2024-11-13,40.0,30.748592,23.616244,18.602142,589.8848,-2.52,541.9,-2.385220722875374,-0.7023239375977033,-1.6828967852776708,,
2024-11-14,37.0,27.084663,24.393322,17.534133,588.4076,-3.39,533.02,-3.626176906587034,-1.2870945313955695,-2.3390823751914644,,
2024-11-15,31.0,21.026013,26.263089,17.290125,586.4426,-6.19,513.08,-6.1477673421834425,-2.2592290935531443,-3.888538248630298,HOLD,"[9.343953132629395, 9.32883071899414, -28.90341567993164]"
2024-11-18,28.0,18.404514,28.520168,18.227414,584.06,-7.3,501.29,-8.993825178138763,-3.606148310470268,-5.387676867668495,HOLD,"[9.368753433227539, 9.061884880065918, -36.498291015625]"
2024-11-19,32.0,25.08481,30.79826,18.192411,581.7582,-6.05,509.12,-10.496533452141987,-4.984225338804613,-5.512308113337376,BUY,"[9.551324844360352, 10.014386177062988, -37.205841064453125]"
2024-11-20,34.0,28.096736,32.565747,18.086662,579.6458,-3.79,512.84,-11.257498242860834,-6.238879919615858,-5.018618323244976,BUY,"[9.439714431762695, 10.55697250366211, -36.08506774902344]"
2024-11-21,27.0,30.72524,33.879317,18.615177,577.6846,0.59,516.1,-11.465348170143557,-7.284173569721398,-4.181174600422159,BUY,"[9.682198524475098, 10.34955883026123, -32.922794342041016]"
2024-11-22,26.0,29.706429,34.987515,19.21935,575.7264,2.39,513.26,-11.724087022913295,-8.172156260359777,-3.5519307625535177,BUY,"[9.799760818481445, 10.26935863494873, -33.993473052978516]"
2024-11-25,27.0,30.527546,36.016557,19.616464,573.7274,1.0,514.2,-11.718209063996028,-8.881366821087028,-2.8368422429090003,BUY,"[9.180209159851074, 9.934930801391602, -37.38926696777344]"
2024-11-26,27.0,30.037128,37.08468,20.07135,571.7772,0.03,512.98,-11.677384918815848,-9.440570440632792,-2.236814478183055,BUY,"[8.792316436767578, 9.852852821350098, -39.69342041015625]"
2024-11-27,30.0,37.704964,36.022615,19.914221,570.008,1.08,521.66,-10.819902925653992,-9.716436937637033,-1.1034659880169606,BUY,"[9.142290115356445, 10.589982032775879, -31.639118194580078]"
2024-11-29,32.0,43.79605,34.539921,19.69741,568.1956,3.19,529.63,-9.388999336417214,-9.650949417393068,0.2619500809758541,BUY,"[9.479351997375488, 10.942209243774414, -23.46941375732422]"
2024-12-02,32.0,44.032673,32.972272,18.809634,566.5208,3.06,529.95,-8.13539681679947,-9.34783889727435,1.2124420804748794,BUY,"[9.855053901672363, 10.621749877929688, -19.459209442138672]"
2024-12-03,33.0,47.366121,31.381836,17.982457,565.0022,4.18,534.42,-6.703937329158407,-8.819058583651163,2.115121254492756,BUY,"[9.94225025177002, 11.052823066711426, -13.97727108001709]"
2024-12-04,31.0,43.872158,30.203345,16.533593,563.342,1.38,528.87,-5.948760382098726,-8.244998943340676,2.2962385612419496,BUY,"[9.192728042602539, 10.718300819396973, -17.99321746826172]"
2024-12-05,28.0,39.359576,29.742676,14.945802,561.7636,-1.66,520.86,-5.928279749706007,-7.781655104613742,1.853375354907735,BUY,"[8.773330688476562, 9.934978485107422, -25.048892974853516]"
2024-12-06,32.0,45.737862,28.804404,13.365483,559.9642,-0.11,529.36,-5.166612248546926,-7.25864653340038,2.0920342848534537,BUY,"[9.571778297424316, 10.903651237487793, -14.519918441772461]"
2024-12-09,35.0,50.88855,27.123412,12.246572,558.4204,0.53,537.23,-3.883179166458945,-6.583553060012093,2.7003738935531487,BUY,"[10.364028930664062, 11.179399490356445, -4.276747703552246]"
2024-12-10,34.0,49.992439,25.279431,11.438478,556.766,1.32,535.85,-2.9434731429830663,-5.855537076606288,2.912063933623222,BUY,"[10.265036582946777, 11.060002326965332, -3.3154425621032715]"
2024-12-11,34.0,48.989359,23.47953,11.043508,555.1944,2.59,534.36,-2.2925527753825463,-5.1429402163615405,2.850387440978994,BUY,"[10.304048538208008, 11.301203727722168, 1.2199862003326416]"
2024-12-12,30.0,43.134341,22.787544,10.218995,553.44,-0.82,525.0,-2.5031131395087414,-4.614974800990981,2.11186166148224,BUY,"[9.28836727142334, 10.54245376586914, -9.969780921936035]"
2024-12-13,30.0,44.574812,22.736779,9.992917,551.9594,-1.92,526.89,-2.488787349128984,-4.189737310618582,1.7009499614895978,BUY,"[9.144357681274414, 10.585027694702148, -10.866734504699707]"
2024-12-16,32.0,47.145725,21.899827,9.897301,550.5924,-1.04,530.26,-2.18036928146239,-3.787863704787344,1.6074944233249535,BUY,"[9.562475204467773, 10.928608894348145, -2.5615994930267334]"
2024-12-17,32.0,46.173831,20.98416,8.580748,549.1922,-1.03,528.84,-2.0271600343563705,-3.4357229707011494,1.408562936344779,BUY,"[9.641080856323242, 10.764891624450684, -2.0815751552581787]"
2024-12-18,28.0,38.544756,21.015877,8.067169,547.6068,-1.68,516.18,-2.893937290505733,-3.327365834662066,0.4334285441563335,BUY,"[9.223126411437988, 10.192927360534668, -12.373650550842285]"
2024-12-19,28.0,38.982131,21.564074,7.818308,545.9556,-1.94,516.69,-3.499373177340658,-3.3617673031977846,-0.1376058741428734,BUY,"[9.087276458740234, 9.984801292419434, -12.919839859008789]"
