date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,74.0,60.78376,41.700639,5.777604,209.4094,-0.8,224.25,0.0,0.0,0.0,,
2024-11-05,77.0,64.234744,41.850023,5.489347,209.943,1.95,227.11,0.2281481481481364,0.0456296296296272,0.1825185185185091,,
2024-11-06,80.0,69.387689,42.781172,5.500595,210.5062,4.05,232.19,0.8095388836129587,0.1984114804262935,0.6111274031866651,,
2024-11-07,79.0,67.935219,43.687764,5.198663,211.1078,3.68,231.49,1.199978475403185,0.3987248794216719,0.8012535959815131,,
2024-11-08,82.0,71.447721,44.914791,5.206208,211.8124,4.93,235.31,1.7969328168296954,0.6783664669032766,1.118566349926419,,
2024-11-11,82.0,73.87609,46.286426,5.591864,212.6044,4.94,238.32,2.484268180433588,1.039546809609339,1.4447213708242492,,
2024-11-12,82.0,74.405685,47.560087,5.906881,213.3738,2.93,239.0,3.0487130586938065,1.4413800594262325,1.607332999267574,,
2024-11-13,82.0,75.862587,48.930482,6.400501,214.2154,4.06,240.88,3.6061702931290815,1.8743381061668023,1.73183218696228,,
2024-11-14,79.0,68.83704,50.32538,6.581059,215.0268,1.04,237.75,3.752141969189438,2.24989887877133,1.502243090418108,,
2024-11-15,77.0,64.442829,50.507542,6.612873,215.879,-1.14,235.61,3.653035539103541,2.530526210837772,1.1225093282657692,BUY,"[-2.815443754196167, -2.232966184616089, -5.422999858856201]"
2024-11-18,78.0,65.99405,50.465907,6.630316,216.7136,-0.82,237.03,3.6470343697871774,2.7538278426276537,0.8932065271595246,BUY,"[-2.281733989715576, -1.4770526885986328, -5.548125267028809]"
2024-11-19,75.0,58.571889,49.695008,6.147894,217.4476,-3.19,233.2,3.29524388818848,2.862111051739819,0.4331328364486611,BUY,"[-3.1513400077819824, -2.3552987575531006, -8.46430492401123]"
2024-11-20,77.0,61.346644,48.979173,5.788181,218.1862,-0.96,235.47,3.1631545491787847,2.9223197512276124,0.2408347979511722,BUY,"[-2.817612886428833, -2.0710854530334473, -6.732472896575928]"
2024-11-21,78.0,62.663519,48.625979,5.877867,218.8696,0.41,236.58,3.1121654140665957,2.9602888837954096,0.1518765302711857,BUY,"[-2.4261927604675293, -1.691395878791809, -5.496540546417236]"
2024-11-22,79.0,64.649884,48.68792,5.912342,219.5786,0.53,238.28,3.172362924573406,3.002703691951009,0.1696592326223971,BUY,"[-2.3566489219665527, -1.6382063627243042, -4.237667560577393]"
2024-11-25,80.0,66.522801,48.918191,6.043701,220.2604,2.89,239.94,3.315795584661913,3.06532207049319,0.2504735141687231,BUY,"[-2.11787748336792, -1.5392613410949707, -5.474728584289551]"
2024-11-26,82.0,71.41565,49.700958,6.367508,221.1048,4.01,244.92,3.787649713396093,3.209787599073771,0.5778621143223215,BUY,"[-1.0311212539672852, -0.3854188919067383, -1.1783491373062134]"
2024-11-27,82.0,72.527084,50.739893,6.380787,222.0952,4.07,246.2,4.216280159402714,3.41108611113956,0.8051940482631545,BUY,"[-1.503487467765808, -1.0864497423171997, -1.6655285358428955]"
2024-11-29,82.0,73.176432,51.704619,6.278789,223.0412,3.63,246.94,4.5630842961953135,3.641485748150711,0.9215985480446024,BUY,"[-1.3539690971374512, -0.8688580989837646, -3.173150062561035]"
2024-12-02,80.0,68.202906,52.155585,5.801645,223.9488,2.03,244.82,4.613679169224355,3.83592443236544,0.777754736858915,HOLD,"[-2.4977200031280518, -2.6101014614105225, -5.176415920257568]"
2024-12-03,80.0,68.235807,52.574338,5.19676,224.7966,-0.03,244.85,4.603134649013782,3.9893664756951086,0.6137681733186735,BUY,"[-2.743929624557495, -2.1384575366973877, -5.208235740661621]"
2024-12-04,78.0,64.026504,52.206326,4.61076,225.6294,-1.27,243.08,4.4012193166663,4.071737043889347,0.3294822727769526,BUY,"[-3.1499855518341064, -2.569467306137085, -8.412286758422852]"
2024-12-05,79.0,65.151352,51.795024,4.43915,226.442,-1.21,243.94,4.261471186574511,4.1096838724263804,0.1517873141481303,BUY,"[-2.793180227279663, -2.1819374561309814, -7.0159711837768555]"
2024-12-06,79.0,64.745725,51.509747,4.100552,227.2526,-0.42,243.78,4.090654603892034,4.105878018719512,-0.0152234148274779,BUY,"[-2.825744867324829, -2.3062217235565186, -6.915961742401123]"
2024-12-09,67.0,39.837933,49.191376,4.691052,227.7262,-6.53,228.86,2.720007371261687,3.8287038892279472,-1.1086965179662602,BUY,"[-5.199353218078613, -4.05364465713501, -16.87264633178711]"
2024-12-10,71.0,46.704624,47.038602,4.889378,228.269,-3.94,233.5,1.985283671950043,3.4600198457723668,-1.4747361738223237,BUY,"[-4.9388861656188965, -3.6441118717193604, -13.894477844238281]"
2024-12-11,71.0,47.864743,44.707301,5.027761,228.8338,-3.94,234.34,1.4540296776523292,3.0588218121483592,-1.60479213449603,BUY,"[-3.9628336429595947, -3.010019540786743, -13.974815368652344]"
2024-12-12,70.0,46.476904,43.126301,5.194024,229.3376,-4.31,233.27,0.9358787741124956,2.6342332045411867,-1.698354430428691,BUY,"[-3.8546555042266846, -2.625608205795288, -15.509251594543457]"
2024-12-13,69.0,44.740401,41.658229,5.419973,229.8158,1.35,231.94,0.4131579377310004,2.19001815117915,-1.7768602134481497,BUY,"[-4.1556525230407715, -3.2381486892700195, -16.990320205688477]"
2024-12-16,59.0,41.629612,40.736819,5.756942,230.2396,-1.73,229.47,-0.1981265686958977,1.7123892072041405,-1.9105157759000384,BUY,"[-4.9274396896362305, -4.378805160522461, -13.526657104492188]"
2024-12-17,52.0,32.894218,41.185041,6.944505,230.4872,-5.82,220.71,-1.3735987424640257,1.0951916172705072,-2.468790359734533,BUY,"[-4.726044654846191, -4.2479753494262695, -18.04090118408203]"
2024-12-18,52.0,32.877256,41.601247,7.829114,230.6776,-5.39,220.69,-2.2804946194337674,0.4200543699296523,-2.70054898936342,BUY,"[-4.492724418640137, -3.750283718109131, -21.09402084350586]"
2024-12-19,51.0,30.59226,42.161458,8.865833,230.7958,-6.01,218.0,-3.1796239290888764,-0.2998812898740534,-2.879742639214823,BUY,"[-3.945359230041504, -2.849536180496216, -18.211441040039062]"
2024-12-20,52.0,34.783946,42.681654,9.516698,230.973,-3.99,220.31,-3.663561434612518,-0.9726173188217464,-2.690944115790772,BUY,"[-3.830256938934326, -3.228499174118042, -16.91426658630371]"
2024-12-23,54.0,37.171982,42.826617,9.944262,231.1454,0.43,221.66,-3.893272455354833,-1.5567483461283635,-2.336524109226469,BUY,"[-3.653817892074585, -2.8822717666625977, -17.634069442749023]"
2024-12-24,54.0,39.555548,42.499041,10.168401,231.2874,1.05,223.01,-3.921185392342636,-2.0296357553712183,-1.8915496369714175,BUY,"[-3.741729259490967, -3.2344231605529785, -15.499856948852539]"
2024-12-26,55.0,40.756812,41.849823,10.051116,231.4204,2.61,223.68,-3.844921335653993,-2.3926928714277733,-1.4522284642262195,BUY,"[-3.5874733924865723, -3.0784196853637695, -16.448530197143555]"
2024-12-27,54.0,39.915274,41.246978,9.754187,231.4856,1.23,223.02,-3.7940030993804896,-2.6729549170183167,-1.121048182362173,BUY,"[-3.8492743968963623, -3.444054365158081, -17.888729095458984]"
2024-12-30,52.0,36.975331,41.060744,9.346448,231.4598,-0.45,220.66,-3.8991355000279375,-2.918191033620241,-0.980944466407697,BUY,"[-3.695216655731201, -3.1175451278686523, -17.50011444091797]"
2024-12-31,52.0,37.123263,40.887812,8.924837,231.4102,-1.02,220.73,-3.931485551816962,-3.1208499372595857,-0.8106356145573765,BUY,"[-3.9019393920898438, -3.4691226482391357, -17.7967529296875]"
2025-01-02,51.0,35.581413,40.9554,8.361195,231.3454,-1.86,219.53,-4.007754275562576,-3.298230804920184,-0.7095234706423916,BUY,"[-3.7820487022399902, -3.2742531299591064, -17.33848762512207]"
2025-01-03,50.0,35.032977,41.018159,7.768973,231.3474,-1.75,219.11,-4.05534083376142,-3.4496528106884314,-0.6056880230729886,BUY,"[-3.8265650272369385, -3.4484596252441406, -17.36900520324707]"
2025-01-06,46.0,27.672572,42.487717,7.256792,231.176,-3.75,212.38,-4.583275136238996,-3.676377275798545,-0.9068978604404512,BUY,"[-4.415991306304932, -3.866286039352417, -19.187711715698242]"
2025-01-07,47.0,27.635409,43.681625,6.352715,230.7516,-3.8,212.34,-4.947858705003625,-3.9306735616395607,-1.0171851433640646,BUY,"[-4.29979944229126, -3.88132643699646, -18.414018630981445]"
2025-01-08,50.0,35.097859,44.652954,6.439996,230.5348,-1.83,215.52,-4.923440034320578,-4.129226856175764,-0.7942131781448136,BUY,"[-3.632077932357788, -3.2012529373168945, -17.776397705078125]"
2025-01-10,47.0,30.589688,45.815515,6.394764,230.2046,-3.56,211.3,-5.184839195075227,-4.340349323955657,-0.8444898711195705,BUY,"[-3.7498254776000977, -3.3774383068084717, -19.724863052368164]"
2025-01-13,50.0,35.17914,46.082477,5.913225,229.9528,0.51,213.46,-5.158244928486141,-4.503928444861754,-0.6543164836243873,BUY,"[-3.636836528778076, -2.9412012100219727, -19.206552505493164]"
2025-01-14,51.0,36.68203,46.330371,5.289049,229.781,0.87,214.18,-5.021189649209958,-4.607380685731394,-0.413808963478564,BUY,"[-3.765554904937744, -3.5077900886535645, -17.141210556030273]"
2025-01-15,51.0,36.725916,45.39786,4.583108,229.6018,-0.61,214.2,-4.854993180840211,-4.656903184753158,-0.1980899960870523,BUY,"[-3.6343700885772705, -3.321078300476074, -17.240196228027344]"
2025-01-16,54.0,40.185969,44.623895,3.894485,229.4512,2.11,215.75,-4.5458079913101415,-4.634684146064555,0.0888761547544136,BUY,"[-3.4445083141326904, -2.9673235416412354, -19.764177322387695]"
2025-01-17,55.0,46.705926,42.898344,3.852451,229.3456,2.58,218.97,-3.994898706164804,-4.506727058084605,0.5118283519198012,BUY,"[-3.5551068782806396, -3.1457254886627197, -15.913430213928223]"
2025-01-21,56.0,47.697437,41.030186,3.818111,229.1932,2.48,219.49,-3.476267229698664,-4.300635092407417,0.824367862708753,BUY,"[-3.4845480918884277, -3.0461232662200928, -14.978229522705078]"
2025-01-22,55.0,45.405621,39.094129,3.818631,228.913,1.86,218.18,-3.134817870875338,-4.067471648101001,0.9326537772256628,BUY,"[-3.9174883365631104, -3.6110994815826416, -17.103410720825195]"
2025-01-23,53.0,41.866624,37.962398,3.795765,228.604,0.13,216.04,-3.0022883974852164,-3.854434997977844,0.8521466004926275,BUY,"[-4.082765102386475, -3.6744046211242676, -16.41503143310547]"
2025-01-24,55.0,47.114664,36.911505,3.691277,228.2692,-0.18,218.57,-2.66241728987211,-3.616031456356697,0.9536141664845874,BUY,"[-3.882582902908325, -3.610046148300171, -14.651762962341309]"
2025-01-27,57.0,52.351306,34.352369,3.588101,227.9314,0.88,221.43,-2.13764742162968,-3.320354649411294,1.1827072277816142,BUY,"[-3.3668811321258545, -2.52608585357666, -13.384326934814453]"
2025-01-28,55.0,51.791302,32.058554,3.4048,227.5742,1.36,221.14,-1.7252761867202937,-3.001338956873094,1.276062770152801,BUY,"[-3.5526435375213623, -2.8617939949035645, -13.15046215057373]"
2025-01-29,72.0,69.028091,32.887358,5.051735,227.4596,8.85,235.15,-0.2649252056747855,-2.4540562066334326,2.189131000958647,BUY,"[-1.0616753101348877, 0.4383787512779236, -0.3196701109409332]"
2025-01-30,70.0,67.579365,33.656961,6.182505,227.392,7.23,234.37,0.8200212917901979,-1.7992407069487064,2.6192619987389043,BUY,"[-1.7599245309829712, -0.8538895845413208, -4.271843910217285]"
2025-01-31,68.0,64.944717,33.570682,6.925071,227.3392,5.21,232.97,1.5490247152537506,-1.129587622508215,2.6786123377619657,BUY,"[-3.057584524154663, -2.3946352005004883, -7.551712989807129]"
2025-02-03,71.0,69.618714,33.853034,8.058668,227.3606,7.67,238.1,2.511759309531413,-0.4013182361002895,2.913077545631703,BUY,"[-1.9277766942977905, -0.799704909324646, -3.5840048789978027]"
2025-02-04,70.0,68.000874,34.407898,8.872296,227.4416,0.89,237.25,3.169608244540626,0.3128670600278936,2.8567411845127326,BUY,"[-2.5308778285980225, -1.2867202758789062, -3.601269483566284]"
2025-02-05,73.0,72.23533,35.132109,9.776935,227.5808,3.44,242.43,4.062115435849364,1.0627167351921878,2.999398700657176,BUY,"[-1.3563295602798462, 0.2754107713699341, -0.04639865830540657]"
2025-02-06,77.0,75.438289,36.297658,10.847973,227.7926,6.1,247.17,5.093200951138584,1.8688135783814672,3.224387372757117,SELL,"[0.48172885179519653, 2.646789789199829, 2.6619482040405273]"
2025-02-07,76.0,73.643221,37.634871,11.64404,227.9518,3.42,246.24,5.768801272790938,2.648811117263362,3.119990155527576,SELL,"[-1.0576199293136597, -0.36757856607437134, 1.594754934310913]"
2025-02-10,81.0,79.152187,39.327447,12.849789,228.2696,7.83,255.83,6.997390684082205,3.518527030627131,3.4788636534550745,SELL,"[1.5187681913375854, 3.526418685913086, 5.1541900634765625]"
2025-02-11,82.0,80.467938,41.09257,14.012361,228.5452,6.71,258.7,8.109164260631417,4.4366544766279885,3.672509784003428,SELL,"[1.2503139972686768, 3.2663259506225586, 5.199759483337402]"
2025-02-12,79.0,74.438977,42.740036,14.501643,228.7268,3.28,255.28,8.614979293419168,5.272319439986225,3.3426598534329437,SELL,"[-1.1982083320617676, -0.7688114047050476, 0.16731633245944977]"
2025-02-13,84.0,79.239087,44.649544,15.519378,229.0896,7.65,265.08,9.694863102088531,6.156828172406687,3.538034929681846,SELL,"[0.8670876622200012, 2.919933557510376, 4.947722911834717]"
2025-02-14,85.0,81.437819,46.681682,16.715471,229.6096,5.86,270.82,10.888334882646149,7.103129514454579,3.785205368191569,SELL,"[1.8382257223129272, 3.5857300758361816, 8.723020553588867]"
2025-02-18,80.0,70.741006,48.050442,17.020169,229.9768,1.74,263.21,11.092242005502982,7.900952012664261,3.191289992838721,BUY,"[-1.6413534879684448, -0.872279703617096, -1.923186182975769]"
2025-02-19,80.0,70.81695,48.584209,17.07818,230.3822,3.16,263.35,11.13675907320564,8.548113424772538,2.5886456484331006,BUY,"[-2.185699701309204, -1.2208994626998901, -2.807291269302368]"
2025-02-20,81.0,71.964438,49.193084,16.875692,230.8114,0.12,265.4,11.20825524792187,9.080141789402404,2.128113458519465,SELL,"[-2.157064199447632, -0.949532151222229, 1.541563868522644]"
2025-02-21,80.0,71.624161,49.901231,16.123882,231.2392,-2.09,265.17,11.118193786540928,9.48775218883011,1.6304415977108189,BUY,"[-1.9806784391403198, -0.009142851456999779, -1.7189310789108276]"
2025-02-24,82.0,73.369369,50.94158,15.373013,232.0246,1.87,268.13,11.157055105555344,9.821612772175158,1.335442333380186,BUY,"[-1.000099778175354, 0.12953341007232666, -2.585909366607666]"
2025-02-25,84.0,74.732003,51.907618,14.619183,232.7654,2.73,270.54,11.25260679303898,10.107811576347922,1.1447952166910564,SELL,"[-1.044122576713562, -0.2504439651966095, 1.9472156763076782]"
2025-02-26,79.0,64.472036,51.120593,13.00324,233.3502,-0.69,263.58,10.644020715790674,10.215053404236471,0.4289673115542012,BUY,"[-3.8411128520965576, -2.5448758602142334, -6.5965166091918945]"
2025-02-27,79.0,64.911808,50.389783,12.432323,233.9682,-0.38,264.17,10.09297440779514,10.190637604948208,-0.0976631971530679,BUY,"[-3.720957040786743, -2.293834924697876, -9.045975685119629]"
2025-02-28,82.0,68.802677,50.085684,11.814319,234.7232,0.58,269.69,9.986565198877829,10.149823123734132,-0.163257924856305,BUY,"[-2.574162006378174, -1.4650781154632568, -3.810173988342285]"
2025-03-03,83.0,70.787105,50.356208,10.892367,235.5904,0.85,272.83,10.039873480223209,10.127833195031949,-0.0879597148087398,BUY,"[-1.8116027116775513, -0.7018068432807922, -3.698024034500122]"
2025-03-04,78.0,60.067768,49.471783,9.81034,236.4692,0.41,264.65,9.314689102585334,9.965204376542625,-0.650515273957291,BUY,"[-4.137073516845703, -3.194685220718384, -11.746593475341797]"
2025-03-05,77.0,57.864386,47.289417,8.240288,237.3102,-0.54,262.74,8.48800972862307,9.669765446958714,-1.1817557183356442,BUY,"[-4.968822002410889, -3.8605244159698486, -9.044177055358887]"
2025-03-06,78.0,58.046602,45.315593,6.946763,238.2092,-2.5,262.95,7.760349139579944,9.28788218548296,-1.5275330459030163,BUY,"[-5.013382434844971, -3.3214049339294434, -8.806509971618652]"
2025-03-07,80.0,60.074241,43.808196,5.963766,239.1078,-2.78,265.24,7.284485724921296,8.887202893370628,-1.602717168449331,BUY,"[-3.7864129543304443, -2.189149856567383, -11.489357948303223]"
