date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,62.0,54.94997,26.248237,18.117102,234.2602,-5.15,248.98,0.0,0.0,0.0,,
2024-11-04,58.0,51.195148,24.603454,18.142753,234.7106,-6.43,242.84,-0.4898005698005931,-0.0979601139601186,-0.3918404558404745,,
2024-11-05,63.0,55.755495,23.621464,18.343206,235.4752,-2.37,251.44,-0.1819257960569018,-0.1147532503794752,-0.0671725456774265,,
2024-11-06,78.0,69.145838,24.706376,21.445552,237.0616,15.48,288.53,3.020106300705919,0.5122186598376036,2.5078876408683155,,
2024-11-07,80.0,71.262055,26.111145,24.76782,238.8848,19.25,296.91,6.162893769101828,1.6423536816904485,4.52054008741138,,
2024-11-08,84.0,76.333253,28.282485,29.360706,241.1836,32.28,321.22,10.494218494835309,3.412726644319421,7.081491850515888,,
2024-11-11,88.0,80.679902,30.905689,36.015556,243.9014,39.2,350.0,16.063954750098446,5.942972265475227,10.12098248462322,,
2024-11-12,82.0,70.289325,32.37614,38.459118,246.2592,13.85,328.49,18.528745779149688,8.460126968210119,10.068618810939569,,
2024-11-13,82.0,70.620835,33.680975,40.260087,248.4758,11.23,330.24,20.388297203287777,10.845761015225651,9.542536188062126,,
2024-11-14,75.0,62.44802,34.001492,40.067571,250.096,-3.13,311.18,20.09240960449813,12.695090733080148,7.397318871417982,SELL,"[31.638469696044922, 31.287410736083984, 99.9813003540039]"
2024-11-15,77.0,64.652986,34.216367,39.842837,252.2958,-8.37,320.72,20.392641148415063,14.234600816147132,6.158040332267934,SELL,"[28.477455139160156, 29.342262268066406, 132.6940155029297]"
2024-11-18,83.0,68.424458,35.126054,39.961781,254.7452,3.12,338.74,21.832963399080317,15.75427333273377,6.078690066346542,SELL,"[27.155567169189453, 28.23720359802246, 122.92882537841797]"
2024-11-19,85.0,69.82154,35.970763,39.605167,257.1418,4.77,346.0,23.29175760231857,17.261770186650732,6.029987415667836,SELL,"[29.425405502319336, 29.596439361572266, 132.86158752441406]"
2024-11-20,85.0,68.048463,36.755136,37.47811,259.4198,9.91,342.03,23.85255924186623,18.579927997693837,5.272631244172398,SELL,"[28.821035385131836, 29.046173095703125, 115.53825378417969]"
2024-11-21,83.0,66.946274,37.526486,37.925333,261.6164,5.9,339.64,23.829454438185792,19.629833285792227,4.199621152393565,SELL,"[33.806617736816406, 32.49905776977539, 96.61798095703125]"
2024-11-22,87.0,69.794494,38.641297,39.116951,264.0618,4.08,352.56,24.570446920337133,20.61795601270121,3.952490907635923,SELL,"[29.711933135986328, 29.66355323791504, 97.00218963623047]"
2024-11-25,82.0,63.429961,39.687771,38.794758,266.298,-2.14,338.59,23.756575538315133,21.245679917824,2.5108956204911337,SELL,"[30.92328643798828, 30.008827209472656, 112.19036102294922]"
2024-11-26,83.0,63.269846,40.412603,37.88694,268.5052,-1.11,338.23,22.819478865354085,21.56043970733002,1.2590391580240663,SELL,"[31.002635955810547, 30.347017288208008, 105.14305114746094]"
2024-11-27,81.0,60.817453,40.23168,36.224792,270.619,-1.99,332.89,21.39925236812985,21.528202239489985,-0.1289498713601347,SELL,"[32.41522216796875, 31.95073127746582, 113.37908935546875]"
2024-11-29,84.0,64.246694,40.182331,33.727075,272.6438,-2.1,345.16,21.021476595454143,21.426857110682818,-0.4053805152286713,SELL,"[30.883695602416992, 30.323633193969727, 126.89684295654297]"
2024-12-02,87.0,67.248085,40.681689,30.726805,275.0206,5.46,357.09,21.437618350816933,21.42900935870964,0.0086089921072911,SELL,"[29.03179168701172, 28.69377326965332, 116.05963897705078]"
2024-12-03,85.0,64.477683,40.863382,25.039565,277.049,3.9,351.42,21.06704430329989,21.356616347627693,-0.289572044327798,SELL,"[32.0148811340332, 31.1765079498291, 103.84627532958984]"
2024-12-04,87.0,66.199431,41.125599,18.41532,279.1222,7.52,357.93,21.05594447344123,21.2964819727904,-0.2405374993491698,SELL,"[31.266462326049805, 31.86650848388672, 100.60076141357422]"
2024-12-05,88.0,69.066625,41.969298,16.711503,281.3716,7.05,369.49,21.72945948453844,21.38307747514001,0.3463820093984289,SELL,"[32.963462829589844, 31.718730926513672, 109.95596313476562]"
2024-12-06,90.0,73.23905,43.145686,17.343284,284.0716,9.0,389.22,23.58341615152864,21.82314521041773,1.7602709411109032,SELL,"[29.933895111083984, 29.655567169189453, 124.68380737304688]"
2024-12-09,90.0,73.350884,44.595927,19.351839,286.6582,10.92,389.79,24.812659509979312,22.42104807033005,2.3916114396492603,SELL,"[31.0044002532959, 30.781160354614258, 127.80735778808594]"
2024-12-10,91.0,75.516018,46.047346,22.715406,289.4454,12.03,400.99,26.386423856230124,23.214123227510065,3.172300628720059,SELL,"[33.16694259643555, 33.074195861816406, 131.78097534179688]"
2024-12-11,92.0,79.351872,47.688875,27.543495,292.7804,14.96,424.77,29.215710180429653,24.414440618093984,4.801269562335669,SELL,"[32.830322265625, 32.96442794799805, 151.7117156982422]"
2024-12-12,90.0,75.766339,49.291742,30.298808,296.162,7.42,418.1,30.56736516172072,25.64502552681933,4.922339634901384,SELL,"[34.29824447631836, 33.901912689208984, 157.6954345703125]"
2024-12-13,93.0,78.597236,50.902007,32.748686,300.0734,11.91,436.23,32.72427587171546,27.06087559579856,5.663400275916906,SELL,"[33.21858596801758, 32.840492248535156, 149.4597625732422]"
2024-12-16,93.0,81.952205,52.78181,37.571532,304.3322,15.47,463.02,36.17833097644967,28.88436667192878,7.293964304520891,SELL,"[35.96564865112305, 35.67008972167969, 167.552734375]"
2024-12-17,93.0,83.683603,54.750859,43.519339,309.1128,12.97,479.86,39.81557265706533,31.07060786895609,8.74496478810924,SELL,"[35.4216194152832, 37.01557922363281, 185.30935668945312]"
2024-12-18,88.0,67.283624,54.283027,44.804748,313.0254,5.27,440.13,39.042179983393055,32.66492229184348,6.377257691549573,SELL,"[37.82599639892578, 37.43815994262695, 163.84649658203125]"
2024-12-19,87.0,65.897404,53.402525,45.159431,316.9278,-0.01,436.17,37.67542298853999,33.66702243118279,4.008400557357206,SELL,"[41.055198669433594, 39.50197982788086, 142.256103515625]"
2024-12-20,84.0,60.753985,52.430623,44.271817,320.5736,-9.06,421.06,34.9698963060934,33.92759720616491,1.042299099928492,SELL,"[38.74871826171875, 39.176612854003906, 152.7342529296875]"
2024-12-23,85.0,62.731826,51.377141,44.050391,324.8296,-10.27,430.6,33.21268997305299,33.784615759542525,-0.5719257864895368,SELL,"[36.689090728759766, 37.108272552490234, 172.13400268554688]"
2024-12-24,90.0,68.422837,51.160631,44.233333,329.692,5.03,462.28,33.98464865829993,33.82462233929401,0.1600263190059223,SELL,"[34.50469970703125, 34.010215759277344, 155.8932342529297]"
2024-12-26,89.0,65.645594,51.019915,43.046309,334.3832,4.12,454.13,33.55202770049283,33.770103411533775,-0.2180757110409459,SELL,"[38.89606857299805, 37.913272857666016, 167.62197875976562]"
2024-12-27,86.0,58.585171,49.34615,39.678044,338.5898,2.52,431.66,31.03824173411408,33.22373107604984,-2.1854893419357566,SELL,"[38.889896392822266, 38.90315246582031, 134.8684539794922]"
2024-12-30,84.0,54.576269,47.208748,36.503168,342.5202,-3.06,417.41,27.578287011348834,32.094642263109634,-4.5163552517608,SELL,"[42.32503128051758, 43.5731086730957, 90.2736587524414]"
2024-12-31,78.0,50.997479,44.55803,34.032898,346.183,-12.64,403.84,23.47070667856872,30.36985514620145,-6.899148467632735,SELL,"[39.09341049194336, 39.639530181884766, 96.63780975341797]"
2025-01-02,70.0,45.218139,41.897162,31.734736,349.3916,-16.48,379.28,18.025842239170345,27.90105256479523,-9.875210325624884,SELL,"[37.424137115478516, 36.65325164794922, 81.48339080810547]"
2025-01-03,81.0,52.563248,39.145413,28.470526,353.241,-4.92,410.44,16.04019810871108,25.5288816735784,-9.48868356486732,SELL,"[37.585426330566406, 37.90336990356445, 98.85163879394531]"
2025-01-06,79.0,52.696961,37.109906,25.894881,357.189,-1.52,411.05,14.350360706115168,23.29317748008576,-8.942816773970588,SELL,"[35.292049407958984, 36.214298248291016, 99.39080047607422]"
2025-01-07,73.0,48.655866,34.735997,25.561848,359.8666,-2.35,394.36,11.531481137629896,20.940838211594585,-9.409357073964689,SELL,"[37.956298828125, 36.93779373168945, 80.38260650634766]"
2025-01-08,73.0,48.802798,32.424529,25.227002,362.3816,4.13,394.94,9.237812174997488,18.600233004275164,-9.362420829277678,BUY,"[39.70586013793945, 41.740726470947266, 21.08799171447754]"
2025-01-10,72.0,48.750992,30.355722,25.565325,365.0262,-3.83,394.74,7.319549458690062,16.344096295158145,-9.024546836468083,SELL,"[41.24039840698242, 42.008140563964844, 48.4218635559082]"
2025-01-13,70.0,51.144316,28.237675,26.007526,367.902,-1.88,403.31,6.416870128720575,14.358651061870631,-7.941780933150056,SELL,"[34.39306640625, 34.45350646972656, 64.02009582519531]"
2025-01-14,67.0,49.140118,26.94114,26.682419,370.6782,0.51,396.36,5.082100053915667,12.50334086027964,-7.421240806363972,BUY,"[37.641517639160156, 37.89773178100586, 33.80440902709961]"
