date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,60.0,50.15609,14.289733,4.294957,203.5958,-3.64,203.66,0.0,0.0,0.0,,
2024-11-05,52.0,48.615315,13.362841,4.292626,203.48,-2.63,202.46,-0.0957264957265238,-0.0191452991453047,-0.076581196581219,,
2024-11-06,69.0,61.792553,14.131432,5.000464,203.5656,5.81,214.97,0.8283137312197084,0.1503465069276978,0.6779672242920105,,
2024-11-07,69.0,63.843876,15.166158,5.833174,203.7616,6.16,217.54,1.7478516442833438,0.4698475343988271,1.2780041098845167,,
2024-11-08,70.0,65.950471,16.384146,6.786462,203.9456,8.17,220.29,2.667742013272971,0.909426430173656,1.758315583099315,,
2024-11-11,66.0,59.908722,17.085,7.145122,203.9762,6.62,215.87,3.005459629851486,1.3286330701092222,1.6768265597422645,,
2024-11-12,63.0,56.043361,16.635346,7.187691,204.1952,-1.02,212.78,2.989307225406151,1.660767901168608,1.3285393242375427,,
2024-11-13,57.0,48.365098,15.562537,7.079002,204.2296,-5.43,205.72,2.379395145280512,1.804493349990989,0.5749017952895228,,
2024-11-14,57.0,48.665489,14.501387,6.832361,204.3186,-6.49,206.0,1.8967643685976725,1.8229475537123256,0.0738168148853466,,
2024-11-15,46.0,43.874734,14.190665,6.693853,204.392,-6.83,201.12,1.1077315450587264,1.679904351981606,-0.5721728069228798,BUY,"[11.198351860046387, 11.66090202331543, 6.861286163330078]"
2024-11-18,59.0,50.404033,13.370575,6.185216,204.5122,-2.63,207.18,0.960338517556039,1.535991185096493,-0.5756526675404539,BUY,"[10.771340370178223, 11.262195587158203, 9.56410026550293]"
2024-11-19,47.0,44.751199,12.701954,5.571715,204.5376,-2.26,201.07,0.346508213757005,1.2980945908285957,-0.9515863770715904,BUY,"[11.56088924407959, 11.810173034667969, 3.806627035140991]"
2024-11-20,45.0,42.340763,12.818397,5.81498,204.4532,-3.79,198.19,-0.3681053657295194,0.9648545995169724,-1.332959965246492,BUY,"[11.231661796569824, 11.412763595581055, 5.441263675689697]"
2024-11-21,45.0,42.352374,12.756474,6.1703,204.4976,-1.45,198.2,-0.922995146059634,0.5872846504016511,-1.510279796461285,BUY,"[11.871254920959473, 12.119293212890625, 6.025667190551758]"
2024-11-22,44.0,42.16948,12.698974,6.492599,204.459,-4.43,198.0,-1.3631738041979418,0.1971929594817325,-1.5603667636796743,BUY,"[12.070538520812988, 12.383795738220215, 5.161428451538086]"
2024-11-25,48.0,48.117264,11.994348,6.545081,204.5482,0.93,202.93,-1.2992320257684185,-0.1020920375682976,-1.1971399882001208,BUY,"[12.108323097229004, 12.72755241394043, 8.796573638916016]"
2024-11-26,46.0,46.067988,11.826256,6.565468,204.5394,1.39,200.95,-1.392277845793501,-0.3601291992133383,-1.0321486465801626,BUY,"[12.274526596069336, 12.462533950805664, 5.310753345489502]"
2024-11-27,45.0,44.263406,11.362785,6.721268,204.509,0.5,199.19,-1.5897094387385948,-0.6060452471183897,-0.9836641916202052,BUY,"[11.553851127624512, 12.587115287780762, 8.860002517700195]"
2024-11-29,46.0,46.617719,11.133916,6.777469,204.3776,1.53,201.03,-1.5794953370432836,-0.8007352651033686,-0.778760071939915,BUY,"[12.295183181762695, 12.716353416442871, 8.320772171020508]"
2024-12-02,46.0,47.589507,10.653512,6.827667,204.3472,-0.57,201.78,-1.4936638290250812,-0.9393209778877112,-0.55434285113737,BUY,"[12.44594955444336, 13.099514961242676, 9.16047191619873]"
2024-12-03,42.0,42.531093,9.900866,7.051925,204.2148,-1.85,197.23,-1.772358073979234,-1.105928397106016,-0.6664296768732181,BUY,"[12.426093101501465, 12.97929573059082, 6.438432693481445]"
2024-12-04,42.0,41.919421,9.501572,7.271962,204.049,-1.28,196.65,-2.016778259353771,-1.2880983695555668,-0.7286798897982041,BUY,"[11.967921257019043, 12.525555610656738, 7.162539482116699]"
2024-12-05,39.0,38.187189,9.811545,7.317911,203.8076,-4.0,192.99,-2.477258139526384,-1.5259303235497303,-0.9513278159766538,BUY,"[11.986250877380371, 12.53579330444336, 4.845616817474365]"
2024-12-06,39.0,38.364806,10.099377,6.941615,203.4844,-4.3,193.1,-2.801027183655634,-1.7809496955709112,-1.020077488084723,BUY,"[12.220419883728027, 12.467511177062988, 3.7389721870422363]"
2024-12-09,40.0,38.965749,9.690389,5.890009,203.1706,-1.92,193.45,-2.9948516235442924,-2.023730081165588,-0.9711215423787048,HOLD,"[12.642780303955078, 12.279915809631348, 3.197003126144409]"
2024-12-10,38.0,35.484698,9.772081,5.317953,202.8428,-3.29,190.18,-3.3734337160662164,-2.2936708081457136,-1.079762907920503,BUY,"[12.074161529541016, 12.154266357421875, 2.139186143875122]"
2024-12-11,40.0,38.246359,9.847939,4.712704,202.6448,-0.67,191.7,-3.510346367289202,-2.537005919974411,-0.9733404473147907,BUY,"[12.088815689086914, 12.268407821655273, 3.267289161682129]"
2024-12-12,41.0,38.265084,10.056258,4.678055,202.4104,-0.72,191.71,-3.5768124459705746,-2.744967225173644,-0.8318452207969309,HOLD,"[12.638025283813477, 12.375223159790039, 2.692490339279175]"
2024-12-13,41.0,38.115739,10.544638,4.517789,202.2088,-0.96,191.59,-3.597698263217012,-2.915513432782318,-0.6821848304346942,BUY,"[12.469038009643555, 12.749675750732422, 4.01300048828125]"
2024-12-16,38.0,35.46954,10.998134,4.748134,201.9438,-0.38,189.46,-3.7429769147551895,-3.081006129176892,-0.6619707855782972,HOLD,"[12.619834899902344, 12.184680938720703, 1.6528806686401367]"
2024-12-17,38.0,33.876147,11.81028,4.48015,201.6808,-1.87,188.12,-3.921038799410383,-3.2490126632235907,-0.6720261361867919,HOLD,"[12.298506736755371, 12.191128730773926, 2.803143262863159]"
2024-12-18,36.0,30.446574,13.13498,4.898124,201.3366,-3.5,185.0,-4.264750660044427,-3.4521602625877583,-0.8125903974566691,HOLD,"[12.523929595947266, 12.006733894348145, 0.07772546261548996]"
2024-12-19,35.0,29.892942,14.547946,5.353105,200.9266,-3.72,184.47,-4.527718634500815,-3.6672719369703697,-0.860446697530445,HOLD,"[12.559126853942871, 11.640886306762695, -0.45842429995536804]"
2024-12-20,38.0,35.603333,15.431583,5.516571,200.6146,-1.37,186.87,-4.490696749707382,-3.831956899517772,-0.65873985018961,HOLD,"[12.317781448364258, 12.087183952331543, 1.6148384809494019]"
2024-12-23,41.0,42.478113,15.539056,5.484671,200.3152,1.07,190.14,-4.149660267322673,-3.895497573078752,-0.254162694243921,BUY,"[12.060018539428711, 12.336723327636719, 3.056852102279663]"
2024-12-24,43.0,46.781611,14.955888,5.033872,199.9908,4.02,192.44,-3.6517010829207095,-3.846738275047144,0.195037192126434,BUY,"[11.978581428527832, 12.397618293762207, 5.257713317871094]"
2024-12-26,43.0,45.64632,14.332888,4.685933,199.8286,3.94,191.73,-3.2765854702647914,-3.732707714090673,0.4561222438258818,BUY,"[12.063138008117676, 12.422080039978027, 5.823856830596924]"
2024-12-27,43.0,44.740539,13.999497,4.427192,199.6384,2.31,191.18,-2.989226110260688,-3.584011393324676,0.5947852830639881,BUY,"[12.005208015441895, 12.618953704833984, 7.187500476837158]"
2024-12-30,40.0,39.765431,14.369711,3.995696,199.4316,-1.15,187.96,-2.9868878525907405,-3.4645866851778893,0.4776988325871487,BUY,"[12.285026550292969, 12.501935005187988, 4.6679840087890625]"
2024-12-31,41.0,39.110885,15.002011,3.28756,199.2124,-2.56,187.51,-2.9869147122215054,-3.3690522905866125,0.3821375783651071,BUY,"[12.081727027893066, 12.39838695526123, 5.131593704223633]"
