date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,49.0,40.372209,19.203033,3.534933,75.359,-7.52,73.25,0.0,0.0,0.0,,
2024-11-05,51.0,43.053171,19.968072,3.640182,75.3898,-6.65,74.15,0.0717948717948786,0.0143589743589757,0.0574358974359029,,
2024-11-06,53.0,43.68937,21.310972,3.765556,75.4258,3.21,74.36,0.1439783767988984,0.0402828548469602,0.1036955219519381,,
2024-11-07,49.0,40.813317,21.682505,3.953442,75.4514,-0.16,73.13,0.1007719675935163,0.0523806773962715,0.0483912901972448,,
2024-11-08,47.0,38.400819,22.338846,3.74646,75.4474,-1.65,72.04,-0.0211791731525039,0.0376687072865164,-0.0588478804390203,,
2024-11-11,45.0,37.545659,23.006418,3.58156,75.4178,-3.37,71.65,-0.1475946917067716,0.0006160274878588,-0.1482107191946304,,
2024-11-12,44.0,36.910135,23.665348,3.493399,75.4074,-4.02,71.37,-0.2672923806970715,-0.0529656541491272,-0.2143267265479442,,
2024-11-13,44.0,36.412323,24.463411,3.441284,75.3994,-2.69,71.16,-0.3747786910946331,-0.1173282615382284,-0.2574504295564047,,
2024-11-14,45.0,37.620378,24.810058,3.446627,75.4032,-0.83,71.44,-0.4323844477754051,-0.1803394987856638,-0.2520449489897413,,
2024-11-15,48.0,44.906835,24.626204,3.372898,75.4766,2.23,73.25,-0.328202240641815,-0.209912047156894,-0.1182901934849209,BUY,"[1.5277252197265625, 2.501696825027466, -2.3574912548065186]"
2024-11-18,41.0,35.291995,25.62026,3.37838,75.4672,-2.86,69.33,-0.555544360515583,-0.2790385098286319,-0.2765058506869511,BUY,"[1.2045047283172607, 1.7336043119430542, -5.627050876617432]"
2024-11-19,41.0,34.881645,26.543311,3.310588,75.47,-2.85,69.13,-0.7432848320917316,-0.3718877742812518,-0.3713970578104797,BUY,"[1.4358932971954346, 1.915520191192627, -3.85213041305542]"
2024-11-20,42.0,36.743048,26.975811,3.170945,75.4598,-2.58,69.6,-0.8444115852400955,-0.4663925364730206,-0.3780190487670749,BUY,"[1.7057656049728394, 2.1671080589294434, -2.867924690246582]"
2024-11-21,42.0,36.908346,27.064369,3.079497,75.4908,-4.93,69.64,-0.910828140154166,-0.5552796572092498,-0.3555484829449162,BUY,"[1.3201303482055664, 2.0219743251800537, -2.4082818031311035]"
2024-11-22,46.0,44.243491,26.759245,2.918521,75.4714,3.14,71.51,-0.8033103055124258,-0.6048857868698849,-0.1984245186425408,BUY,"[1.2841196060180664, 2.2283883094787598, -2.0557491779327393]"
2024-11-25,49.0,50.565351,25.421472,2.703602,75.5094,6.21,73.42,-0.5575534800180435,-0.5954193254995167,0.0378658454814732,BUY,"[1.3700487613677979, 2.4350686073303223, -1.5347005128860474]"
2024-11-26,45.0,45.19167,24.380249,2.246505,75.485,2.82,71.56,-0.5070311411832051,-0.5777416886362544,0.0707105474530492,BUY,"[1.2272001504898071, 2.272038221359253, -1.7092595100402832]"
2024-11-27,48.0,45.393279,23.551647,1.524987,75.4474,2.84,71.62,-0.4568836547321808,-0.5535700818554397,0.0966864271232588,BUY,"[3.304382562637329, 3.5046474933624268, 0.8742913007736206]"
2024-11-29,48.0,46.59212,22.782231,1.524509,75.381,0.63,71.96,-0.385265155037132,-0.5199090964917782,0.1346439414546462,BUY,"[2.895352840423584, 2.974022388458252, 2.2053916454315186]"
2024-12-02,50.0,50.419104,21.496733,1.516676,75.3636,-0.48,73.07,-0.2362163002328969,-0.463170537240002,0.226954237007105,SELL,"[4.487191677093506, 4.358417510986328, 7.327489376068115]"
2024-12-03,46.0,44.81153,20.415392,1.48518,75.2948,-0.41,71.27,-0.2603379518793502,-0.4226040201678717,0.1622660682885214,SELL,"[2.102506399154663, 2.1556191444396973, 2.347372055053711]"
2024-12-04,48.0,47.897157,19.720759,1.38307,75.1892,0.75,72.16,-0.2052727165382037,-0.3791377594419381,0.1738650429037343,BUY,"[1.7578977346420288, 2.2819018363952637, 1.7145944833755493]"
2024-12-05,31.0,32.608873,21.282802,1.839304,74.951,-9.35,65.23,-0.7126116607405777,-0.4458325397016661,-0.2667791210389116,BUY,"[0.9917401075363159, 1.3340626955032349, -3.2931482791900635]"
2024-12-06,33.0,35.366022,22.73327,2.088613,74.739,-9.55,66.09,-1.033374518326582,-0.5633409354266492,-0.4700335828999327,BUY,"[0.6245412230491638, 1.228285789489746, -1.971381664276123]"
2024-12-09,32.0,34.743037,24.116605,2.341395,74.5388,-7.76,65.74,-1.300828329616735,-0.7108384142646664,-0.5899899153520685,BUY,"[0.05918366461992264, 1.0109652280807495, -3.5615651607513428]"
2024-12-10,30.0,33.333785,25.514723,2.616369,74.3348,-9.98,64.96,-1.557769881714535,-0.8802247077546401,-0.6775451739598946,BUY,"[0.455547571182251, 1.4909336566925049, -4.266912937164307]"
2024-12-11,25.0,27.510133,27.766135,3.249678,74.0736,-6.21,61.18,-2.0428634637659258,-1.1127524589568971,-0.9301110048090284,BUY,"[0.6435073614120483, 1.962592363357544, -7.139215469360352]"
2024-12-12,26.0,28.330596,29.856732,3.690423,73.8444,-7.08,61.41,-2.3812944643615594,-1.3664608600378298,-1.0148336043237296,BUY,"[0.9609004259109497, 1.8703396320343018, -7.890085220336914]"
2024-12-13,25.0,26.270112,32.061968,4.160414,73.5842,-8.84,59.93,-2.7373723769152605,-1.640643163413316,-1.0967292135019444,BUY,"[0.6919836401939392, 2.2469263076782227, -6.217928886413574]"
2024-12-16,27.0,27.497937,34.109687,4.392658,73.3036,-7.25,60.25,-2.9596286061021857,-1.90444025195109,-1.0551883541510956,BUY,"[1.4962931871414185, 2.538928270339966, -7.458057403564453]"
2024-12-17,30.0,30.53456,36.150269,4.628694,73.0324,-0.25,61.03,-3.037810795851456,-2.131114360731164,-0.9066964351202929,BUY,"[0.310110867023468, 1.8336106538772583, -5.607479095458984]"
2024-12-18,30.0,31.32877,36.140166,4.809532,72.7336,-0.29,61.23,-3.048491305816256,-2.314589749748182,-0.7339015560680742,BUY,"[0.9098019003868103, 1.9259175062179565, -6.29353141784668]"
2024-12-19,29.0,29.477734,36.360697,5.001265,72.3804,0.47,60.21,-3.1034861064346373,-2.4723690210854734,-0.6311170853491639,BUY,"[0.7979198694229126, 2.092040777206421, -5.956578254699707]"
2024-12-20,30.0,31.69349,36.626763,5.112772,72.0366,0.8,60.73,-3.0697243564184475,-2.591840088152068,-0.4778842682663793,BUY,"[1.1438469886779785, 2.057515859603882, -5.173208236694336]"
2024-12-23,32.0,36.41051,36.35336,5.046062,71.5472,1.38,61.87,-2.917350058184468,-2.6569420821585483,-0.2604079760259195,BUY,"[1.4798775911331177, 2.3666932582855225, -2.59421968460083]"
2024-12-24,24.0,36.034393,36.099486,4.794777,71.0826,0.78,61.71,-2.777485863748346,-2.681050838476508,-0.0964350252718384,BUY,"[1.2001253366470337, 2.14239764213562, -2.913776397705078]"
2024-12-26,24.0,35.662467,35.863745,4.619565,70.6498,2.24,61.56,-2.6482192058425653,-2.67448451194972,0.0262653061071542,BUY,"[1.0020548105239868, 2.0856993198394775, -2.4409523010253906]"
2024-12-27,24.0,34.561188,36.038062,4.389393,70.2344,0.66,61.13,-2.551064767815617,-2.6498005631229,0.0987357953072818,BUY,"[1.1247198581695557, 2.052870273590088, -2.817328453063965]"
2024-12-30,23.0,33.624993,36.116542,4.057029,69.8518,-1.78,60.77,-2.474592603916264,-2.614758971281572,0.1401663673653082,BUY,"[1.121945858001709, 2.0700747966766357, -2.779597759246826]"
2024-12-31,22.0,32.442006,36.189418,3.475196,69.475,-2.25,60.32,-2.4223754657738468,-2.576282270180027,0.1539068044061804,BUY,"[0.9598637819290161, 1.9348472356796265, -2.827186107635498]"
2025-01-02,29.0,45.515886,34.598783,2.906089,69.1292,2.62,63.17,-2.1265087567930507,-2.486327567502632,0.3598188107095814,BUY,"[2.0505330562591553, 2.4958927631378174, -0.8750300407409668]"
2025-01-03,33.0,50.641205,32.167889,1.969887,68.8128,5.66,64.59,-1.7571942838674277,-2.3405009107755914,0.5833066269081639,BUY,"[2.5706329345703125, 2.958392381668091, 0.07386400550603867]"
2025-01-06,35.0,56.035978,30.887095,2.065891,68.5424,9.12,66.31,-1.3106123545511537,-2.134523199530704,0.82391084497955,HOLD,"[4.2886962890625, 4.281824111938477, 3.192567825317383]"
2025-01-07,35.0,55.429071,30.272716,2.071559,68.2978,9.67,66.15,-0.9585540070292636,-1.899329361030416,0.940775354001152,HOLD,"[6.093103885650635, 5.274105548858643, 5.878056526184082]"
2025-01-08,31.0,50.833967,28.73768,2.00781,68.0436,2.75,64.91,-0.7707185039049449,-1.6736071896053215,0.9028886857003768,SELL,"[5.653772830963135, 4.717831134796143, 7.405491828918457]"
2025-01-10,33.0,54.320162,27.23233,2.088407,67.8092,2.14,65.97,-0.5302124145180329,-1.444928234587864,0.9147158200698312,SELL,"[9.14968204498291, 7.887494087219238, 14.249049186706543]"
2025-01-13,31.0,53.283778,26.09345,2.204797,67.539,-0.92,65.7,-0.3572778725252163,-1.2273981621753347,0.8701202896501183,SELL,"[8.53425407409668, 7.209048748016357, 13.153229713439941]"
2025-01-14,30.0,50.01078,24.814407,2.250355,67.2472,-1.98,64.84,-0.2863202926445325,-1.0391825882691743,0.7528622956246418,SELL,"[4.614760398864746, 3.905902624130249, 7.533146858215332]"
2025-01-15,35.0,57.189463,23.836292,2.354853,67.1466,3.25,67.02,-0.0535607039329448,-0.8420582114019285,0.7884975074689836,SELL,"[8.165278434753418, 7.353702068328857, 11.738476753234863]"
2025-01-16,45.0,61.455133,23.906638,2.563714,67.0532,3.96,68.58,0.253855620031203,-0.6228754451153022,0.8767310651465052,SELL,"[8.070428848266602, 7.713016033172607, 12.434125900268555]"
2025-01-17,41.0,56.625335,23.718914,2.640972,66.935,2.5,67.34,0.3928985448460764,-0.4197206471230265,0.812619191969103,SELL,"[4.8364129066467285, 4.668661594390869, 7.028517723083496]"
2025-01-21,43.0,57.778083,23.305956,2.715923,66.8068,4.47,67.74,0.529266664916463,-0.2299231847151286,0.7591898496315916,SELL,"[6.540603160858154, 5.879481315612793, 9.34705924987793]"
2025-01-22,43.0,58.0184,23.034711,2.686872,66.676,1.19,67.82,0.636458022066563,-0.0566469433587903,0.6931049654253534,SELL,"[6.570268154144287, 6.056108474731445, 10.191619873046875]"
2025-01-23,44.0,59.507563,22.603651,2.674765,66.5794,-0.41,68.3,0.75147737000961,0.1049779193148897,0.6464994506947203,SELL,"[7.76558780670166, 7.316006660461426, 13.154712677001953]"
2025-01-24,44.0,60.328454,22.651315,2.706807,66.5098,1.81,68.56,0.8537691398224325,0.2547361634163983,0.5990329764060343,SELL,"[8.767935752868652, 8.108327865600586, 13.710657119750977]"
2025-01-27,45.0,61.015881,21.974799,2.69884,66.4522,1.52,68.77,0.940934838224834,0.3919758983780854,0.5489589398467485,SELL,"[7.344472408294678, 6.839674949645996, 11.524847984313965]"
2025-01-28,43.0,57.442797,21.486677,2.597403,66.3862,0.37,68.07,0.9426636920930918,0.5021134571210868,0.4405502349720049,SELL,"[5.062174320220947, 5.070314884185791, 7.764576435089111]"
2025-01-29,40.0,51.337651,20.147517,2.370767,66.298,-2.27,66.75,0.8279764557551914,0.5672860568479078,0.2606903989072836,SELL,"[2.6310460567474365, 2.2453927993774414, 2.957714319229126]"
2025-01-30,41.0,50.635158,19.775208,2.033894,66.201,-2.87,66.59,0.7159226215217416,0.5970133697826746,0.1189092517390669,SELL,"[1.872461199760437, 1.7538481950759888, 1.9299534559249878]"
2025-01-31,42.0,51.789637,19.03726,1.486019,66.073,-2.79,66.85,0.6407132343414332,0.6057533426944264,0.0349598916470068,SELL,"[1.90169095993042, 1.8609983921051025, 2.2969167232513428]"
2025-02-03,45.0,53.760458,18.891707,1.248823,66.0322,-1.15,67.29,0.609586640575202,0.6065200022705816,0.0030666383046203,SELL,"[1.9212119579315186, 2.0882396697998047, 2.3829522132873535]"
2025-02-04,50.0,62.893632,17.964498,1.276105,66.0446,4.49,69.75,0.7744921680737207,0.6401144354312094,0.1343777326425113,SELL,"[5.031712055206299, 5.269991397857666, 10.071232795715332]"
2025-02-05,30.0,43.205412,18.72948,1.394301,65.9422,-3.17,64.48,0.4744666734577691,0.6069848830365213,-0.1325182095787521,BUY,"[1.1609926223754883, 1.2214266061782837, -2.2820558547973633]"
