date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,41.0,34.205223,26.31172,5.749504,244.1288,-0.9,229.91,0.0,0.0,0.0,,
2024-11-05,45.0,42.912364,26.837117,5.81367,243.8494,0.73,233.87,0.3158974358974546,0.0631794871794909,0.2527179487179637,,
2024-11-06,65.0,62.594032,26.537323,6.276918,243.8122,7.08,248.49,1.7260632624735592,0.3957562422383046,1.3303070202352547,,
2024-11-07,52.0,54.401425,26.225637,6.348678,243.61,4.24,242.56,2.338175368623183,0.7842400675152803,1.553935301107903,,
2024-11-08,51.0,53.052136,25.617211,6.325649,243.3758,5.04,241.49,2.705748382060932,1.1685417304244108,1.5372066516365213,,
2024-11-11,51.0,53.585118,25.338869,6.183041,243.093,3.45,241.95,2.999593354047107,1.53475205514895,1.4648412988981572,,
2024-11-12,48.0,49.554883,24.331249,5.934866,242.7666,-3.86,238.89,2.951527809545695,1.8181072060282992,1.1334206035173957,,
2024-11-13,50.0,51.50599,23.332587,5.48797,242.4608,-0.89,240.41,3.0014875361096074,2.054783272044561,0.9467042640650464,,
2024-11-14,45.0,45.485608,21.685092,5.410278,242.1418,-2.45,235.58,2.6211256405558743,2.168051745746824,0.4530738948090502,,
2024-11-15,45.0,45.473756,20.324589,5.174087,241.8606,-2.64,235.57,2.292453207964712,2.192932038190402,0.0995211697743103,BUY,"[2.399240493774414, 2.968174457550049, -3.9864284992218018]"
2024-11-18,43.0,44.040302,19.087217,5.125788,241.5266,-1.88,234.41,1.916285880915069,2.137602806735335,-0.221316925820266,HOLD,"[2.668792247772217, 2.2346932888031006, -5.98063325881958]"
2024-11-19,41.0,42.642609,18.377238,5.030986,241.1408,-2.96,233.29,1.5103851445551868,2.012159274299305,-0.5017741297441187,BUY,"[1.8728657960891724, 2.4562289714813232, -8.02456283569336]"
2024-11-20,42.0,43.111335,17.657865,4.900486,240.862,-0.86,233.56,1.196697842340967,1.8490669879076376,-0.6523691455666707,BUY,"[1.6956528425216675, 2.2647101879119873, -6.560733318328857]"
2024-11-21,48.0,51.706102,17.10614,4.822382,240.6646,1.46,239.02,1.3728494107789402,1.7538234724818984,-0.3809740617029582,BUY,"[2.343123435974121, 2.703669548034668, -2.376173734664917]"
2024-11-22,58.0,56.113308,17.117319,4.826486,240.53,3.4,242.39,1.7640468001730198,1.7558681380201229,0.0081786621528969,BUY,"[3.2273006439208984, 3.38346791267395, 3.2225515842437744]"
2024-11-25,65.0,63.491539,18.32091,5.435148,240.4678,6.87,249.32,2.603257896704889,1.925346089757076,0.677911806947813,SELL,"[3.775531768798828, 4.269705295562744, 7.103856086730957]"
