date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,53.0,48.784608,16.721447,8.184169,474.0706,0.52,472.8,0.0,0.0,0.0,,
2024-11-05,70.0,64.529417,17.347063,8.556981,474.4154,5.22,499.88,2.1602279202279533,0.4320455840455907,1.7281823361823627,,
2024-11-06,67.0,59.955517,18.176395,8.743088,474.6822,3.71,493.64,3.330318422740163,1.0117001517845052,2.3186182709556578,,
2024-11-07,70.0,63.851324,18.946488,9.93303,474.9366,6.65,502.45,4.911895672027526,1.7917392558331096,3.120156416194417,,
2024-11-08,72.0,69.10212,20.660061,12.556343,475.4044,9.29,516.74,7.234990147429016,2.880389434152291,4.354600713276725,,
2024-11-11,66.0,59.344678,21.623942,13.185837,475.521,0.37,501.72,7.774451743285738,3.859201895978981,3.915249847306757,,
2024-11-12,62.0,53.050011,21.248632,13.248445,475.807,-0.74,490.0,7.173580324161605,4.522077581615505,2.6515027425461,,
2024-11-13,64.0,55.068827,20.900129,13.423861,476.1278,-1.56,494.61,6.988811202920033,5.015424305876412,1.9733868970436208,,
2024-11-14,60.0,49.746992,19.796807,13.035497,476.4356,-6.34,483.96,5.9148318492075305,5.195305814542635,0.7195260346648951,,
2024-11-15,47.0,42.214293,19.919937,13.634606,476.3896,-7.18,465.7,3.5493513658235543,4.866114924798819,-1.316763558975265,BUY,"[22.280731201171875, 25.93355941772461, -1.6817137002944946]"
2024-11-18,47.0,42.882496,20.037304,14.047926,476.3076,-4.69,467.01,1.7601076666956033,4.244913473178176,-2.484805806482573,BUY,"[24.0800838470459, 25.771427154541016, -1.6221674680709839]"
2024-11-19,41.0,36.322151,20.778099,15.887116,475.8522,-9.42,448.01,-1.1774491650051004,3.160440945541521,-4.337890110546621,BUY,"[24.611129760742188, 29.919368743896484, -24.83574104309082]"
2024-11-20,42.0,38.051818,21.561495,17.038529,475.382,-6.76,451.23,-3.208669484257712,1.8866188595816744,-5.095288343839386,BUY,"[23.720340728759766, 28.402393341064453, -7.6267876625061035]"
2024-11-21,42.0,37.756836,21.899673,18.178318,474.8164,-3.29,450.37,-4.832119369891416,0.5428712136870565,-5.374990583578472,BUY,"[24.208656311035156, 26.404457092285156, -0.9395711421966553]"
2024-11-22,43.0,38.117273,21.98842,19.196269,474.1284,-3.43,450.97,-6.001122905702573,-0.7659276101908696,-5.235195295511703,BUY,"[26.373031616210938, 29.68187713623047, -1.869031548500061]"
2024-11-25,47.0,44.331457,21.503453,19.517895,473.574,3.06,461.71,-5.991867865033782,-1.8111156611594523,-4.18075220387433,BUY,"[29.96394157409668, 32.354347229003906, 21.138477325439453]"
2024-11-26,48.0,47.182088,20.555777,19.588309,473.2902,3.51,467.07,-5.488755022743021,-2.5466435334761663,-2.9421114892668547,SELL,"[33.03133773803711, 35.88719940185547, 37.25061798095703]"
2024-11-27,47.0,45.994328,19.436349,19.773244,473.0982,3.15,464.56,-5.2322562998913895,-3.083766086759211,-2.1484902131321784,BUY,"[34.06378173828125, 36.14126205444336, 35.059635162353516]"
2024-11-29,48.0,47.999442,18.345432,19.856938,472.9028,3.81,468.13,-4.686882584837917,-3.4043893863749526,-1.2824931984629648,SELL,"[34.45618438720703, 37.157962799072266, 46.50261688232422]"
2024-12-02,47.0,46.742994,17.332438,19.958797,472.919,0.87,465.73,-4.397636710253664,-3.603038851150696,-0.7945978591029688,SELL,"[35.40068054199219, 37.73598861694336, 43.000125885009766]"
2024-12-03,44.0,42.38217,17.15542,20.372248,472.8584,-2.16,456.97,-4.8197074727845575,-3.846372575477468,-0.9733348973070894,BUY,"[29.978559494018555, 32.61024856567383, 30.008609771728516]"
2024-12-04,46.0,46.669858,17.414616,19.672578,472.8782,-0.12,463.98,-4.5362619736530405,-3.9843504551125823,-0.5519115185404582,SELL,"[30.502124786376953, 32.52531051635742, 36.04416275024414]"
2024-12-05,45.0,44.599758,17.381423,19.292237,472.8414,-1.75,459.92,-4.5863686398759,-4.104754092065246,-0.4816145478106541,BUY,"[29.75411605834961, 31.759071350097656, 25.053382873535156]"
2024-12-06,46.0,45.985185,17.450744,18.022554,472.8204,-0.78,462.1,-4.399456556262749,-4.163694584904746,-0.2357619713580021,BUY,"[29.266345977783203, 31.663904190063477, 23.88080406188965]"
2024-12-09,57.0,52.898013,16.304807,14.483397,473.0424,3.72,473.98,-3.2551869003691536,-3.981993047997628,0.7268061476284746,SELL,"[33.93281173706055, 35.62862014770508, 40.5357551574707]"
