date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,45.0,38.227305,25.404215,1.103269,43.151,-0.65,41.06,0.0,0.0,0.0,,
2024-11-05,47.0,40.071329,25.261381,1.095483,43.1464,-0.05,41.26,0.0159544159544182,0.0031908831908836,0.0127635327635346,,
2024-11-06,46.0,39.437413,24.420532,1.067559,43.1406,-2.3,41.16,0.02029528981096,0.0066117645148989,0.0136835252960611,,
2024-11-07,42.0,35.77999,24.154393,1.12657,43.122,-1.93,40.56,-0.0243982738605339,0.0004097568398123,-0.0248080307003463,,
2024-11-08,42.0,35.309787,24.014086,1.174108,43.1066,-1.41,40.48,-0.0655183220491864,-0.0127758589379873,-0.052742463111199,,
2024-11-11,42.0,35.061684,23.825116,1.200426,43.0798,-1.99,40.44,-0.1001791196665209,-0.0302565110836941,-0.0699226085828268,,
2024-11-12,42.0,34.798365,24.075607,1.175118,43.0292,-1.85,40.4,-0.1293842560371771,-0.0500820600743907,-0.0793021959627864,,
2024-11-13,46.0,43.284444,22.842089,1.078284,43.0224,1.43,41.14,-0.0917599696490967,-0.0584176419893319,-0.0333423276597647,,
2024-11-14,46.0,41.178557,21.696679,0.966581,43.0136,0.96,40.87,-0.082775016272123,-0.0632891168458901,-0.0194858994262328,,
2024-11-15,51.0,48.911479,20.473162,0.784956,43.0236,2.99,41.65,-0.0125699956346352,-0.0531452926036391,0.0405752969690039,SELL,"[3.828923463821411, 3.671097993850708, 6.203135967254639]"
2024-11-18,54.0,53.928882,20.387324,0.61872,43.014,4.58,42.25,0.0904404335900039,-0.0244281473649105,0.1148685809549145,SELL,"[4.1683855056762695, 3.907104015350342, 6.745582103729248]"
2024-11-19,52.0,51.04931,20.307616,0.631608,42.9796,1.92,41.93,0.1445888845940359,0.0093752590268787,0.1352136255671572,SELL,"[3.987276315689087, 3.6862661838531494, 6.411594867706299]"
2024-11-20,54.0,53.473881,20.296514,0.567282,42.948,3.3,42.22,0.2084990512257576,0.0492000174666545,0.1592990337591031,SELL,"[4.006969928741455, 3.744046211242676, 6.41448974609375]"
2024-11-21,54.0,55.752693,20.85346,0.613098,42.9208,2.04,42.5,0.2785312438719742,0.0950662627477184,0.1834649811242557,SELL,"[3.981494188308716, 3.6071228981018066, 6.043259143829346]"
2024-11-22,64.0,60.579639,21.979368,0.727897,42.8952,2.13,43.15,0.3820774774965301,0.1524685056974808,0.2296089717990492,SELL,"[4.242455005645752, 3.7704501152038574, 5.041567802429199]"
2024-11-25,68.0,65.721879,23.627667,0.914871,42.8748,4.89,43.98,0.5250601109346178,0.2269868267449082,0.2980732841897096,SELL,"[4.3069376945495605, 3.9336469173431396, 4.977147102355957]"
2024-11-26,69.0,67.844434,25.485185,1.098547,42.8806,5.09,44.37,0.6622110617942525,0.3140316737547771,0.3481793880394754,SELL,"[4.253765106201172, 3.9847092628479004, 4.962837219238281]"
2024-11-27,69.0,67.899323,27.367763,1.236986,42.8906,4.42,44.38,0.762916666464406,0.4038086722967028,0.3591079941677031,SELL,"[4.004400253295898, 3.837780237197876, 4.148807525634766]"
2024-11-29,68.0,67.403705,28.447285,1.349372,42.8986,2.76,44.34,0.8299319787676396,0.4890333335908902,0.3408986451767493,HOLD,"[3.900672674179077, 3.6854705810546875, 3.709378480911255]"
2024-12-02,64.0,61.483182,28.441535,1.400776,42.889,-0.3,43.85,0.8338906197030198,0.5580047908133162,0.2758858288897036,HOLD,"[3.615602493286133, 3.3493452072143555, 3.4809730052948]"
2024-12-03,64.0,61.246711,28.537153,1.427829,42.8804,-1.22,43.83,0.8258936504107623,0.6115825627328054,0.2143110876779569,HOLD,"[3.4951186180114746, 3.1960062980651855, 2.8825013637542725]"
2024-12-04,49.0,48.176504,26.631587,1.410985,42.8376,-4.19,42.52,0.7057149006756802,0.6304090303213804,0.0753058703542998,HOLD,"[2.542976140975952, 2.4116005897521973, 2.0625171661376953]"
2024-12-05,49.0,48.447822,24.862132,1.387103,42.7976,-4.04,42.55,0.6059085879125803,0.6255089418396204,-0.01960035392704,BUY,"[2.395189046859741, 2.4139223098754883, 1.835237741470337]"
2024-12-06,48.0,46.862504,23.595046,1.32362,42.7526,-3.38,42.37,0.5064488432929082,0.6016969221302779,-0.0952480788373697,BUY,"[2.353353500366211, 2.396390438079834, 1.7208331823349]"
2024-12-09,49.0,46.770939,21.978632,1.243955,42.702,-3.35,42.36,0.4219553243653209,0.5657486025772865,-0.1437932782119656,HOLD,"[2.54243540763855, 2.463927745819092, 2.0016837120056152]"
2024-12-10,49.0,46.187805,20.460465,1.148201,42.6498,-0.52,42.3,0.3461617659535108,0.5218312352525314,-0.1756694692990206,SELL,"[2.746523380279541, 2.631495237350464, 2.9496400356292725]"
2024-12-11,48.0,43.191505,19.297428,1.039721,42.5854,-1.32,41.99,0.2581051402353864,0.4690860162491024,-0.210980876013716,SELL,"[2.5619542598724365, 2.4434726238250732, 2.6185805797576904]"
2024-12-12,49.0,44.320825,18.329564,0.986795,42.526,-0.68,42.08,0.1933530244706389,0.4139394178934098,-0.2205863934227708,SELL,"[2.610999584197998, 2.47910475730896, 2.867906093597412]"
2024-12-13,51.0,46.849445,17.051239,0.89424,42.4812,-0.19,42.28,0.1563722725242371,0.3624259888195753,-0.2060537162953382,SELL,"[2.710386037826538, 2.5182552337646484, 3.07208514213562]"
2024-12-16,42.0,34.901012,17.172878,0.959084,42.4152,-3.36,40.88,0.0139358170388845,0.2927279544634372,-0.2787921374245526,BUY,"[1.522786259651184, 1.5745928287506104, 0.585375964641571]"
2024-12-17,42.0,34.229485,17.611467,1.050853,42.354,-2.88,40.78,-0.105795717225007,0.2130232201257483,-0.3188189373507554,BUY,"[1.530936598777771, 1.6814258098602295, 0.6585427522659302]"
2024-12-18,39.0,30.784864,18.330875,1.172887,42.2786,-4.37,40.24,-0.2414737487169418,0.1221238263572103,-0.3635975750741521,BUY,"[1.3287818431854248, 1.55842924118042, -0.08256155252456665]"
2024-12-19,37.0,29.202465,19.278737,1.308642,42.1958,-5.46,39.97,-0.3665608246867862,0.024386896148411,-0.3909477208351972,BUY,"[1.5271751880645752, 1.6763787269592285, -0.4343889057636261]"
2024-12-20,37.0,28.964928,20.169054,1.42672,42.1354,-2.32,39.93,-0.4635770713903824,-0.0732058973593476,-0.3903711740310347,BUY,"[1.7632908821105957, 1.7884420156478882, 0.3343525230884552]"
2024-12-23,37.0,29.120155,21.092093,1.512161,42.0742,-2.06,39.94,-0.5335063009001431,-0.1652659780675067,-0.3682403228326363,BUY,"[1.8458082675933838, 1.8699619770050049, 0.5316081643104553]"
