date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,76.0,59.201366,43.013379,2.627802,58.6062,-2.45,63.7,0.0,0.0,0.0,,
2024-11-05,77.0,60.81805,41.677495,2.252905,58.7532,-2.05,64.07,0.0295156695156677,0.0059031339031335,0.0236125356125342,,
2024-11-06,91.0,80.098732,43.551566,2.584605,59.0774,11.63,72.47,0.722389590993572,0.1492004253212212,0.5731891656723508,,
2024-11-07,85.0,68.625786,45.133938,2.385402,59.3324,7.95,69.82,1.0456111580660803,0.3284825718701931,0.7171285861958872,,
2024-11-08,86.0,69.022486,46.307344,2.456751,59.5862,9.95,70.04,1.3044814894412298,0.5236823553844004,0.7807991340568293,,
2024-11-11,91.0,73.202201,47.894037,2.801026,59.868,13.25,72.56,1.6934598802400842,0.7576378603555373,0.9358220198845468,,
2024-11-12,89.0,73.263866,49.384131,3.077183,60.1526,0.18,72.6,1.982107224823352,1.0025317332491002,0.9795754915742518,,
2024-11-13,90.0,73.54252,50.852413,3.320099,60.4456,4.23,72.77,2.19922856630798,1.2418710998608762,0.9573574664471036,,
2024-11-14,89.0,73.594824,52.091094,3.514443,60.7644,3.94,72.8,2.346668608026036,1.462830601493908,0.8838380065321279,,
2024-11-15,90.0,76.196158,53.388619,3.771612,61.1712,2.45,74.34,2.5582906508760885,1.6819226113703445,0.8763680395057443,HOLD,"[4.207842826843262, 3.4431145191192627, 4.103176593780518]"
2024-11-18,90.0,74.906046,54.638272,3.913295,61.5612,2.05,74.09,2.674994067344059,1.8805369025650875,0.7944571647789718,BUY,"[4.3353190422058105, 4.446681022644043, 4.171961307525635]"
2024-11-19,88.0,71.465862,55.259555,3.987377,61.9508,0.91,73.43,2.683294532470313,2.0410884285461326,0.6422061039241806,SELL,"[4.1024041175842285, 3.862694025039673, 4.196211338043213]"
2024-11-20,88.0,71.783044,55.213235,4.008584,62.3478,1.07,73.58,2.6711847027832363,2.1671076833935534,0.5040770193896829,SELL,"[3.91751766204834, 3.555760145187378, 3.9291629791259766]"
2024-11-21,90.0,74.342567,55.678057,4.099878,62.813,0.66,74.83,2.730971192882734,2.2798803852913894,0.4510908075913447,SELL,"[4.286904335021973, 4.063815116882324, 4.410530090332031]"
2024-11-22,91.0,76.424487,56.117817,4.152751,63.2766,2.52,75.96,2.836832731360886,2.3912708545052888,0.4455618768555971,SELL,"[4.643019199371338, 4.339174270629883, 4.781357288360596]"
2024-11-25,91.0,78.022097,56.77078,4.263256,63.7388,4.73,76.9,2.9624298600106016,2.5055026556063518,0.4569272044042503,SELL,"[4.6892619132995605, 4.365160942077637, 4.965664863586426]"
