date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,77.0,57.615849,33.416486,1.149071,79.7594,-0.68,82.19,0.0,0.0,0.0,,
2024-11-04,79.0,58.946067,33.462594,1.057327,79.8944,0.92,82.45,0.0207407407407345,0.0041481481481469,0.0165925925925876,,
2024-11-05,81.0,64.605488,34.154993,1.081962,80.0474,2.81,83.68,0.1348739052442766,0.0302932995673728,0.1045806056769038,,
2024-11-06,80.0,62.786726,35.748542,1.107304,80.1936,1.82,83.44,0.2036121520177545,0.0649570700574491,0.1386550819603053,,
2024-11-07,81.0,64.619174,37.228267,1.070409,80.349,2.02,83.85,0.2878530900651697,0.1095362740589933,0.1783168160061763,,
2024-11-08,83.0,68.599328,39.026604,1.139178,80.5172,2.89,84.83,0.4287500860844631,0.1733790364640872,0.2553710496203758,,
2024-11-11,82.0,63.715848,40.517257,1.120092,80.6568,0.63,84.21,0.48479474010432,0.2356621771921338,0.2491325629121861,,
2024-11-12,83.0,66.907576,41.952504,1.230701,80.8132,1.86,84.99,0.5854018651614297,0.305610114785993,0.2797917503754367,,
2024-11-13,83.0,68.837756,43.3976,1.335443,80.9784,1.97,85.5,0.6982376256459446,0.3841356169579833,0.3141020086879613,,
2024-11-14,81.0,61.088178,43.970168,1.301709,81.1286,-0.42,84.47,0.6965193453913798,0.4466123626446626,0.2499069827467172,BUY,"[5.706757545471191, 5.833803176879883, 4.014720916748047]"
2024-11-15,80.0,59.546208,43.827218,1.266043,81.2808,0.05,84.25,0.6696857144752357,0.4912270330107773,0.1784586814644584,BUY,"[5.597224235534668, 5.820958614349365, 3.771182060241699]"
2024-11-18,81.0,58.321155,43.239054,1.157883,81.4156,-1.07,84.08,0.6274692148745515,0.5184754693835322,0.1089937454910193,BUY,"[5.584233283996582, 5.864285945892334, 3.632530689239502]"
2024-11-19,85.0,68.625396,44.407638,1.318248,81.5714,1.29,86.6,0.7882686044765848,0.5724340964021427,0.215834508074442,BUY,"[5.748066425323486, 5.865260124206543, 4.969122886657715]"
2024-11-20,85.0,70.436992,45.492751,1.533477,81.7382,3.21,87.18,0.951535720495528,0.6482544212208198,0.3032812992747081,BUY,"[5.760335922241211, 5.961899757385254, 4.973728179931641]"
2024-11-21,86.0,73.831684,46.942531,1.824737,81.9128,4.91,88.39,1.1651320567440422,0.7516299483254643,0.4135021084185779,BUY,"[6.574236869812012, 6.711421966552734, 5.791990280151367]"
2024-11-22,88.0,78.364537,48.793181,2.262492,82.1096,7.56,90.44,1.4827345189701475,0.897850862454401,0.5848836565157465,SELL,"[7.057420253753662, 7.234993934631348, 7.23508358001709]"
2024-11-25,85.0,72.189647,50.519207,2.481505,82.2884,3.35,89.5,1.6396853424353992,1.0462177584506007,0.5934675839847985,BUY,"[6.459805488586426, 6.53886604309082, 5.7600579261779785]"
2024-11-26,87.0,76.095569,52.293868,2.758481,82.5426,4.74,91.31,1.8883541033561928,1.214645027431719,0.6737090759244735,BUY,"[6.845208168029785, 6.872490882873535, 5.681309700012207]"
2024-11-27,86.0,77.182414,54.006406,2.966937,82.7996,3.95,91.88,2.1071304362331205,1.3931421091919995,0.7139883270411209,BUY,"[6.982762813568115, 7.310005187988281, 5.73345947265625]"
2024-11-29,86.0,78.336205,55.66447,3.173415,83.0888,2.28,92.5,2.3039822020343053,1.5753101277604609,0.7286720742738444,BUY,"[7.658880233764648, 7.865753173828125, 5.846278190612793]"
2024-12-02,87.0,78.599355,57.264706,3.313052,83.3604,3.51,92.64,2.443122677211491,1.748872637650667,0.6942500395608242,BUY,"[7.566133499145508, 7.85762357711792, 5.860924243927002]"
2024-12-03,87.0,80.208255,58.851429,3.459057,83.624,2.41,93.51,2.593695725544478,1.9178372552294287,0.675858470315049,BUY,"[8.064580917358398, 8.38781452178955, 6.2667412757873535]"
2024-12-04,88.0,81.800315,60.466965,3.675417,83.8996,2.8,94.45,2.757094031497175,2.0856886104829786,0.6714054210141964,BUY,"[8.262808799743652, 8.327057838439941, 6.384366035461426]"
2024-12-05,89.0,83.122407,62.110276,3.859958,84.1776,3.03,95.3,2.9214990400755028,2.252850696401484,0.6686483436740192,BUY,"[8.369274139404297, 8.579312324523926, 6.38917875289917]"
2024-12-06,89.0,83.721692,63.705708,4.008267,84.4932,3.3,95.7,3.0489217785334546,2.412064912827878,0.6368568657055764,BUY,"[8.793752670288086, 8.849714279174805, 6.25886869430542]"
2024-12-09,85.0,71.024779,63.091899,4.010343,84.7742,0.34,93.83,2.9648350718719456,2.522618944636692,0.442216127235254,BUY,"[7.740077972412109, 7.876811504364014, 4.481203556060791]"
2024-12-10,86.0,72.739041,62.521934,3.956481,85.0502,0.11,94.55,2.922603776659954,2.6026159110413443,0.3199878656186103,BUY,"[7.767577648162842, 7.824392795562744, 4.82548189163208]"
2024-12-11,86.0,73.693483,62.139466,3.914968,85.324,-0.36,94.96,2.8889171063182744,2.6598761500967303,0.229040956221544,BUY,"[7.552716255187988, 7.666360378265381, 4.853133201599121]"
2024-12-12,84.0,68.234256,61.301712,3.806868,85.5972,-1.68,94.09,2.7602005742121776,2.67994103491982,0.0802595392923577,BUY,"[7.434697151184082, 7.560647964477539, 3.770638942718506]"
2024-12-13,84.0,68.693583,59.385022,3.559114,85.8736,0.45,94.25,2.640662543938604,2.6720853367235766,-0.0314227927849732,BUY,"[7.625016689300537, 7.7845659255981445, 4.799026012420654]"
2024-12-16,85.0,70.475166,58.076595,3.218133,86.1522,0.34,94.87,2.5663730610298074,2.650942881584823,-0.0845698205550156,BUY,"[7.44178581237793, 7.625200271606445, 5.582359313964844]"
2024-12-17,87.0,71.99755,56.861628,2.735268,86.4786,0.48,95.42,2.522797277428552,2.625313760753569,-0.1025164833250169,HOLD,"[7.298481464385986, 7.273773193359375, 5.906815052032471]"
2024-12-18,84.0,60.563254,54.535509,2.372331,86.7554,-0.57,93.55,2.3107330905338017,2.562397626709616,-0.2516645361758138,BUY,"[6.959229946136475, 7.179388523101807, 4.188220977783203]"
2024-12-19,84.0,59.743623,52.375542,1.9743,87.0154,-0.9,93.4,2.106286982960597,2.471175497959812,-0.3648885149992145,BUY,"[6.956510543823242, 7.1889824867248535, 4.119906425476074]"
