Actif,Profit,Winrate(%),Nb_Trades
AMZN_5years,13.494030793907996,50.0,26
AVGO_5years,287.6457567628072,59.375,32
BKNG_5years,291.3343000363516,71.11111111111111,45
CRWD_5years,115.17405659393626,70.0,20
GOOGL_5years,110.07715478470254,60.71428571428571,28
GS_5years,71.3277627527018,64.28571428571429,42
HLT_5years,165.8264648244376,61.111111111111114,36
HSIC_5years,376.6606551724458,94.11764705882352,17
IBKR_5years,97.45360695062618,6.25,16
JPM_5years,58.76583026739172,61.53846153846154,26
LVMH_5years,-395.1693163797113,68.42105263157895,19
MAR_5years,-30.46111083017422,45.83333333333333,24
MA_5years,274.81932728018637,85.18518518518519,27
MCK_5years,621.7809049004659,100.0,49
META_5years,293.90454892868274,72.72727272727273,44
NVDA_5years,983.1129862730827,95.23809523809523,21
PANW_5years,50.192932857712094,55.88235294117647,34
TSLA_5years,-290.36049296622105,34.61538461538461,26
V_5years,168.18062219665808,86.20689655172413,29
XLM_5years,10443.261105905181,52.38095238095239,42
XOM_5years,-31.691969633372764,20.0,10
