date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,88.0,74.122536,42.733202,7.25457,93.4154,2.79,112.73,0.0,0.0,0.0
2020-08-11,83.0,65.61858,43.58002,7.424692,93.9938,-0.62,109.38,-0.2672364672364722,-0.053447293447294444,-0.21378917378917778
2020-08-12,87.0,69.678092,44.480882,7.775229,94.6374,-0.78,113.01,-0.1839916883791517,-0.0795561724336659,-0.1044355159454858
2020-08-13,88.0,71.663306,45.680292,8.128406,95.312,3.51,115.01,0.0428695108780488,-0.05507103577132297,0.09794054664937177
2020-08-14,88.0,71.411554,46.352877,8.350079,95.9986,1.93,114.91,0.2121440172946336,-0.0016280251581316518,0.21377204245276527
2020-08-17,87.0,70.610152,47.133304,8.53869,96.6332,4.78,114.61,0.31841727426153454,0.06238103472580159,0.25603623953573296
2020-08-18,88.0,71.693469,47.857986,8.634337,97.277,2.26,115.56,0.47383458642349296,0.14467174506533986,0.3291628413581531
2020-08-19,87.0,71.869782,48.703593,8.652471,97.8712,0.61,115.71,0.6021662744544045,0.23617065094315282,0.3659956235112517
2020-08-20,89.0,74.76946,49.663542,8.375933,98.4726,2.93,118.28,0.9008629955674508,0.3691091198680124,0.5317538756994383
2020-08-21,91.0,80.024187,51.247609,8.309094,99.2804,8.52,124.37,1.6104303640113926,0.6173733686966885,0.9930569953147041
2020-08-24,91.0,81.063344,53.00619,8.293899,100.1036,8.91,125.86,2.266867130011491,0.947272120959649,1.319595009051842
2020-08-25,90.0,78.041062,54.214729,7.71349,100.8852,7.88,124.83,2.6731709537436217,1.2924518875164437,1.380719066227178
2020-08-26,91.0,79.398274,55.484952,7.123988,101.6552,6.97,126.52,3.095851488533839,1.6531318077199226,1.4427196808139162
2020-08-27,88.0,74.94137,56.065585,6.154689,102.3974,0.51,125.01,3.2712752523890174,1.9767604966537418,1.2945147557352756
2020-08-28,88.0,74.346094,56.604745,6.045941,103.135,-0.83,124.81,3.355481617205612,2.252504720764116,1.102976896441496
2020-08-31,90.0,78.27638,57.54975,6.333888,103.9672,3.37,129.04,3.720652055541052,2.5461341877195034,1.1745178678215487
2020-09-01,92.0,81.904269,58.713877,6.994655,104.8564,6.05,134.18,4.3743821476210485,2.911783779699813,1.4625983679212355
2020-09-02,89.0,74.643539,58.33641,7.183103,105.6518,5.11,131.4,4.6149469531239475,3.25241641438464,1.3625305387393074
2020-09-03,79.0,54.833833,55.915649,7.045946,106.269,-3.15,120.88,3.911629385319955,3.384259008571703,0.527370376748252
2020-09-04,79.0,54.931786,52.230915,6.718793,106.864,-6.26,120.96,3.322401896182143,3.3718875860937914,-0.04948568991164848
2020-09-08,70.0,44.384274,48.809376,6.713379,107.3522,-15.92,112.82,2.173549568268669,3.132219982528767,-0.9586704142600979
2020-09-09,75.0,50.089716,45.60117,6.241065,107.8896,-10.72,117.32,1.6076561538832408,2.827307216799662,-1.2196510629164212
2020-09-10,71.0,45.784627,43.145863,6.210161,108.3354,-6.11,113.49,0.8404444343062636,2.4299346603009826,-1.589490225994719
2020-09-11,69.0,44.19329,41.305162,6.394003,108.7548,-7.41,112.0,0.11091451800743357,1.9661306318422729,-1.8552161138348393
2020-09-14,74.0,48.537134,39.424405,6.37284,109.2414,2.25,115.36,-0.19388429981084698,1.534127645511649,-1.728011945322496
2020-09-15,72.0,48.7672,36.991042,6.328183,109.683,-1.52,115.54,-0.41611831035439195,1.144078454338441,-1.560196764692833
2020-09-16,68.0,44.69108,35.045841,6.522133,110.0622,-1.2,112.13,-0.8575139788958523,0.7437599676915824,-1.6012739465874346
2020-09-17,59.0,42.674696,33.85849,6.838304,110.3622,-1.48,110.34,-1.3363565798454857,0.32773665818416875,-1.6640932380296545
2020-09-18,54.0,38.972105,33.194338,7.470782,110.5854,-7.39,106.84,-1.9754913061753143,-0.13290893468772785,-1.8425823714875864
2020-09-21,58.0,43.830549,33.033701,7.715693,110.8686,-4.73,110.08,-2.1952636267337198,-0.5453798730969263,-1.6498837536367934
2020-09-22,66.0,46.289305,32.180544,7.74153,111.1952,-0.29,111.81,-2.2044269704562964,-0.8771892925688003,-1.3272376778874961
2020-09-23,54.0,41.043941,31.769625,8.005847,111.3964,-2.92,107.12,-2.560615607612661,-1.2138745555775725,-1.3467410520350884
2020-09-24,56.0,42.684425,31.657076,8.01213,111.6062,1.29,108.22,-2.7227506867794773,-1.5156497818179537,-1.2071009049615236
2020-09-25,67.0,48.392322,30.958743,7.851983,111.9214,2.0,112.28,-2.494876453228926,-1.7114951161001482,-0.7833813371287779
2020-09-28,68.0,51.804292,29.588293,7.609888,112.294,2.82,114.96,-2.0741216952821446,-1.7840204319365476,-0.29010126334559705
2020-09-29,67.0,50.633979,28.315733,6.985021,112.6086,6.51,114.09,-1.7902355265741932,-1.7852634508640768,-0.004972075710116375
2020-09-30,68.0,52.899439,26.645927,5.454652,112.9848,7.01,115.81,-1.4102080664574288,-1.7102523739827473,0.3000443075253185
2020-10-01,68.0,54.189399,24.980746,3.837033,113.3752,4.02,116.79,-1.0182183690273945,-1.571845572991677,0.5536272039642824
2020-10-02,57.0,48.667489,24.224895,3.436726,113.7786,-1.69,113.02,-1.0002410463226425,-1.4575246676578701,0.4572836213352276
2020-10-05,69.0,53.389048,23.180822,3.037702,114.2562,2.11,116.5,-0.6971506533622573,-1.3054498647987476,0.6082992114364902
2020-10-06,53.0,48.753991,23.206573,3.038572,114.6232,-2.29,113.16,-0.7181806799219288,-1.1879960278233839,0.46981534790145507
2020-10-07,67.0,51.367757,21.837289,2.910053,115.0598,-1.46,115.08,-0.5733104080821079,-1.0650589038751288,0.49174849579302093
2020-10-08,59.0,51.206615,20.346994,2.946996,115.4584,1.73,114.97,-0.46204953518102343,-0.9444570301363078,0.48240749495528434
2020-10-09,68.0,54.030273,18.982033,3.075385,115.874,0.4,116.97,-0.21006965430203195,-0.7975795549694527,0.5875099006674207
2020-10-12,75.0,62.672468,19.430597,3.927448,116.2368,9.93,124.4,0.5824509891706953,-0.5215734461414231,1.1040244353121182
2020-10-13,70.0,57.501836,19.882784,4.245518,116.48,5.23,121.1,0.9334862398781496,-0.2305615089375086,1.1640477488156582
2020-10-14,70.0,57.604567,20.293449,4.519438,116.7104,5.41,121.19,1.2050553253055938,0.056561857911111874,1.148493467394482
2020-10-15,69.0,56.815742,20.213591,4.636017,116.9234,3.2,120.71,1.3657997047680794,0.31840942728250543,1.0473902774855741
2020-10-16,66.0,54.011346,19.476167,4.347289,117.0258,-4.32,119.02,1.3413595495917434,0.522999451744353,0.8183600978473904
2020-10-19,55.0,49.297583,18.22163,4.175505,117.1232,-4.23,115.98,1.0644180086462853,0.6312831631247395,0.4331348455215458
2020-10-20,65.0,51.587616,17.047903,4.09685,117.2188,-3.04,117.51,0.9573621801716854,0.6964989665341287,0.2608632136375567
2020-10-21,57.0,50.558929,15.958013,3.56318,117.3686,-3.18,116.87,0.8115222897124141,0.7195036311697858,0.09201865854262836
2020-10-22,56.0,48.727722,15.271768,3.034186,117.4234,-2.75,115.75,0.598667420666402,0.6953363890691091,-0.09666896840270711
2020-10-23,55.0,47.551923,14.729196,2.884163,117.424,-0.81,115.04,0.3684401879874315,0.6299571488527737,-0.26151696086534215
2020-10-26,55.0,47.571113,14.65,2.881129,117.4268,-2.09,115.05,0.18466169870347926,0.5408980588229149,-0.3562363601194356
2020-10-27,57.0,50.588746,14.293259,2.807521,117.4666,-0.23,116.6,0.1622180196496288,0.46516205098825764,-0.30294403133862885
2020-10-28,51.0,41.604481,14.932849,3.078193,117.3794,-3.93,111.2,-0.28798392855097177,0.31453285508041173,-0.6025167836313835
2020-10-29,56.0,49.040522,14.945856,3.096139,117.3716,0.24,115.32,-0.30876341584713884,0.18987360089490163,-0.4986370167420405
2020-10-30,48.0,40.361849,16.019476,3.459613,117.1832,-5.38,108.86,-0.8368526048587057,-0.015471640255819846,-0.8213809646028859
2020-11-02,47.0,40.254966,17.099215,3.854434,116.8712,-6.72,108.77,-1.248240401322363,-0.2620253924691285,-0.9862150088532344
2020-11-03,50.0,43.257634,17.775431,4.003604,116.5628,-0.68,110.44,-1.423108442411305,-0.4942420024575638,-0.9288664399537412
2020-11-04,54.0,50.493824,16.96023,4.005265,116.3652,-0.32,114.95,-1.1841234781087877,-0.6322182975878086,-0.5519051805209791
2020-11-05,66.0,55.964865,15.344014,4.048793,116.2154,9.34,119.03,-0.6579201758420368,-0.6373586732386542,-0.02056150260338252
2020-11-06,65.0,55.415268,14.797244,4.081563,116.089,9.12,118.69,-0.2652774726319791,-0.5629424331173192,0.2976649604853401
2020-11-09,63.0,51.610571,14.94674,3.637973,115.9192,5.32,116.32,-0.1436881470670528,-0.4790915759072659,0.3354034288402131
2020-11-10,63.0,51.053105,14.511229,3.439122,115.6578,0.89,115.97,-0.0747086111165629,-0.39821498294912533,0.3235063718325624
2020-11-11,67.0,56.179541,14.581887,3.320442,115.364,0.39,119.49,0.2609842858374378,-0.2663751291918127,0.5273594150292505
2020-11-12,66.0,55.679979,14.849728,3.219081,115.1202,0.44,119.21,0.4986811790539605,-0.11336386754265809,0.6120450465966185
2020-11-13,66.0,55.755639,14.867704,3.232586,115.0878,2.53,119.26,0.6832165662856511,0.04595221922300374,0.6372643470626473
