date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,59.0,34.950958,135.51826,2.550631,96.1706,-2.03,92.38,0.0,0.0,0.0
2020-08-11,59.0,36.608464,131.338899,2.637628,96.21,-0.62,92.67,0.023133903133896183,0.004626780626779237,0.018507122507116947
2020-08-12,65.0,50.035513,127.522675,2.464606,96.2994,3.18,95.51,0.2675478283455419,0.05721099017053178,0.21033683817501014
2020-08-13,64.0,46.908396,123.979037,2.31818,96.3752,1.89,94.68,0.3897804155814981,0.12372487525272506,0.26605554032877304
2020-08-14,65.0,48.535976,120.693843,2.017755,96.4158,2.91,95.07,0.512215856685657,0.20142307153931144,0.3107927851463455
2020-08-17,68.0,53.567162,117.69501,1.811114,96.4658,3.97,96.35,0.7044121041981981,0.3020208780710888,0.4023912261271093
2020-08-18,66.0,50.6509,114.879183,1.752991,96.487,0.15,95.65,0.7911252655918162,0.39984175557523427,0.3912835100165819
2020-08-19,67.0,52.443315,112.290768,1.676359,96.4856,1.5,96.1,0.8859446910074098,0.4970623426616694,0.3888823483457404
2020-08-20,65.0,48.638333,109.51996,1.54747,96.4516,0.14,95.2,0.8783423070337903,0.5733183355360936,0.3050239714976968
2020-08-21,65.0,47.243801,106.829984,1.47563,96.5036,-1.55,94.86,0.8352539172307019,0.6257054518750153,0.2095484653556866
2020-08-24,64.0,45.788411,104.283768,1.388877,96.5446,-1.19,94.51,0.7640564161914796,0.6533756447383082,0.11068077145317134
2020-08-25,63.0,43.915234,101.820153,1.328387,96.5642,-2.12,94.06,0.6636702667597092,0.6554345691425885,0.00823569761712073
2020-08-26,64.0,45.463623,99.163149,1.218952,96.53,-0.89,94.35,0.6005908588942503,0.6444658270929209,-0.04387496819867054
2020-08-27,64.0,45.231758,96.750275,1.17179,96.5012,-0.59,94.3,0.5403367261347682,0.6236400069012904,-0.08330328076652216
2020-08-28,64.0,44.594943,94.451116,1.169262,96.46,-0.36,94.17,0.4766010184042955,0.5942322092018915,-0.11763119079759599
2020-08-31,68.0,53.308082,92.441131,1.158909,96.4412,1.82,95.77,0.5488696118530214,0.5851596897321174,-0.036290077879095994
2020-09-01,60.0,38.807633,89.433099,1.253796,96.3406,-2.24,92.24,0.3176399387789104,0.531655739541476,-0.21401580076256566
2020-09-02,64.0,46.411985,86.639925,1.232739,96.2734,-0.37,93.95,0.2692675175524357,0.47917809514366805,-0.20991057759123233
2020-09-03,60.0,39.914472,83.701322,1.291745,96.208,-2.44,91.87,0.062374395308864905,0.3958173551767074,-0.3334429598678425
2020-09-04,60.0,39.914474,80.751067,1.367142,96.1056,-4.07,91.87,-0.10043217505642588,0.2965674491300808,-0.3969996241865067
2020-09-08,56.0,35.360172,77.519205,1.581348,95.9874,-2.19,90.22,-0.35846658574085666,0.16556064215589333,-0.5240272278967499
2020-09-09,60.0,41.502697,74.636222,1.645611,95.8912,-2.47,91.63,-0.4440665760407114,0.04363519851657238,-0.4877017745572838
2020-09-10,56.0,36.287884,71.493896,1.877087,95.7206,-2.42,89.65,-0.6640202256939887,-0.09789588632553983,-0.5661243393684489
2020-09-11,55.0,36.50485,68.376501,2.067773,95.5318,-2.36,89.7,-0.8247927976366469,-0.24327526858776127,-0.5815175290488857
2020-09-14,57.0,39.982536,65.718495,2.141918,95.364,0.3,90.49,-0.8783349232596862,-0.3702871995221463,-0.5080477237375399
2020-09-15,57.0,41.807375,63.433598,2.088031,95.202,-0.79,90.91,-0.8767700937818859,-0.4715837783740942,-0.40518631540779165
2020-09-16,56.0,38.422476,60.831483,2.117794,95.0106,0.15,89.78,-0.9556948559427951,-0.5684059938878344,-0.3872888620549607
2020-09-17,56.0,37.982854,58.158904,2.079994,94.8176,-0.08,89.63,-1.0186051983088333,-0.6584458347720342,-0.3601593635367991
2020-09-18,57.0,40.335432,55.512066,2.039934,94.661,-0.42,90.11,-1.0179952933442138,-0.7303557264864702,-0.2876395668577436
2020-09-21,55.0,37.113559,52.221309,2.051815,94.5062,-2.0,89.09,-1.087283882977701,-0.8017413577847163,-0.2855425251929846
2020-09-22,54.0,35.640741,49.165606,2.082159,94.321,-1.31,88.6,-1.1682674345939432,-0.8750465731465618,-0.29322086144738146
2020-09-23,51.0,31.614957,45.930993,2.218369,94.0864,-2.78,87.14,-1.3348697336141413,-0.9670112052400777,-0.36785852837406363
2020-09-24,48.0,28.676208,43.177396,2.389182,93.795,-4.66,85.91,-1.54830606779106,-1.0832701777502742,-0.4650358900407858
2020-09-25,49.0,30.486584,40.620485,2.453301,93.5212,-3.21,86.23,-1.6723566878124103,-1.2010874797627016,-0.47126920804970873
2020-09-28,51.0,36.208249,37.848293,2.389383,93.2502,-1.49,87.28,-1.6667284648910936,-1.2942156767883801,-0.3725127881027135
2020-09-29,50.0,35.054124,35.2853,2.103066,92.9972,-0.29,86.89,-1.674435943059379,-1.37025973004258,-0.30417621301679887
2020-09-30,51.0,38.823324,33.181038,2.061558,92.801,1.96,87.59,-1.6055522186264568,-1.4173182277593555,-0.18823399086710135
2020-10-01,50.0,37.323702,31.184422,1.836497,92.5898,1.06,87.14,-1.5691840331747215,-1.4476913888424288,-0.12149264433229279
2020-10-02,48.0,34.10772,28.961201,1.828299,92.3516,-1.33,86.12,-1.6041755228273473,-1.4789882156394127,-0.12518730718793458
2020-10-05,51.0,43.423671,27.329767,1.69413,92.168,1.2,87.93,-1.468921840671129,-1.476974940645756,0.008053099974626887
2020-10-06,46.0,37.06342,25.527887,1.749301,91.9426,-1.94,85.89,-1.50894904877471,-1.483369762271547,-0.02557928650316299
2020-10-07,49.0,42.325621,23.854712,1.602579,91.7498,-0.08,87.07,-1.4289823423170986,-1.4724922782806573,0.04350993596355868
2020-10-08,50.0,43.4899,23.007629,1.573835,91.5564,1.42,87.34,-1.3285072037270425,-1.4436952633699345,0.11518805964289203
2020-10-09,50.0,45.081788,22.284533,1.528187,91.3896,-0.26,87.7,-1.2059297338490609,-1.3961421574657598,0.19021242361669888
2020-10-12,52.0,47.80863,21.591223,1.416373,91.2578,2.83,88.32,-1.0466917761515049,-1.3262520812029088,0.27956030505140395
2020-10-13,52.0,45.870144,21.066677,1.228477,91.0956,0.87,87.83,-0.9490929001645156,-1.2508202449952301,0.3017273448307145
2020-10-14,49.0,39.651233,19.678495,1.176292,90.9312,-1.45,86.07,-1.0022095312269528,-1.2010981022415748,0.19888857101462198
2020-10-15,47.0,37.06816,18.967377,1.167657,90.7708,-2.82,85.23,-1.0994124811336832,-1.1807609780199966,0.0813484968863134
2020-10-16,49.0,42.097553,17.837255,0.987328,90.6448,-2.32,86.27,-1.08007675834115,-1.1606241340842274,0.08054737574307747
2020-10-19,45.0,36.22228,17.277157,1.048948,90.4726,-4.01,84.31,-1.2089723970838264,-1.1702937866841472,-0.038678610399679236
2020-10-20,46.0,36.056385,17.119622,1.111222,90.31,-2.11,84.25,-1.3009678702060654,-1.196428603388531,-0.10453926681753445
2020-10-21,43.0,32.430728,17.389023,1.368985,90.1144,-2.75,82.89,-1.4667082794020558,-1.250484538591236,-0.21622374081081985
2020-10-22,45.0,39.294557,17.117067,1.440903,89.8904,-2.27,84.31,-1.4665708988074329,-1.2937018106344755,-0.17286908817295732
2020-10-23,45.0,39.434535,16.685443,1.505106,89.6836,0.04,84.34,-1.4473570433694078,-1.324432857181462,-0.12292418618794576
2020-10-26,45.0,38.10965,16.879471,1.565776,89.4606,-0.39,83.92,-1.4493136290704314,-1.3494090115592559,-0.09990461751117552
2020-10-27,43.0,34.512187,17.125669,1.714364,89.1878,-0.22,82.71,-1.5308543884764134,-1.3856980869426874,-0.14515630153372605
2020-10-28,38.0,29.087023,18.425302,2.026396,88.8846,-4.53,80.49,-1.7543879818745438,-1.4594360659290588,-0.294951915945485
2020-10-29,31.0,30.047197,20.028529,2.244505,88.576,-4.35,80.67,-1.8951691393018564,-1.5465826806036185,-0.3485864586982379
