date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,81.0,68.208768,146.581753,3.665625,215.2706,1.4,230.34,0.0,0.0,0.0
2020-08-11,79.0,63.199484,142.768386,3.561561,215.7744,-0.06,228.57,-0.1411965811965672,-0.02823931623931344,-0.11295726495725375
2020-08-12,80.0,65.042662,139.227401,3.505832,216.2538,-0.49,229.75,-0.15608055129422382,-0.05380756325029552,-0.1022729880439283
2020-08-13,81.0,67.943954,135.943604,3.452419,216.7428,0.07,231.73,-0.008014367737757766,-0.04464892414778797,0.0366345564100302
2020-08-14,80.0,63.688971,132.894364,3.435196,217.2858,-0.04,230.25,-0.009979444806162974,-0.03771502827946297,0.027735583473299998
2020-08-17,81.0,67.228279,130.07128,3.611232,217.7684,1.77,232.62,0.177654519824614,0.005358881341352425,0.17229563848326157
2020-08-18,81.0,69.409634,127.455353,3.811968,218.2274,1.95,234.23,0.4510696827709637,0.09450104162727468,0.356568641143689
2020-08-19,81.0,69.944887,125.03408,4.036055,218.7732,1.25,234.63,0.6920522784380978,0.21401128898943933,0.47804098944865847
2020-08-20,82.0,72.509123,122.788111,4.226267,219.3168,2.76,236.61,1.0309183886794244,0.37739270892743637,0.653525679751988
2020-08-21,82.0,73.587693,120.710019,4.292072,220.1476,2.09,237.49,1.3548628523878108,0.5728867376195113,0.7819761147682995
2020-08-24,81.0,73.913343,118.786475,4.401169,220.8708,1.5,237.75,1.6139662031292517,0.7811026307214594,0.8328635724077923
2020-08-25,81.0,74.512099,117.000326,4.319509,221.6392,1.53,238.21,1.8352697833041702,0.9919360612380016,0.8433337220661686
2020-08-26,82.0,77.250395,115.357786,4.496907,222.3602,1.62,240.45,2.166430482491876,1.2268349454887766,0.9395955370030993
2020-08-27,82.0,77.733438,113.842375,4.526715,223.0736,1.42,240.87,2.4347024777814568,1.4684084519473126,0.9662940258341441
2020-08-28,83.0,80.037515,112.43824,4.673529,223.8748,2.2,242.99,2.786258001409749,1.7319783618397997,1.0542796395699492
2020-08-31,80.0,68.947485,110.860861,4.623852,224.6424,0.72,239.93,2.785838448680778,1.9427503792079954,0.8430880694727825
2020-09-01,80.0,69.083173,108.939067,4.486432,225.3908,-0.18,240.02,2.760941779748606,2.1063886593161176,0.6545531204324884
2020-09-02,83.0,77.504691,107.30283,4.993005,226.1864,2.62,247.18,3.281140209733394,2.341338969399573,0.939801240333821
2020-09-03,76.0,58.014451,104.957502,4.905493,226.9292,-1.65,238.98,2.997180116875512,2.472507198894761,0.5246729179807512
2020-09-04,75.0,52.927748,101.706989,4.788922,227.3042,-1.61,236.07,2.5084116097432627,2.4796880810644613,0.028723528678801458
2020-09-08,73.0,47.640888,98.433587,4.666866,227.7078,-3.07,232.65,1.824066920568498,2.3485638489652687,-0.5244969283967706
2020-09-09,77.0,56.254427,95.681049,4.313681,228.2316,-3.35,238.91,1.7664855610091195,2.232148191374039,-0.4656626303649194
2020-09-10,74.0,48.965325,92.587351,4.059197,228.6102,-2.23,233.65,1.2816399310294742,2.042046539305126,-0.7604066082756518
2020-09-11,75.0,50.437921,89.714631,3.903157,229.0138,-0.55,234.77,0.976514267301468,1.8289400849043944,-0.8524258176029265
2020-09-14,78.0,55.455614,87.255731,3.547613,229.476,2.66,238.83,1.0502019750097418,1.673192462925464,-0.6229904879157222
