date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,71.0,51.848997,140.172083,9.312669,429.7642,-0.81,443.29,0.0,0.0,0.0
2020-08-11,69.0,47.664732,135.203248,9.260752,430.6752,-3.18,435.23,-0.6429629629629972,-0.12859259259259945,-0.5143703703703977
2020-08-12,72.0,52.818338,130.61146,9.105064,431.7736,-4.04,445.36,-0.3312904927719842,-0.1691321726284764,-0.16215832014350778
2020-08-13,74.0,55.012985,126.400744,8.533667,432.9756,0.1,450.02,0.288410621967671,-0.07762361370924692,0.3660342356769179
2020-08-14,73.0,53.618166,122.421586,8.228936,434.2116,0.97,447.6,0.5775962745760239,0.05342036394780725,0.5241759106282167
2020-08-17,75.0,55.611481,118.751785,8.007056,435.3852,3.76,451.58,1.115076814088809,0.2657516539760076,0.8493251601128013
2020-08-18,78.0,61.01927,115.410281,9.112817,436.6998,4.08,463.51,2.47515328448668,0.7076319800781421,1.767521304408538
2020-08-19,77.0,60.029017,112.336666,9.878552,437.9968,2.66,462.01,3.3928752680236016,1.244680637667234,2.1481946303563677
2020-08-20,80.0,66.464371,109.578119,11.730498,439.43,6.9,478.48,5.387069126714721,2.073158335476731,3.3139107912379897
2020-08-21,77.0,62.977089,107.016611,12.262688,441.141,4.79,473.22,6.468479481794986,2.9522225647403824,3.516256917054604
2020-08-24,77.0,64.162809,104.662456,13.165746,442.5362,2.76,476.3,7.487721446808962,3.8593223411540984,3.6283991056548635
2020-08-25,79.0,67.153204,102.519248,14.16203,444.198,4.85,484.43,8.849489693508758,4.85735581162503,3.9921338818837278
2020-08-26,86.0,77.910768,100.906597,20.907423,446.5344,10.45,528.49,13.330311086866004,6.551946866673225,6.778364220192779
2020-08-27,80.0,68.017561,99.409136,23.141344,448.471,7.84,510.32,15.239555072124631,8.289468507763505,6.950086564361126
2020-08-28,82.0,69.425799,98.018636,25.508065,450.3906,8.43,516.44,17.049936484254545,10.041562103061715,7.00837438119283
2020-08-31,80.0,67.823018,96.514687,27.102995,452.0982,5.98,513.39,18.030720365732407,11.639393755595853,6.391326610136554
2020-09-01,83.0,71.236809,95.220612,29.386632,453.8844,-0.1,527.95,19.755143972408973,13.262543798958477,6.492600173450496
2020-09-02,84.0,72.499261,94.088784,31.599038,455.7494,4.6,533.8,21.34772492952129,14.87958002507104,6.468144904450252
2020-09-03,76.0,59.91289,91.237831,32.086648,457.2718,-1.67,507.8,20.27812055199371,15.959288130455572,4.318832421538136
2020-09-04,72.0,53.779529,87.433948,31.403029,458.3716,-4.18,491.94,17.94383654621572,16.356197813607604,1.5876387326081165
2020-09-08,63.0,44.548419,83.389212,30.495429,459.0758,-12.47,462.13,13.532487692159293,15.791455789317943,-2.2589680971586503
2020-09-09,69.0,49.929173,79.685663,28.488742,460.181,-10.18,479.46,11.304536451036313,14.894071921661618,-3.5895354706253055
2020-09-10,68.0,48.983983,76.707507,27.089126,461.0,-6.21,476.26,9.174893325358369,13.75023620240097,-4.575342877042601
2020-09-11,67.0,47.498191,73.473946,26.020623,461.6308,-4.19,471.35,7.010131408370171,12.402215243594812,-5.392083835224641
2020-09-14,72.0,52.134684,70.499791,24.34527,462.49,5.15,485.91,6.395686813483451,11.20090955757254,-4.80522274408909
2020-09-15,75.0,55.549174,67.996961,22.753535,463.3916,3.8,497.67,6.779518691409976,10.316631384340027,-3.5371126929300516
2020-09-16,68.0,48.660748,64.801406,22.124548,463.9244,-0.05,476.0,5.274321231763679,9.308169353824757,-4.0338481220610785
2020-09-17,68.0,48.15624,61.099795,21.424102,464.2568,0.63,474.3,3.8993167123056196,8.22639882552093,-4.32708211321531
2020-09-18,66.0,46.111944,57.294555,21.928186,464.391,-3.78,467.55,2.2391357729888455,7.028946215014513,-4.789810442025668
2020-09-21,69.0,48.911222,53.761119,21.826607,464.5798,-4.43,475.64,1.55826311941604,5.934809595894818,-4.3765464764787785
2020-09-22,72.0,52.565248,50.940324,21.546844,465.466,2.26,486.78,1.895718868105007,5.126991450336856,-3.231272582231849
2020-09-23,67.0,47.214661,48.249582,22.049859,466.1982,-0.82,470.39,0.8310392539085569,4.267801011051197,-3.43676175714264
2020-09-24,67.0,46.371085,45.318991,21.073601,466.8914,0.03,467.67,-0.2295620307629065,3.3683284026883764,-3.597890433451283
2020-09-25,69.0,50.602743,43.050689,20.621231,467.9612,0.87,479.78,-0.09186147566776981,2.6762904270171473,-2.768151902684917
2020-09-28,71.0,53.454075,41.275201,19.574598,469.083,0.36,488.51,0.7134806854542717,2.283728478704572,-1.5702477932503003
2020-09-29,71.0,53.724273,39.796697,18.613957,469.7642,4.03,489.33,1.4017290374962954,2.1073285904629167,-0.7055995529666212
2020-09-30,72.0,54.109123,38.585159,15.94103,470.6872,4.87,490.43,2.0127301220022105,2.0884088967707757,-0.07567877476856522
2020-10-01,75.0,57.268243,37.643611,11.745269,471.7764,4.11,499.51,3.192828064313005,2.3092927302792217,0.8835353340337835
2020-10-02,69.0,49.050389,35.641486,10.139934,472.7214,-1.95,478.99,2.44409764231375,2.3362537126861276,0.10784392962762235
2020-10-05,70.0,51.767417,33.78237,9.898024,473.8446,-0.58,486.47,2.4263276804360316,2.3542685062361084,0.07205917419992325
2020-10-06,68.0,48.952332,32.310996,8.999905,474.6822,-2.33,478.98,1.7872620102419887,2.240867207037285,-0.4536051967952961
2020-10-07,71.0,54.043894,31.076978,9.366174,475.9,-1.27,493.15,2.39657224572818,2.2720082147754637,0.12456403095271629
2020-10-08,70.0,53.113837,30.226856,9.478515,476.9908,2.47,490.84,2.6623671909583777,2.3500800100120465,0.31228718094633123
2020-10-09,73.0,57.017511,29.581231,10.034655,478.2564,3.23,502.16,3.7432906700879585,2.628722142027229,1.1145685280607296
2020-10-12,74.0,59.797448,29.665897,11.623166,479.5878,6.66,510.89,5.243919713051753,3.151761656232134,2.0921580568196187
2020-10-13,74.0,60.865278,29.907447,12.996684,480.9146,4.29,514.31,6.632686972205136,3.8479467194267345,2.784740252778401
2020-10-14,71.0,57.048133,29.255894,13.490266,482.1024,3.15,506.31,7.006989674137685,4.479755310368925,2.52723436376876
2020-10-15,69.0,54.666711,27.909933,13.435845,483.1352,-0.2,501.15,6.808771110989369,4.945558470493014,1.8632126404963554
2020-10-16,70.0,55.316826,27.10307,12.812535,483.9094,-1.58,502.82,6.7090982069729534,5.2982664177890015,1.410831789183952
2020-10-19,67.0,51.675333,25.799024,12.363904,484.822,-3.72,495.2,5.94668669292048,5.427950472815297,0.5187362201051826
