date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,56.0,49.691379,118.697538,1.636752,118.9284,-0.36,116.76,0.0,0.0,0.0
2020-08-11,56.0,49.121862,116.042702,1.572445,119.004,0.34,116.56,-0.01595441595441116,-0.003190883190882232,-0.012763532763528929
2020-08-12,67.0,56.29619,113.579906,1.682017,119.0524,2.12,119.22,0.18392123440555963,0.03423154032840614,0.1496896940771535
2020-08-13,58.0,52.941353,111.293024,1.750296,118.9822,1.54,118.11,0.2498759891388289,0.0773604300904907,0.1725155590483382
2020-08-14,56.0,50.23997,109.076025,1.762003,118.8782,0.36,117.18,0.22451431846955927,0.10679120776630444,0.11772311070325484
2020-08-17,56.0,50.992856,107.017383,1.77512,118.7352,0.75,117.44,0.22282623668058932,0.1299982135491614,0.0928280231314279
2020-08-18,57.0,52.307945,105.110437,1.785223,118.6186,-1.12,117.88,0.25406405024557444,0.15481138088844404,0.0992526693571304
2020-08-19,58.0,53.138952,103.359901,1.749557,118.5138,0.03,118.15,0.29718126542901757,0.18328535779655875,0.11389590763245883
2020-08-20,57.0,50.673707,101.51552,1.426965,118.4052,0.23,117.45,0.27173542244818805,0.2009753707268846,0.07076005172130345
2020-08-21,56.0,45.980768,99.567616,1.008916,118.4126,-1.21,116.02,0.1346284466376062,0.18770598590902893,-0.053077539271422725
2020-08-24,57.0,50.184732,97.771422,0.979885,118.389,-0.55,117.23,0.12219844055651663,0.17460447683852648,-0.05240603628200985
2020-08-25,68.0,57.959523,96.204354,1.108069,118.417,1.48,119.9,0.32405870997382635,0.20449532346558646,0.11956338650823989
2020-08-26,69.0,59.514172,94.799822,1.324587,118.3734,2.61,120.51,0.5271793346173297,0.26903212569593515,0.25814720892139453
2020-08-27,66.0,54.302728,93.175917,1.35268,118.3036,2.6,119.04,0.5630467261799765,0.3278350457927435,0.23521168038723306
2020-08-28,67.0,55.832757,91.668006,1.28687,118.239,2.0,119.58,0.6278083950546289,0.3878297156451206,0.23997867940950834
2020-08-31,55.0,47.3044,89.766369,1.274972,118.173,-2.52,116.88,0.45600846730623346,0.40146546597734317,0.054543001328890284
2020-09-01,66.0,52.719847,88.000564,1.288194,118.1382,-1.45,118.76,0.4661822165938787,0.4144088161006503,0.05177340049322843
2020-09-02,69.0,59.956773,86.62023,1.503791,118.1098,2.34,121.83,0.7137407698352831,0.47427520684757685,0.23946556298770627
2020-09-03,56.0,47.854535,84.645937,1.489094,118.0628,-2.06,117.12,0.5238366076188896,0.48418748700183944,0.03964912061705017
2020-09-04,57.0,48.613446,81.990236,1.441513,118.0096,0.48,117.44,0.3946087129180711,0.46627173218508583,-0.07166301926701474
