date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,31.0,42.818566,135.859212,5.704267,146.4902,1.05,138.17,0.0,0.0,0.0
2020-08-11,32.0,42.696575,131.64766,5.694361,146.3412,2.47,138.1,-0.005584045584043906,-0.0011168091168087813,-0.004467236467235125
2020-08-12,33.0,46.187397,127.74102,5.462904,146.1678,2.24,139.58,0.10816730383683648,0.020740013473920273,0.08742729036291622
2020-08-13,32.0,45.541409,124.118171,5.34176,145.9194,0.92,139.26,0.1705289900914977,0.05069780879743576,0.11983118129406192
2020-08-14,32.0,44.907294,120.602,5.106879,145.6992,0.57,138.96,0.1935128868427114,0.07926082440649089,0.1142520624362205
2020-08-17,33.0,46.769766,117.351444,4.830452,145.2898,1.13,139.66,0.2651553941338989,0.1164397383519725,0.1487156557819264
2020-08-18,34.0,47.560694,114.307672,4.535018,144.8658,0.27,139.95,0.341397752904669,0.1614313412625118,0.1799664116421572
2020-08-19,33.0,44.956082,111.351643,4.126187,144.49,-0.26,138.9,0.3134805382332786,0.19184118065666517,0.12163935757661343
2020-08-20,34.0,45.718309,108.443875,3.704989,144.1522,0.14,139.15,0.3079786687530657,0.21506867827594528,0.0929099904771204
2020-08-21,34.0,42.975331,105.691694,3.362609,144.054,-1.13,138.08,0.2148022334764903,0.2150153893160543,-0.0002131558395639943
2020-08-24,37.0,50.661938,103.197825,2.95942,143.927,0.51,140.66,0.3451648299580654,0.24104527744445653,0.10411955251360888
2020-08-25,38.0,51.747895,100.961313,2.32844,143.8024,1.56,141.06,0.4752760969455494,0.28789144134467515,0.18738465560087425
2020-08-26,37.0,47.653254,98.633002,2.357995,143.559,0.33,139.61,0.4561293563010338,0.3215390243359469,0.1345903319650869
2020-08-27,39.0,51.632679,96.497668,2.155795,143.3656,2.12,141.01,0.5476112050120037,0.3667534604711583,0.18085774454084536
2020-08-28,39.0,52.548376,94.348417,1.870469,143.1578,0.48,141.34,0.6393692208965547,0.4212766125562376,0.21809260834031707
2020-08-31,38.0,46.135043,92.081621,1.598274,142.9596,-1.4,139.09,0.5244859658671146,0.44191848321841304,0.08256748264870156
2020-09-01,37.0,44.673651,89.700984,1.521402,142.7206,-0.77,138.53,0.38382830490823494,0.4303004475563775,-0.046472142648142534
2020-09-02,42.0,55.404223,87.772309,1.364513,142.5598,1.04,142.48,0.5843520371494719,0.4611107654749964,0.12324127167447552
2020-09-03,38.0,47.087849,86.057951,1.196697,142.4458,-1.56,139.14,0.46835949645927144,0.4625605116718514,0.005798984787420025
2020-09-04,38.0,45.737542,84.400059,1.167241,142.2674,-0.4,138.53,0.3234837509446322,0.43474515952640763,-0.11126140858177541
2020-09-08,40.0,40.345242,82.053536,1.388157,142.0908,-1.91,135.89,-0.004307602389587828,0.34693460714320856,-0.3512422095327964
2020-09-09,37.0,44.032782,79.938545,1.440073,141.9084,-3.66,137.26,-0.1517873509860408,0.24719021551735867,-0.39897756650339944
2020-09-10,31.0,34.934242,76.875018,2.177754,141.5686,-5.2,131.9,-0.6931827397611698,0.05911562446165297,-0.7522983642228228
2020-09-11,32.0,38.844214,74.030315,2.492713,141.2552,-3.67,133.44,-0.9866043949011214,-0.1500283794109019,-0.8365760154902195
2020-09-14,36.0,45.953084,71.820261,2.535833,140.9758,0.5,136.57,-0.9555631914363971,-0.31113534181600094,-0.6444278496203961
2020-09-15,36.0,46.804107,69.864696,2.548016,140.7006,-0.21,136.97,-0.8884447193037772,-0.4265972173135562,-0.461847501990221
2020-09-16,37.0,48.422153,68.28641,2.530019,140.5148,4.4,137.71,-0.7667029565867267,-0.49461836516819035,-0.27208459141853636
2020-09-17,37.0,48.784885,65.917868,2.529108,140.3102,3.32,137.87,-0.6498203452661357,-0.5256587611877794,-0.12416158407835631
2020-09-18,34.0,43.111729,63.620376,2.615367,140.0974,-1.08,135.09,-0.7726066714934063,-0.5750483432489049,-0.19755832824450148
2020-09-21,30.0,36.445901,60.183924,3.036975,139.7746,-4.34,131.03,-1.1838767940760988,-0.6968140334143437,-0.48706276066175513
2020-09-22,32.0,40.995376,57.086437,3.13495,139.5232,-3.49,132.91,-1.3426339921784631,-0.8259780251671676,-0.5166559670112956
2020-09-23,27.0,34.98454,53.678546,3.536862,139.188,-6.64,128.72,-1.7859607543136065,-1.0179745709964554,-0.7679861833171511
