date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-17,77.0,58.57458,127.58421,7.941038,286.0837,1.77,309.52,0.0,0.0,0.0
2020-08-18,75.0,55.747131,123.901203,7.445667,286.4101,-0.62,306.07,-0.27521367521364937,-0.05504273504272988,-0.22017094017091948
2020-08-19,73.0,52.163043,120.254606,6.51238,286.8461,-3.43,301.51,-0.8514612706065918,-0.21432644215550228,-0.6371348284510896
2020-08-20,71.0,48.993997,116.482223,6.556719,287.4399,-3.16,297.25,-1.6330631043690573,-0.49807377459821334,-1.134989329770844
2020-08-21,69.0,46.863553,112.869907,6.702281,288.5601,-4.92,294.29,-2.4629441638197704,-0.8910478524425247,-1.5718963113772457
2020-08-24,69.0,47.519459,109.567116,6.586554,289.4337,-3.59,295.08,-3.0220481942860147,-1.3172479208112229,-1.7048002734747918
2020-08-25,70.0,48.895365,106.227423,6.632373,290.1913,-1.6,296.68,-3.298018039303372,-1.7134019445096527,-1.5846160947937193
2020-08-26,72.0,52.280506,103.208283,6.63283,290.9095,1.16,300.7,-3.1559657180000613,-2.0019146992077346,-1.1540510187923267
2020-08-27,75.0,56.126466,100.550527,6.654123,291.7781,3.86,305.64,-2.61463166891059,-2.1244580931483057,-0.4901735757622845
2020-08-28,71.0,51.544038,98.08261,6.458517,292.4975,1.86,300.58,-2.5643599020295937,-2.2124384549245635,-0.35192144710503026
2020-08-31,70.0,48.509508,95.365783,5.72971,293.2189,0.1,296.98,-2.782929202598268,-2.3265366044593043,-0.4563925981389638
2020-09-01,74.0,55.179546,92.981717,4.885333,294.1175,1.57,305.43,-2.2483845896238677,-2.3109062014922173,0.06252161186834959
2020-09-02,81.0,65.881682,91.11434,6.740272,295.2579,6.15,324.43,-0.2882896980955252,-1.906382900812879,1.6180932027173538
2020-09-03,77.0,58.090489,89.38256,7.111604,296.3953,4.64,314.52,0.4601412248751444,-1.4330780756752743,1.8932193005504188
2020-09-04,74.0,54.242539,86.738699,7.176151,297.4267,4.05,309.0,0.6009330736426932,-1.026275845811681,1.6272089194543742
2020-09-08,76.0,54.372266,84.25683,7.2336,298.3483,1.24,309.22,0.7219416950572395,-0.676632337637897,1.3985740326951364
2020-09-09,80.0,62.103345,82.355011,8.329792,299.4971,-0.16,323.92,1.9811713363927765,-0.1450716028317623,2.126242939224539
2020-09-10,81.0,63.908793,80.692982,9.616872,300.5673,4.27,327.95,3.2666512965685683,0.5372729770483038,2.7293783195202646
2020-09-11,75.0,56.506333,78.235339,9.837955,301.4437,2.8,317.66,3.415712219252498,1.1129608254891425,2.3027513937633555
2020-09-14,78.0,59.363461,75.953242,10.458086,302.3143,4.61,323.46,3.956250409739937,1.6816187423393014,2.2746316674006355
