date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,75.0,60.193627,123.339277,1.160706,61.2484,0.6,65.24,0.0,0.0,0.0
2020-08-11,72.0,56.352775,120.263746,1.157766,61.4238,-0.63,64.46,-0.06222222222221774,-0.012444444444443549,-0.04977777777777419
2020-08-12,77.0,63.00206,117.425852,1.267787,61.638,4.54,66.5,0.05247230136119185,0.0005389047166835317,0.05193339664450832
2020-08-13,73.0,56.503941,114.761757,1.249704,61.7832,2.36,65.07,0.027660634067729006,0.005963250586892627,0.02169738348083638
2020-08-14,78.0,63.694935,112.403381,1.426059,61.973,3.65,67.62,0.21132487611338036,0.047035575692190176,0.16428930042119017
2020-08-17,76.0,60.807899,110.213461,1.539576,62.108,3.85,66.94,0.2985680871051244,0.09734207797477702,0.20122600913034738
2020-08-18,74.0,58.660374,107.925347,1.597044,62.2386,-0.11,66.43,0.32283478418293043,0.14244061921640772,0.18039416496652272
2020-08-19,72.0,56.308809,105.65639,1.622985,62.3602,1.23,65.87,0.29349576013638057,0.17265164740040229,0.12084411273597828
2020-08-20,67.0,48.527383,102.645264,1.618671,62.4388,-5.66,63.79,0.10123873833198616,0.15836906558671907,-0.05713032725473291
2020-08-21,56.0,43.767462,99.360525,1.447306,62.576,-6.98,62.27,-0.17179726152424735,0.0923358001645258,-0.26413306168877315
2020-08-24,67.0,48.979585,96.362848,1.413786,62.7198,-4.05,63.74,-0.2664915946135977,0.020570321208901093,-0.28706191582249885
2020-08-25,68.0,50.031433,93.667409,1.312644,62.8598,-2.76,64.05,-0.3129160254430019,-0.04612694812147951,-0.2667890773215224
2020-08-26,68.0,49.013437,91.164502,1.287098,62.9642,-0.05,63.76,-0.36885635130146,-0.11067282875747561,-0.25818352254398436
2020-08-27,56.0,43.347186,87.934346,1.422514,63.0048,-0.39,62.03,-0.5464864487540666,-0.19783555275679382,-0.3486508959972728
2020-08-28,66.0,47.292027,84.934916,1.4648,63.0586,-1.05,63.07,-0.5964645997638911,-0.2775613621582133,-0.3189032376056778
2020-08-31,53.0,42.759811,81.913519,1.603419,63.0716,-3.83,61.6,-0.7460889106717232,-0.37126687186091534,-0.3748220388108079
2020-09-01,54.0,43.901997,79.022767,1.695217,63.084,-2.93,61.89,-0.8316795940249122,-0.46334941629371473,-0.3683301777311975
2020-09-02,69.0,54.627268,76.88918,1.699242,63.1688,4.92,65.08,-0.6347870571189986,-0.49763694445877155,-0.13715011266022709
2020-09-03,53.0,44.281059,74.319316,1.806014,63.1986,-2.55,61.46,-0.7620674107440593,-0.5505230377158291,-0.21154437302823015
2020-09-04,52.0,43.067757,70.913572,1.937894,63.2182,-1.04,60.96,-0.8929899965102024,-0.6190164294747038,-0.2739735670354986
2020-09-08,43.0,32.762281,66.633783,2.653008,63.1632,-10.11,55.63,-1.4105733329764476,-0.7773278101750527,-0.6332455228013949
2020-09-09,38.0,32.095048,62.403757,3.213298,63.086,-15.18,55.2,-1.834314427552826,-0.9887251336506074,-0.8455892939022186
2020-09-10,39.0,31.96462,58.475875,3.558394,62.9794,-10.32,55.12,-2.1517832118784384,-1.2213367492961738,-0.9304464625822646
2020-09-11,39.0,31.75615,54.73745,3.869168,62.8858,-9.78,55.0,-2.3855632199754027,-1.4541820434320196,-0.931381176543383
2020-09-14,44.0,37.128761,51.522925,3.833891,62.795,1.49,56.46,-2.4250710528721555,-1.6483598453200468,-0.7767112075521088
2020-09-15,45.0,39.719153,48.778314,3.731409,62.6698,3.62,57.2,-2.369357006818362,-1.79255927761971,-0.5767977291986519
2020-09-16,44.0,38.053502,46.332907,3.641097,62.5556,2.45,56.47,-2.3569387997184563,-1.9054351820394593,-0.45150361767899705
2020-09-17,44.0,37.7499,43.355615,3.533404,62.427,2.44,56.34,-2.3307201041305703,-1.9904921664576816,-0.3402279376728887
2020-09-18,43.0,37.28173,40.654111,3.522034,62.2802,-0.55,56.15,-2.298774173352257,-2.0521485678365967,-0.24662560551566015
2020-09-21,46.0,42.047918,37.792665,3.504793,62.1748,0.21,57.32,-2.1542151201971365,-2.0725618783087048,-0.0816532418884317
2020-09-22,46.0,44.269901,35.358009,3.374277,62.1024,2.51,57.89,-1.9709370572386007,-2.052236914094684,0.08129985685608343
2020-09-23,44.0,42.308402,33.407748,3.199885,61.9966,1.62,57.25,-1.8559364431572618,-2.0129768199071996,0.15704037674993776
2020-09-24,45.0,44.541196,31.47686,2.994579,61.9104,2.92,57.79,-1.7016090510062725,-1.950703266127014,0.2490942151207416
2020-09-25,45.0,46.362769,29.628356,2.882758,61.8282,1.59,58.23,-1.5262060052924582,-1.865803813960103,0.3395978086676448
2020-09-28,47.0,50.829506,28.553681,2.682622,61.7694,2.54,59.36,-1.2812468554563665,-1.7488924222593556,0.4676455668029891
2020-09-29,47.0,51.935749,27.721321,2.588142,61.6878,4.19,59.65,-1.0515922867191847,-1.6094323951513216,0.5578401084321369
2020-09-30,46.0,51.082191,26.851943,2.457154,61.6006,2.87,59.45,-0.8756339518200349,-1.4626727064850644,0.5870387546650295
2020-10-01,49.0,55.778293,26.414537,1.946604,61.5292,4.16,60.65,-0.6320696273056612,-1.2965520906491839,0.6644824633435227
2020-10-02,43.0,46.089577,25.197666,1.749904,61.4208,-1.94,58.21,-0.6286836792980282,-1.1629784083789527,0.5342947290809246
2020-10-05,49.0,54.437874,24.515948,1.715912,61.4204,1.59,60.6,-0.42821111400090217,-1.0160249495033427,0.5878138355024405
2020-10-06,49.0,53.688629,24.517008,1.770266,61.3682,1.6,60.4,-0.28222023105870164,-0.8692640058144145,0.5870437747557129
2020-10-07,50.0,56.034594,24.517992,1.815665,61.3446,0.77,61.12,-0.10718782726002019,-0.7168487701035358,0.6096609428435156
2020-10-08,61.0,60.46762,24.883771,1.943029,61.3316,7.54,62.6,0.14923001420345372,-0.5436330132421379,0.6928630274455916
2020-10-09,61.0,62.372495,25.633786,2.053132,61.309,4.44,63.29,0.4034692915414624,-0.3542125522854178,0.7576818438268802
2020-10-12,64.0,65.933655,26.764168,2.34173,61.316,7.09,64.68,0.7089448587830134,-0.14158107007173157,0.850525928854745
2020-10-13,64.0,65.958616,27.908568,2.574123,61.3096,5.84,64.69,0.9409961452681799,0.07493437299625072,0.8660617722719292
2020-10-14,62.0,62.459352,28.399504,2.636139,61.2922,2.2,63.98,1.0554409293204614,0.27103568426109287,0.7844052450593686
2020-10-15,61.0,60.183183,27.850033,2.603743,61.265,0.35,63.51,1.0955849518193048,0.43594553777273526,0.6596394140465696
2020-10-16,60.0,57.724926,27.44619,2.47739,61.2528,-2.6,63.0,1.0738677620184731,0.5635299826218829,0.5103377793965902
2020-10-19,57.0,53.35322,26.651064,2.368383,61.2224,-4.08,62.05,0.9688315846871163,0.6445903030349296,0.3242412816521867
2020-10-20,58.0,54.179314,25.912733,2.278647,61.1628,-2.69,62.26,0.8922496043313544,0.6941221632942146,0.19812744103713975
2020-10-21,57.0,53.451163,25.142971,2.103415,61.1158,-2.2,62.11,0.8101155786471423,0.7173208463648002,0.09279473228234214
2020-10-22,57.0,51.417064,23.652515,1.935526,61.0198,-2.06,61.7,0.7038269194512807,0.7146220609820964,-0.010795141530815622
2020-10-23,56.0,47.831237,22.127149,1.785301,60.9374,-1.77,60.95,0.5527024494892672,0.6822381386835306,-0.1295356891942634
2020-10-26,45.0,41.803184,21.627766,1.77569,60.7752,-4.42,59.51,0.31312968869863056,0.6084164486865506,-0.2952867599879201
2020-10-27,43.0,39.285348,21.164053,1.83161,60.613,-5.28,58.83,0.06761678849288444,0.5002565166478175,-0.432639728154933
2020-10-28,40.0,34.339262,21.687681,2.011264,60.4308,-7.1,57.32,-0.24596302549728932,0.3510126082187961,-0.5969756337160854
2020-10-29,45.0,45.088105,20.778192,2.052838,60.3034,-2.38,59.5,-0.3149390846007307,0.2178222696548907,-0.5327613542556214
2020-10-30,45.0,44.124655,19.933666,1.981515,60.2122,-0.47,59.23,-0.38692956868917605,0.09687190198607737,-0.4838014706752534
2020-11-02,55.0,48.914073,18.611573,1.98896,60.1734,2.55,60.33,-0.35117362808965424,0.007262795970931046,-0.3584364240605853
2020-11-03,59.0,54.625646,18.394419,1.971856,60.1352,7.87,61.83,-0.19949961618871725,-0.034089686460998615,-0.16540992972771865
2020-11-04,65.0,63.502421,19.267465,2.089005,60.1514,9.01,64.86,0.16331620072727304,0.005391490976655717,0.15792470975061731
2020-11-05,74.0,73.043017,21.335241,2.740357,60.2752,18.1,69.95,0.8517523398981837,0.17466366076096132,0.6770886791372224
2020-11-06,74.0,73.880867,23.41417,3.286907,60.4452,16.91,70.53,1.4276866103039012,0.4252682506695493,1.0024183596343519
2020-11-09,75.0,74.992143,26.147008,3.781724,60.6098,15.32,71.3,1.9240717325841175,0.7250289470524629,1.1990427855316546
2020-11-10,71.0,67.338788,27.5968,4.025565,60.7656,6.98,69.39,2.1386860394123914,1.0077603655244487,1.1309256738879427
2020-11-11,74.0,70.357841,28.980397,4.390982,60.951,1.73,71.16,2.4236552423187447,1.290939340883308,1.1327159014354367
2020-11-12,71.0,65.358737,30.033781,4.603009,61.0454,-1.04,69.8,2.5108116805807583,1.534913808822798,0.9758978717579603
2020-11-13,76.0,70.375692,31.527574,4.999324,61.2724,2.12,72.81,2.790597360921879,1.7860505192426144,1.0045468416792647
2020-11-16,78.0,72.735019,33.01413,5.43797,61.5428,7.34,74.48,3.1112203599250563,2.0510844873791028,1.0601358725459535
2020-11-17,77.0,72.326421,34.401543,5.774906,61.9176,4.51,74.37,3.3181902838172874,2.30450564666674,1.0136846371505475
