date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,88.0,71.670206,126.052195,11.697485,60.0709,-3.29,82.24,0.0,0.0,0.0
2020-08-11,83.0,60.491274,121.739315,11.261012,60.5359,-9.88,76.88,-0.427578347578347,-0.08551566951566941,-0.3420626780626776
2020-08-12,88.0,66.505852,117.827154,10.943822,61.1173,-4.73,82.61,-0.3006089236288574,-0.12853432033830703,-0.17207460329055035
2020-08-13,87.0,65.07225,114.243818,10.371391,61.6995,-3.55,81.84,-0.2591302134276532,-0.15465349895617628,-0.10447671447147691
2020-08-14,87.0,64.029839,110.76216,9.571869,62.2729,-1.14,81.3,-0.26675652066684563,-0.17707410329831016,-0.08968241736853547
2020-08-17,89.0,65.272426,107.529192,8.814009,62.8593,7.21,82.42,-0.18034685801190165,-0.17772865424102846,-0.0026182037708731842
2020-08-18,87.0,63.665238,104.389094,7.704348,63.4331,-1.15,81.66,-0.17121852564108053,-0.17642662852103888,0.005208102879958348
2020-08-19,86.0,62.423777,101.312271,6.85292,63.9271,-0.92,81.09,-0.20758557548568035,-0.18265841791396717,-0.024927157571713182
2020-08-20,88.0,64.613966,98.075979,5.382571,64.4337,1.81,82.77,-0.09969553675441034,-0.1660658416820558,0.06637030492764545
2020-08-21,88.0,65.937555,95.197059,4.926944,65.0533,1.69,83.81,0.06893279030573751,-0.11906611528449712,0.18799890559023463
2020-08-24,88.0,64.124465,92.598333,4.225026,65.6449,1.74,83.08,0.14202982386790097,-0.0668469274540175,0.20887675132191846
2020-08-25,91.0,68.325922,90.291081,3.093483,66.2783,6.49,86.35,0.45853570687108913,0.038229599411003824,0.4203061074600853
2020-08-26,90.0,67.467214,88.239342,2.918272,66.9095,3.93,86.02,0.6749601370659661,0.1655757069419963,0.5093844301239698
2020-08-27,87.0,61.836919,85.571412,2.770212,67.4945,-0.01,83.8,0.6597375665683245,0.264408078867262,0.3953294877010625
2020-08-28,90.0,64.361707,83.094048,2.563628,68.1247,2.97,85.55,0.7798938139953009,0.3675052258928698,0.41238858810243106
2020-08-31,92.0,70.657332,81.435273,2.776924,68.8565,5.18,90.82,1.2855445056945598,0.5511130818532078,0.734431423841352
2020-09-01,91.0,72.030487,79.894982,3.329301,69.6049,7.16,92.18,1.7755495261917673,0.7960003707209198,0.9795491554708475
2020-09-02,90.0,67.153094,78.618998,3.583423,70.3295,7.66,90.22,1.9828691345449272,1.0333741234857214,0.9494950110592058
2020-09-03,81.0,52.2294,75.23824,3.558945,70.9325,-3.52,82.54,1.510052655225678,1.1287098298337128,0.3813428253919653
2020-09-04,80.0,51.380787,70.87353,3.582825,71.5341,-9.7,82.01,1.0801246141040224,1.1189927866877747,-0.0388681725837523
2020-09-08,71.0,46.305351,66.820585,3.747756,72.1059,-14.63,78.69,0.4661339879933024,0.9884210269488802,-0.5222870389555778
2020-09-09,79.0,51.327178,63.154526,3.431583,72.7385,-9.21,81.91,0.2366412297812701,0.8380650675153583,-0.6014238377340881
2020-09-10,75.0,47.018029,59.529672,3.594217,73.2659,-4.31,78.98,-0.17958974864448862,0.634534104283389,-0.8141238529278776
2020-09-11,71.0,43.476282,55.388344,3.932159,73.7411,-6.91,76.34,-0.7142483243496116,0.3647776185567888,-1.0790259429064004
2020-09-14,73.0,46.061841,51.542824,4.096969,74.2523,-1.0,77.9,-1.0005563443539387,0.09171082597464328,-1.092267170328582
2020-09-15,74.0,47.760932,48.310898,4.208108,74.7629,-3.64,78.93,-1.1313041509743726,-0.1528921694151599,-0.9784119815592127
2020-09-16,71.0,44.438521,45.309824,4.436431,75.2375,-2.94,76.66,-1.4019321572898065,-0.40270016699008926,-0.9992319902997172
2020-09-17,71.0,44.277783,42.22894,4.638983,75.6999,0.28,76.55,-1.606761140502286,-0.6435123616925287,-0.9632487788097572
2020-09-18,60.0,41.875493,39.258826,4.942511,76.0534,-3.81,74.93,-1.8781597895661832,-0.8904418472672596,-0.9877179422989236
2020-09-21,71.0,47.56763,36.655539,5.021556,76.4946,-1.25,77.94,-1.8292765682964074,-1.0782087914730893,-0.751067776823318
2020-09-22,70.0,47.170969,34.458538,5.103675,76.9768,1.36,77.7,-1.7892765907397887,-1.2204223513264294,-0.5688542394133593
2020-09-23,57.0,42.45308,32.13282,5.212986,77.377,-2.38,74.73,-1.9744700374889845,-1.3712318885589405,-0.603238148930044
2020-09-24,58.0,44.641409,29.839413,5.217386,77.7866,1.19,75.82,-2.010111968275524,-1.4990079045022573,-0.5111040637732667
2020-09-25,60.0,48.929797,28.006652,5.197466,78.2493,0.15,78.055,-1.8368387007347593,-1.5665740637487577,-0.27026463698600156
2020-09-28,68.0,51.509037,26.724349,5.064736,78.7381,2.29,79.48,-1.5664754432514343,-1.5665543396492931,7.889639785885194e-05
2020-09-29,72.0,55.406656,26.340348,4.456202,79.2243,9.42,81.77,-1.1541227435907047,-1.4840680204375754,0.3299452768468707
2020-09-30,71.0,55.774433,26.081467,3.469719,79.7241,8.14,81.99,-0.8003521356674383,-1.3473248434835479,0.5469727078161095
2020-10-01,75.0,60.366614,26.392253,2.733856,80.1855,8.72,84.86,-0.28511474044930196,-1.1348828228766987,0.8497680824273968
2020-10-02,70.0,53.936053,26.187968,2.688834,80.6301,2.92,81.8,-0.12229211182598476,-0.932364680666556,0.8100725688405712
2020-10-05,75.0,60.394911,26.391024,3.057984,80.9651,5.36,86.15,0.35367766401081724,-0.6751562117310813,1.0288338757418987
2020-10-06,72.0,57.085633,26.802222,3.275647,81.2753,3.04,84.48,0.5893385691364017,-0.42225725555758475,1.0115958246939865
2020-10-07,75.0,60.194065,27.30863,3.611017,81.6569,2.16,86.69,0.9435533686605879,-0.14909513071395025,1.0926484993745382
2020-10-08,75.0,59.814046,27.993745,3.908337,81.8653,5.76,86.51,1.1959603669355374,0.11991596881594728,1.0760443981195902
2020-10-09,69.0,52.989004,27.069422,3.872433,81.9633,-3.54,83.1,1.1080631676702097,0.3175454085867998,0.7905177590834099
2020-10-12,71.0,54.922056,26.211123,3.924312,82.1005,-0.22,84.29,1.121499115052984,0.47833614988003664,0.6431629651729474
2020-10-13,71.0,56.523712,25.699246,4.030048,82.2527,-1.63,85.28,1.1982195967340488,0.6223128392508391,0.5759067574832096
