date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,52.0,39.478752,134.596677,6.571424,240.6966,-2.23,238.17,0.0,0.0,0.0
2020-08-11,49.0,35.943671,129.868611,7.308181,240.8514,-2.82,234.65,-0.2807977207977217,-0.05615954415954434,-0.22463817663817737
2020-08-12,61.0,46.337354,125.531973,7.398789,241.2114,0.07,241.72,0.06639264291686686,-0.0316491067442621,0.09804174966112897
2020-08-13,53.0,44.937913,121.505095,7.416349,241.6006,-0.1,240.46,0.23713845331528205,0.02210840526764673,0.2150300480476353
2020-08-14,53.0,44.084449,117.685862,7.170091,241.9772,0.65,239.71,0.30838216854692746,0.07936315792350288,0.22901901062342458
2020-08-17,63.0,48.701015,114.213872,6.413593,242.324,3.56,243.01,0.6239334306965247,0.18827721247810725,0.4356562182184175
2020-08-18,54.0,46.797078,110.972689,5.835974,242.639,-0.09,241.5,0.7435940100935454,0.2993405720011949,0.4442534380923505
2020-08-19,54.0,45.515333,107.816914,5.21457,242.9508,0.01,240.49,0.748301369904965,0.38913273158194894,0.35916863832301604
2020-08-20,53.0,43.290238,104.765087,4.994331,243.183,-0.41,238.73,0.6030629609833511,0.4319187774622294,0.1711441835211217
2020-08-21,52.0,41.923313,101.741229,5.037056,243.5578,-2.21,237.64,0.3954481054352925,0.42462464305684205,-0.029176537621549536
2020-08-24,51.0,39.380227,98.718095,4.645683,243.9112,-2.46,235.57,0.06315215757928172,0.35233014596133,-0.2891779883820483
2020-08-25,68.0,56.675992,96.216948,3.825127,244.48,3.21,248.22,0.8112034558963046,0.44410480794832496,0.36709864794797964
2020-08-26,68.0,58.64481,93.93029,3.957942,244.9462,4.8,250.18,1.5443923254507297,0.664162311448806,0.8802300140019237
2020-08-27,70.0,61.193219,91.947056,4.548551,245.483,6.38,252.81,2.3110287067204354,0.9935355905031319,1.3174931162173036
2020-08-28,69.0,61.494418,89.782705,5.122944,245.939,7.45,253.12,2.910062581427809,1.3768409886880675,1.5332215927397415
2020-08-31,68.0,61.700946,87.830219,5.550614,246.2314,2.05,253.32,3.3621824253560533,1.7739092760216648,1.5882731493343885
2020-09-01,66.0,57.608003,85.826189,5.819996,246.5648,0.27,250.86,3.481852588828559,2.1154979385830437,1.3663546502455155
2020-09-02,70.0,64.989275,84.188919,6.646111,247.0122,2.1,258.12,4.115077331277604,2.515413817121956,1.599663514155648
2020-09-03,63.0,51.4275,82.006029,6.672137,247.3202,-2.06,247.91,3.7498251798485,2.762296089667265,0.9875290901812352
2020-09-04,64.0,51.945777,79.739824,6.672614,247.586,-1.94,248.4,3.4600142329470884,2.9018397183232296,0.5581745146238588
2020-09-08,54.0,44.424089,76.961589,6.555892,247.7528,-3.86,241.18,2.617569596680198,2.8449856939946234,-0.22741609731442525
2020-09-09,55.0,49.237169,74.409896,6.1215,248.033,-4.86,245.57,2.2779042024918112,2.731569395694061,-0.45366519320224974
2020-09-10,53.0,44.569101,71.6355,6.158605,248.1286,-2.93,240.64,1.5925492161335058,2.50376535978195,-0.9112161436484443
2020-09-11,55.0,47.370312,69.059276,6.077568,247.8904,-2.09,243.21,1.2424557172358845,2.251503431272737,-1.0090477140368526
2020-09-14,58.0,51.040481,66.833273,5.933647,247.6606,2.31,246.75,1.2364000617778004,2.04848275737375,-0.8120826955959495
2020-09-15,66.0,52.64778,65.046862,5.919455,247.5026,1.13,248.35,1.3452009008146035,1.9078263860619207,-0.5626254852473171
2020-09-16,66.0,51.970246,63.205363,5.831288,247.3948,2.96,247.76,1.3680482715606104,1.7998707631616586,-0.43182249160104824
2020-09-17,67.0,52.328583,60.842286,5.676541,247.3246,2.0,248.08,1.3958854050902687,1.7190736915473808,-0.32318828645711206
2020-09-18,66.0,51.859823,58.538673,5.36547,247.2458,0.39,247.72,1.3730696503902777,1.6498728833159602,-0.27680323292568243
2020-09-21,56.0,46.24592,55.731341,4.990637,247.1288,-2.08,243.19,0.9781790203501828,1.5155341107228049,-0.5373550903726221
2020-09-22,67.0,51.612867,53.257538,4.168589,247.078,-0.1,247.5,1.0014620991466927,1.4127197084075824,-0.4112576092608897
2020-09-23,56.0,45.980644,51.063736,4.340533,246.868,-2.21,242.59,0.6166102423730706,1.25349781520068,-0.6368875728276093
2020-09-24,54.0,43.611189,48.395571,4.601478,246.6082,-2.99,240.32,0.1269786139336304,1.0281939749472702,-0.9012153610136397
2020-09-25,57.0,48.055838,46.106075,4.485755,246.3806,0.26,243.82,0.021119319698385652,0.8267790438974932,-0.8056597241991076
2020-09-28,66.0,51.807676,44.555141,4.255371,246.152,-0.19,247.03,0.194008826269652,0.700225000371925,-0.506216174102273
2020-09-29,68.0,53.24649,43.116139,3.992467,245.899,2.35,248.3,0.42856318240072255,0.6458926367776845,-0.21732945437696194
2020-09-30,72.0,59.286577,42.533949,4.235613,245.824,5.76,254.16,1.0749113168920417,0.7316963728005559,0.3432149440914858
2020-10-01,72.0,60.441779,42.218089,3.889777,245.7922,4.75,255.39,1.6671793844633669,0.9187929751331181,0.7483864093302488
2020-10-02,58.0,48.433602,40.153307,3.87919,245.6556,-0.66,245.41,1.3160825213416274,0.9982508843748199,0.3178316369668075
2020-10-05,72.0,57.982086,38.464589,4.406927,245.8162,3.11,256.01,1.871592585604219,1.1729192246206999,0.6986733609835192
2020-10-06,68.0,54.573559,36.984526,4.406699,245.797,-0.58,252.69,2.020649273153481,1.342465234327256,0.6781840388262248
2020-10-07,71.0,58.513219,35.732134,4.936752,245.845,0.89,257.67,2.5116691933341713,1.576306026128639,0.9353631672055323
2020-10-08,51.0,44.004698,33.835191,4.978084,245.6698,-2.17,240.09,1.465355236856567,1.5541158682742247,-0.08876063141765766
2020-10-09,47.0,41.849793,32.615693,5.45745,245.481,-7.54,236.7,0.35846703463784024,1.314986101546948,-0.9565190669091077
2020-10-12,48.0,44.285303,31.145046,5.727092,245.3778,-5.22,239.51,-0.288678617067859,0.9942531578239866,-1.2829317748918456
2020-10-13,47.0,44.164787,29.779446,5.961749,245.2174,-7.11,239.34,-0.8059730323122949,0.6342079197967303,-1.4401809521090252
2020-10-14,46.0,42.914504,28.71548,6.268132,245.0986,-1.02,237.65,-1.3368906165372891,0.23998821252992636,-1.5768788290672155
2020-10-15,44.0,40.963612,28.233032,6.700168,244.9694,-0.71,235.01,-1.948214756696018,-0.19765238131526253,-1.7505623753807553
2020-10-16,45.0,41.73081,27.410899,7.005302,244.8528,-1.58,235.72,-2.34833236215718,-0.627788377483646,-1.720543984673534
2020-10-19,40.0,37.980148,27.09209,7.655894,244.6532,-3.61,230.71,-3.0347113138756754,-1.109172964762052,-1.9255383491136233
2020-10-20,41.0,38.443951,26.870997,8.130754,244.5118,-2.76,231.1,-3.5067778850070113,-1.588693948811044,-1.9180839361959672
2020-10-21,40.0,36.824244,26.879812,8.723928,244.3982,-2.57,228.97,-4.006581860850503,-2.0722715312189357,-1.934310329631567
2020-10-22,39.0,36.06371,27.050703,9.29385,244.1234,-3.28,227.98,-4.431481478837895,-2.5441135207427275,-1.8873679580951679
2020-10-23,39.0,35.411345,27.178017,9.838647,243.8574,-1.54,227.16,-4.779291931918152,-2.9911492029778124,-1.7881427289403398
2020-10-26,38.0,33.599386,27.832186,10.366422,243.561,-2.69,224.89,-5.178410754907901,-3.42860151336383,-1.749809241544071
2020-10-27,37.0,32.472157,28.439629,10.803155,243.17,-2.41,223.46,-5.546171533547636,-3.852115517400591,-1.6940560161470444
2020-10-28,34.0,27.544915,29.747255,11.276524,242.6676,-5.09,216.38,-6.335885288509871,-4.348869471622447,-1.987015816887424
2020-10-29,35.0,29.875562,31.422731,11.200933,242.2142,-4.11,217.82,-6.767531275577028,-4.8326018324133635,-1.9349294431636643
2020-10-30,36.0,29.25622,32.97853,11.61603,241.7784,-3.54,216.94,-7.098792020138745,-5.28583986995844,-1.8129521501803056
2020-11-02,38.0,34.675494,33.190525,10.782507,241.4298,-1.45,220.21,-7.0165741759048785,-5.631986731147728,-1.384587444757151
2020-11-03,38.0,34.544768,33.226111,9.966194,241.1196,1.7,220.06,-6.884163338674313,-5.882422052653045,-1.001741286021268
2020-11-04,44.0,48.782028,30.917148,7.758081,240.7618,5.74,230.33,-5.882711391115606,-5.882479920345557,-0.00023147077004903593
2020-11-05,45.0,50.628803,28.77311,7.369928,240.3976,6.93,231.97,-4.9002323850099,-5.686030413278425,0.7857980282685251
2020-11-06,44.0,50.271714,26.782219,7.172243,239.9748,5.2,231.67,-4.098572395781673,-5.368538809779075,1.2699664139974018
2020-11-09,46.0,54.138395,26.360309,6.882686,239.6124,6.79,235.0,-3.158142804269147,-4.9264596086770895,1.7683168044079425
2020-11-10,58.0,60.66641,26.083998,7.081669,239.378,4.89,241.6,-1.8588530353716521,-4.312938294016002,2.4540852586443496
