date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,79.0,57.848252,116.506632,3.958414,143.6784,0.3,157.41,0.0,0.0,0.0
2020-08-11,76.0,52.646927,113.34584,3.959161,144.288,-3.88,154.03,-0.2696296296296339,-0.05392592592592678,-0.21570370370370712
2020-08-12,79.0,57.602482,110.424391,3.922596,144.9778,-1.95,158.11,-0.15233512714993935,-0.0736077661707293,-0.07872736097921006
2020-08-13,79.0,57.507172,107.752023,3.815942,145.6604,-0.2,158.05,-0.06348803686356064,-0.07158382030929557,0.00809578344573493
2020-08-14,79.0,56.418077,105.053068,3.467618,146.3478,-0.01,157.4,-0.04500683465218458,-0.06626842317787338,0.021261588525688796
2020-08-17,80.0,58.649707,102.566235,3.428072,147.0472,3.3,159.12,0.10719361533853089,-0.031576015474592524,0.1387696308131234
2020-08-18,84.0,65.780789,100.400246,4.053559,147.8356,4.75,165.62,0.7437359209969259,0.12348637181971116,0.6202495491772148
2020-08-19,81.0,61.231959,98.388972,4.312347,148.4952,3.14,163.02,1.0265683721994208,0.3041027718956531,0.7224656003037677
2020-08-20,82.0,63.182855,96.384483,4.348323,149.1452,4.75,164.87,1.3840403112076274,0.520090279758048,0.8639500314495794
2020-08-21,81.0,62.037946,94.525708,4.302454,149.872,3.22,164.24,1.5980819692772172,0.735688617661882,0.8623933516153353
2020-08-24,81.0,63.321764,92.895227,4.414172,150.6344,-0.15,165.37,1.8377091148385887,0.9560927170972233,0.8816163977413654
2020-08-25,83.0,65.490621,91.381209,4.340962,151.4082,2.64,167.32,2.160064181989611,1.196887010075701,0.9631771719139102
2020-08-26,85.0,70.141722,90.116105,4.767119,152.2348,4.38,172.09,2.7685182752619255,1.511213263112946,1.2573050121489795
2020-08-27,82.0,65.947699,88.943157,4.833535,152.9938,3.51,170.0,3.0469536101589085,1.8183613325221386,1.22859227763677
2020-08-28,81.0,66.041862,87.853991,5.13103,153.7416,2.85,170.09,3.237557321429648,2.102200530303641,1.1353567911260072
2020-08-31,83.0,68.59791,86.943443,5.402964,154.5176,3.13,172.55,3.5462347895599464,2.391007382154902,1.1552274074050444
2020-09-01,83.0,70.908178,86.128749,5.835024,155.303,1.67,174.96,3.939913890920593,2.7007886839080406,1.2391252070125525
2020-09-02,83.0,72.370587,85.43641,6.407697,156.07,3.86,176.57,4.331885678129993,3.027008082752431,1.3048775953775618
2020-09-03,76.0,56.774035,82.789565,6.414625,156.7036,-0.99,168.4,3.9378819709222057,3.2091828603863863,0.7286991105358194
2020-09-04,73.0,51.413899,78.723488,6.239289,157.2436,-4.53,164.73,3.2915499271448994,3.225656273738089,0.06589365340681042
2020-09-08,59.0,42.824293,74.947845,6.234319,157.7006,-9.99,157.49,2.170104024730847,3.0145458239366407,-0.8444417992057938
2020-09-09,72.0,50.178594,71.684815,5.706367,158.2888,-7.44,163.43,1.7405939413610838,2.7597554474215293,-1.0191615060604455
2020-09-10,68.0,45.25061,68.867498,5.664909,158.7052,-5.72,158.76,1.0117117513549942,2.4101467082082224,-1.3984349568532282
2020-09-11,58.0,42.416752,65.517617,5.834726,158.9428,-5.41,155.81,0.19379309250288657,1.9668759850671553,-1.7730828925642688
2020-09-14,58.0,41.786241,62.407014,6.010632,159.1556,-1.49,155.15,-0.501884410500935,1.4731239059535375,-1.9750083164544725
2020-09-15,60.0,45.314426,59.518596,6.086239,159.2548,-3.44,157.81,-0.8290176745580595,1.012695589851218,-1.8417132644092775
2020-09-16,57.0,41.347495,56.509559,6.582203,159.3326,-3.06,153.9,-1.3877800019582764,0.5326004714893191,-1.9203804734475955
2020-09-17,54.0,38.163649,52.830516,7.288144,159.2602,-3.45,150.44,-2.085752993488825,0.00892977849369031,-2.094682771982515
2020-09-18,52.0,35.852224,49.222495,8.117282,159.0326,-4.77,147.75,-2.823415559577029,-0.5575392891204535,-2.2658762704565754
2020-09-21,53.0,36.269452,46.132642,8.771091,158.793,-6.2,148.02,-3.3476421790526274,-1.1155598671068883,-2.232082311945739
2020-09-22,60.0,47.705948,43.67205,8.841942,158.818,1.66,156.45,-3.047732639564231,-1.501994421598357,-1.5457382179658739
2020-09-23,55.0,41.552332,41.32285,9.130994,158.7338,-0.3,149.99,-3.2933564175768595,-1.8602668207940578,-1.4330895967828017
2020-09-24,56.0,42.782706,38.90707,9.032484,158.7448,2.19,150.99,-3.3684934924576737,-2.161912155126781,-1.206581337330893
2020-09-25,58.0,47.287833,36.903993,8.810715,158.8402,4.55,154.76,-3.088233440099856,-2.347176412121396,-0.7410570279784601
2020-09-28,60.0,51.578797,35.562595,8.462737,159.0522,1.44,158.7,-2.5191609382229103,-2.3815733173416986,-0.13758762088121168
2020-09-29,59.0,49.955968,34.407836,7.85818,159.0002,4.83,157.24,-2.1610652636672114,-2.3374717066068014,0.17640644293958996
2020-09-30,59.0,50.187177,33.509587,6.836335,159.0108,4.27,157.44,-1.8399240341586847,-2.2379621721171783,0.39803813795849363
2020-10-01,69.0,54.302535,32.757038,5.301512,159.132,4.07,161.06,-1.2785749337271852,-2.0460847244391798,0.7675097907119945
