date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,71.0,61.611483,133.70626,0.741313,31.3074,-0.3,32.74,0.0,0.0,0.0
2020-08-11,70.0,57.406921,130.2798,0.757186,31.3754,-1.67,32.4,-0.02712250712250608,-0.005424501424501216,-0.02169800569800486
2020-08-12,73.0,64.726478,127.112014,0.833192,31.4464,1.34,33.36,0.028517950341317544,0.0013639889286625358,0.027153961412655008
2020-08-13,70.0,59.878305,124.170498,0.852599,31.4862,1.07,32.94,0.03828163695438036,0.008747518533806101,0.02953411842057426
2020-08-14,69.0,58.093149,121.294919,0.860334,31.524,0.12,32.78,0.032731458238636435,0.013544306474772169,0.019187151763864266
2020-08-17,70.0,60.095036,118.638746,0.887671,31.5504,1.94,33.03,0.04795303949281049,0.020426053078379837,0.027526986414430653
2020-08-18,69.0,58.063835,116.183174,0.893151,31.5726,-1.5,32.86,0.04577105284587901,0.025495053031879673,0.02027599981399934
2020-08-19,69.0,58.595755,113.903,0.893065,31.6004,-0.06,32.92,0.0483262364946242,0.030061289724428578,0.01826494677019562
2020-08-20,69.0,58.066967,111.56994,0.859026,31.628,0.31,32.88,0.04658655147305524,0.03336634207415391,0.013220209398901325
2020-08-21,70.0,59.254909,109.284911,0.776849,31.7004,-0.09,33.0,0.0542652990889394,0.03754613347711101,0.016719165611828388
2020-08-24,72.0,63.016027,107.234051,0.759624,31.7678,1.64,33.4,0.09157183583541695,0.0483512739487722,0.04322056188664475
2020-08-25,73.0,64.85047,105.341064,0.677919,31.8318,2.1,33.61,0.13650918700903247,0.06598285656082425,0.07052633044820822
2020-08-26,74.0,67.799138,103.640272,0.605186,31.8898,3.32,33.97,0.19887880189423868,0.09256204562750714,0.10631675626673154
2020-08-27,74.0,66.79343,102.060966,0.529646,31.9412,2.76,33.91,0.24069113490236305,0.12218786348247833,0.11850327141988472
2020-08-28,75.0,71.16885,100.643005,0.546557,31.9934,3.23,34.48,0.3161772518186794,0.16098574114971856,0.15519151066896084
2020-08-31,75.0,72.794322,99.40462,0.607392,32.0822,3.3,34.72,0.39086093599164684,0.2069607801181042,0.18390015587354264
2020-09-01,77.0,79.250787,98.39333,0.843638,32.1742,5.83,35.95,0.5430391964007697,0.2741764633746373,0.2688627330261324
2020-09-02,79.0,84.305479,97.618043,1.226281,32.3016,10.59,37.5,0.779725420978842,0.3752862548954783,0.4044391660833637
2020-09-03,69.0,60.756415,95.328793,1.263962,32.3918,2.12,35.21,0.7735995237567792,0.4549489086677385,0.3186506150890407
2020-09-04,74.0,65.671675,93.283688,1.354602,32.5,4.55,36.3,0.8469356495941156,0.533346256853014,0.31358939274110165
2020-09-08,69.0,56.87415,90.989521,1.349412,32.5862,-2.5,35.05,0.7950259402120423,0.5856821935248196,0.20934374668722266
2020-09-09,71.0,61.135387,88.859222,1.362223,32.6866,-4.0,36.0,0.8210792910926088,0.6327616130383775,0.18831767805423127
2020-09-10,71.0,59.212004,87.050092,1.386398,32.7696,1.42,35.71,0.8090005284937121,0.6680093961294444,0.14099113236426764
2020-09-11,71.0,60.414463,85.370185,1.393836,32.8636,-0.91,35.97,0.8110584720017684,0.6966192113039092,0.11443926069785915
2020-09-14,73.0,61.587108,83.859248,1.387838,32.957,3.34,36.22,0.8233710092573432,0.721969570894596,0.10140143836274718
2020-09-15,74.0,63.760577,82.614047,1.405396,33.0532,1.92,36.69,0.8611273161184698,0.7498011199393708,0.111326196179099
2020-09-16,74.0,63.807501,81.485072,1.387038,33.161,2.77,36.7,0.8816927723074599,0.7761794504129886,0.10551332189447127
2020-09-17,74.0,62.843584,78.835989,1.340448,33.2536,1.72,36.59,0.8789825995517404,0.7967400802407391,0.08224251931100135
2020-09-18,71.0,57.565088,76.376126,1.239201,33.33,-0.69,35.97,0.8173836596485202,0.8008687961222953,0.016514863526224888
2020-09-21,68.0,51.61597,72.680485,1.117856,33.3948,-4.12,35.18,0.6967875254263589,0.7800525419831081,-0.08326501655674923
2020-09-22,72.0,57.485639,69.84484,1.021687,33.4954,-1.47,36.16,0.6725394142787806,0.7585499164422427,-0.08601050216346207
2020-09-23,69.0,50.723565,66.877233,0.922153,33.5684,-3.91,35.16,0.5661052597981495,0.7200609851134241,-0.15395572531527457
2020-09-24,70.0,51.27904,64.018506,0.842813,33.6458,-2.0,35.25,0.48344482241533626,0.6727377525738066,-0.18929293015847037
2020-09-25,72.0,53.949984,61.267436,0.732082,33.7368,1.42,35.68,0.4474750230708011,0.6276852066732056,-0.18021018360240448
2020-09-28,76.0,59.752233,59.420816,0.688405,33.846,1.58,36.73,0.49795480964621675,0.6017391272678079,-0.10378431762159113
2020-09-29,75.0,57.522164,57.849737,0.636152,33.9404,3.61,36.43,0.5078981773660232,0.582970937287451,-0.07507275992142781
2020-09-30,75.0,57.522168,56.085264,0.641991,34.0404,3.35,36.43,0.5099005517634083,0.5683568601826425,-0.058456308419234215
2020-10-01,76.0,60.003596,54.446826,0.58188,34.15,3.31,36.86,0.5399605254164825,0.5626775932294106,-0.022717067812928038
2020-10-02,71.0,51.169733,51.794125,0.557912,34.2442,-2.86,35.68,0.4632273363934871,0.5427875418622259,-0.07956020546873876
2020-10-05,75.0,56.593645,49.501774,0.569168,34.3648,0.49,36.61,0.47201783118865137,0.528633599727511,-0.056615768538859634
2020-10-06,75.0,55.105187,47.79529,0.524451,34.4674,-0.08,36.4,0.4567737136499517,0.5142616225119991,-0.057487908862047465
2020-10-07,74.0,56.682657,46.210698,0.536903,34.586,-0.52,36.67,0.46116337981023037,0.5036419739716455,-0.042478594161415084
2020-10-08,77.0,60.350159,45.10374,0.583879,34.7148,4.62,37.33,0.5119967264621863,0.5053129244697536,0.006683801992432681
2020-10-09,77.0,62.12899,44.508064,0.658069,34.844,2.9,37.67,0.5731112091500492,0.5188725814058128,0.05423862774423638
2020-10-12,77.0,64.966626,44.305526,0.778828,34.9752,5.05,38.24,0.6599318299550703,0.5470844311156644,0.11284739883940587
2020-10-13,76.0,64.149303,44.294013,0.864306,35.0958,4.04,38.15,0.7132536060278909,0.5803182660981098,0.13293533992978113
2020-10-14,75.0,63.01104,44.145953,0.926487,35.1996,1.88,38.03,0.7373290305176639,0.6117204189820207,0.12560861153564318
2020-10-15,74.0,62.612227,43.522066,0.977517,35.3004,0.85,37.99,0.7445980493570374,0.638295945057024,0.10630210430001341
2020-10-16,73.0,61.357554,43.168965,1.000712,35.3994,-0.97,37.87,0.7322350521587424,0.6570837664773677,0.07515128568137475
2020-10-19,72.0,58.316234,42.311027,0.950781,35.4992,-1.49,37.58,0.6910704811098398,0.6638811094038621,0.027189371705977683
2020-10-20,73.0,59.217062,41.514371,0.954458,35.5984,-0.87,37.7,0.660516239050331,0.6632081353331559,-0.002691896282824957
2020-10-21,71.0,54.077883,39.848359,0.86556,35.6946,-2.05,37.21,0.5899621606384571,0.6485589403942161,-0.058596779755759054
2020-10-22,71.0,55.189015,37.791407,0.765245,35.7742,-1.4,37.34,0.5383319036418257,0.6265135330437381,-0.08818162940191243
2020-10-23,71.0,54.425386,35.88138,0.6893,35.8608,-0.82,37.27,0.4861619654975442,0.5984432195344993,-0.1122812540369551
2020-10-26,66.0,45.110709,34.307385,0.710307,35.9312,-3.71,36.3,0.3623688576580406,0.5512283471592077,-0.18885948950116704
2020-10-27,57.0,42.373236,32.845818,0.742061,35.9898,-3.36,35.96,0.23412788875064905,0.48780825547749596,-0.2536803667268469
2020-10-28,51.0,34.217761,32.796406,0.902856,36.027,-7.02,34.72,0.032068692156521195,0.396660342813301,-0.3645916506567798
2020-10-29,54.0,41.805264,32.090547,0.96581,36.0786,-4.75,35.5,-0.06438302816258812,0.3044516686181232,-0.3688346967807113
2020-10-30,52.0,38.494889,31.525719,1.026277,36.1202,-3.69,34.96,-0.18229382866146437,0.20710256916220568,-0.3893963978236701
2020-11-02,52.0,40.10291,30.639342,1.100595,36.1628,-2.31,35.13,-0.25903540935247804,0.11387497345926893,-0.372910382811747
2020-11-03,52.0,42.484364,29.262877,1.145351,36.2024,1.9,35.38,-0.29626558898957,0.03184686096950115,-0.3281124499590712
