date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,32.0,55.044361,128.894419,7.215276,180.1004,8.69,179.41,0.0,0.0,0.0
2020-08-11,31.0,55.542793,124.925972,7.223826,180.6752,3.36,180.13,0.05743589743588018,0.011487179487176036,0.04594871794870414
2020-08-12,29.0,51.534629,120.72287,6.376855,181.1178,1.88,175.44,-0.27235006209366475,-0.04528026882899212,-0.22706979326467264
2020-08-13,29.0,50.935382,116.756255,6.230357,181.1492,2.77,174.73,-0.5842638473422426,-0.15307698453164223,-0.43118686281060037
2020-08-14,30.0,53.67265,113.065778,6.323771,181.0248,-0.74,178.08,-0.5547459999176851,-0.2334107876088508,-0.32133521230883433
2020-08-17,27.0,48.403345,109.548624,6.30104,180.3564,-4.51,172.01,-1.0095141137598205,-0.38863145283904477,-0.6208826609207757
2020-08-18,27.0,46.947783,106.041961,6.120071,179.151,-2.97,170.23,-1.4963037857015422,-0.6101659194115443,-0.8861378662899979
2020-08-19,26.0,46.141878,102.808087,5.834151,178.2016,-3.12,169.27,-1.9372210069014386,-0.8755769369095232,-1.0616440699919154
2020-08-20,27.0,46.461483,99.450459,5.705032,177.525,-4.77,169.58,-2.2358630348284407,-1.1476341564933068,-1.088228878335134
2020-08-21,26.0,44.551164,96.332661,5.698883,177.475,-2.62,167.5,-2.6102878369384257,-1.4401648925823305,-1.1701229443560952
2020-08-24,40.0,54.89295,93.700363,5.953229,177.2502,4.72,178.27,-2.014748433042371,-1.5550816006743386,-0.4596668323680322
2020-08-25,30.0,51.493361,91.329002,6.015736,176.926,3.23,174.73,-1.807590798274333,-1.6055834401943376,-0.20200735807999548
2020-08-26,29.0,48.88679,88.985143,5.909483,176.4086,1.37,171.9,-1.850443468489999,-1.6545554458534701,-0.19588802263652894
2020-08-27,31.0,51.055248,87.03864,5.536531,176.0418,4.0,174.2,-1.6794540395308672,-1.6595351645889498,-0.019918874941917464
2020-08-28,40.0,52.562939,85.093896,4.584931,175.712,-1.39,175.8,-1.3987135577021093,-1.6073708432115819,0.2086572855094726
2020-08-31,31.0,48.556143,83.161129,3.916578,175.408,-1.67,171.82,-1.4803133105975235,-1.58195933668877,0.10164602609124662
2020-09-01,32.0,48.851543,80.998165,3.456607,175.0796,0.12,172.1,-1.5050388912353014,-1.5665752475980765,0.0615363563627751
2020-09-02,34.0,51.709773,78.989698,3.463345,174.8176,0.33,174.78,-1.2934701707522152,-1.5119542322289043,0.2184840614766892
2020-09-03,30.0,45.561075,77.403561,3.610709,174.6592,-4.0,168.77,-1.5924010003366504,-1.5280435858504537,-0.0643574144861967
2020-09-04,32.0,48.083183,75.268582,3.568685,174.5826,-0.45,171.05,-1.6265787044231672,-1.5477506095649964,-0.07882809485817077
2020-09-08,29.0,39.471584,72.745401,4.224171,174.404,-6.4,161.08,-2.4301472337853056,-1.7242299344090584,-0.7059172993762473
2020-09-09,25.0,39.243836,69.878965,4.583325,173.7298,-8.01,160.78,-3.0559613552651967,-1.9905762185802862,-1.0653851366849105
2020-09-10,22.0,36.883155,67.272475,5.400647,173.2176,-6.57,157.69,-3.7579415204672557,-2.34404927895768,-1.4138922415095756
2020-09-11,24.0,40.074254,64.652153,5.773836,172.8158,-6.33,160.23,-4.062479353369497,-2.687735293840044,-1.374744059529453
2020-09-14,28.0,46.000821,62.598328,5.544419,172.5066,2.65,165.35,-3.8463482611605,-2.9194578873041355,-0.9268903738563647
2020-09-15,27.0,44.287274,60.918197,5.650511,172.0182,1.69,163.49,-3.7815578241174137,-3.091877874666791,-0.6896799494506225
2020-09-16,30.0,48.681358,58.834847,5.650921,171.7898,6.2,167.46,-3.37100625293985,-3.147703550321403,-0.22330270261844687
2020-09-17,30.0,48.758104,56.900307,5.656292,171.5388,4.56,167.53,-3.005348967795726,-3.119232633816268,0.11388366602054223
2020-09-18,25.0,42.508916,55.225571,5.885504,171.296,-2.55,161.14,-3.1943599384914307,-3.134258094751301,-0.06010184374012972
2020-09-21,23.0,38.523107,52.464371,6.435688,170.8542,-4.37,156.35,-3.688150756688998,-3.2450366271388402,-0.4431141295501577
2020-09-22,23.0,39.100818,50.044219,6.377754,170.4772,-6.37,156.8,-3.997096260898644,-3.3954485538908012,-0.6016477070078428
2020-09-23,20.0,34.713455,47.131601,6.927976,169.9016,-9.76,151.18,-4.641915715639527,-3.644741986240547,-0.9971737293989804
2020-09-24,18.0,31.264867,43.953635,7.945363,169.0638,-9.36,146.05,-5.50344758797911,-4.01648310658826,-1.4869644813908502
2020-09-25,25.0,43.106331,41.410969,7.785183,168.6104,-0.2,156.03,-5.319594239094386,-4.2771053330894855,-1.0424889060049
2020-09-28,31.0,52.062495,40.250943,7.274718,168.4188,5.92,166.08,-4.313218034252003,-4.284327873321989,-0.028890160930013842
2020-09-29,29.0,49.971972,39.173776,6.97902,168.2024,8.22,163.6,-3.673427924654675,-4.162147883588526,0.4887199589338511
2020-09-30,30.0,51.379296,38.658409,6.65421,167.935,13.15,165.26,-2.997883788364419,-3.929295064543705,0.9314112761792859
2020-10-01,38.0,53.581803,38.32933,6.142766,167.6964,7.58,167.86,-2.2270399916884003,-3.588844049972644,1.361804058284244
2020-10-02,38.0,53.772631,37.396085,6.104719,167.529,1.2,168.08,-1.5801733134757114,-3.187109902673258,1.6069365891975464
2020-10-05,40.0,56.503569,36.74992,6.116338,167.4778,4.65,171.2,-0.8064723739817339,-2.7109823969349534,1.9045100229532195
2020-10-06,24.0,45.649817,34.898033,6.132852,167.2644,-3.46,159.54,-1.1212483060136833,-2.393035578750699,1.2717872727370159
2020-10-07,27.0,50.135134,33.178422,6.164441,167.1398,-1.94,164.61,-0.9506454230642021,-2.1045575476133997,1.1539121245491977
2020-10-08,36.0,52.932137,31.789837,6.231871,167.1796,-0.05,168.0,-0.5357212791799952,-1.7907902939267188,1.2550690147467236
2020-10-09,35.0,52.307651,30.728981,6.306082,167.2872,-2.26,167.33,-0.25798046811198105,-1.4842283287637714,1.2262478606517904
