date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,56.0,67.033028,127.818509,0.782378,24.7656,6.2,26.56,0.0,0.0,0.0
2020-08-11,56.0,69.16089,125.01971,0.906645,24.8118,6.03,26.92,0.028717948717950748,0.00574358974359015,0.0229743589743606
2020-08-12,55.0,66.713441,122.125713,0.992688,24.8496,4.95,26.73,0.03573380086200473,0.011741631967273066,0.02399216889473166
2020-08-13,53.0,61.988678,119.215431,1.008229,24.8568,0.92,26.35,0.010509938002087438,0.011495293174235942,-0.000985355172148504
2020-08-14,54.0,62.882655,116.323471,0.957259,24.8506,-0.34,26.47,0.000200530485031436,0.00923634063639504,-0.009035810151363604
2020-08-17,50.0,56.129837,113.565351,0.887786,24.8064,-3.79,25.9,-0.05334901136434311,-0.0032807297637525903,-0.05006828160059052
2020-08-18,48.0,52.210408,110.644799,0.862209,24.7462,-4.49,25.53,-0.12421148419374717,-0.02746688064975151,-0.09674460354399567
2020-08-19,49.0,51.893999,107.946853,0.82477,24.6918,-3.23,25.5,-0.18070816251657007,-0.05811513702311522,-0.12259302549345485
2020-08-20,47.0,47.739713,105.061662,0.802068,24.6618,-5.18,25.1,-0.2548214214587645,-0.09745639391024508,-0.15736502754851944
2020-08-21,47.0,46.536133,102.255299,0.768196,24.6828,-3.55,24.98,-0.3195560668242017,-0.14187632849303639,-0.1776797383311653
2020-08-24,51.0,53.935936,99.710798,0.699692,24.701,0.63,25.69,-0.30999425260254654,-0.17549991331493842,-0.13449433928760812
2020-08-25,53.0,56.750607,97.459573,0.643082,24.718,1.96,26.0,-0.2742407599490839,-0.19524808264176755,-0.07899267730731638
2020-08-26,51.0,51.902938,95.138901,0.636812,24.7132,1.83,25.56,-0.27820322855450286,-0.2118391118243146,-0.06636411673018824
2020-08-27,54.0,56.372367,93.05785,0.609208,24.7342,4.28,26.05,-0.23904900049829436,-0.21728108955911057,-0.021767910939183788
2020-08-28,55.0,58.49169,91.192465,0.584829,24.7594,2.37,26.3,-0.18570538591866637,-0.21096594883102174,0.025260562912355372
2020-08-31,52.0,52.356361,89.049656,0.552907,24.7692,-1.0,25.74,-0.1864680196705919,-0.20606636299893577,0.01959834332834387
2020-09-01,52.0,52.041434,86.661402,0.518576,24.791,0.59,25.71,-0.18733369546289325,-0.20231982949172728,0.01498613402883403
2020-09-02,54.0,55.050236,84.546259,0.505425,24.8156,-0.12,26.02,-0.1611477298248083,-0.1940854095583435,0.0329376797335352
2020-09-03,52.0,51.045186,82.760247,0.498341,24.8526,-2.43,25.66,-0.16751316723286536,-0.18877096109324787,0.021257793860382512
2020-09-04,57.0,58.913974,81.155752,0.514067,24.889,3.11,26.54,-0.10039192113110929,-0.17109515310082016,0.07070323196971087
2020-09-08,51.0,48.749394,79.029264,0.505433,24.9356,-0.89,25.48,-0.13121838733479052,-0.16311979994761425,0.031901412612823726
2020-09-09,51.0,49.017492,76.807771,0.45574,24.978,-1.96,25.51,-0.1514816484649124,-0.1607921696510739,0.009310521186161491
2020-09-10,50.0,45.833027,74.839656,0.431779,25.0058,-2.03,25.14,-0.19514680577808718,-0.16766309687647657,-0.027483708901610615
2020-09-11,51.0,49.285302,73.01212,0.413194,25.0506,-3.92,25.5,-0.19841555517412957,-0.17381358853600717,-0.02460196663812239
2020-09-14,53.0,51.592607,71.556098,0.375874,25.0998,1.06,25.75,-0.1787723752972532,-0.17480534588825639,-0.0039670294089968194
2020-09-15,50.0,47.241157,69.576148,0.382212,25.1322,-0.9,25.28,-0.19883800501995452,-0.17961187771459602,-0.019226127305358498
2020-09-16,52.0,50.313849,67.488883,0.381398,25.184,1.83,25.6,-0.1867659142896514,-0.18104268502960713,-0.00572322926004426
2020-09-17,51.0,47.963621,65.550709,0.385832,25.229,-0.59,25.35,-0.19512235700192448,-0.1838586194240706,-0.011263737577853872
2020-09-18,43.0,46.64948,63.834742,0.378699,25.2778,-2.1,25.21,-0.21061390206707742,-0.189209675952672,-0.021404226114405428
2020-09-21,39.0,40.355553,60.374052,0.436023,25.2868,-3.2,24.47,-0.2793823330774714,-0.20724420737763188,-0.07213812569983952
2020-09-22,34.0,36.551798,56.836709,0.569855,25.2818,-6.48,23.94,-0.3723560914693458,-0.2402665841959747,-0.1320895072733711
2020-09-23,29.0,32.340006,52.794538,0.74528,25.2642,-8.24,23.26,-0.49520041965136485,-0.29125335128705276,-0.2039470683643121
2020-09-24,30.0,33.313564,49.398892,0.868792,25.239,-7.42,23.34,-0.5794208999119022,-0.34888686101202265,-0.2305340388998795
2020-09-25,31.0,35.196411,46.245792,0.933903,25.2302,-4.0,23.49,-0.6268367075244399,-0.4044768303145061,-0.22235987720993378
2020-09-28,34.0,42.223467,43.581972,0.923701,25.2476,0.63,24.09,-0.6089791584171742,-0.4453772959350397,-0.16360186248213449
2020-09-29,33.0,39.747915,40.739739,0.94996,25.2514,2.19,23.77,-0.6135753332372111,-0.47901690339547404,-0.1345584298417371
2020-09-30,34.0,43.326278,38.518461,0.951239,25.2448,3.21,24.09,-0.5846569478883836,-0.500144912294056,-0.08451203559432763
2020-10-01,34.0,43.439326,36.56911,0.927374,25.2406,2.6,24.1,-0.554539615231743,-0.5110238528815934,-0.043515762350149645
2020-10-02,34.0,44.744984,34.30296,0.912181,25.234,0.5,24.21,-0.515848945882734,-0.5119888714818215,-0.0038600744009125165
2020-10-05,35.0,49.430713,32.5815,0.809352,25.2394,3.58,24.62,-0.44695057022886076,-0.4989812112312294,0.05203064100236865
2020-10-06,35.0,46.823308,31.587127,0.785496,25.244,1.16,24.37,-0.4078199275344687,-0.4807489544918773,0.0729290269574086
