date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,55.0,61.117168,129.179068,35.973307,1687.0486,5.58,1768.58,0.0,0.0,0.0
2020-08-11,57.0,65.175809,125.953959,40.759516,1689.736,4.66,1805.1,2.91327635327616,0.582655270655232,2.330621082620928
2020-08-12,57.0,65.491284,122.959215,41.647629,1692.7974,3.21,1808.07,5.399481173042432,1.546020451132672,3.8534607219097596
2020-08-13,55.0,62.396396,119.991436,44.262016,1694.1374,2.19,1792.97,6.081271488550783,2.4530706586162943,3.628200829934489
2020-08-14,54.0,59.565751,116.991007,45.916624,1694.862,0.58,1778.87,5.4213491261880336,3.0467263521306425,2.374622774057391
2020-08-17,51.0,54.651807,113.9811,46.239233,1693.6676,-2.89,1752.92,2.77244870979348,2.99187082366321,-0.21942211386973032
2020-08-18,53.0,58.35717,111.110575,47.4538,1692.4276,-1.61,1778.91,2.7387808768939976,2.941252834309368,-0.20247195741537016
2020-08-19,52.0,56.181137,108.475943,48.081387,1692.2176,-1.42,1767.47,1.7685991744581315,2.706722102339121,-0.9381229278809893
2020-08-20,53.0,56.36799,105.82347,47.91675,1692.9252,-0.57,1768.69,1.0856522660030805,2.382508135071913,-1.2968558690688323
2020-08-21,53.0,58.054232,103.3859,48.105315,1696.7452,1.51,1779.37,1.3901736081993477,2.1840412296974,-0.7938676214980522
2020-08-24,57.0,65.465542,101.254328,51.459803,1700.9556,3.12,1834.44,6.005964704128928,2.948425924583706,3.0575387795452222
2020-08-25,58.0,67.630817,99.325479,54.215485,1705.0182,4.88,1853.8,11.098268671548112,4.578394473976587,6.519874197571525
2020-08-26,66.0,69.052344,97.598153,58.20323,1708.8828,5.56,1866.97,16.012087806459704,6.865133140473211,9.146954665986492
2020-08-27,67.0,71.744282,96.093814,62.028799,1713.988,6.41,1893.5,21.795825444280126,9.851271601234595,11.944553843045531
2020-08-28,70.0,76.109619,94.769761,67.115326,1720.326,6.04,1945.25,30.207063474546203,13.922429975896918,16.284633498649285
2020-08-31,67.0,68.451094,93.540283,64.399505,1725.9968,3.06,1910.45,33.67675636464605,17.873295253646745,15.803461110999308
2020-09-01,68.0,70.161659,92.226376,63.421925,1731.9036,3.31,1928.86,37.480000009429205,21.79463620480324,15.685363804625965
2020-09-02,69.0,71.930616,91.061432,66.505339,1737.3362,2.92,1948.73,41.61769802161621,25.759248568165837,15.858449453450369
2020-09-03,68.0,71.18044,90.012865,69.260832,1744.0386,0.01,1945.45,44.123556030917825,29.432110060716237,14.691445970201588
2020-09-04,66.0,65.011789,88.947751,69.011052,1750.0856,0.38,1917.74,43.37351822018945,32.22039169261088,11.153126527578571
2020-09-08,68.0,59.75126,87.391862,67.634288,1757.0926,-1.93,1891.6,40.206354485628026,33.81758425121431,6.3887702344137125
2020-09-09,62.0,55.923875,84.614876,67.045403,1762.6496,-3.99,1871.07,35.62904552566533,34.17987650610452,1.449169019560813
2020-09-10,57.0,47.270618,81.792368,66.793063,1767.1346,-6.62,1816.59,27.29082288722543,32.802065782328704,-5.511242895103273
2020-09-11,55.0,42.954675,78.327308,67.231042,1769.6336,-6.99,1783.74,17.82650802363628,29.80695423059022,-11.980446206953943
2020-09-14,56.0,43.099445,75.109754,66.932028,1771.9258,-5.66,1784.59,10.276101700041863,25.90078372448055,-15.624682024438687
2020-09-15,56.0,43.536963,72.250925,64.787164,1773.5906,-4.49,1787.0,4.4356853302733725,21.607764045639115,-17.172078715365743
2020-09-16,58.0,47.10975,69.807043,63.453777,1776.5748,-0.55,1806.66,1.3776305068909096,17.561737337889475,-16.184106830998566
2020-09-17,56.0,44.134387,66.836816,62.224693,1779.093,0.19,1787.21,-2.585547836293699,13.532280303052842,-16.117828139346543
2020-09-18,45.0,37.022706,63.330709,65.215716,1780.333,-2.93,1732.28,-10.043017503047622,8.817220741832749,-18.86023824488037
2020-09-21,39.0,29.561773,59.008659,77.265727,1779.2328,-7.53,1652.39,-22.144305504030854,2.624915492660029,-24.769220996690883
2020-09-22,41.0,33.467534,55.100334,86.074959,1778.9776,-7.34,1674.0,-29.6491401999117,-3.8298956458543167,-25.81924455405738
2020-09-23,38.0,30.475459,51.245485,96.498154,1777.8224,-8.32,1638.47,-38.02541649782529,-10.668999816248512,-27.35641668157678
2020-09-24,40.0,32.682703,48.174913,103.524671,1774.847,-4.72,1650.57,-43.189445887953525,-17.173089030589516,-26.01635685736401
2020-09-25,41.0,34.024926,45.323667,107.630641,1773.0666,0.33,1657.77,-46.16879146839051,-22.972229518149717,-23.196561950240792
2020-09-28,44.0,41.466569,42.647828,105.048906,1772.4308,1.58,1700.4,-44.57621274687085,-27.293026163893945,-17.283186582976906
2020-09-29,43.0,38.461516,40.148001,104.666938,1771.6174,2.11,1672.98,-45.00782528417744,-30.835985987950647,-14.171839296226796
2020-09-30,45.0,44.424901,38.105194,100.104606,1771.5968,3.64,1710.68,-41.8256661577459,-33.0339220219097,-8.791744135836197
2020-10-01,46.0,48.986112,36.523114,91.570536,1772.0456,5.14,1742.98,-36.27923759820305,-33.68298513716837,-2.5962524610346804
2020-10-02,43.0,45.011417,34.153054,81.716977,1772.3506,0.61,1710.71,-34.094551546159664,-33.76529841896663,-0.32925312719303435
2020-10-05,42.0,44.538656,31.859259,72.400177,1772.4604,2.02,1706.79,-32.30706758463111,-33.47365225209953,1.1665846674684133
2020-10-06,42.0,45.002045,30.102368,63.531493,1772.598,-0.06,1709.71,-30.305511004121627,-32.84002400250395,2.5345129983823256
2020-10-07,45.0,52.234797,28.507033,55.22167,1774.14,0.91,1758.85,-24.471977945270964,-31.166414791057356,6.694436845786392
2020-10-08,55.0,56.031364,27.574871,53.192874,1775.7654,4.57,1788.81,-17.232691612037343,-28.379670155253358,11.146978543216015
2020-10-09,56.0,59.404219,27.219489,55.613728,1778.3684,6.51,1817.89,-9.044730050534781,-24.512682134309646,15.467952083774865
2020-10-12,58.0,62.307134,27.386186,60.241281,1782.0258,7.91,1845.0,-0.3639655217161817,-19.682938811790955,19.318973290074773
2020-10-13,44.0,52.71854,26.386505,59.957445,1784.6404,1.26,1780.97,1.3335447560959892,-15.479642098213567,16.813186854309556
2020-10-14,40.0,46.852714,24.718492,57.160836,1785.7898,-3.14,1732.6,-1.2102696388503773,-12.625767606340931,11.415497967490554
2020-10-15,38.0,43.562357,23.445619,55.404292,1785.3366,-6.37,1702.11,-5.621745080602068,-11.22496310119316,5.6032180205910915
2020-10-16,36.0,40.152168,22.543891,56.418785,1783.6582,-9.6,1667.87,-11.745359799004746,-11.329042440755476,-0.41631735824926963
2020-10-19,35.0,38.73586,21.931695,56.383383,1781.629,-7.18,1653.02,-17.593828768704498,-12.58199970634528,-5.011829062359217
2020-10-20,37.0,41.531236,21.317447,56.471036,1779.6916,-3.51,1671.71,-20.48452293278615,-14.162504351633455,-6.322018581152694
2020-10-21,40.0,45.847951,20.423655,53.74129,1777.6302,0.0,1702.03,-20.097180492305597,-15.349439579767886,-4.7477409125377115
2020-10-22,55.0,56.187029,19.929625,53.554913,1777.3092,7.44,1792.02,-12.385989913668936,-14.756749646548098,2.3707597328791614
2020-10-23,56.0,59.131265,19.865777,55.121621,1777.9208,10.32,1823.55,-3.688094276119955,-12.54301857246247,8.854924296342515
2020-10-26,43.0,50.520307,18.516121,54.635592,1777.3292,4.64,1749.29,-2.7553487563750423,-10.585484609244986,7.830135852869944
2020-10-27,39.0,45.557728,17.55047,53.439961,1776.225,-0.25,1697.71,-6.1078091183255765,-9.689949511061105,3.5821403927355284
2020-10-28,31.0,38.282634,17.70481,60.635569,1772.7478,-10.43,1605.05,-16.056456876340008,-10.963250984116886,-5.093205892223121
2020-10-29,34.0,41.041245,18.000487,64.551944,1770.0036,-10.6,1630.26,-21.656947776478773,-13.101990342589264,-8.55495743388951
2020-10-30,34.0,40.44202,18.275045,68.431495,1767.0798,-7.25,1622.5,-26.417025287681554,-15.764997331607724,-10.65202795607383
2020-11-02,32.0,38.990707,18.17792,73.134994,1763.575,-5.51,1604.13,-31.31079512936276,-18.874156891158734,-12.436638238204026
2020-11-03,38.0,46.374594,17.557887,73.874913,1760.2778,4.02,1669.58,-29.567044491029037,-21.012734411132797,-8.55431007989624
2020-11-04,41.0,50.671367,16.731444,73.210134,1757.4682,5.09,1713.32,-24.374680948277046,-21.68512371856165,-2.6895572297153976
2020-11-05,52.0,55.498966,16.395573,72.285826,1755.495,8.99,1768.31,-15.642149045000906,-20.4765287838495,4.834379738848593
2020-11-06,53.0,56.778011,15.541396,70.147116,1753.3,11.2,1783.75,-7.390482749898638,-17.859319577059328,10.46883682716069
2020-11-09,75.0,74.127202,17.64229,110.161337,1756.7598,26.87,2118.24,25.84168295424024,-9.119119070799414,34.960802025039655
2020-11-10,68.0,64.842361,19.267509,125.9081,1758.6996,17.17,2007.44,42.745041463702364,1.2537130361009412,41.491328427601424
2020-11-11,67.0,64.261866,20.31147,138.441986,1760.1228,13.1,2000.02,54.909381703723284,11.98484676962541,42.92453493409788
2020-11-12,64.0,61.306564,21.245073,145.505302,1760.4066,10.04,1962.92,60.85455560455193,21.758788536610716,39.09576706794122
2020-11-13,69.0,65.45467,22.645467,156.790431,1762.555,-3.09,2052.87,71.99445475073321,31.805921779435216,40.188532971297995
2020-11-16,72.0,67.799688,24.254214,169.18839,1766.3924,5.09,2109.61,84.4281141416077,42.33036025186972,42.09775388973797
2020-11-17,71.0,65.409678,25.70412,176.535901,1770.1854,4.06,2081.25,90.94510524110638,52.053309249717046,38.89179599138933
2020-11-18,69.0,62.35077,26.822727,180.380708,1773.656,4.16,2044.6,92.09095176930487,60.060837753634615,32.03011401567025
