date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-06,52.0,57.513905,121.400409,67.513242,1579.903,6.94,1703.76
2020-07-07,49.0,52.528406,117.293717,52.210643,1585.7966,4.09,1657.45
2020-07-08,50.0,52.893989,113.30079,42.638137,1590.9628,0.15,1661.3
2020-07-09,51.0,53.787921,109.621997,37.5717,1595.582,0.02,1670.28
2020-07-10,53.0,57.387731,106.269732,38.996266,1599.3194,0.21,1707.4
2020-07-13,52.0,54.830152,103.226004,39.957092,1603.4432,1.77,1686.76
2020-07-14,52.0,55.803403,100.066747,41.493755,1608.392,2.1,1696.23
2020-07-15,59.0,64.717394,97.385082,52.966463,1616.1128,7.73,1799.34
2020-07-16,53.0,58.26732,94.741203,56.573972,1623.1846,2.31,1746.79
2020-07-17,52.0,56.580099,92.155442,58.278191,1630.2502,2.69,1732.19
2020-07-20,50.0,54.424903,89.535846,58.582143,1635.645,1.03,1713.65
2020-07-21,49.0,54.192288,87.154592,58.735883,1641.2626,-4.87,1711.71
2020-07-22,50.0,55.132265,84.656002,59.670345,1647.4534,-1.5,1720.54
2020-07-23,48.0,51.876164,82.340159,57.957417,1653.6442,-2.12,1695.46
2020-07-24,49.0,52.578488,79.90457,56.265568,1660.3488,-0.72,1701.3
2020-07-27,50.0,52.772948,77.65656,45.997416,1666.7552,-0.52,1702.83
2020-07-28,48.0,49.746177,75.569123,40.271774,1672.704,-2.25,1681.75
2020-07-29,52.0,53.276914,73.754883,32.617071,1675.7062,0.71,1707.54
2020-07-30,50.0,50.35201,71.72452,31.316997,1678.5098,-0.8,1687.74
2020-07-31,40.0,46.775037,69.294888,31.77053,1679.7694,-2.39,1662.13
2020-08-03,39.0,45.170638,67.038801,33.729087,1680.8606,-1.87,1650.24
2020-08-04,41.0,49.106062,65.028906,32.831724,1681.7372,-1.9,1675.13
2020-08-05,53.0,55.903891,63.597974,31.943266,1681.2944,2.19,1724.77
2020-08-06,55.0,59.105767,62.499582,32.613491,1682.3556,5.39,1751.79
2020-08-07,54.0,59.421669,61.84917,34.164437,1684.4654,6.32,1754.48
2020-08-10,55.0,61.117168,61.017337,35.973307,1687.0486,5.58,1768.58
2020-08-11,57.0,65.175809,60.642541,40.759516,1689.736,4.66,1805.1
2020-08-12,57.0,65.491284,60.294518,41.647629,1692.7974,3.21,1808.07
2020-08-13,55.0,62.396396,59.597518,44.262016,1694.1374,2.19,1792.97
2020-08-14,54.0,59.565751,58.482752,45.916624,1694.862,0.58,1778.87
2020-08-17,55.0,54.651807,57.039966,46.239233,1693.6676,-2.89,1752.92
2020-08-18,57.0,58.35717,55.566611,47.4538,1692.4276,-1.61,1778.91
2020-08-19,52.0,56.181137,54.362462,48.081387,1692.2176,-1.42,1767.47
2020-08-20,53.0,56.36799,52.892033,47.91675,1692.9252,-0.57,1768.69
2020-08-21,53.0,58.054232,51.651114,48.105315,1696.7452,1.51,1779.37
2020-08-24,57.0,65.465542,51.091863,51.459803,1700.9556,3.12,1834.44
2020-08-25,58.0,67.630817,50.7787,54.215485,1705.0182,4.88,1853.8
2020-08-26,66.0,69.052344,50.733832,58.20323,1708.8828,5.56,1866.97
2020-08-27,67.0,71.744282,51.04729,62.028799,1713.988,6.41,1893.5
2020-08-28,70.0,76.109619,51.577925,67.115326,1720.326,6.04,1945.25
2020-08-31,67.0,68.451094,52.070657,64.399505,1725.9968,3.06,1910.45
2020-09-01,72.0,70.161659,52.266376,63.421925,1731.9036,3.31,1928.86
2020-09-02,73.0,71.930616,52.615118,66.505339,1737.3362,2.92,1948.73
2020-09-03,68.0,71.18044,53.036054,69.260832,1744.0386,0.01,1945.45
2020-09-04,66.0,65.011789,53.292332,69.011052,1750.0856,0.38,1917.74
2020-09-08,64.0,59.75126,52.723199,67.634288,1757.0926,-1.93,1891.6
2020-09-09,62.0,55.923875,50.465328,67.045403,1762.6496,-3.99,1871.07
2020-09-10,57.0,47.270618,48.075089,66.793063,1767.1346,-6.62,1816.59
2020-09-11,55.0,42.954675,44.888109,67.231042,1769.6336,-6.99,1783.74
2020-09-14,56.0,43.099445,41.92877,66.932028,1771.9258,-5.66,1784.59
2020-09-15,56.0,43.536963,39.442929,64.787164,1773.5906,-4.49,1787.0
2020-09-16,57.0,47.10975,37.550703,63.453777,1776.5748,-0.55,1806.66
2020-09-17,55.0,44.134387,35.023037,62.224693,1779.093,0.19,1787.21
2020-09-18,42.0,37.022706,33.145794,65.215716,1780.333,-2.93,1732.28
2020-09-21,37.0,29.561773,32.815327,77.265727,1779.2328,-7.53,1652.39
2020-09-22,39.0,33.467534,32.603925,86.074959,1778.9776,-7.34,1674.0
2020-09-23,36.0,30.475459,32.062788,96.498154,1777.8224,-8.32,1638.47
2020-09-24,38.0,32.682703,32.026258,103.524671,1774.847,-4.72,1650.57
2020-09-25,39.0,34.024926,31.992338,107.630641,1773.0666,0.33,1657.77
2020-09-28,41.0,41.466569,30.322168,105.048906,1772.4308,1.58,1700.4
2020-09-29,39.0,38.461516,28.786292,104.666938,1771.6174,2.11,1672.98
2020-09-30,41.0,44.424901,26.978701,100.104606,1771.5968,3.64,1710.68
2020-10-01,43.0,48.986112,25.227767,91.570536,1772.0456,5.14,1742.98
2020-10-02,40.0,45.011417,24.152685,81.716977,1772.3506,0.61,1710.71
