date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,80.0,56.33569,135.227195,6.75303,559.3854,1.6,580.2,0.0,0.0,0.0
2020-08-11,82.0,59.58137,132.07302,6.124533,560.3536,0.77,586.64,0.5137321937322668,0.10274643874645335,0.4109857549858134
2020-08-12,82.0,61.31258,129.160404,6.308805,561.3316,1.38,590.24,1.1975539159584514,0.32170793418885296,0.8758459817695985
2020-08-13,82.0,60.782988,126.455832,6.089519,562.1686,0.23,589.56,1.6654193232188845,0.5904502119948594,1.0749691112240252
2020-08-14,82.0,59.881923,123.828767,6.138196,563.014,1.42,588.46,1.9252521143976082,0.8574105924754092,1.067841521922199
2020-08-17,82.0,61.858146,121.397053,6.666217,563.724,0.92,592.03,2.3916709437894497,1.1642626627382173,1.2274082810512323
2020-08-18,81.0,59.370259,119.139032,6.916308,564.3616,-0.17,589.21,2.5048860272869433,1.4323873356479626,1.0724986916389807
2020-08-19,81.0,59.704469,117.044559,7.163024,564.9954,0.03,589.75,2.608118516895729,1.6675335718975162,0.9405849449982129
2020-08-20,79.0,54.03972,114.669483,7.130849,565.5014,-0.87,583.36,2.149532934487752,1.7639334444155634,0.3855994900721884
2020-08-21,79.0,54.534091,112.464054,6.666556,566.678,-1.35,584.04,1.819991148447457,1.7751449852219423,0.0448461632255146
2020-08-24,81.0,59.630011,110.436065,6.732484,567.9662,0.38,591.45,2.1321736106842764,1.8465507103144092,0.28562290036986715
2020-08-25,81.0,59.340028,108.56931,6.287801,568.9286,0.24,591.15,2.32853111117538,1.9429467904866036,0.38558432068877635
2020-08-26,82.0,60.003342,106.68202,6.313116,569.7626,1.5,592.1,2.5316199664185888,2.0606814256730006,0.47093854074558816
2020-08-27,82.0,62.025861,104.952262,6.046614,570.5576,1.87,594.98,2.8916283861512966,2.22687081776866,0.6647575683826368
2020-08-28,83.0,65.941397,103.363903,6.319776,571.4434,1.62,601.06,3.6257474798319436,2.5066461501813166,1.119101329650627
2020-08-31,80.0,58.590082,101.910395,6.243209,572.2198,0.51,594.19,3.6115587642844957,2.727628673001953,0.8839300912825427
2020-09-01,81.0,60.022293,100.515068,5.113422,573.0804,0.7,596.24,3.7228176479521835,2.9266664679919994,0.7961511799601841
2020-09-02,83.0,67.060442,99.293671,6.264657,574.1474,2.19,608.0,4.705680674780638,3.282469309349727,1.4232113654309106
2020-09-03,75.0,45.75623,96.449267,6.505783,574.9584,-3.65,579.12,3.118286400360944,3.2496327275519703,-0.13134632719102646
2020-09-04,63.0,39.052669,92.69143,8.60988,575.3116,-4.97,564.63,0.6831679642730251,2.7363397748961815,-2.0531718106231565
2020-09-08,58.0,34.509706,88.568491,11.648967,575.6654,-7.33,552.54,-2.1969181946478784,1.7496881809873694,-3.946606375635248
2020-09-09,60.0,39.313995,84.841933,13.129656,576.2116,-7.87,560.18,-3.818901160245332,0.6359703127408293,-4.454871472986161
2020-09-10,55.0,33.474534,80.494558,16.124161,576.196,-6.18,543.31,-6.391920279613714,-0.7696078057300794,-5.6223124738836345
2020-09-11,54.0,32.817952,76.256396,18.587206,576.1336,-4.15,541.2,-8.503295142029174,-2.3163452729898983,-6.1869498690392755
2020-09-14,56.0,36.732197,72.548432,19.962208,576.0458,-0.93,547.38,-9.567611115237582,-3.7665984414394353,-5.801012673798147
2020-09-15,56.0,37.229296,69.114286,20.886278,575.858,-2.15,548.16,-10.230222078688712,-5.059323168889291,-5.170898909799421
2020-09-16,60.0,45.283914,66.456608,20.981154,576.108,3.39,561.73,-9.550270872518695,-5.957512709615172,-3.5927581629035226
2020-09-17,56.0,39.875137,63.680544,21.575176,575.924,1.33,548.41,-9.971274675405311,-6.7602651027732,-3.2110095726321113
2020-09-18,59.0,44.440969,61.241647,21.780115,576.0736,1.74,556.92,-9.50862780102409,-7.309937642423379,-2.1986901586007113
2020-09-21,58.0,42.665609,58.526241,22.04836,576.0438,0.81,552.59,-9.383207853277781,-7.724591684594261,-1.6586161686835208
2020-09-22,57.0,41.920062,56.004792,21.967621,576.0086,-1.95,550.8,-9.320805240618597,-8.043834395799127,-1.2769708448194699
2020-09-23,54.0,37.133878,53.153281,22.332711,575.5528,-1.8,538.54,-10.143700000038166,-8.463807516646936,-1.6798924833912299
2020-09-24,53.0,35.878089,50.035312,22.536497,574.882,-3.93,535.05,-10.95122495399903,-8.961291004117355,-1.9899339498816762
2020-09-25,57.0,43.41292,47.542796,21.593443,574.499,-0.87,547.81,-10.441209177711926,-9.25727463883627,-1.183934538875656
2020-09-28,59.0,48.905819,46.012603,19.58272,573.9176,1.43,558.65,-9.057906684293698,-9.217401047927757,0.15949436363405844
2020-09-29,59.0,47.155051,44.457689,17.87855,573.4216,3.02,554.8,-8.178021178803078,-9.009525074102822,0.8315038952997433
2020-09-30,62.0,51.412278,43.439661,15.592232,573.0926,5.33,563.55,-6.697449672463563,-8.54710999377497,1.8496603213114078
2020-10-01,65.0,53.425692,42.827789,10.472016,572.8,3.67,567.91,-5.113327270944524,-7.860353449208882,2.747026178264358
2020-10-02,66.0,54.455909,41.642002,9.518414,572.6394,2.05,570.12,-3.637637899145261,-7.015810339196158,3.3781724400508972
2020-10-05,76.0,59.228569,40.874848,11.043695,572.8466,4.72,580.98,-1.573691663129921,-5.927386603982911,4.35369494085299
2020-10-06,75.0,58.770528,40.571936,12.419871,572.9446,2.96,580.23,0.0014649794817387374,-4.741616287289982,4.74308126677172
2020-10-07,77.0,63.554201,40.386131,14.754039,573.3716,4.25,592.05,2.1784513521322424,-3.357602759405537,5.53605411153778
2020-10-08,79.0,67.774918,40.754982,17.647614,573.9084,6.02,604.44,4.847617868002203,-1.7165586339239893,6.564176501926193
2020-10-09,80.0,69.932831,41.383334,20.344415,574.678,5.27,611.57,7.452376615558364,0.11722841597248146,7.335148199585883
2020-10-12,79.0,70.909671,42.177889,22.825088,575.4756,5.97,614.89,9.67305795207028,2.028394323192041,7.64466362887824
2020-10-13,83.0,76.795682,43.6033,27.237861,576.6558,7.92,638.96,13.222787683501906,4.2672729952540145,8.955514688247892
2020-10-14,83.0,76.981144,44.926897,30.910479,578.032,5.86,639.85,15.924225077831466,6.598663411769505,9.325561666061962
2020-10-15,84.0,78.320891,46.284492,33.852098,579.3138,5.67,646.24,18.369006796148483,8.952732088645302,9.416274707503181
2020-10-16,85.0,80.45645,47.780133,37.289331,580.8168,6.91,657.38,20.963761626213,11.354937996158842,9.608823630054157
2020-10-19,79.0,66.264555,47.721995,37.984911,581.7508,-0.64,634.89,20.963711859155637,13.276692768758203,7.687019090397435
2020-10-20,81.0,68.935624,47.66801,38.739659,583.0482,0.82,645.07,21.536849940701472,14.928724203146857,6.608125737554616
2020-10-21,78.0,63.568543,47.712849,37.50048,584.0152,-1.74,634.99,20.936352996719393,16.130249961861363,4.80610303485803
2020-10-22,78.0,63.626029,47.257121,35.24877,584.914,-3.38,635.18,20.242443960873516,16.952688761663794,3.289755199209722
