date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,59.0,59.838822,124.219824,1.027712,36.7596,4.93,38.98,0.0,0.0,0.0
2020-08-11,61.0,61.566634,121.692381,0.860075,36.7958,4.19,39.31,0.026324786324792626,0.005264957264958525,0.0210598290598341
2020-08-12,63.0,64.780703,119.357308,0.880212,36.8442,5.46,39.96,0.09850147320233305,0.023912260452433432,0.07458921274989962
2020-08-13,62.0,62.949124,117.165089,0.814703,36.881,2.0,39.75,0.13717549883912739,0.04656490812977222,0.09061059070935516
2020-08-14,60.0,57.988461,114.892453,0.808069,36.9158,0.46,39.16,0.11884688076153083,0.061021302656123946,0.05782557810540688
2020-08-17,61.0,59.106086,112.794681,0.760825,36.9262,0.1,39.35,0.1182891671023043,0.07247487554536003,0.045814291556944275
2020-08-18,60.0,58.928375,110.846751,0.723976,36.9306,-1.58,39.33,0.11490874566442955,0.08096164956917394,0.033947096095255605
2020-08-19,61.0,59.060934,109.046269,0.73051,36.9524,-1.01,39.35,0.11254620755025257,0.08727856116538966,0.02526764638486291
2020-08-20,59.0,54.426247,107.015473,0.725764,36.9798,-0.77,38.86,0.07032431919811444,0.08388771277193463,-0.013563393573820193
2020-08-21,57.0,50.668601,104.445205,0.729237,37.0474,-2.34,38.43,0.0021410810966102645,0.06753838643686977,-0.0653973053402595
2020-08-24,59.0,54.66634,102.092145,0.72201,37.1192,-0.99,38.94,-0.010619473895701503,0.05190681437035551,-0.06252628826605702
2020-08-25,61.0,59.51576,100.011243,0.729866,37.1946,0.74,39.64,0.03534441577010483,0.04859433465030538,-0.01324991888020055
2020-08-26,60.0,56.804708,97.731228,0.707934,37.2476,1.26,39.35,0.047819321738806764,0.04843933206800566,-0.0006200103291988945
2020-08-27,65.0,65.218271,95.819008,0.820046,37.3254,6.12,40.78,0.17112223300501483,0.0729759122554075,0.09814632074960733
2020-08-28,65.0,66.448658,94.049444,0.927521,37.4124,5.37,41.03,0.2857199870397338,0.11552472721227278,0.170195259827461
2020-08-31,64.0,66.347557,92.436775,0.980775,37.501,3.48,41.02,0.37145076314056524,0.16670993439793128,0.20474082874263397
2020-09-01,66.0,68.65851,90.981001,0.970368,37.611,5.39,41.47,0.4702831288817748,0.2274245732947,0.2428585555870748
2020-09-02,68.0,72.13841,89.760717,1.059594,37.7306,3.56,42.23,0.6029833227943229,0.3025363231946246,0.3004469995996983
2020-09-03,65.0,64.615497,88.27439,1.044193,37.8834,1.12,41.49,0.6410477673378381,0.3702386120232673,0.2708091553145708
2020-09-04,65.0,64.517583,86.577973,1.078747,38.0352,1.12,41.48,0.6627672293894449,0.4287443354965028,0.23402289389294206
2020-09-08,63.0,59.115196,84.73452,1.070261,38.188,-1.33,40.92,0.627558634365613,0.4685071952703249,0.15905143909528807
2020-09-09,64.0,62.772019,83.195106,1.098109,38.3256,-1.66,41.53,0.6414828561063075,0.5031023274375215,0.13838052866878603
2020-09-10,62.0,57.672241,81.425979,1.10892,38.4428,-1.25,40.97,0.6004094360329901,0.5225637491566153,0.07784568687637483
2020-09-11,59.0,52.133538,78.809473,1.102878,38.543,-2.87,40.29,0.5071421190407008,0.5194794231334324,-0.012337304092731594
2020-09-14,70.0,57.498859,76.498014,1.085863,38.6578,0.49,41.12,0.4945008636303214,0.5144837112328102,-0.019982847602488807
2020-09-15,69.0,56.674608,74.44103,1.067581,38.7664,-1.23,41.02,0.4709842006890881,0.5057838091240658,-0.03479960843497776
2020-09-16,66.0,50.237499,71.485403,1.03801,38.8774,-1.9,40.19,0.3809812972372484,0.4808233067467024,-0.09984200950945399
2020-09-17,64.0,46.661701,67.908836,1.022425,38.9798,-1.54,39.67,0.2646430532537565,0.4375872560481132,-0.17294420279435674
2020-09-18,52.0,39.697976,63.959491,1.056101,39.0594,-6.42,38.48,0.07555020622105957,0.3651798460827025,-0.2896296398616429
2020-09-21,52.0,40.262731,59.581214,1.044587,39.1368,-6.02,38.55,-0.06787638568456345,0.2785685997292493,-0.34644498541381274
2020-09-22,52.0,40.690013,55.583467,1.072372,39.22,-3.96,38.6,-0.17548552309570908,0.18775777516425765,-0.3632432982599667
2020-09-23,48.0,35.832206,51.653362,1.220072,39.27,-4.92,37.72,-0.32799427151645233,0.08460736582811566,-0.412601637344568
2020-09-24,46.0,32.944284,48.547634,1.399262,39.2784,-3.53,37.12,-0.4916066040795286,-0.03063542815341319,-0.4609711759261154
2020-09-25,47.0,35.012512,45.563138,1.532777,39.2978,-3.14,37.34,-0.5966406925083803,-0.1438364810244066,-0.45280421148397365
2020-09-28,50.0,40.90155,42.531162,1.58346,39.3036,-1.55,38.0,-0.6194834604511144,-0.23896587690974816,-0.3805175835413662
2020-09-29,49.0,39.499829,39.65549,1.633021,39.3154,0.11,37.76,-0.6494658745321544,-0.32106587643422946,-0.32839999809792497
2020-09-30,50.0,43.415495,37.056043,1.620597,39.33,2.94,38.21,-0.6296576134898757,-0.3827842238453587,-0.246873389644517
2020-10-01,50.0,45.198025,34.842154,1.525439,39.3306,2.89,38.42,-0.5902105985594233,-0.42426949878817166,-0.1659410997712516
2020-10-02,50.0,45.724118,32.375871,1.463377,39.3316,1.26,38.48,-0.547792446137457,-0.44897408825802876,-0.09881835787942828
2020-10-05,52.0,52.008693,30.696452,1.374785,39.3444,3.92,39.24,-0.4476894213494518,-0.44871715487631336,0.001027733526861585
2020-10-06,52.0,52.707053,29.956302,1.316699,39.364,2.93,39.33,-0.35697976464830816,-0.43036967683071237,0.0733899121824042
2020-10-07,63.0,58.80425,29.294374,1.221673,39.4022,4.58,40.18,-0.21403653202322204,-0.38710304786921435,0.1730665158459923
2020-10-08,64.0,60.78971,28.782665,1.187655,39.4158,5.22,40.49,-0.07487546336228235,-0.32465753096782796,0.2497820676055456
2020-10-09,66.0,64.638112,28.806567,1.246435,39.4598,4.84,41.14,0.0868589974217926,-0.24235422528990386,0.32921322271169645
2020-10-12,69.0,68.84327,29.391508,1.328012,39.5278,6.71,41.97,0.278795010885986,-0.13812437805472588,0.4169193889407119
2020-10-13,64.0,59.244978,29.282462,1.320926,39.5862,1.84,40.92,0.34223439453017335,-0.04205262353774604,0.3842870180679194
2020-10-14,62.0,56.807961,28.596808,1.341978,39.6556,0.32,40.62,0.36410588434223,0.03917907803824918,0.32492680630398085
2020-10-15,48.0,45.841959,26.767055,1.33598,39.681,-5.2,39.0,0.2478615429204254,0.08091557101468443,0.16694597190574095
2020-10-16,45.0,42.768544,25.134063,1.336904,39.692,-8.41,38.44,0.10928991881022654,0.08659044057379285,0.022699478236433687
2020-10-19,43.0,39.367823,24.190898,1.36282,39.668,-7.7,37.77,-0.05397035556453744,0.05847828134612679,-0.11244863691066423
2020-10-20,42.0,38.243624,23.447702,1.398937,39.6392,-7.58,37.54,-0.19961335850130268,0.006859953376640894,-0.20647331187794357
2020-10-21,42.0,36.348214,23.084617,1.429872,39.596,-4.74,37.15,-0.3425574393377886,-0.063023525166245,-0.2795339141715436
2020-10-22,41.0,34.960676,23.037928,1.447578,39.534,-4.11,36.86,-0.4737807797158027,-0.14517497607615654,-0.32860580363964614
2020-10-23,42.0,37.698522,23.013807,1.457431,39.4824,-1.59,37.17,-0.5464625332345676,-0.22543248750783879,-0.32103004572672883
2020-10-26,41.0,36.063639,23.324982,1.514057,39.4364,-1.81,36.86,-0.6219087784901944,-0.30472774570430994,-0.3171810327858845
2020-10-27,38.0,32.141387,23.828394,1.619369,39.3704,-2.96,36.05,-0.7385471896905855,-0.3914916345015651,-0.3470555551890204
2020-10-28,31.0,24.987354,25.522118,1.917664,39.2652,-7.57,34.07,-0.9794627860476837,-0.5090858648107888,-0.4703769212368949
2020-10-29,30.0,23.374403,27.424096,2.215495,39.1482,-9.87,33.5,-1.2025224380534212,-0.6477731794593152,-0.554749258594106
2020-10-30,34.0,29.952416,28.662399,2.385572,39.0564,-7.03,34.27,-1.3021558128379311,-0.7786497061350385,-0.5235061067028927
2020-11-02,36.0,32.230693,29.492678,2.492885,38.9788,-4.16,34.55,-1.3430405843888948,-0.8915278817858098,-0.45151270260308507
2020-11-03,39.0,36.962122,29.381586,2.538536,38.903,3.17,35.15,-1.3119042591437662,-0.9756031572574011,-0.3363011018863651
2020-11-04,40.0,38.048974,29.629618,2.521891,38.816,5.34,35.29,-1.2613911352720137,-1.0327607528603238,-0.22863038241168998
2020-11-05,39.0,37.649514,29.45468,2.464553,38.7332,2.74,35.21,-1.2138222646001608,-1.0689730552082912,-0.14484920939186963
2020-11-06,41.0,41.687661,29.299264,2.307287,38.6316,3.33,35.7,-1.1236321549330412,-1.0799048751532414,-0.043727279779799844
2020-11-09,50.0,57.037259,28.402577,2.022494,38.5752,8.71,38.21,-0.8399375430293574,-1.0319114087284647,0.19197386569910724
2020-11-10,49.0,56.972914,27.369773,1.816192,38.5188,8.25,38.2,-0.6088954676856844,-0.9473082205199087,0.33841275283422434
2020-11-11,46.0,51.926094,25.809928,1.578079,38.4374,6.22,37.4,-0.4847582808188733,-0.8547982325797017,0.3700399517608284
2020-11-12,43.0,48.137558,24.063246,1.466204,38.3276,2.91,36.74,-0.43462506283696456,-0.7707635986311543,0.33613853579418973
2020-11-13,47.0,54.808741,22.797396,1.435849,38.2574,-0.6,37.98,-0.2914765295139645,-0.6749061848077164,0.38342965529375184
2020-11-16,47.0,55.059771,22.040413,1.450353,38.1884,-0.45,38.03,-0.17201284637470593,-0.5743275171211143,0.40231467074640836
2020-11-17,36.0,40.517251,21.901462,1.445911,38.0706,-6.34,35.03,-0.315771922588965,-0.5226163982146844,0.2068444756257194
2020-11-18,34.0,37.760502,21.828942,1.48474,37.9252,-6.75,34.26,-0.48622963845382117,-0.5153390462625118,0.029109407808690646
2020-11-19,34.0,37.581691,21.761602,1.522217,37.79,-9.93,34.21,-0.6182266564282415,-0.5359165682956577,-0.08231008813258378
2020-11-20,32.0,35.723466,21.866955,1.56407,37.6582,-11.39,33.7,-0.755281566163994,-0.579789567869325,-0.175491998294669
2020-11-23,32.0,34.394758,22.299372,1.623565,37.5024,-4.85,33.33,-0.8835692411288889,-0.6405455025212379,-0.24302373860765103
2020-11-24,34.0,37.506833,22.524247,1.662594,37.3578,-1.37,33.79,-0.9373152059460708,-0.6998994432062046,-0.2374157627398662
2020-11-25,33.0,36.533107,22.794878,1.687553,37.225,-1.93,33.55,-0.9878875122165596,-0.7574970570082756,-0.23039045520828394
2020-11-27,34.0,36.900638,23.081827,1.68204,37.1036,-0.3,33.6,-1.0122631081582014,-0.8084502672382607,-0.20381284091994067
2020-11-30,32.0,34.939574,23.607973,1.736814,36.997,-0.54,33.15,-1.055722471267373,-0.8579047080440833,-0.1978177632232897
2020-12-01,34.0,38.829506,23.729073,1.768434,36.899,-0.41,33.65,-1.037854764629067,-0.89389471936108,-0.143960045267987
2020-12-02,36.0,42.529938,23.487497,1.78627,36.81,1.79,34.15,-0.9721424045605431,-0.9095442564009727,-0.06259814815957043
2020-12-03,35.0,40.725793,23.263177,1.813895,36.7318,0.63,33.81,-0.9367023229734031,-0.9149758697154589,-0.0217264532579442
2020-12-04,38.0,45.147894,22.803655,1.821707,36.6776,3.8,34.41,-0.8503979590749537,-0.9020602875873579,0.051662328512404154
2020-12-07,37.0,44.200912,22.290316,1.827022,36.6158,1.78,34.25,-0.7858529678830095,-0.8788188236464882,0.09296585576347871
2020-12-08,35.0,42.520071,22.022743,1.69164,36.5352,-0.53,33.97,-0.748664123298056,-0.8527878835768019,0.10412376027874592
2020-12-09,29.0,43.834425,21.528551,1.513044,36.4626,0.95,34.13,-0.6982322465058814,-0.8218767561626179,0.12364450965673646
2020-12-10,28.0,42.974596,21.069658,1.3805,36.3784,-1.19,34.0,-0.6611334000561016,-0.7897280849413146,0.12859468488521308
2020-12-11,27.0,40.3518,21.178363,1.290996,36.282,-1.9,33.6,-0.6564419004153237,-0.7630708480361165,0.10662894762079278
2020-12-14,27.0,39.381174,21.09053,0.993963,36.1814,-1.53,33.45,-0.6572512166464506,-0.7419069217581833,0.0846557051117327
2020-12-15,36.0,49.930428,19.98063,0.452675,36.09,1.58,34.67,-0.5530733166378283,-0.7041402007341123,0.151066884096284
2020-12-16,38.0,53.235018,18.992645,0.465118,36.006,3.32,35.13,-0.42845446829331735,-0.6490030542459533,0.22054858595263593
