date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,49.0,39.399788,131.625264,1.710529,55.7934,0.33,52.33,0.0,0.0,0.0
2020-08-11,50.0,40.499547,127.833039,1.777505,55.6994,-0.81,52.51,0.014358974358970045,0.002871794871794009,0.011487179487176036
2020-08-12,51.0,42.677886,124.311687,1.787423,55.5998,-0.26,52.86,0.0533654759295743,0.012970531083350067,0.04039494484622423
2020-08-13,52.0,44.672301,120.983739,1.795046,55.4794,1.26,53.18,0.10884503726347816,0.03214543231937569,0.07669960494410247
2020-08-14,51.0,42.48353,117.893501,1.787992,55.3644,0.78,52.74,0.11597181566167336,0.04891070898783523,0.06706110667383813
2020-08-17,53.0,46.583233,115.042836,1.738449,55.253,1.66,53.38,0.17128798887209484,0.07338616496468715,0.09790182390740769
2020-08-18,54.0,47.712088,112.416162,1.535905,55.1352,1.32,53.56,0.22703384550280248,0.10411570107231022,0.12291814443049226
2020-08-19,56.0,50.408279,110.011,1.20858,55.048,1.52,53.99,0.302424088213435,0.14377737850053518,0.15864670971289985
2020-08-20,53.0,42.228168,107.145761,1.014951,54.9314,-0.47,52.49,0.23838596967375025,0.1626990967351782,0.07568687293857204
2020-08-21,55.0,45.287844,104.485182,0.876732,54.8908,-0.77,52.97,0.22378760364210137,0.17491679811656285,0.04887080552553852
2020-08-24,56.0,47.352256,102.039241,0.755502,54.8422,-0.49,53.3,0.23612463762137992,0.18715836601752628,0.04896627160385364
2020-08-25,55.0,45.82861,99.708381,0.724745,54.7698,-1.78,53.03,0.22156106438439593,0.19403890569090024,0.027522158693495696
2020-08-26,59.0,52.261712,97.603507,0.606852,54.7014,3.03,54.08,0.2913866287783904,0.21350845030839827,0.07787817846999212
2020-08-27,57.0,49.036497,95.659513,0.501791,54.6304,1.08,53.54,0.29969569912948657,0.23074590007261594,0.06894979905687063
2020-08-28,56.0,45.716834,93.436335,0.499244,54.5364,-0.66,52.95,0.2557247918646297,0.23574167843101873,0.019983113433610977
2020-08-31,56.0,45.716834,91.285647,0.499484,54.4154,-0.15,52.95,0.21836040820281966,0.23226542438537892,-0.013905016182559266
