date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,50.0,56.60389,131.578462,0.834541,52.0792,5.42,52.86,0.0,0.0,0.0
2020-08-11,51.0,59.615274,128.19504,0.964425,52.1654,5.33,53.76,0.07179487179487865,0.01435897435897573,0.05743589743590292
2020-08-12,50.0,57.652547,124.774219,1.051267,52.2156,4.83,53.35,0.09451968734020966,0.03039111695522252,0.06412857038498714
2020-08-13,48.0,55.446886,121.531063,1.095612,52.2066,1.48,52.89,0.0745517258746915,0.03922323873911632,0.03532848713557518
2020-08-14,49.0,55.605938,118.436759,1.090933,52.1522,0.13,52.93,0.06124860249430952,0.04362831149015496,0.017620291004154562
2020-08-17,37.0,48.558655,115.151174,1.034782,52.0034,-4.35,51.42,-0.07032790274666212,0.020837068642791546,-0.09116497138945366
2020-08-18,35.0,44.240013,111.661335,1.07915,51.7854,-5.64,50.34,-0.2587672968500314,-0.03508380445577305,-0.22368349239425836
2020-08-19,35.0,44.044712,108.302666,1.120613,51.6012,-4.92,50.29,-0.4074446877076525,-0.10955598110614895,-0.2978887066015036
2020-08-20,33.0,41.25933,104.847516,1.197611,51.4756,-6.33,49.58,-0.575924755328785,-0.20282973595067616,-0.3730950193781088
2020-08-21,32.0,40.180169,101.607261,1.287012,51.4938,-4.12,49.3,-0.7236977455695168,-0.30700333787444434,-0.4166944076950725
2020-08-24,37.0,49.178334,98.723369,1.28864,51.47,1.43,51.06,-0.6908281767202951,-0.3837683056436145,-0.30705987107668054
2020-08-25,46.0,51.796009,96.204903,1.290099,51.4434,2.7,51.65,-0.6101374526735128,-0.4290421350495942,-0.18109531762391862
2020-08-26,37.0,48.172817,93.788162,1.266831,51.3714,2.56,50.85,-0.6037827548856001,-0.4639902590167954,-0.13979249586880466
2020-08-27,47.0,52.097189,91.597229,1.266386,51.3458,4.91,51.72,-0.522521578500367,-0.4756965229135098,-0.04682505558685718
2020-08-28,48.0,54.486151,89.584007,1.244577,51.3306,2.39,52.28,-0.40822838813016205,-0.4622028959568403,0.05397450782667823
2020-08-31,37.0,49.031371,87.448751,1.223689,51.2946,-1.03,51.12,-0.4065658784312305,-0.4510754924517183,0.04450961402048781
2020-09-01,38.0,49.40755,85.112946,1.186928,51.2774,0.69,51.2,-0.3942483465767239,-0.43971006327671947,0.04546171669999555
2020-09-02,47.0,52.916034,83.050057,1.184616,51.2574,0.44,51.95,-0.32027594017701944,-0.4158232386567795,0.09554729847976007
2020-09-03,46.0,50.646588,81.400523,1.174318,51.2712,-1.49,51.5,-0.2945679187507366,-0.3915721746755709,0.0970042559248343
2020-09-04,49.0,55.323743,79.868812,1.186205,51.268,2.74,52.52,-0.18970188579565672,-0.35119811689958813,0.1614962311039314
2020-09-08,40.0,48.187852,77.888835,1.157708,51.2972,-0.31,51.04,-0.22344272167648427,-0.32564703785496735,0.10220431617848308
2020-09-09,46.0,49.881266,76.021067,1.039392,51.3194,-1.06,51.4,-0.2186135449828086,-0.3042403392805356,0.08562679429772702
2020-09-10,38.0,47.77912,74.499727,0.943724,51.3164,-1.07,50.95,-0.24823611543668278,-0.2930394945117651,0.044803379075082306
2020-09-11,38.0,48.041138,73.087054,0.871599,51.3294,-2.89,51.0,-0.2646271764425734,-0.28735703089792675,0.02272985445535336
2020-09-14,31.0,36.728845,69.720502,1.010165,51.2814,-5.66,48.15,-0.5018039088381627,-0.3302464064859739,-0.1715575023521888
2020-09-15,20.0,28.314317,64.953873,1.672039,51.1382,-12.82,44.81,-0.948346318449083,-0.45386638887859576,-0.49447992957048725
2020-09-16,24.0,34.195961,60.505424,1.95188,51.0522,-9.68,46.02,-1.1908699006975354,-0.6012670912423836,-0.5896028094551518
2020-09-17,23.0,33.014639,56.374721,2.224345,50.9452,-10.73,45.53,-1.4063984064397985,-0.7622933542818666,-0.6441050521579319
