date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,48.0,57.749152,128.495026,1.665982,66.3124,6.59,67.41,0.0,0.0,0.0
2020-08-11,51.0,62.10571,125.365677,1.889097,66.3252,7.67,69.63,0.17709401709402073,0.03541880341880415,0.14167521367521657
2020-08-12,48.0,57.824987,121.819098,2.038282,66.2702,7.24,68.15,0.19576204738598335,0.06748745221223999,0.12827459517374334
2020-08-13,47.0,56.382789,118.464684,2.108163,66.1362,2.87,67.64,0.16747332983824492,0.08748462773744098,0.07998870210080394
2020-08-14,50.0,60.216975,115.407106,2.214243,65.9826,3.06,69.47,0.2893841827015535,0.1278645387302635,0.16151964397129004
2020-08-17,45.0,52.885074,112.567927,1.982022,65.738,-4.08,66.79,0.1678113844297684,0.13585390787016446,0.03195747655960393
2020-08-18,43.0,49.676775,109.462479,1.881309,65.4474,-3.93,65.47,-0.03464948469404305,0.10175322935732298,-0.13640271405136603
2020-08-19,44.0,50.243188,106.492282,1.841519,65.192,-2.87,65.7,-0.17453022848398803,0.04649653778906077,-0.2210267662730488
2020-08-20,34.0,46.72208,103.305172,1.870462,65.0414,-7.49,64.27,-0.3962085294193116,-0.042044475652613704,-0.3541640537666979
2020-08-21,33.0,45.591166,100.197925,1.913616,64.995,-4.48,63.8,-0.6028657905006156,-0.1542087386222141,-0.44865705187840155
2020-08-24,48.0,54.562528,97.540467,1.947808,64.9296,2.89,67.36,-0.4739178806298412,-0.21815056702373953,-0.25576731360610166
2020-08-25,46.0,53.364711,95.205015,1.923072,64.8444,1.84,66.91,-0.4033869782452797,-0.25519784926804756,-0.14818912897723213
2020-08-26,46.0,51.655007,92.794838,1.921988,64.698,3.13,66.28,-0.393787131895607,-0.28291570579355946,-0.11087142610204753
2020-08-27,52.0,59.111817,90.805326,2.06493,64.6608,9.11,69.61,-0.11613725647184481,-0.24956001592921653,0.13342275945737173
2020-08-28,53.0,61.993482,89.061822,2.256961,64.6838,5.6,71.13,0.22397175995956786,-0.15485366075145968,0.37882542071102754
2020-08-31,49.0,56.109852,87.207367,2.208013,64.703,3.17,69.03,0.32036518582509643,-0.059809891436148455,0.3801750772612449
2020-09-01,49.0,54.907291,84.885585,2.081468,64.7086,3.47,68.58,0.35633877947101666,0.023419842745284573,0.3329189367257321
2020-09-02,50.0,56.663286,82.76634,2.06361,64.7046,-0.34,69.37,0.4434823211654333,0.10743233842931432,0.33604998273611897
2020-09-03,51.0,57.89269,81.053726,1.949442,64.7938,-1.7,69.92,0.5505778900580509,0.19606144875506165,0.35451644130298926
2020-09-04,58.0,65.656865,79.742901,2.343061,64.9328,7.19,73.99,0.9528826475658434,0.347425688517218,0.6054569590486254
2020-09-08,53.0,55.778185,78.031266,2.392014,65.1168,2.6,70.36,0.9676469715669356,0.4714699451271615,0.49617702643977407
2020-09-09,51.0,56.188865,76.212126,2.429127,65.2806,1.73,70.57,0.9849392827180168,0.5741638126453326,0.4107754700726842
2020-09-10,48.0,53.271301,74.694858,2.443027,65.4172,-0.72,69.42,0.8955251187170887,0.6384360738596838,0.2570890448574049
2020-09-11,51.0,56.702953,73.133251,2.510236,65.6242,-3.97,71.05,0.9452943620928096,0.6998077315063089,0.24548663058650066
2020-09-14,57.0,63.125877,72.191852,2.845378,65.894,6.08,74.64,1.2598965400983673,0.8118254932247206,0.44807104687364663
2020-09-15,54.0,59.573472,71.317696,2.976186,66.107,3.87,73.3,1.3851273457711102,0.9264858637339985,0.45864148203711164
2020-09-16,60.0,64.217999,70.758723,3.237005,66.4322,9.72,76.17,1.6964035912894104,1.0804694092450808,0.6159341820443296
2020-09-17,59.0,63.69627,70.312495,3.393594,66.724,6.94,75.98,1.9057920618090094,1.2455339397578666,0.6602581220511428
