date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,34.0,50.029566,114.292019,1.515545,41.6824,5.31,39.64,0.0,0.0,0.0
2020-08-11,34.0,50.341551,111.60212,1.456762,41.6088,4.45,39.71,0.005584045584043906,0.0011168091168087813,0.004467236467235125
2020-08-12,47.0,58.175383,109.133733,1.459863,41.558,9.49,41.66,0.1654509297814073,0.03398363324972848,0.13146729653167882
2020-08-13,36.0,53.384823,106.85041,1.401005,41.4682,6.08,40.63,0.20665203928326292,0.06851731445643537,0.13813472482682754
2020-08-14,37.0,54.135113,104.4181,1.432465,41.3904,2.98,40.82,0.251733796992319,0.10516061096361211,0.1465731860287069
2020-08-17,36.0,53.548891,102.134744,1.461144,41.2326,2.49,40.7,0.2746128516419475,0.13905105909927917,0.1355617925426683
2020-08-18,35.0,51.690238,100.043826,1.387145,41.033,-3.19,40.33,0.25989287620627977,0.1632194225206793,0.09667345368560046
2020-08-19,33.0,48.367521,97.766106,1.345212,40.8534,-2.41,39.65,0.1911533754950696,0.16880621311555738,0.02234716237951223
2020-08-20,31.0,44.390706,95.211694,1.323539,40.7106,-5.02,38.77,0.06491982507466787,0.14802893550737947,-0.0831091104327116
2020-08-21,30.0,41.823654,92.406488,1.320131,40.6314,-6.24,38.16,-0.08338190046924154,0.10174676831205527,-0.1851286687812968
2020-08-24,32.0,45.755641,89.919117,1.312678,40.5342,-3.62,38.87,-0.14198431335441342,0.053000551978761544,-0.19498486533317497
2020-08-25,32.0,45.66202,87.609415,1.313398,40.4442,-2.02,38.85,-0.18787527144559846,0.004825387293889538,-0.192700658739488
2020-08-26,28.0,39.979812,84.891314,1.337148,40.2932,-3.12,37.56,-0.3245946799621038,-0.06105862615730912,-0.26353605380479467
2020-08-27,31.0,43.446155,82.354775,1.316531,40.1758,-0.03,38.15,-0.38094641392845574,-0.12503618371153846,-0.2559102302169173
2020-08-28,31.0,44.784885,80.040246,1.273715,40.0544,-1.26,38.38,-0.40240778482598927,-0.18051050393442863,-0.22189728089156063
2020-08-31,31.0,42.477889,77.671321,1.189424,39.9382,-2.47,37.89,-0.453724724590991,-0.23515334806574112,-0.21857137652524988
2020-09-01,29.0,39.235224,74.806388,1.222794,39.8102,-1.06,37.16,-0.5469932702804883,-0.29752133250869056,-0.2494719377717977
2020-09-02,26.0,36.06707,71.97946,1.339538,39.6616,-4.64,36.38,-0.6760555978687748,-0.3732281855807074,-0.30282741228806737
2020-09-03,26.0,34.564234,68.973206,1.479233,39.5616,-6.23,35.99,-0.8005795799066746,-0.4586984644459009,-0.3418811154607737
2020-09-04,25.0,34.054851,66.059171,1.616306,39.4376,-5.36,35.86,-0.8993880606496845,-0.5468363836866577,-0.3525516769630268
2020-09-08,25.0,27.919519,62.080634,1.897174,39.3118,-8.34,34.06,-1.1101424195150074,-0.6594975908523276,-0.45064482866267974
2020-09-09,23.0,30.898839,58.386278,2.064513,39.175,-5.28,34.46,-1.2307033283751423,-0.7737387383568906,-0.45696459001825174
2020-09-10,19.0,26.378295,54.279993,2.2093,38.993,-8.53,32.92,-1.4339837745946227,-0.905787745604437,-0.5281960289901857
2020-09-11,20.0,27.782117,50.590614,2.328857,38.8404,-7.67,33.11,-1.5617506908680596,-1.0369803346571616,-0.5247703562108981
2020-09-14,22.0,30.846445,47.049109,2.336836,38.6752,-1.59,33.52,-1.611348694320263,-1.1518540065897818,-0.4594946877304813
2020-09-15,23.0,32.939198,43.973667,2.279439,38.5186,-1.92,33.8,-1.6095083985142082,-1.2433848849746671,-0.3661235135395411
2020-09-16,28.0,41.634703,41.860727,2.143805,38.4074,6.56,35.08,-1.4876163331560264,-1.292231174610939,-0.19538515854508742
2020-09-17,31.0,47.427405,40.19902,2.012941,38.3084,9.0,36.09,-1.2945941584947036,-1.292703771387692,-0.0018903871070115041
2020-09-18,29.0,46.348342,38.830858,1.929113,38.2588,7.01,35.87,-1.1461626067401625,-1.263395538458186,0.11723293171802363
2020-09-21,24.0,39.675918,36.601271,1.90463,38.1522,1.66,34.36,-1.1372642387644945,-1.2381692785194478,0.10090503975495335
2020-09-22,23.0,39.432995,34.475264,1.808476,38.045,-2.22,34.3,-1.1221186315041933,-1.214959149116397,0.09284051761220358
2020-09-23,18.0,34.240316,32.281716,1.751211,37.8772,-8.78,32.92,-1.207550208362889,-1.2134773609656953,0.005927152602806185
2020-09-24,20.0,38.535398,30.507475,1.718571,37.7168,-6.33,33.6,-1.2064775097950502,-1.2120773907315663,0.005599880936516088
2020-09-25,21.0,39.164679,28.859966,1.605967,37.559,-1.92,33.7,-1.1839108370163132,-1.2064440799885157,0.022533242972202494
2020-09-28,20.0,39.23168,26.829662,1.422585,37.434,-1.72,33.71,-1.1519408131923328,-1.195543426629279,0.04360261343694627
2020-09-29,17.0,34.166252,25.832286,1.308927,37.2966,-1.4,32.46,-1.2134806428095217,-1.1991308698653276,-0.01434977294419415
2020-09-30,18.0,36.836216,24.906152,1.198579,37.1202,-2.26,32.84,-1.2175533794861337,-1.2028153717894887,-0.014738007696645017
2020-10-01,17.0,35.178462,24.565836,1.156267,36.951,-3.77,32.43,-1.2395755705634102,-1.210167411544273,-0.02940815901913707
2020-10-02,20.0,39.737487,23.78317,1.084733,36.8032,-1.9,33.07,-1.1916490755890337,-1.2064637443532253,0.014814668764191685
2020-10-05,24.0,47.286106,22.261422,0.993383,36.6832,5.61,34.28,-1.0439955644200651,-1.1739701083665934,0.1299745439465283
2020-10-06,21.0,42.628662,21.034251,0.998343,36.5538,1.4,33.3,-0.9945918669011391,-1.1380944600735026,0.14350259317236347
2020-10-07,25.0,48.38309,19.894735,0.994382,36.4612,5.86,34.33,-0.8623856438660624,-1.0829526968320147,0.22056705296595225
2020-10-08,28.0,54.152736,19.569023,1.042466,36.373,7.44,35.53,-0.6532510173415318,-0.9970123609339181,0.3437613435923863
2020-10-09,26.0,52.063654,19.48435,1.057329,36.3228,2.48,35.13,-0.5138634778440618,-0.900382584315947,0.38651910647188514
2020-10-12,28.0,54.24947,19.303903,1.103995,36.2868,6.88,35.59,-0.3621055653848586,-0.7927271805297293,0.43062161514487074
2020-10-13,25.0,50.427387,19.246156,1.113419,36.2502,1.6,34.88,-0.29571853351072974,-0.6933254511259295,0.39760691761519973
2020-10-14,24.0,48.609283,18.549355,1.097367,36.188,-2.81,34.53,-0.26825611784284575,-0.6083115844693127,0.3400554666264669
2020-10-15,27.0,53.132624,17.559265,1.045319,36.1356,0.77,35.4,-0.17428122103360977,-0.5215055117821721,0.3472242907485623
2020-10-16,21.0,45.119669,16.639897,0.965859,36.05,-5.11,33.77,-0.22869654437641884,-0.46294371830102143,0.2342471739246026
2020-10-19,18.0,40.772744,16.075496,1.002543,35.938,-6.25,32.7,-0.35407952939570464,-0.4411708805199581,0.08709135112425348
2020-10-20,18.0,40.303775,16.027224,1.039644,35.7968,-5.65,32.58,-0.4578516170387843,-0.4445070278237234,-0.013344589215060876
2020-10-21,12.0,33.579394,16.955779,1.239747,35.6154,-13.45,30.64,-0.6886946872202344,-0.4933445597030256,-0.19535012751720882
2020-10-22,18.0,40.569773,17.882111,1.301349,35.4204,-5.51,31.91,-0.76039572867613,-0.5467547934976464,-0.2136409351784836
2020-10-23,20.0,43.733296,17.524599,1.323008,35.2586,-0.49,32.54,-0.7576498696609377,-0.5889338087303048,-0.16871606093063296
2020-10-26,13.0,36.383644,18.285864,1.500831,35.0486,-6.94,30.32,-0.923958386162866,-0.655938724216817,-0.268019661946049
2020-10-27,15.0,36.206542,19.055275,1.640647,34.8398,-1.24,30.26,-1.0485139659160794,-0.7344537725566695,-0.3140601933594098
2020-10-28,11.0,32.085747,20.446812,1.912524,34.609,-9.78,28.79,-1.2514163265100144,-0.8378462833473386,-0.41357004316267587
2020-10-29,12.0,34.11824,22.152869,2.093902,34.3992,-10.39,29.16,-1.3666085882116974,-0.9435987443202104,-0.423009843891487
2020-10-30,12.0,32.585499,23.737064,2.2946,34.1962,-5.61,28.62,-1.484361971730543,-1.051751389802277,-0.43261058192826596
2020-11-02,17.0,41.083828,23.714862,2.325871,34.0376,-0.1,30.23,-1.431270041761202,-1.127655120194062,-0.30361492156714
2020-11-03,14.0,38.126157,23.531921,2.418857,33.8464,1.81,29.31,-1.4467533440158675,-1.1914747649584232,-0.25527857905744433
2020-11-04,18.0,43.243837,23.362047,2.407173,33.677,4.18,30.38,-1.357040793428883,-1.2245879706525153,-0.13245282277636772
2020-11-05,18.0,42.32769,22.931157,2.310063,33.5282,5.24,30.12,-1.2920290709641122,-1.2380761907148348,-0.05395288024927747
2020-11-06,14.0,39.134027,23.290928,2.249419,33.349,-3.44,29.19,-1.3005580169422615,-1.25057255596032,-0.049985460981941454
2020-11-09,35.0,55.444919,22.508381,2.097178,33.249,13.89,33.38,-0.9581740513474486,-1.1920928550377459,0.23391880369029727
