date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,74.0,71.037759,142.098498,6.216926,315.9612,0.06,340.0,0.0,0.0,0.0
2020-08-11,69.0,56.986329,138.024073,6.211445,316.444,-2.22,332.43,-0.6038746438746898,-0.12077492877493796,-0.48309971509975186
2020-08-12,71.0,61.658103,134.240678,6.291824,317.0374,-1.91,336.76,-0.7247009358690093,-0.24156013019375222,-0.4831408056752571
2020-08-13,70.0,59.941749,130.730971,6.27432,317.6186,-1.53,335.7,-0.8956651140883878,-0.37238112697267933,-0.5232839871157084
2020-08-14,71.0,60.58822,127.471957,6.162882,318.1292,-1.09,336.28,-0.9731365914500998,-0.4925322198681634,-0.48060437158193636
2020-08-17,73.0,64.502568,124.457059,6.257124,318.6876,2.27,339.96,-0.7291824886257245,-0.5398622736196756,-0.1893202150060489
2020-08-18,73.0,65.299342,121.675419,6.382569,319.3588,1.18,340.75,-0.4667206418133105,-0.5252339472584027,0.058513305445092145
2020-08-19,73.0,65.457887,119.092468,6.474056,320.0658,1.55,340.9,-0.24380357503071082,-0.4689478728128643,0.2251442977821535
2020-08-20,73.0,65.393539,116.56509,6.37521,320.7366,1.36,340.87,-0.06876822555682338,-0.38891194336165613,0.32014371780483275
2020-08-21,74.0,69.428487,114.258886,6.375912,321.6122,1.37,344.61,0.36749899383795537,-0.23762975592173383,0.6051287497596892
2020-08-24,73.0,68.327381,112.120133,6.348729,322.5208,0.99,344.13,0.6668251743457176,-0.056738769868243555,0.7235639442139612
2020-08-25,73.0,68.967817,110.051927,6.2431,323.4714,1.12,344.71,0.9400086471156328,0.14261071352853172,0.7973979335871011
2020-08-26,73.0,67.847008,108.13145,5.85454,324.3296,1.0,344.27,1.1082292181220055,0.33573441444722646,0.772494803674779
2020-08-27,73.0,70.314773,106.385918,5.232964,325.2646,0.51,346.36,1.3941202157125758,0.5474115747002963,0.8467086410122795
2020-08-28,74.0,72.500718,104.782666,4.544051,326.2406,1.23,348.37,1.7625633595147292,0.790441931663183,0.9721214278515462
2020-08-31,74.0,70.52517,103.100822,4.021964,327.1958,0.86,347.66,1.9745052715019824,1.027254599630943,0.9472506718710394
2020-09-01,75.0,74.453026,101.585486,4.550368,328.2144,2.07,351.38,2.414807279224135,1.3047651355495815,1.1100421436745536
2020-09-02,76.0,80.174134,100.311469,5.820996,329.3658,3.61,358.86,3.328949225112183,1.7096019534621019,1.619347271650081
