date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,43.0,38.735127,18.041003,5.54179,103.528,-15.62,97.0,0.0,0.0,0.0
2020-08-11,45.0,40.469956,18.833837,5.836256,103.5944,-14.46,98.16,0.09253561253562737,0.018507122507125474,0.0740284900285019
2020-08-12,46.0,40.920368,19.570041,6.045062,103.7184,-10.74,98.45,0.18711439030528254,0.05222857606675689,0.13488581423852564
2020-08-13,49.0,44.710795,19.834569,6.052063,103.7742,-0.85,100.89,0.4537260892381454,0.1325280787010346,0.3211980105371108
2020-08-14,50.0,45.268732,19.549844,6.058912,103.8796,4.38,101.25,0.6861571799776982,0.24325389895636734,0.44290328102133086
2020-08-17,62.0,51.283575,19.021017,6.057534,104.1078,7.31,105.34,1.1867096621243292,0.4319450515899597,0.7547646105343695
2020-08-18,63.0,53.644405,18.041728,6.061507,104.3412,8.79,107.1,1.7057555138104306,0.686707144034054,1.0190483697763766
2020-08-19,64.0,55.044112,16.814694,6.058558,104.6262,7.2,108.15,2.176737243606567,0.9847131639485567,1.1920240796580104
2020-08-20,68.0,60.370567,16.269589,6.110923,104.9316,11.1,112.49,2.8671447271379265,1.3611994765864308,1.5059452505514956
2020-08-21,67.0,59.547736,15.93316,6.017228,105.2712,6.34,112.02,3.3378953797378585,1.7565386572167163,1.5813567225211422
2020-08-24,65.0,58.140548,15.006139,6.014615,105.6337,3.87,111.245,3.606855060495775,2.126601937872528,1.480253122623247
2020-08-25,68.0,61.109709,14.316158,6.130759,105.9247,5.01,113.57,3.9619447811979,2.493670506537603,1.4682742746602973
2020-08-26,71.0,65.161649,14.724327,6.360975,106.2461,4.11,117.11,4.477391772845451,2.8904147597991727,1.586977013046278
2020-08-27,71.0,65.183725,14.979973,6.607841,106.6149,4.56,117.13,4.8318030423944265,3.278692416318224,1.5531106260762026
2020-08-28,72.0,66.889254,15.690008,6.900484,106.9555,6.65,118.64,5.174868247398393,3.657927582534258,1.5169406648641353
2020-08-31,79.0,73.462631,17.15706,7.711366,107.4485,10.71,125.73,5.950262715736002,4.116394609174607,1.833868106561395
2020-09-01,86.0,82.785623,20.096988,10.720468,108.2219,22.7,143.69,7.922662795308341,4.877648246401354,3.0450145489069866
2020-09-02,84.0,80.053678,23.266538,12.702035,108.9779,21.29,142.07,9.248472968246134,5.75181319077031,3.4966597774758235
2020-09-03,77.0,62.481477,25.38844,13.228001,109.4889,8.94,129.25,9.159139366208834,6.433278425858015,2.7258609403508185
2020-09-04,72.0,58.129709,25.371863,13.21313,109.8785,-0.43,125.19,8.660896351892347,6.878802011064882,1.7820943408274657
2020-09-08,71.0,58.467319,25.356469,12.814439,110.4153,-12.57,125.63,8.206935057463284,7.144428620344562,1.0625064371187216
2020-09-09,76.0,60.457302,25.414668,12.429648,111.0169,-9.78,128.18,7.961159854620405,7.307774867199731,0.6533849874206741
2020-09-10,77.0,61.37182,25.872949,11.91836,111.5981,0.08,129.35,7.771208799918767,7.400461653743538,0.37074714617522897
2020-09-11,75.0,57.607045,25.40198,11.289177,112.0647,0.87,126.28,7.288925679569417,7.378154458908714,-0.0892287793392974
2020-09-14,77.0,59.539892,24.964651,10.568973,112.4893,2.28,128.5,7.0050978709815155,7.303543141323274,-0.29844527034175883
2020-09-15,79.0,62.018078,24.809801,10.115685,112.9905,2.55,131.45,6.938223116435665,7.230479136345752,-0.292256019910087
2020-09-16,78.0,61.604838,24.846367,9.614079,113.4851,1.39,131.15,6.782828672088499,7.140949043494302,-0.35812037140580344
2020-09-17,75.0,58.037129,24.060962,8.955393,113.7657,1.82,128.58,6.378769450197268,6.9885131248348955,-0.6097436746376275
2020-09-18,78.0,60.751647,23.679629,8.590952,114.0451,2.28,131.43,6.216856732758856,6.834181846419688,-0.617325113660832
2020-09-21,84.0,66.274907,24.024441,8.377451,114.4747,5.08,138.13,6.553627603908154,6.778070997917382,-0.22444339400922786
2020-09-22,86.0,69.421965,24.736051,8.199459,115.2041,8.79,142.68,7.105757174137281,6.843608233161362,0.26214894097591923
2020-09-23,83.0,63.683304,25.491039,7.691038,115.8639,7.79,138.6,7.131889946548839,6.901264575838858,0.2306253707099808
