date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,64.0,57.408855,124.075742,0.537108,46.471,0.13,47.73,0.0,0.0,0.0
2020-08-11,63.0,52.83435,121.419784,0.51652,46.4888,-0.3,47.19,-0.043076923076924345,-0.00861538461538487,-0.03446153846153947
2020-08-12,65.0,58.793252,118.953537,0.552461,46.513,0.69,48.1,-0.0037431514354651085,-0.007640937979400918,0.00389778654393581
2020-08-13,39.0,32.583482,114.475275,1.069417,46.4286,-9.93,42.72,-0.40205722605897876,-0.08652419559531649,-0.31553303046366227
2020-08-14,38.0,31.956125,110.272744,1.439135,46.3414,-10.96,42.5,-0.7270946665639144,-0.2146382897890361,-0.5124563767748783
2020-08-17,38.0,30.767207,106.196655,1.752433,46.2266,-10.81,42.09,-1.006174203522896,-0.3729454725358081,-0.6332287309870879
2020-08-18,37.0,30.439991,102.389301,1.998461,46.1036,-12.72,41.98,-1.2221348184791054,-0.5427833417244676,-0.6793514767546378
2020-08-19,38.0,30.0953,98.862784,2.201375,45.98,-1.99,41.87,-1.3861821969379022,-0.7114631127671546,-0.6747190841707477
2020-08-20,40.0,33.346574,95.599255,2.310565,45.8778,-0.45,42.31,-1.4638126820900936,-0.8619330266317424,-0.6018796554583512
2020-08-21,40.0,33.120357,92.568836,2.421912,45.8494,0.38,42.25,-1.5127389860459104,-0.9920942185145761,-0.5206447675313343
2020-08-24,40.0,32.840464,89.785731,2.491328,45.7916,0.48,42.18,-1.5394164152301357,-1.1015586578576881,-0.4378577573724476
2020-08-25,39.0,31.927214,87.062144,2.577618,45.7238,0.21,41.96,-1.5603241855000576,-1.193311763386162,-0.3670124221138955
2020-08-26,40.0,34.512447,84.315434,2.61481,45.6392,-0.14,42.25,-1.5357895418596854,-1.2618073190808667,-0.2739822227788187
2020-08-27,40.0,34.879804,81.810089,2.641084,45.5616,0.09,42.29,-1.495874484399458,-1.3086207521445852,-0.18725373225487285
2020-08-28,40.0,34.412063,79.468848,2.624473,45.489,0.05,42.2,-1.454734487991594,-1.337843499313987,-0.11689098867760706
2020-08-31,41.0,34.621882,77.247143,2.580387,45.427,0.62,42.22,-1.4043286846749794,-1.3511405363861855,-0.053188148288793924
2020-09-01,40.0,33.524679,74.821968,2.48133,45.3644,-0.52,42.03,-1.3639899078921758,-1.3537104106873836,-0.010279497204792154
2020-09-02,41.0,37.87666,72.769713,2.361932,45.3034,0.31,42.42,-1.2857302975023117,-1.3401143880503694,0.054384090548057706
2020-09-03,37.0,29.924417,69.775499,2.219624,45.2274,-2.96,40.95,-1.3270285480800226,-1.3374972200563,0.010468671976277433
2020-09-04,36.0,29.337799,66.820895,2.056264,45.1394,-3.32,40.82,-1.3546322652211913,-1.3409242290892784,-0.013708036131912849
2020-09-08,38.0,25.890169,63.715825,1.826256,45.0132,-4.83,40.0,-1.4262348098164566,-1.357986345234714,-0.0682484645817425
2020-09-09,35.0,27.34783,60.638015,1.550256,44.8928,-5.4,40.13,-1.4557099110256644,-1.3775310583929041,-0.07817885263276025
2020-09-10,36.0,25.061129,57.541027,0.891965,44.7514,-3.37,39.57,-1.5068860169756064,-1.4034020501094449,-0.10348396686616157
