date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,42.0,53.70975,116.616826,2.173584,90.0712,3.75,89.73,0.0,0.0,0.0
2020-08-11,41.0,53.427567,113.872551,2.194669,90.0078,2.78,89.62,-0.00877492877494035,-0.00175498575498807,-0.007019943019952279
2020-08-12,50.0,55.921528,111.324295,2.255032,89.9284,3.72,90.72,0.07219941396577667,0.013035894189164877,0.05916351977661179
2020-08-13,49.0,53.401814,108.958058,2.276634,89.7812,3.48,89.82,0.06302319344679574,0.023033354040691054,0.03998983940610469
2020-08-14,49.0,54.696377,106.542463,2.292886,89.6626,0.69,90.35,0.0973948361348107,0.03790565045951499,0.059489185675295715
2020-08-17,50.0,55.745608,104.334401,2.203406,89.4618,1.28,90.77,0.156718546660926,0.06166822969979719,0.09505031696112881
2020-08-18,38.0,46.984562,101.670283,2.141532,89.1496,-3.41,87.63,-0.04907305958397501,0.039519971843042755,-0.08859303142701777
2020-08-19,37.0,44.040964,98.910131,2.127344,88.8468,-3.82,86.39,-0.3086639412905754,-0.030116810783680878,-0.2785471305068945
2020-08-20,35.0,40.554519,95.965089,2.185352,88.5914,-6.13,84.81,-0.6345694589662259,-0.15100734042018987,-0.483562118546036
2020-08-21,35.0,41.408122,92.909558,2.234172,88.5056,-6.27,85.08,-0.8611385174418444,-0.29303357582452083,-0.5681049416173236
2020-08-24,39.0,47.752103,90.251337,2.118604,88.4018,-0.49,87.2,-0.8597195345672617,-0.406370767573069,-0.4533487669941927
2020-08-25,37.0,45.09802,87.838766,2.119975,88.2998,-0.3,86.13,-0.934166547590678,-0.5119299235765908,-0.4222366240140871
2020-08-26,35.0,41.931404,85.274803,2.120942,88.1148,-0.04,84.78,-1.0895405145168269,-0.6274520417646381,-0.4620884727521888
2020-08-27,36.0,42.35119,82.685708,2.174028,87.9822,-0.2,84.91,-1.188485468495827,-0.7396587271108759,-0.44882674138495116
2020-08-28,37.0,44.734135,80.292421,2.075001,87.856,-1.8,85.63,-1.1950265524566106,-0.8307322921800229,-0.36429426027658773
2020-08-31,34.0,40.479527,77.91808,2.136125,87.722,-2.55,83.93,-1.3221453327397654,-0.9290149002919714,-0.393130432447794
2020-09-01,33.0,38.507469,75.227694,2.319993,87.5518,-2.01,83.08,-1.4744789032437922,-1.0381077008823356,-0.43637120236145654
2020-09-02,33.0,38.922163,72.778297,2.47125,87.3868,-2.03,83.19,-1.5682504595846183,-1.1441362526227923,-0.424114206961826
2020-09-03,31.0,36.716214,70.145078,2.663034,87.2796,-3.91,82.28,-1.696438995639852,-1.2545968012262043,-0.4418421944136477
2020-09-04,31.0,35.874061,67.404369,2.853349,87.134,-2.38,81.93,-1.8054591991516276,-1.364769280811289,-0.44068991834033855
2020-09-08,31.0,29.674938,63.882786,3.171258,86.9842,-4.95,78.97,-2.1064242110294913,-1.5131002668549296,-0.5933239441745617
2020-09-09,29.0,34.068739,60.722633,3.28945,86.8314,-3.8,80.03,-2.233659770637175,-1.657212167611379,-0.5764476030257959
2020-09-10,26.0,30.436597,57.249378,3.408111,86.6098,-5.02,78.15,-2.4578624481573,-1.8173422237205634,-0.6405202244367367
2020-09-11,26.0,29.604919,53.710154,3.529583,86.4112,-5.18,77.69,-2.6422051448108874,-1.9823148079386284,-0.6598903368722591
2020-09-14,26.0,28.866273,50.374313,3.529583,86.1908,-2.13,77.29,-2.7884314154675423,-2.143538129444411,-0.6448932860231311
2020-09-15,25.0,27.151824,46.95268,3.441252,85.9464,-4.6,76.35,-2.9462049162331,-2.304071486802149,-0.6421334294309511
2020-09-16,29.0,36.674548,44.091737,3.368093,85.7914,0.52,78.56,-2.859945352260439,-2.415246259893807,-0.4446990923666321
2020-09-17,29.0,37.588922,41.435148,3.315673,85.6402,1.42,78.79,-2.741423524620771,-2.4804817128392003,-0.2609418117815707
2020-09-18,28.0,36.170566,39.07173,3.341845,85.5496,1.19,78.21,-2.663591055391734,-2.517103581349707,-0.146487474042027
2020-09-21,25.0,31.90155,36.737278,3.432505,85.371,-0.07,76.3,-2.7246215589257616,-2.558607176864918,-0.1660143820608435
2020-09-22,23.0,30.346571,34.237403,3.348739,85.1736,-3.86,75.53,-2.802812163587177,-2.6074481742093703,-0.19536398937780675
2020-09-23,17.0,24.393249,33.022919,3.592257,84.8456,-8.68,71.95,-3.1177157750616686,-2.70950169437983,-0.4082140806818386
2020-09-24,18.0,24.179216,32.258633,3.813618,84.5038,-8.2,71.8,-3.3408714162446813,-2.8357756387528004,-0.505095777491881
2020-09-25,18.0,24.322238,31.548938,3.903701,84.1732,-5.86,71.83,-3.4752426859322867,-2.963669048188698,-0.5115736377435889
2020-09-28,21.0,33.743731,29.950878,3.67236,83.908,-2.12,73.93,-3.3733940489532444,-3.045614048341607,-0.32778000061163715
2020-09-29,18.0,29.872222,29.075757,3.635113,83.6406,-0.07,71.9,-3.417092193212369,-3.1199096773157597,-0.29718251589660927
2020-09-30,19.0,30.296481,28.263145,3.569134,83.2528,0.28,72.0,-3.4044102014699433,-3.1768097821465964,-0.22760041932334696
2020-10-01,17.0,27.468849,27.965582,3.516826,82.8404,-1.96,70.42,-3.4817173566407433,-3.237791297045426,-0.2439260595953172
2020-10-02,18.0,30.85577,28.015937,3.3856,82.444,-3.71,71.19,-3.4411834485080135,-3.278469727337944,-0.16271372117006955
2020-10-05,21.0,37.062471,27.568366,3.115157,82.0954,1.11,72.7,-3.2497545068255818,-3.272726683235472,0.02297217640989002
2020-10-06,20.0,36.137079,26.457582,3.047813,81.7206,0.42,72.3,-3.0946491592758036,-3.2371111784435382,0.1424620191677346
2020-10-07,23.0,41.91585,25.652465,2.811518,81.414,4.77,73.78,-2.819798540434519,-3.1536486508417347,0.3338501104072158
2020-10-08,24.0,46.946097,24.214318,2.693099,81.117,5.66,75.22,-2.457453485325985,-3.014409617738585,0.5569561324126
2020-10-09,22.0,43.508255,22.659768,2.584713,80.8716,1.79,74.0,-2.242881678784258,-2.8601040299477196,0.6172223511634618
2020-10-12,24.0,45.311188,21.517744,2.487873,80.683,3.06,74.51,-2.008526198687079,-2.6897884636955918,0.6812622650085127
2020-10-13,22.0,42.15758,20.62046,2.434823,80.4548,-0.52,73.4,-1.890572176403694,-2.5299452062372128,0.6393730298335187
2020-10-14,22.0,40.914352,19.787268,2.194995,80.184,-3.02,72.95,-1.8125105102112258,-2.3864582670320154,0.5739477568207896
2020-10-15,24.0,43.160747,19.61944,1.849501,79.9102,-0.66,73.51,-1.686023330029542,-2.246371279631521,0.560347949601979
2020-10-16,24.0,41.289089,19.295399,1.480181,79.6186,-2.17,72.89,-1.617168435812772,-2.1205307108677713,0.5033622750549993
2020-10-19,22.0,36.823472,19.418888,1.335782,79.3082,-2.89,71.28,-1.6732260721294239,-2.031069783120102,0.35784371099067824
2020-10-20,24.0,38.600244,19.59198,1.207608,78.9472,-1.74,71.68,-1.6661689373674875,-1.9580896139695794,0.29192067660209187
2020-10-21,22.0,36.369632,19.878492,1.261196,78.5722,-3.59,70.87,-1.7062675475982445,-1.9077252006953125,0.20145765309706798
2020-10-22,27.0,46.725251,18.996306,1.258148,78.2258,0.7,73.4,-1.516415831424652,-1.8294633268411806,0.31304749541652854
2020-10-23,25.0,44.184712,17.716523,1.243163,77.8808,1.81,72.57,-1.4166013434661409,-1.7468909301661728,0.33028958670003195
2020-10-26,23.0,39.627825,17.274099,1.268785,77.4926,-1.03,70.94,-1.452283994285338,-1.687969542990006,0.23568554870466785
2020-10-27,21.0,36.109387,17.184949,1.42919,77.0674,-1.92,69.51,-1.577764316217369,-1.6659284976354787,0.08816418141810978
2020-10-28,15.0,30.709058,18.227539,1.876497,76.6524,-8.88,66.88,-1.8678954594265917,-1.7063218899937014,-0.16157356943289036
2020-10-29,19.0,37.999079,19.534821,1.983497,76.3006,-5.19,68.8,-1.9207572330585947,-1.7492089586066801,-0.17154827445191456
2020-10-30,21.0,40.458613,20.178145,2.055949,75.9944,-2.03,69.5,-1.8844437254134903,-1.7762559119680423,-0.10818781344544792
2020-11-02,26.0,48.747602,19.290645,2.050534,75.7358,3.8,72.15,-1.623121817994516,-1.7456290931733371,0.1225072751788212
2020-11-03,25.0,47.642506,18.368507,2.050166,75.4266,7.27,71.74,-1.432591869811617,-1.6830216485009932,0.2504297786893763
2020-11-04,25.0,47.735872,17.963251,2.008254,75.1394,4.32,71.77,-1.2645972737160633,-1.5993367735440074,0.33473949982794404
2020-11-05,26.0,48.945066,17.586941,1.85863,74.8866,3.8,72.14,-1.0890505414621003,-1.4972795271276262,0.4082289856655259
2020-11-06,24.0,45.885989,17.605506,1.786563,74.6114,-1.39,71.15,-1.018077454465839,-1.4014391125952688,0.3833616581294297
2020-11-09,43.0,65.331542,18.685331,2.39988,74.4868,10.68,79.4,-0.292750079132972,-1.1797013059028094,0.8869512267698374
2020-11-10,49.0,70.423192,19.688026,3.423838,74.4696,15.74,83.07,0.5716260705338954,-0.8294358306154684,1.401061901149364
2020-11-11,47.0,68.61927,20.893782,4.077648,74.4572,14.31,82.46,1.1936686257369047,-0.42481493934499387,1.6184835650818985
2020-11-12,45.0,63.48059,21.234123,4.425051,74.4068,13.38,80.67,1.5246288199758595,-0.03492618748082321,1.5595550074566829
2020-11-13,47.0,66.990443,21.805552,4.920158,74.4218,4.57,83.03,1.9548155383115073,0.3630221576776429,1.5917933806338644
2020-11-16,55.0,73.803424,23.417195,5.904623,74.5624,7.09,88.96,2.7426277473971368,0.8389432756215416,1.9036844717755952
2020-11-17,52.0,68.848648,24.63237,6.456525,74.7238,5.55,87.04,3.1754421249155484,1.3062430454803429,1.8691990794352056
2020-11-18,48.0,62.366872,25.525629,6.654665,74.8088,4.48,84.28,3.2581833936275046,1.6966311151097753,1.5615522785177294
2020-11-19,50.0,64.270031,25.872736,6.952225,74.9604,3.25,85.73,3.4015483945428286,2.037614570996386,1.3639338235464424
2020-11-20,49.0,64.350371,26.271414,7.163878,75.1224,-3.56,85.79,3.4798936414760107,2.3260703850923115,1.1538232563836992
2020-11-23,57.0,70.573374,27.61778,7.603601,75.3972,4.58,91.03,3.919624035609118,2.6447811151956726,1.2748429204134455
2020-11-24,62.0,74.733909,29.445392,8.207547,75.7826,13.46,95.62,4.585627916646629,3.0329504754858645,1.552677441160765
2020-11-25,59.0,66.999434,30.801336,8.101919,76.0542,7.48,92.14,4.777561123537581,3.3818726050962082,1.3956885184413723
2020-11-27,58.0,65.264535,31.437187,7.914825,76.3046,6.43,91.31,4.807280175961708,3.6669541192693083,1.1403260566923996
2020-11-30,51.0,57.312006,30.771374,7.448643,76.484,-4.23,87.18,4.44632182471608,3.8228276603586626,0.623494164357417
2020-12-01,50.0,57.675103,30.153118,7.089187,76.707,-8.54,87.45,4.134387825025456,3.8851396932920217,0.24924813173343452
2020-12-02,54.0,60.886409,29.914523,6.661165,76.9938,-2.46,89.87,4.035927992504014,3.91529735313442,0.12063063936959395
2020-12-03,53.0,60.742851,29.69297,6.070597,77.3508,-1.65,89.8,3.907209571098292,3.9136797967271946,-0.006470225628902426
2020-12-04,59.0,65.143145,29.97236,5.480471,77.7804,7.0,93.28,4.039442037847664,3.9388322449512887,0.10060979289637517
2020-12-07,55.0,59.906629,29.825948,4.274692,78.159,3.79,90.76,3.8959838048125874,3.930262556923549,-0.03427875211096154
2020-12-08,55.0,60.952895,29.708068,3.938111,78.5112,1.86,91.54,3.8014112996732905,3.9044923054734975,-0.10308100580020696
2020-12-09,53.0,58.629267,29.257056,3.797122,78.882,0.71,90.44,3.596245817872699,3.8428430079533378,-0.24659719008063874
2020-12-10,57.0,62.682239,29.222156,3.68265,79.309,0.08,93.35,3.6266575250902093,3.7996059113807124,-0.17294838629050302
2020-12-11,55.0,60.701562,29.189749,3.22237,79.7496,1.86,92.45,3.5373600589490763,3.7471567408943853,-0.20979668194530898
2020-12-14,51.0,54.499065,28.364933,2.855596,80.1146,-2.29,89.44,3.1869719010441884,3.6351197729243463,-0.4481478718801579
2020-12-15,50.0,54.359953,27.398623,2.850436,80.448,-1.18,89.37,2.8705484508219143,3.4822055085038603,-0.611657057681946
2020-12-16,48.0,52.946104,26.108685,2.789888,80.7758,-4.99,88.69,2.5356805231455155,3.2929005114321916,-0.7572199882866761
2020-12-17,48.0,52.342445,24.78177,2.498245,81.0684,-4.37,88.41,2.2220867846737633,3.078737766080506,-0.8566509814067427
2020-12-18,47.0,49.684274,23.019859,2.385878,81.3078,-2.52,87.19,1.8537488210884874,2.8337399770821023,-0.979991155993615
2020-12-21,45.0,47.349428,22.378847,2.358543,81.5496,-3.67,86.09,1.4562903160448855,2.5582500448746592,-1.1019597288297738
2020-12-22,42.0,43.858548,21.783622,2.677566,81.7466,-4.88,84.36,0.9902896033635074,2.244657956572429,-1.2543683532089216
2020-12-23,44.0,47.088251,20.835961,2.491962,81.9924,-3.08,85.69,0.7200008443867603,1.9397265341352952,-1.219725689748535
2020-12-24,44.0,46.311664,20.030509,2.564055,82.24,-2.13,85.33,0.47131306063702993,1.6460438394356423,-1.1747307787986123
2020-12-28,42.0,45.349612,18.943834,2.666356,82.4678,-1.38,84.9,0.23679912111076362,1.3641948957706667,-1.127395774659903
