date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,80.0,67.918806,139.173645,1.962945,90.7502,5.4,99.76,0.0,0.0,0.0
2020-08-11,83.0,71.746266,135.921891,2.360362,91.1006,6.06,102.18,0.19304843304841768,0.03860968660968354,0.15443874643873415
2020-08-12,82.0,72.290591,132.902404,2.807638,91.4392,6.26,102.55,0.37161289275248066,0.10521032783824297,0.2664025649142377
2020-08-13,79.0,68.018776,129.742161,3.026278,91.6812,3.75,101.43,0.41793418861460907,0.16775509999351618,0.2501790886210929
2020-08-14,78.0,65.99392,126.74314,3.179149,91.8592,1.13,100.89,0.40638609632863165,0.2154812992605393,0.19090479706809235
2020-08-17,77.0,66.014098,123.964533,3.210917,91.9686,-1.25,100.9,0.3935049858900328,0.251086036586438,0.14241894930359478
2020-08-18,77.0,65.222266,121.31084,3.229042,92.0694,-1.79,100.71,0.3637718653368154,0.2736232023365135,0.09014866300030189
2020-08-19,76.0,64.218082,118.690969,3.220134,92.1706,-0.94,100.48,0.31798355874568074,0.282495273618347,0.03548828512733376
2020-08-20,75.0,59.859661,116.110104,3.134306,92.3204,-1.41,99.47,0.19791598453616643,0.26557941580191086,-0.06766343126574442
2020-08-21,76.0,62.869123,113.744844,3.040196,92.6296,-0.31,100.59,0.1909352242918203,0.2506505774998928,-0.059715353208072475
2020-08-24,80.0,68.130357,111.601871,3.13396,92.967,2.15,102.88,0.36596813037625964,0.2737140880751662,0.09225404230109346
2020-08-25,79.0,67.859051,109.641254,3.034604,93.2896,2.33,102.82,0.49414527183414236,0.3178003248269614,0.17634494700718095
2020-08-26,79.0,65.881331,107.631364,3.083574,93.5588,2.95,102.4,0.5554333995081606,0.36532693976320124,0.19010645974495938
2020-08-27,78.0,64.389675,105.782816,2.937236,93.8238,1.49,102.09,0.5723920932754822,0.40673997046565746,0.16565212280982478
2020-08-28,80.0,67.967434,104.079481,2.647277,94.1434,0.61,103.51,0.6924321856199356,0.4638784134965131,0.22855377212342248
2020-08-31,78.0,61.37368,102.497812,2.383524,94.3986,-0.7,102.1,0.6661110934611116,0.5043249494894328,0.1617861439716788
2020-09-01,80.0,64.83876,100.816458,2.050783,94.7256,1.01,103.43,0.7439950116447989,0.552258961920506,0.1917360497242928
2020-09-02,83.0,69.569091,99.394478,2.001643,95.0946,3.41,105.57,0.9672488505449053,0.635256939645386,0.3319919108995193
2020-09-03,78.0,56.48955,97.317073,1.66094,95.4574,-1.31,102.15,0.8583195351470465,0.6798694587457181,0.17845007640132837
2020-09-04,80.0,57.569689,95.388055,1.403971,95.7996,0.47,102.58,0.7974966295202535,0.7033948929006252,0.09410173661962828
2020-09-08,76.0,50.92124,92.665582,1.356435,96.0992,-2.85,100.48,0.5732337076813678,0.6773626558567738,-0.10412894817540597
2020-09-09,79.0,56.303913,90.322738,1.362026,96.4122,-2.85,102.56,0.5569224873496808,0.6532746221553553,-0.0963521348056745
