date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,29.0,50.746015,129.761014,1.763468,34.508,8.64,33.21,0.0,0.0,0.0
2020-08-11,29.0,52.116135,125.827721,1.749861,34.505,5.18,33.51,0.023931623931623847,0.00478632478632477,0.019145299145299076
2020-08-12,29.0,51.857218,121.894338,1.66781,34.4722,6.15,33.46,0.03842014269365279,0.011513088367790376,0.026907054325862417
2020-08-13,27.0,48.728705,118.241911,1.60449,34.3966,3.14,32.86,0.0014704620349093034,0.009504563101214161,-0.008034101066304858
2020-08-14,28.0,50.341854,114.523401,1.524159,34.289,-0.15,33.16,-0.0035638514388622866,0.006890880193198871,-0.010454731632061159
2020-08-17,25.0,45.463741,111.011709,1.500623,34.1486,-3.88,32.21,-0.08325097622385158,-0.01113749109021122,-0.07211348513364035
2020-08-18,25.0,44.726783,107.626183,1.415283,33.9474,-4.18,32.06,-0.15670099163973816,-0.04025019120011661,-0.11645080043962155
2020-08-19,24.0,43.217897,104.292983,1.304118,33.784,-3.35,31.76,-0.23639315765913693,-0.07947878449192067,-0.15691437316721626
2020-08-20,23.0,40.565141,100.732865,1.188533,33.6506,-5.85,31.22,-0.33921302382636753,-0.13142563235881005,-0.20778739146755748
2020-08-21,24.0,41.985483,97.429063,1.121617,33.587,-2.45,31.42,-0.3999498075890031,-0.18513046740484868,-0.21481934018415444
2020-08-24,30.0,51.839145,94.621643,1.102381,33.5252,2.96,33.01,-0.3161401674305111,-0.21133240740998116,-0.10480776002052994
2020-08-25,30.0,50.673257,92.073122,0.998721,33.4604,3.31,32.81,-0.2628290229481465,-0.22163173051761426,-0.04119729243053222
2020-08-26,28.0,47.508862,89.549775,0.98506,33.3618,3.33,32.26,-0.2619404735907622,-0.22969347913224386,-0.03224699445851836
2020-08-27,28.0,47.508851,87.218117,0.966023,33.286,2.67,32.26,-0.2582592400647101,-0.23540663131873713,-0.022852608745973002
2020-08-28,31.0,51.647437,85.053006,0.880777,33.2192,-0.3,32.91,-0.20058010564897444,-0.2284413261847846,0.027861220535810166
2020-08-31,26.0,43.95369,82.122776,0.794906,33.1386,-3.78,31.57,-0.2599986743472016,-0.23475279581726802,-0.02524587852993357
2020-09-01,24.0,40.332242,78.942474,0.769558,33.054,-4.46,30.82,-0.36341779598430435,-0.26048579585067533,-0.10293200013362902
2020-09-02,29.0,47.965708,76.084678,0.765225,32.9982,-0.62,32.06,-0.3413852810733786,-0.27666569289521603,-0.06471958817816259
2020-09-03,27.0,45.014822,73.799016,0.767838,32.9774,-4.38,31.47,-0.36729843570358867,-0.29479224145689054,-0.07250619424669813
2020-09-04,29.0,47.882526,71.583948,0.76531,32.9514,1.24,31.96,-0.3443267085824857,-0.3046991348820096,-0.03962757370047609
2020-09-08,28.0,41.301971,68.922382,0.822506,32.9176,-0.81,30.57,-0.4332881564667197,-0.33041693919895165,-0.10287121726776804
2020-09-09,24.0,41.920388,65.959126,0.823714,32.8538,-4.34,30.67,-0.4900723318009028,-0.3623480177193419,-0.12772431408156093
2020-09-10,21.0,38.432015,63.117078,0.880842,32.7712,-5.08,29.87,-0.5927941519994704,-0.40843724457536756,-0.18435690742410282
2020-09-11,20.0,37.385057,60.152671,0.9727,32.6924,-7.32,29.62,-0.6864617415909429,-0.46404214397848265,-0.22241959761246022
2020-09-14,25.0,43.961199,57.722385,0.93692,32.6256,0.16,30.62,-0.6722530241302387,-0.5056843200088339,-0.1665687041214048
2020-09-15,24.0,42.752334,55.638318,0.958423,32.536,-0.98,30.37,-0.6734028549045554,-0.5392280269879782,-0.1341748279165772
2020-09-16,44.0,58.629919,55.013081,1.060585,32.535,12.52,33.61,-0.4081680744011891,-0.5130160364706204,0.10484796206943137
2020-09-17,48.0,63.626142,54.992015,1.314234,32.554,18.5,35.1,-0.076851160053522,-0.4257830611872008,0.3489319011336788
2020-09-18,44.0,59.231482,54.972455,1.419448,32.5838,11.85,34.25,0.11579714788329198,-0.31746701937310223,0.4332641672563942
2020-09-21,27.0,48.1498,52.432885,1.417005,32.55,4.12,31.62,0.055612236461904274,-0.24285116820610095,0.29846340466800525
2020-09-22,25.0,46.373477,50.009313,1.400857,32.5052,-7.41,31.12,-0.03206098173391325,-0.2006931309116634,0.16863214917775016
2020-09-23,22.0,43.93004,47.391143,1.409553,32.4286,-13.33,30.42,-0.15622591357697502,-0.19179968744472575,0.035573773867750735
2020-09-24,22.0,43.057459,44.629678,1.438194,32.321,-11.91,30.17,-0.27166879848447323,-0.20777350965267527,-0.06389528883179796
2020-09-25,24.0,44.250008,42.06546,1.448837,32.2274,-3.8,30.42,-0.33907654251759567,-0.23403411622565937,-0.1050424262919363
2020-09-28,26.0,46.425,40.089393,1.414641,32.1408,-0.8,30.87,-0.35212732154619175,-0.2576527572897659,-0.09447456425642586
2020-09-29,24.0,44.753628,37.811303,1.4267,32.0662,0.16,30.47,-0.390248275810233,-0.2841718609938593,-0.1060764148163737
2020-09-30,26.0,47.54975,35.881995,1.423971,31.9856,2.82,31.02,-0.37179320264604954,-0.3016961293242974,-0.07009707332175213
2020-10-01,25.0,47.808361,33.971396,1.414353,31.904,2.14,31.07,-0.34910853617671833,-0.3111786106947816,-0.037929925481936744
2020-10-02,28.0,51.611046,32.555061,1.418757,31.8392,3.05,31.81,-0.26832586545372195,-0.30260806164656967,0.034282196192847725
2020-10-05,35.0,52.118746,31.403936,1.417603,31.7944,4.73,31.91,-0.19399954661998464,-0.28088635864125266,0.08688681202126802
2020-10-06,22.0,45.941454,29.437366,1.414225,31.7406,-0.97,30.72,-0.2284846296235301,-0.27040601283770815,0.04192138321417804
2020-10-07,25.0,49.716853,27.611266,1.407307,31.683,1.13,31.42,-0.19705858776450214,-0.255736527823067,0.05867794005856486
2020-10-08,38.0,57.444196,26.867457,1.417058,31.689,4.09,33.11,-0.035376548270793506,-0.2116645319126123,0.1762879836418188
2020-10-09,40.0,61.031339,27.243577,1.453822,31.7466,6.71,34.05,0.16668632082850365,-0.1359943613643891,0.3026806821928928
2020-10-12,40.0,60.73806,27.592832,1.512839,31.8222,10.68,34.0,0.31910952230711587,-0.04497358463008812,0.36408310693720397
2020-10-13,38.0,57.523099,27.5363,1.508877,31.883,6.49,33.46,0.3918159106757457,0.04238431443107865,0.3494315962446671
2020-10-14,39.0,59.652666,27.680595,1.528984,31.9508,2.57,33.96,0.48420050656939395,0.13074755285874173,0.3534529537106522
2020-10-15,40.0,60.671886,27.27494,1.449701,31.9976,0.44,34.2,0.5702089448727392,0.21863983126154124,0.35156911361119797
2020-10-16,47.0,68.233497,28.072972,1.661862,32.0932,6.76,36.3,0.7986177333454734,0.33463541167832767,0.4639823216671457
2020-10-19,47.0,68.233507,29.055901,1.890688,32.182,8.49,36.3,0.9684694310566471,0.4614022155539916,0.5070672155026554
2020-10-20,48.0,69.022936,29.968621,2.075774,32.2486,7.6,36.54,1.1096527334678896,0.5910523191367711,0.5186004143311185
2020-10-21,48.0,68.261749,30.816147,2.170547,32.3072,6.55,36.44,1.1996436087648092,0.7127705770623788,0.48687303170243046
2020-10-22,54.0,74.353525,32.28023,2.385855,32.4068,5.9,38.44,1.4160222876012583,0.8534209191701547,0.5626013684311035
2020-10-23,52.0,71.04917,34.076155,2.492955,32.5094,4.66,37.99,1.5335153005061528,0.9894397954373544,0.5440755050687984
2020-10-26,48.0,62.712016,34.405063,2.487563,32.581,0.55,36.74,1.5083771732891194,1.0932272710077076,0.4151499022814118
2020-10-27,43.0,54.985298,33.912381,2.365953,32.6438,-2.99,35.35,1.3606093850331646,1.146703693812799,0.21390569122036562
2020-10-28,48.0,60.91724,34.350559,2.314154,32.7414,-3.9,36.94,1.3561689881370924,1.1885967526776577,0.16757223545943467
2020-10-29,47.0,59.587628,34.366479,2.215137,32.84,-3.42,36.69,1.3172921075132535,1.214335823644777,0.10295628386847655
2020-10-30,48.0,60.515728,34.308984,2.147912,32.9544,0.54,36.94,1.2917641570813174,1.2298214903320852,0.06194266674923221
2020-11-02,50.0,62.376752,34.339482,2.077468,33.0748,5.91,37.44,1.2969287069471065,1.2432429336550896,0.05368577329201685
2020-11-03,54.0,67.746591,35.007161,1.940024,33.1962,5.79,39.08,1.417021403201538,1.2779986275643793,0.1390227756371587
2020-11-04,54.0,67.746599,35.804007,1.794176,33.3216,6.51,39.08,1.4949627304299185,1.321391448137487,0.17357128229243135
2020-11-05,56.0,69.875011,36.595752,1.8174,33.472,7.69,39.78,1.5948317163731858,1.376079501784627,0.21875221458855876
2020-11-06,57.0,71.330335,37.489209,1.904975,33.6324,7.59,40.28,1.6947879678515463,1.4398211949980109,0.2549667728535354
2020-11-09,62.0,78.373633,39.725282,2.280902,33.8424,11.08,43.41,2.003474056983009,1.5525517673950104,0.45092228958799874
2020-11-10,65.0,80.514759,41.801635,2.632534,34.1052,14.41,44.71,2.3261942230320685,1.7072802585224223,0.6189139645096462
