date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,36.0,33.145754,130.552253,3.208623,74.7096,-3.34,68.51,0.0,0.0,0.0
2020-08-11,36.0,32.158442,126.224882,3.294414,74.5684,-1.3,68.1,-0.03270655270654288,-0.006541310541308576,-0.026165242165234304
2020-08-12,37.0,35.871325,122.206608,3.305212,74.48,0.04,68.84,0.0010727185655952098,-0.005018504719927819,0.006091223285523029
2020-08-13,36.0,34.079853,118.374316,3.307707,74.3556,-1.69,68.18,-0.02512383777180105,-0.009039571330302466,-0.016084266441498584
2020-08-14,37.0,35.755151,114.81576,3.166842,74.1748,-0.01,68.5,-0.01983482820396887,-0.011198622705035747,-0.008636205498933121
2020-08-17,39.0,39.138637,111.540466,2.860019,74.0228,1.54,69.15,0.03638687249109296,-0.001681523665810006,0.03806839615690297
2020-08-18,38.0,38.833673,108.522208,2.606969,73.8646,0.32,69.06,0.0728410610984298,0.013222993287037956,0.059618067811391846
2020-08-19,31.0,29.57014,104.644685,2.544765,73.6268,-3.64,65.7,-0.1674622505180139,-0.022914055473972413,-0.14454819504404148
2020-08-20,32.0,31.405706,101.044128,2.42316,73.4064,-3.58,66.05,-0.325905446223004,-0.08351233362377873,-0.24239311259922525
2020-08-21,33.0,33.794806,97.768091,2.376073,73.2796,-3.83,66.5,-0.41043039503776413,-0.14889594590657582,-0.2615344491311883
2020-08-24,32.0,32.651734,94.735035,2.201133,73.1372,-4.32,66.08,-0.5054806495788142,-0.2202128866410235,-0.2852677629377907
2020-08-25,33.0,32.567,91.918625,2.032424,72.9788,0.53,66.05,-0.5765829213750351,-0.29148689358782587,-0.2850960277872092
2020-08-26,33.0,31.2567,89.087206,1.896196,72.7984,-0.68,65.6,-0.6616165198321795,-0.3655128188366966,-0.2961037009954829
2020-08-27,33.0,31.106944,86.458031,1.764319,72.6342,-1.43,65.55,-0.7246870995939645,-0.4373476749881502,-0.2873394246058143
2020-08-28,32.0,30.203059,83.866779,1.830452,72.4586,-1.24,65.26,-0.7889767321754846,-0.5076734864256172,-0.2813032457498674
2020-08-31,37.0,39.870594,81.629277,1.610542,72.2442,1.06,66.75,-0.7114945157402133,-0.5484376922885363,-0.16305682345167694
2020-09-01,35.0,36.508147,79.308349,1.465194,72.0474,0.35,65.83,-0.7160711892938849,-0.5819643916896061,-0.1341067976042788
2020-09-02,38.0,42.004394,77.235229,1.418697,71.8822,1.89,66.79,-0.6349153501773088,-0.5925545833871466,-0.04236076679016221
2020-09-03,36.0,38.697454,75.391121,1.398158,71.6818,1.0,65.91,-0.6342956431751361,-0.6009027953447446,-0.03339284783039154
2020-09-04,29.0,39.282443,73.678735,1.315002,71.4922,-1.11,66.01,-0.6186044693907888,-0.6044431301539535,-0.01416133923683538
2020-09-08,29.0,32.950244,71.180482,1.393535,71.2836,-2.57,64.14,-0.7484349803074366,-0.6332415001846501,-0.11519348012278652
2020-09-09,26.0,35.176793,68.677257,1.432627,71.0826,-3.41,64.51,-0.8121091984864961,-0.6690150398450194,-0.14309415864147668
2020-09-10,24.0,32.828765,66.318742,1.448684,70.8192,-3.25,63.77,-0.9117729398121242,-0.7175666198384404,-0.19420631997368376
2020-09-11,30.0,42.873063,64.367246,1.386742,70.6096,-0.65,65.58,-0.8350790284312097,-0.7410691015569943,-0.09400992687421539
2020-09-14,32.0,46.491172,63.053508,1.278594,70.4094,3.43,66.34,-0.7048478553728756,-0.7338248523201707,0.028976996947295053
2020-09-15,32.0,45.914289,61.833608,1.062174,70.1982,2.62,66.2,-0.6059505220038233,-0.7082499862569012,0.1022994642530779
2020-09-16,32.0,43.624143,60.491809,0.773002,69.9828,2.95,65.65,-0.5654360810793122,-0.6796872052213835,0.11425112414207128
2020-09-17,31.0,41.171343,58.451714,0.786838,69.7714,-0.82,65.04,-0.5759112503711776,-0.6589320142513424,0.08302076388016477
2020-09-18,31.0,41.22968,56.33458,0.793514,69.5782,-1.94,65.05,-0.5767574798691157,-0.6424971073748971,0.06573962750578133
2020-09-21,29.0,37.83559,53.990082,0.824405,69.336,-3.01,64.21,-0.6378562923832476,-0.6415689443765672,0.0037126519933196045
2020-09-22,27.0,34.85584,51.701826,0.932553,69.0704,-3.43,63.4,-0.7430720994255609,-0.6618695753863659,-0.08120252403919492
2020-09-23,26.0,33.760011,49.379833,1.043122,68.7884,-3.0,63.09,-0.8417674228983003,-0.6978491448887528,-0.14391827800954748
2020-09-24,24.0,30.923057,46.356005,1.224158,68.5004,-4.3,62.25,-0.9765085746459192,-0.7535810308401862,-0.22292754380573299
2020-09-25,24.0,30.92306,43.548165,1.362455,68.2126,-3.05,62.25,-1.0709467012328417,-0.8170541649187174,-0.25389253631412434
2020-09-28,25.0,35.418763,41.425856,1.430304,67.9194,-0.87,62.85,-1.0848689177754949,-0.8706171154900729,-0.21425180228542196
2020-09-29,23.0,32.565651,39.06928,1.468759,67.5998,-1.57,62.1,-1.143242518567888,-0.925142196105636,-0.21810032246225208
2020-09-30,26.0,40.115681,37.107472,1.466285,67.328,1.51,63.19,-1.088996849461438,-0.9579131267767964,-0.13108372268464152
2020-10-01,26.0,40.964629,35.446392,1.377799,67.0694,1.72,63.32,-1.023716090481031,-0.9710737195176434,-0.05264237096338753
2020-10-02,22.0,36.090468,33.481579,1.392582,66.8016,-1.08,62.17,-1.052641808197464,-0.9873873372536076,-0.06525447094385639
2020-10-05,26.0,44.87402,31.81731,1.320702,66.6008,2.42,63.6,-0.9492344154317323,-0.9797567528892326,0.030522337457500326
2020-10-06,23.0,40.362201,29.697669,1.354911,66.3604,-1.06,62.52,-0.9435535873055159,-0.9725161197724892,0.028962532466973334
2020-10-07,23.0,42.216057,27.683853,1.363374,66.1426,-0.76,62.84,-0.9028229830777832,-0.9585774924335481,0.05575450935576487
2020-10-08,24.0,44.978913,26.445725,1.366914,65.9488,1.85,63.32,-0.8223323617246905,-0.9313284662917767,0.1089961045670862
2020-10-09,24.0,47.885965,25.71686,1.301377,65.779,0.38,63.84,-0.7084171186506225,-0.8867461967635459,0.17832907811292342
2020-10-12,27.0,51.642816,25.23216,1.168899,65.6794,3.25,64.55,-0.5544559781378879,-0.8202881530384143,0.26583217490052635
2020-10-13,27.0,51.306214,24.782081,1.027537,65.5346,2.63,64.49,-0.43229889109070996,-0.7426903006488734,0.31039140955816347
2020-10-14,26.0,48.794537,23.812009,0.911742,65.398,1.15,64.05,-0.366765003619669,-0.6675052412430326,0.30074023762336355
2020-10-15,24.0,43.157978,22.197405,0.83487,65.2772,-1.38,62.96,-0.3981926985797486,-0.6136427327103757,0.21545003413062713
2020-10-16,22.0,38.896301,21.185546,0.778389,65.141,-3.95,62.0,-0.4948589245618038,-0.5898859710806614,0.09502704651885763
2020-10-19,19.0,33.577464,21.314332,0.921632,64.9654,-6.08,60.57,-0.6790292278290835,-0.6077146224303458,-0.07131460539873768
2020-10-20,19.0,33.508449,21.634479,1.054564,64.8062,-5.46,60.55,-0.8171794172512747,-0.6496075813945317,-0.16757183585674307
2020-10-21,19.0,32.293274,21.931758,1.19579,64.6484,-4.37,60.21,-0.9432266663170807,-0.7083313983790415,-0.23489526793803928
2020-10-22,20.0,35.691239,21.793592,1.271483,64.485,-2.15,60.67,-0.9945374550003478,-0.7655726097033028,-0.22896484529704508
2020-10-23,20.0,36.585336,20.983607,1.330182,64.3372,0.36,60.79,-1.0138318056211304,-0.8152244488868683,-0.1986073567342621
2020-10-26,18.0,33.152078,19.680435,1.43996,64.1664,-0.97,59.96,-1.0836056494907425,-0.8689006890076432,-0.21470496048309928
2020-10-27,18.0,33.556587,18.470347,1.529881,63.9836,-0.33,60.01,-1.1219343801636228,-0.9195074272388392,-0.20242695292478363
2020-10-28,16.0,28.726762,18.20287,1.697964,63.7768,-3.21,58.72,-1.2420844183812463,-0.9840228254673207,-0.2580615929139256
2020-10-29,15.0,28.085574,18.498635,1.835197,63.6334,-3.72,58.53,-1.3372209506784642,-1.0546624505095494,-0.2825585001689148
2020-10-30,15.0,26.79731,18.773274,1.998465,63.4754,-3.02,58.15,-1.4268325249776623,-1.129096465403172,-0.29773605957449023
2020-11-02,16.0,30.243137,18.550028,2.051636,63.316,-2.47,58.53,-1.4504674333320011,-1.193370658988938,-0.2570967743430632
2020-11-03,16.0,32.927451,18.142694,2.104529,63.171,0.19,58.83,-1.4285236443408706,-1.2404012560593245,-0.18812238828154615
2020-11-04,19.0,41.352844,17.247744,2.086761,63.0474,2.29,59.87,-1.3120887823752767,-1.254738761322515,-0.05735002105276177
2020-11-05,18.0,40.100963,16.293255,2.038707,62.928,2.55,59.63,-1.2250576081016575,-1.2488025306783435,0.023744922576685923
2020-11-06,17.0,37.266097,15.203731,1.951592,62.7984,0.92,59.07,-1.1875823848604838,-1.2365585015147715,0.048976116654287694
2020-11-09,17.0,37.165051,14.654736,1.75412,62.6742,0.37,59.05,-1.1462831941745435,-1.218503440046726,0.07222024587218256
2020-11-10,23.0,48.882856,14.816848,1.476209,62.5516,1.25,60.62,-0.975621056808933,-1.1699269633991674,0.1943059065902344
2020-11-11,22.0,45.834105,14.96738,1.172719,62.437,0.79,60.1,-0.8722746978266542,-1.110396510284665,0.23812181245801067
2020-11-12,23.0,45.134527,14.561493,0.947326,62.3008,1.54,59.98,-0.7909375254294062,-1.0465047133136132,0.25556718788420696
2020-11-13,25.0,49.365399,14.820622,0.824944,62.1944,2.61,60.59,-0.669537318845471,-0.9711112344199848,0.30157391557451385
2020-11-16,26.0,52.592428,15.25431,0.858777,62.096,0.78,61.09,-0.5269071020763434,-0.8822704079512566,0.35536330587491316
2020-11-17,26.0,51.740155,15.65702,0.88294,62.0326,1.45,60.97,-0.41872779147858097,-0.7895618846567215,0.37083409317814053
2020-11-18,26.0,51.218738,16.403826,0.912503,61.9604,1.53,60.9,-0.33478414025266545,-0.6986063357759102,0.3638221955232448
2020-11-19,25.0,49.160822,16.433941,0.910642,61.8976,0.07,60.63,-0.28673958000155153,-0.6162329846210385,0.32949340461948695
2020-11-20,24.0,45.379194,16.061012,0.885427,61.7882,-1.6,60.11,-0.2873116244771623,-0.5504487125922632,0.26313708811510095
2020-11-23,23.0,43.8426,15.608519,0.884795,61.6592,-1.77,59.89,-0.3020354584739806,-0.5007660617686067,0.1987306032946261
2020-11-24,24.0,47.00491,15.722452,0.889671,61.5402,-1.07,60.25,-0.2814112776056845,-0.4568951049360223,0.1754838273303378
2020-11-25,22.0,41.732436,15.700357,0.859119,61.4172,-1.86,59.5,-0.32187482504384946,-0.42989104895758773,0.10801622391373827
2020-11-27,24.0,46.315154,15.470555,0.807641,61.317,-0.13,60.03,-0.3076297431216872,-0.40543878779040765,0.09780904466872042
2020-11-30,26.0,51.296472,15.851393,0.718035,61.2294,1.3,60.67,-0.24190918328954325,-0.37273286689023477,0.13082368360069152
2020-12-01,28.0,54.493757,17.014042,0.670422,61.1676,1.44,61.12,-0.1517644804775884,-0.3285391896077055,0.1767747091301171
2020-12-02,36.0,54.565138,18.093645,0.631102,61.1222,2.74,61.13,-0.07861105826904691,-0.2785535633399738,0.19994250507092687
2020-12-03,28.0,52.185002,18.585967,0.637365,61.0776,1.38,60.86,-0.04193973251284433,-0.2312307971745479,0.18929106466170356
2020-12-04,37.0,57.376129,19.147556,0.672327,61.0638,1.47,61.56,0.04310976467520078,-0.17636268480459819,0.21947244947979896
2020-12-07,28.0,51.140647,19.292693,0.603344,61.0354,-0.47,60.83,0.05101908851568737,-0.13088633014054107,0.18190541865622845
2020-12-08,36.0,53.666335,19.427462,0.520941,61.0018,0.07,61.17,0.0837569452167557,-0.08795767506908173,0.17171462028583742
2020-12-09,28.0,50.757584,19.689898,0.523144,60.9762,-0.07,60.82,0.08053154012252861,-0.05425983203075966,0.13479137215328826
2020-12-10,27.0,47.807611,19.439583,0.511516,60.9214,-1.8,60.45,0.04757110547464549,-0.033893644529678635,0.08146475000432413
2020-12-11,28.0,50.408217,19.148492,0.489942,60.8702,-0.12,60.76,0.04593462698443318,-0.01792799022685627,0.06386261721128945
2020-12-14,25.0,43.483516,18.377465,0.522014,60.8236,-2.17,59.84,-0.02926129920572862,-0.02019465202263074,-0.009066647183097878
2020-12-15,24.0,40.793981,17.122624,0.57172,60.7402,-2.29,59.43,-0.1205485769990915,-0.040265437017922893,-0.0802831399811686
2020-12-16,23.0,37.785967,16.659837,0.660708,60.6686,-2.5,58.94,-0.22978449462068795,-0.07816924853847591,-0.15161524608221205
2020-12-17,23.0,39.069668,16.322737,0.715717,60.5932,-2.78,59.07,-0.3023791936732678,-0.12301123756543429,-0.17936795610783351
2020-12-18,23.0,39.173651,16.106511,0.763829,60.5084,-1.27,59.08,-0.35501174485493436,-0.16941133902333433,-0.18560040583160003
2020-12-21,22.0,35.637401,16.814356,0.85235,60.4024,-1.5,58.54,-0.43527927931516075,-0.22258492708169964,-0.21269435223346111
2020-12-22,18.0,27.901774,18.237247,1.100885,60.2514,-3.29,57.0,-0.6160555039855353,-0.3012790424624668,-0.31477646152306854
2020-12-23,20.0,31.833715,19.558503,1.243591,60.1092,-2.86,57.38,-0.7203553323855587,-0.38509430044708515,-0.33526103193847356
2020-12-24,19.0,30.378228,20.785383,1.387944,59.9696,-3.4,57.07,-0.818591889309964,-0.47179381821966093,-0.34679807109030303
2020-12-28,18.0,29.533844,22.151511,1.522687,59.8482,-2.82,56.89,-0.9005881445719979,-0.5575526834901283,-0.34303546108186955
2020-12-29,18.0,29.242071,23.358098,1.618587,59.7448,-0.3,56.83,-0.9593534369331636,-0.6379128341787355,-0.3214406027544281
2020-12-30,17.0,28.337633,24.619162,1.678477,59.6664,-1.27,56.65,-1.0088207920658974,-0.7120944257561679,-0.2967263663097295
2020-12-31,22.0,44.787486,23.713147,1.630623,59.6206,2.09,58.26,-0.907647685209028,-0.7512050776467399,-0.15644260756228812
2021-01-04,34.0,57.001438,23.269836,1.597346,59.6186,5.66,60.11,-0.6704590951051017,-0.7350558811384122,0.06459678603331054
2021-01-05,38.0,56.205277,23.115359,1.507665,59.6052,5.58,60.0,-0.4857619479284665,-0.6851970944964231,0.19943514656795658
2021-01-06,39.0,65.424775,24.149527,1.59453,59.6284,9.36,61.95,-0.1799649015886189,-0.5841506559148623,0.4041857543262434
2021-01-07,39.0,67.57364,25.725188,1.708925,59.6796,7.31,62.52,0.1071406464165463,-0.44589239544858056,0.5530330418651268
2021-01-08,40.0,69.439651,27.270229,1.881732,59.7402,4.87,63.04,0.3723413960340878,-0.28224563715204687,0.6545870331861346
2021-01-11,39.0,65.314131,29.05917,2.000486,59.816,4.18,62.51,0.5335973520474369,-0.11907703931215013,0.6526743913595869
2021-01-12,37.0,62.090992,29.68286,2.068401,59.887,0.21,62.08,0.6195546127183249,0.028649291093944873,0.59090532162438
2021-01-13,36.0,58.206333,30.224243,2.120671,59.9548,-1.57,61.54,0.6367626703639644,0.15027196694794878,0.48649070341601564
2021-01-14,38.0,62.256352,31.259822,2.216288,60.0322,-1.02,62.4,0.7115922007659563,0.2625360137115503,0.44905618705440603
2021-01-15,41.0,66.083933,32.44989,2.353867,60.1222,1.31,63.33,0.8362980470835666,0.37728842038595356,0.459009626697613
2021-01-19,51.0,76.4339,34.95654,2.826073,60.2662,8.04,67.07,1.2228191740038241,0.5463945711095277,0.6764246028942964
2021-01-20,53.0,78.196528,37.284144,3.278501,60.4334,10.48,67.99,1.5851041688957181,0.7541364906667658,0.8309676782289523
2021-01-21,50.0,71.843528,39.309439,3.513484,60.5916,7.34,66.98,1.7703120233677652,0.9573715972069656,0.8129404261607995
2021-01-22,50.0,71.595462,40.793418,3.603085,60.7494,5.7,66.94,1.8920525130724357,1.1443077803800596,0.7477447326923761
2021-01-25,52.0,74.48897,42.392063,3.738683,60.9002,1.63,68.16,2.0631933239456473,1.3280848890931773,0.7351084348524699
2021-01-26,48.0,65.844577,43.909405,3.677426,61.0322,-1.9,66.7,2.05729859373011,1.473927630020564,0.5833709637095459
2021-01-27,45.0,59.618505,43.653838,3.482191,61.1422,-2.24,65.48,1.931913279815035,1.5655247599794582,0.36638851983557674
2021-01-28,43.0,55.886715,42.407632,3.191876,61.224,-3.38,64.68,1.7478431531885192,1.6019884386212706,0.14585471456724863
2021-01-29,46.0,59.060396,41.250441,2.816778,61.3142,-3.76,65.6,1.6571005394134701,1.6130108587797105,0.04408968063375962
2021-02-01,44.0,56.674011,40.198597,2.514233,61.3968,-2.4,65.1,1.5272355224738803,1.5958557915185447,-0.06862026904466445
